StartTime,MeanTime,Group,Summary
1343458794,1343400289,1,I cannot wait for the swimming diving and gymnastics #London2012
1343458793,1343400698,2,Hey @mdoolittle #olympics day today. I hope we'll have comments from you esp. 4 #gymnastics parts! ;) I'm an EX-gymnast too(it shows!lol)
1343458791,1343400706,3,looking forward to the opening ceremony tonight just disappointed that SABC wont be showing much gymnastics #Olympics2012
1343458789,1343400742,4,In the #gymnastics - the #Russian flag's coming out though. Can't argue with obvious talent. Although with #China... #London2102 #Olympics
1343458775,1343400904,5,@ENBallet... RT @elliesharpe: Rehearsing our Olympic Swan choreography @O2arena tomorrow. Performing 2 Aug- part of gymnastics #london2012
1343458770,1343401058,6,Been up all night watching gymnastics videos getting pumped for the olympics. I do not regret this decision whatsoever. #olympics #noregrets
1343458765,1343401073,7,@bakedtheblog swimming hockey and gymnastics! Thhheee bestest :) #olympics2012
1343458762,1343401186,8,@FrankieTheSats Good morning @FrankieTheSats & @MollieTheSats You girls most definitely won Gold with last nights bed gymnastics! #olympics
1343458751,1343401611,9,3 years & 11 months later...my interest in women's gymnastics is renewed!!! #London2012
1343458733,1343401638,10,Time to watch sports that are only ever watched 1s every 4yrs! Amped for #Olympics #gymnastics #bobsleigh #tabletennis #judo #weightlifting
1343458731,1343401676,11,RT @AdrianKritz: Time to watch sports that are only ever watched 1s every 4yrs! Amped for #Olympics #gymnastics #bobsleigh #tabletennis ...
1343458723,1343401872,12,Yey! I love the #Olympics it's like sports day but on a much bigger scale. Highlights as usual will be gymnastics diving and water polo
1343458721,1343402046,13,Opinion piece on whether athletics gymnastics and other #London2012 events are real sports. What is a real sport? http://t.co/SKaCbnFk
1343458713,1343402127,14,@AdrianKritz Its well worth the wait nothing like it!Ribbon event in gymnastics reminds me of Old School. #GetsMeEveryTime #Olympics
1343458705,1343402194,15,@NBCOlympics Who should I be following for all the #Olympics swimming news? Like @AndyThorntonNBC for gymnastics.
1343458701,1343402336,16,I'm only going to watch the boxing gymnastics show jumping and Jess Ennis in the athletic #Olympics
1343458694,1343402397,17,I actually only watch the gymnastics and the rowing @PeteReedRowing is this unpatriotic of me #olympics
1343458682,1343402809,18,The most repeated saying during the #Olympics: I love gymnastics. How can they do that? They look like they're made of rubber @London2012
1343458677,1343403026,19,Can't wait till the Olympics start! I really wana see the gymnastics competition!!! #London2012 #usagymnastics #GoForTheGold
1343458676,1343403212,20,That awkward moment when you get caught trying to get your phone out of your pocket whilst watching rhythmic gymnastics. #Olympics
1343458663,1343403278,21,Buzzing to watch the high diving and gymnastics #London2012 everything else I don't give a shit about tbh!
1343458655,1343403362,22,Keen for some Olymiacos babes beach volley ball gymnastics etc etc :D #london2012
1343458648,1343403478,23,@London2012: Good morning world. It’s 0 days to go! RT if you are ready for #London2012 http://t.co/EHszQwqU Ready for men's #gymnastics!
1343458641,1343403551,24,#Olympics!! Actually buzzing. Love watching the sprints triple jump badminton and gymnastics
1343458630,1343403685,25,RT @RussianGymnast: Read quick hits of yesterday's podium training - Russia intriguing. http://t.co/HfF2XXRH #gymnastics #London2012
1343458612,1343404174,26,When's gymnastics on and maybe diving? That's all I care about #Olympics
1343458610,1343404197,27,I can't wait to watch the gymnastics :D #London2012 #faveevent
1343458608,1343404423,28,SO excited for the #Olympics gymnastics @The_O2 tomorrow!
1343458590,1343404641,29,When's the #gymnastics and filed events on the #Olympics
1343458587,1343404960,30,RT @brook_mackenzie: i only ever watch gymnastics and diving #Olympics2012
1343458583,1343405013,31,Team USA – five fighters! #London2012 #olympics #gymnastics http://t.co/OV2J6yoK
1343458581,1343405062,32,#London2012 can't wait for this ness to begin!!! Aaaahhh!!! Diving gymnastics and swimming!!! Yay!!!
1343458580,1343405085,33,RT @JohnTesh: The word gymnastics comes from the Greek for “exercise naked.” Which is exactly how the earliest gymnasts trained. #TESHs ...
1343458578,1343405129,34,wish i had tickets for the gymnastics :( #london2012 #teamusa @jordyn_wieber @McKaylaMaroney @Aly_Raisman @kyla_ross96 @gabrielledoug
1343458571,1343405252,35,all I'm interested in is the opening ceremony gymnastics and trampolining and @TomDaley1994 #olympics2012
1343458558,1343405292,36,18 gymnast chosen for Team GB at #london2012 across all 3 gymnastics disciplines http://t.co/73zSwYct #like2
1343458553,1343405330,37,The only events I want to watch are athleticsgymnasticsdiving and swimming. They're the only interesting ones I think #london2012
1343458549,1343405349,38,The big day is finally here opening ceremony tonight.. Excited much!! #London2012 #OpeningCeremony good luck GB Espech #britishgymnastics
1343458549,1343405535,39,With #Olympics gymnastics starting on Saturday @sajchowdhury talks to Louis Smith about handling expectations http://t.co/vEXkOkuh #bbc2012
1343458542,1343405688,40,RT @BBCSport: With #Olympics gymnastics starting on Saturday @sajchowdhury talks to Louis Smith about handling expectations http://t.co ...
1343458531,1343405696,41,Should have been in the US! #London2012 #Olympics #gymnastics at @NBCNews http://t.co/MzMWXTdj
1343458525,1343405942,42,RT @JohnTesh: The word gymnastics comes from the Greek for “exercise naked.” Which is exactly how the earliest gymnasts trained. #TESHs ...
1343458519,1343406050,43,Cannot wait for the #Olympics to start I freaking love watching gymnastics.
1343458516,1343406075,44,RT @BBCSport: With #Olympics gymnastics starting on Saturday @sajchowdhury talks to Louis Smith about handling expectations http://t.co ...
1343458513,1343406079,45,Cannot wait for the #Olympics to start I freaking love watching gymnastics it's so fierce.
1343458513,1343406106,46,Cannot wait for the #Olympics to start I freaking love watching gymnastics it's so fierce.
1343458508,1343406108,47,Don't forget to follow @AndyThorntonNBC who is at women's gymnastics training this morning. He's live tweeting all day! #Olympics
1343458501,1343406185,48,RT @NBCOlympics: Don't forget to follow @AndyThorntonNBC who is at women's gymnastics training this morning. He's live tweeting all day! ...
1343458499,1343406199,49,RT @NBCOlympics: Don't forget to follow @AndyThorntonNBC who is at women's gymnastics training this morning. He's live tweeting all day! ...
1343458498,1343406555,50,RT @BBCSport: With #Olympics gymnastics starting on Saturday @sajchowdhury talks to Louis Smith about handling expectations http://t.co ...
1343458497,1343406645,51,RT @OlgaKorbut1: #olympics #gymnastics @NBCOlympics http://t.co/M0ymon1T I've never saw this before. Pls watch if you are a gymnast! @es ...
1343458485,1343406714,52,@jayyybury: When's gymnastics on and maybe diving? That's all I care about #Olympics all u care about is my bday hehehe xxx
1343458481,1343406715,53,I love the swimming diving and gymnastics! #olympics
