Time,Group
1343807119,1
1343807219,1
1343807433,1
1343808004,1
1343808364,1
1343808503,1
1343808757,1
1343809385,1
1343809770,1
1343809945,1
1343809958,1
1343810211,1
1343810648,1
1343810944,1
1343812118,1
1343812538,1
1343812822,2
1343812887,2
1343813224,2
1343813446,2
1343814221,2
1343814544,2
1343814614,2
1343814910,2
1343815067,2
1343815208,2
1343815253,2
1343815438,3
1343815543,3
1343815680,3
1343815753,3
1343815816,3
1343816139,4
1343816490,4
1343816510,4
1343816590,5
1343816646,5
1343816674,5
1343816674,5
1343816949,5
1343817537,5
1343817549,5
1343817672,5
1343817702,5
1343817792,5
1343817805,5
1343818337,5
1343818678,5
1343818722,5
1343818784,5
1343818902,5
1343818987,5
1343819031,5
1343819221,5
1343819426,5
1343819460,5
1343819786,6
1343820223,6
1343821256,6
1343821518,7
1343821656,7
1343821712,7
1343821728,7
1343823096,8
1343823160,8
1343823185,8
1343823314,8
1343823397,8
1343823978,8
1343824310,8
1343824430,9
1343824499,9
1343824564,9
1343825346,9
1343825351,9
1343826415,9
1343826764,9
1343827140,10
1343827425,10
1343827515,10
1343827803,10
1343827975,10
1343828036,10
1343828061,10
1343828513,10
1343828647,10
1343828807,10
1343829832,11
1343830072,11
1343830274,11
1343830314,11
1343830713,11
1343831209,11
1343831215,11
1343831742,11
1343831920,12
1343831970,12
1343831977,12
1343832277,12
1343832297,12
1343832455,13
1343832491,13
1343832563,13
1343832800,13
1343832889,13
1343832889,13
1343832920,13
1343832962,13
1343833018,13
1343833044,13
1343833095,13
1343833129,13
1343833139,13
1343833334,13
1343833560,13
1343833625,13
1343833787,14
1343833823,14
1343833904,14
1343833968,14
1343834180,15
1343834268,15
1343834460,15
1343834599,16
1343834729,16
1343834785,17
1343834790,17
1343834805,17
1343834970,18
1343834980,18
1343835104,18
1343835164,18
1343835238,18
1343835326,18
1343835327,18
1343835428,18
1343835573,19
1343835626,19
1343835669,19
1343835756,19
1343835828,19
1343835964,20
1343836027,20
1343836075,20
1343836132,20
1343836137,20
1343836239,20
1343836252,20
1343836264,20
1343836302,20
1343836361,21
1343836362,21
1343836374,21
1343836491,21
1343836544,21
1343836569,21
1343836596,21
1343836626,21
1343836721,21
1343836746,22
1343836803,22
1343836816,22
1343836823,22
1343836900,22
1343836911,22
1343836923,22
1343837091,22
1343837190,22
1343837225,22
1343837240,22
1343837350,22
1343837556,23
1343837582,23
1343837636,23
1343837770,24
1343837836,24
1343837898,24
1343837933,25
1343837940,25
1343838241,25
1343838260,26
1343838431,26
1343838531,26
1343838556,27
1343838660,27
1343838669,28
1343838750,28
1343838780,28
1343838798,29
1343838823,29
1343838887,29
1343838931,30
1343838933,30
1343838949,30
1343839013,30
1343839025,30
1343839033,30
1343839067,30
1343839069,30
1343839078,30
1343839128,30
1343839160,30
1343839261,30
1343839427,31
1343839484,31
1343839517,32
1343839547,32
1343839556,32
1343839599,32
1343839601,32
1343839628,32
1343839631,33
1343839644,33
1343839658,34
1343839658,34
1343839663,34
1343839676,35
1343839676,35
1343839696,35
1343839707,35
1343839713,35
1343839722,35
1343839723,35
1343839725,35
1343839730,35
1343839735,35
1343839742,35
1343839744,35
1343839759,35
1343839772,35
1343839786,35
1343839792,35
1343839798,35
1343839802,35
1343839819,36
1343839830,36
1343839844,36
1343839846,36
1343839850,36
1343839857,37
1343839858,37
1343839859,37
1343839862,37
1343839873,37
1343839895,37
1343839896,37
1343839900,37
1343839900,37
1343839901,37
1343839919,38
1343839941,38
1343839983,38
1343839992,38
1343839994,38
1343839995,38
1343840000,38
1343840006,38
1343840067,39
1343840068,39
1343840089,39
1343840091,39
1343840091,39
1343840105,39
1343840115,40
1343840133,40
1343840137,40
1343840139,40
1343840150,40
1343840150,40
1343840165,40
1343840165,40
1343840166,40
1343840167,40
1343840171,40
1343840174,40
1343840175,40
1343840183,41
1343840183,41
1343840184,41
1343840188,41
1343840195,41
1343840204,41
1343840207,41
1343840211,41
1343840223,41
1343840228,41
1343840230,41
1343840238,41
1343840246,41
1343840249,41
1343840255,41
1343840276,42
1343840279,42
1343840292,42
1343840293,42
1343840294,42
1343840298,43
1343840299,43
1343840302,43
1343840304,43
1343840306,43
1343840312,43
1343840313,43
1343840316,43
1343840320,43
1343840321,43
1343840325,44
1343840328,44
1343840329,44
1343840337,44
1343840338,44
1343840339,45
1343840339,45
1343840339,45
1343840339,45
1343840342,45
1343840344,45
1343840344,45
1343840345,46
1343840346,46
1343840346,46
1343840350,46
1343840352,46
1343840356,46
1343840357,46
1343840358,46
1343840359,46
1343840359,46
1343840361,46
1343840365,46
1343840366,46
1343840372,46
1343840373,47
1343840374,47
1343840374,47
1343840376,47
1343840378,47
1343840386,47
1343840389,47
1343840391,47
1343840393,47
1343840394,47
1343840395,47
1343840395,47
1343840398,47
1343840405,48
1343840412,48
1343840413,48
1343840415,48
1343840417,48
1343840417,48
1343840425,48
1343840426,48
1343840435,48
1343840440,49
1343840440,49
1343840441,49
1343840441,49
1343840443,49
1343840444,49
1343840446,49
1343840447,49
1343840452,49
1343840452,49
1343840453,49
1343840453,49
1343840455,49
1343840456,49
1343840460,49
1343840469,49
1343840471,49
1343840473,50
1343840474,50
1343840474,50
1343840475,50
1343840476,50
1343840476,50
1343840477,50
1343840497,50
1343840498,50
1343840498,50
1343840503,50
1343840506,50
1343840510,51
1343840520,51
1343840525,51
1343840527,51
1343840529,51
1343840540,51
1343840546,51
1343840549,51
1343840550,51
1343840552,51
1343840558,51
1343840559,51
1343840562,51
1343840567,51
1343840568,51
1343840579,51
1343840611,51
1343840620,51
1343840624,51
1343840629,51
1343840631,51
1343840632,51
1343840632,51
1343840637,51
1343840641,51
1343840646,51
1343840650,51
1343840655,52
1343840670,52
1343840681,52
1343840687,52
1343840691,52
1343840714,52
1343840715,52
1343840717,52
1343840726,52
1343840733,52
1343840738,52
1343840739,52
1343840742,52
1343840761,52
1343840764,52
1343840771,52
1343840790,52
1343840792,52
1343840832,53
1343840844,53
1343840849,53
1343840870,53
1343840879,53
1343840880,53
1343840883,53
1343840900,53
1343840923,53
1343840951,53
1343840953,53
1343840958,53
1343840958,53
1343840979,54
1343840983,54
1343840988,54
1343841004,54
1343841023,55
1343841024,55
1343841026,55
1343841049,56
1343841056,56
1343841078,56
1343841096,56
1343841103,56
1343841109,56
1343841123,56
1343841141,57
1343841148,57
1343841166,57
1343841169,57
1343841200,57
1343841209,57
1343841224,57
1343841226,58
1343841228,58
1343841231,58
1343841237,58
1343841251,58
1343841313,58
1343841327,58
1343841363,58
1343841363,58
1343841386,58
1343841458,59
1343841482,59
1343841485,59
1343841504,59
1343841509,59
1343841513,59
1343841532,59
1343841532,59
1343841541,59
1343841541,59
1343841545,59
1343841545,59
1343841545,59
1343841545,59
1343841554,59
1343841559,59
1343841559,59
1343841563,59
1343841573,60
1343841577,60
1343841577,60
1343841578,60
1343841579,60
1343841613,61
1343841618,61
1343841621,61
1343841642,61
1343841653,62
1343841654,62
1343841670,62
1343841672,62
1343841680,63
1343841696,63
1343841708,63
1343841723,63
1343841737,63
1343841753,63
1343841765,63
1343841803,64
1343841836,64
1343841855,64
1343841855,64
1343841859,64
1343841864,64
1343841887,64
1343841890,65
1343841901,65
1343841904,65
1343841904,65
1343841910,65
1343841921,65
1343841926,65
1343841934,65
1343841967,66
1343841977,66
1343841980,67
1343841982,67
1343841985,68
1343841994,69
1343842006,69
1343842014,70
1343842025,70
1343842026,71
1343842026,71
1343842028,71
1343842041,71
1343842044,72
1343842044,72
1343842071,72
1343842072,72
1343842079,72
1343842129,72
1343842163,73
1343842168,73
1343842190,73
1343842199,73
1343842240,73
1343842280,73
1343842282,73
1343842314,73
1343842328,73
1343842362,73
1343842475,74
1343842499,74
1343842555,74
1343842653,74
1343842671,74
1343842677,74
1343842682,74
1343842687,74
1343842693,74
1343842727,74
1343842738,74
1343842757,74
1343842874,75
1343842966,75
1343842972,75
1343842986,76
1343843022,76
1343843023,77
1343843030,77
1343843048,77
1343843109,77
1343843121,77
1343843149,77
1343843215,77
1343843264,77
1343843271,77
1343843283,77
1343843412,78
1343843454,78
1343843526,78
1343843643,78
1343843690,78
1343843693,78
1343843698,78
1343843707,78
1343843712,78
1343843713,78
1343843713,78
1343843833,78
1343843842,78
1343843858,78
1343843906,78
1343843954,78
1343843960,78
1343843963,79
1343844107,79
1343844137,79
1343844174,79
1343844203,79
1343844232,79
1343844248,79
1343844267,79
1343844278,79
1343844280,79
1343844285,79
1343844289,79
1343844289,79
1343844297,79
1343844304,80
1343844305,80
1343844308,80
1343844309,80
1343844319,80
1343844320,80
1343844327,80
1343844327,80
1343844339,80
1343844343,80
1343844343,80
1343844360,81
1343844365,81
1343844365,81
1343844368,81
1343844372,81
1343844381,81
1343844382,81
1343844387,82
1343844387,82
1343844393,82
1343844396,82
1343844405,82
1343844406,82
1343844408,82
1343844409,82
1343844421,82
1343844424,82
1343844431,83
1343844440,83
1343844443,83
1343844445,83
1343844447,83
1343844449,83
1343844455,83
1343844456,83
1343844467,83
1343844468,83
1343844472,83
1343844481,84
1343844489,84
1343844496,84
1343844500,85
1343844502,85
1343844507,85
1343844508,86
1343844509,86
1343844514,86
1343844516,87
1343844517,87
1343844521,87
1343844523,87
1343844528,88
1343844530,88
1343844536,89
1343844539,89
1343844541,89
1343844556,89
1343844568,89
1343844584,89
1343844584,89
1343844588,89
1343844591,89
1343844596,90
1343844613,90
1343844617,90
1343844628,90
1343844639,90
1343844651,90
1343844656,90
1343844667,90
1343844677,90
1343844695,91
1343844715,91
1343844762,91
1343844774,91
1343844775,91
1343844782,91
1343844791,91
1343844798,91
1343844802,91
1343844853,92
1343844892,92
1343844945,92
1343844960,93
1343844968,93
1343844996,93
1343844997,93
1343845036,93
1343845061,93
1343845064,93
1343845076,93
1343845083,94
1343845102,94
1343845110,94
1343845118,94
1343845130,94
1343845131,94
1343845152,94
1343845174,94
1343845182,94
1343845196,94
1343845200,94
1343845206,94
1343845233,94
1343845261,94
1343845294,94
1343845302,94
1343845372,95
1343845379,95
1343845382,95
1343845383,95
1343845389,95
1343845393,95
1343845423,95
1343845428,95
1343845428,95
1343845428,95
1343845429,95
1343845429,95
1343845430,95
1343845430,95
1343845430,95
1343845430,95
1343845433,95
1343845443,95
1343845443,95
1343845443,95
1343845444,95
1343845485,95
1343845488,96
1343845499,96
1343845515,97
1343845519,97
1343845521,97
1343845556,97
1343845575,97
1343845591,97
1343845668,98
1343845674,98
1343845683,98
1343845730,98
1343845831,98
1343845842,98
1343845951,98
1343846018,99
1343846030,99
1343846032,99
1343846060,99
1343846088,100
1343846101,100
1343846213,100
1343846232,101
1343846272,101
1343846289,101
1343846301,101
1343846389,101
1343846413,102
1343846432,102
1343846465,102
1343846483,102
1343846510,102
1343846654,103
1343846764,103
1343847003,103
1343847187,104
1343847268,104
1343847277,104
1343847337,104
1343847353,104
1343847424,104
1343847593,104
1343847632,104
1343847685,104
1343848088,105
1343848100,105
1343848175,105
1343848344,105
1343848417,105
1343848876,106
1343848933,106
1343848983,106
1343849086,107
1343849185,107
1343849219,107
1343849263,107
1343849510,108
1343849535,108
1343849590,108
1343849636,108
1343849717,108
1343849809,108
1343849815,108
1343849866,108
1343849872,108
1343850086,108
1343850645,109
1343850885,109
1343850940,109
1343851024,109
1343851108,109
1343851142,109
1343851164,109
1343851180,109
1343851191,109
1343851212,110
1343851254,110
1343851256,110
1343851287,110
1343851336,110
1343851349,110
1343851363,110
1343851511,110
1343851514,110
1343851594,111
1343851630,111
1343851684,111
1343851718,112
1343851771,112
1343851807,113
1343852078,113
1343852218,114
1343852284,114
1343852286,114
1343852313,114
1343852368,115
1343852408,115
1343852491,115
1343852515,115
1343852532,115
1343852617,116
1343852707,116
1343852722,116
1343852733,116
1343852737,116
1343852773,116
1343852825,116
1343852826,116
1343852833,116
1343852838,116
1343852848,116
1343852849,116
1343852852,116
1343852865,116
1343852879,116
1343852897,116
1343852922,116
1343852958,116
1343853011,117
1343853026,117
1343853058,117
1343853100,117
1343853160,117
1343853168,118
1343853207,118
1343853394,118
1343853396,119
1343853441,119
1343853447,119
1343853497,119
1343853499,119
1343853545,119
1343853651,119
1343853734,120
1343853740,120
1343853919,120
1343854018,120
1343854251,120
1343854256,120
1343854263,120
1343854437,120
1343854634,120
1343854735,120
1343854785,120
1343854829,120
1343854893,120
1343854916,120
1343854957,120
1343855039,120
1343855138,121
1343855206,121
1343855283,121
1343855430,121
1343855433,121
1343855560,122
1343855565,122
1343855582,122
1343855616,122
1343855648,122
1343855689,122
1343855708,122
1343855729,122
1343855769,122
1343855782,122
1343855824,123
1343855855,123
1343855931,123
1343856018,123
1343856054,123
1343856075,123
1343856149,123
1343856169,124
1343856176,124
1343856179,124
1343856182,124
1343856193,124
1343856209,124
1343856245,124
1343856250,124
1343856322,124
1343856357,124
1343856359,124
1343856363,124
1343856390,124
1343856532,125
1343856534,125
1343856542,125
1343856548,125
1343856579,126
1343856629,126
1343856633,126
1343856669,127
1343856686,127
1343856730,127
1343856784,127
1343856808,128
1343856813,128
1343856947,129
1343856963,129
1343857010,130
1343857042,130
1343857062,130
1343857084,131
1343857104,131
1343857113,131
1343857128,132
1343857165,132
1343857266,132
1343857304,133
1343857312,133
1343857340,133
1343857350,133
1343857353,133
1343857375,133
1343857384,134
1343857386,134
1343857424,134
1343857440,134
1343857452,134
1343857513,134
1343857521,134
1343857709,135
1343857777,135
1343857785,135
1343857840,135
1343857920,135
1343857922,135
1343857950,135
1343857965,135
1343858000,135
1343858051,136
1343858061,136
1343858087,136
1343858121,136
1343858151,136
1343858204,137
1343858209,137
1343858265,137
1343858267,137
1343858371,137
1343858381,137
1343858383,137
1343858390,137
1343858399,137
1343858405,138
1343858405,138
1343858407,138
1343858412,138
1343858464,138
1343858489,138
1343858499,138
1343858600,139
1343858605,139
1343858660,139
1343858801,140
1343858836,140
1343858845,140
1343858973,141
1343859009,141
1343859013,141
1343859016,141
1343859022,141
1343859022,141
1343859049,141
1343859059,141
1343859092,141
1343859124,142
1343859127,142
1343859180,142
1343859183,142
1343859226,143
1343859239,143
1343859271,143
1343859369,143
1343859396,144
1343859416,144
1343859417,144
1343859437,144
1343859495,144
1343859498,144
1343859513,144
1343859514,144
1343859530,144
1343859546,144
1343859547,144
1343859611,144
1343859648,144
1343859656,144
1343859746,144
1343859795,145
1343859800,145
1343859807,145
1343859914,145
1343859929,145
1343859967,145
1343859975,145
1343859984,145
1343859988,145
1343860006,146
1343860014,146
1343860051,146
1343860055,147
1343860074,147
1343860083,147
1343860106,147
1343860107,147
1343860139,147
1343860142,147
1343860146,147
1343860163,147
1343860180,147
1343860184,147
1343860213,147
1343860225,147
1343860252,148
1343860274,148
1343860285,148
1343860288,148
1343860324,148
1343860329,148
1343860364,148
1343860380,148
1343860408,148
1343860430,148
1343860436,148
1343860437,148
1343860451,148
1343860453,148
1343860492,148
1343860614,149
1343860626,149
1343860704,149
1343860709,149
1343860715,149
1343860716,149
1343860738,149
1343860748,149
1343860752,149
1343860793,149
1343860807,150
1343860813,150
1343860844,150
1343860851,150
1343860859,150
1343860859,150
1343860865,150
1343860920,150
1343860941,150
1343860974,150
1343861010,150
1343861044,150
1343861122,150
1343861157,151
1343861161,151
1343861236,151
1343861252,151
1343861266,151
1343861296,151
1343861300,151
1343861317,151
1343861325,151
1343861362,151
1343861368,151
1343861392,151
1343861431,151
1343861440,151
1343861441,152
1343861472,152
1343861473,152
1343861541,152
1343861579,152
1343861695,153
1343861795,153
1343861808,153
1343861836,153
1343861850,153
1343861852,153
1343861855,153
1343861888,153
1343861914,153
1343861920,154
1343861957,154
1343861967,154
1343861973,154
1343861980,154
1343862015,154
1343862029,154
1343862068,154
1343862217,155
1343862236,155
1343862254,155
1343862300,156
1343862377,156
1343862383,156
1343862422,157
1343862430,157
1343862480,158
1343862573,158
1343862583,158
1343862625,158
1343862639,158
1343862733,158
1343862780,158
1343862800,158
1343862858,159
1343862879,159
1343862924,159
1343863024,159
1343863228,159
1343863240,159
1343863288,159
1343863346,159
1343863349,159
1343863399,159
1343863416,159
1343863493,160
1343863515,160
1343863548,160
1343863553,160
1343863579,160
1343863671,160
1343863671,160
1343863680,160
1343863759,160
1343863788,161
1343863832,161
1343863870,161
1343863879,161
1343863897,161
1343863975,161
1343863984,161
1343864006,161
1343864011,161
1343864013,161
1343864021,161
1343864031,161
1343864056,161
1343864106,162
1343864142,162
1343864148,162
1343864261,162
1343864287,163
1343864400,163
1343864446,163
1343864562,164
1343864617,164
1343864733,164
1343864774,165
1343864775,165
1343864790,165
1343864812,165
1343864912,165
1343864954,165
1343864965,166
1343864985,166
1343865077,166
1343865085,166
1343865104,166
1343865357,166
1343865364,166
1343865374,166
1343865424,166
1343865427,166
1343865453,166
1343865564,166
1343865640,166
1343865866,167
1343865885,167
1343865904,167
1343865919,167
1343866059,167
1343866134,167
1343866141,167
1343866155,167
1343866226,167
1343866236,167
1343866340,167
1343866362,167
1343866435,167
1343866530,167
1343866641,167
1343866669,168
1343866777,168
1343866827,168
1343866854,168
1343866877,168
1343866957,168
1343866963,169
1343867016,169
1343867064,169
1343867065,169
1343867221,169
1343867238,169
1343867324,169
1343867360,170
1343867369,170
1343867414,170
1343867603,170
1343867668,170
1343867724,170
1343867838,170
1343867872,170
1343867873,170
1343867905,170
