Start,Mean,Group,Summary
1343060703,1343060703,1,@suemag54 good morning sue thanks for the #archeryhour #olympics retweet. Hope you'll be joining in with the odd question
1343067476,1343067476,2,RT @Cait_Monty1: archery is posh darts #london2012 - cricket commentator
1343107841,1343107841,3,Brady Ellison Wants to Validate No. 1 Ranking with Gold Medal - @yahoosports #teamusa #olympics #archery
1343097584,1343097584,4,RT @NickMKale The games are almost here! Archery ranking round/opening ceremonies on fri and men's team round on sat. #archery #london2012
1343088111,1343088111,5,Craig David is in TeamGB...hes on the archery team..hes their Bow Selector #Olympics
1343095272,1343095272,6,RT @NickMKale: Excited to be an @guardian #archery expert for #london2012 along with @vmsimandan @archerynicky and @archeryGlen. #exper ...
1343088221,1343088221,7,RT @ChazKailey: Craig David is in TeamGB...hes on the archery team..hes their Bow Selector #Olympics
1343101675,1343101675,8,RT @SonaliShah: Was chilling in the Pavilion today as they completed the transformation of Lord's to host the archery. #London2012 ...
1343073160,1343073160,9,Here's my pick for the #olympics @paul_sull13 to win gold in every event except for archery his aim is shocking #zombies
1343081256,1343081256,10,The Indian men's archery triumvirate hope the 'Mecca of cricket' will put their sport on the map. #Olympics
1343098123,1343098123,11,RT @SonaliShah: Was chilling in the Pavilion today as they completed the transformation of Lord's to host the archery. #London2012 ...
1343108465,1343108465,12,#olympics I'll personally be glued to the womens archery event” I'd love tickets to that I'll try and pull some strings!
1343090238,1343090238,13,At Team GB House for the archery press conference. @ArcheryAlison in good form the team seem very relaxed #london2012
1343110854,1343110854,14,I am a @Guardian Archery expert for #london2012 along with @nickmkale @vmsimandan @archerynicky. Watch out for out tweets over the Games!
1343059873,1343059873,15,RT @RSArchery: Join us & many other #archery folk on our #archeryhour tonight 8-9pm Watch out for #archeryhour during the #olympics ...
1343063631,1343063631,16,RT @RSArchery: Join us & many other #archery folk on our #archeryhour tonight 8-9pm Watch out for #archeryhour during the #olympics ...
1343109238,1343109238,17,RT @SonaliShah: Was chilling in the Pavilion today as they completed the transformation of Lord's to host the archery. #London2012 ...
1343089857,1343089857,18,RT @NickMKale: Excited to be an @guardian #archery expert for #london2012 along with @vmsimandan @archerynicky and @archeryGlen. #exper ...
1343095892,1343095892,19,RT @NickMKale: Excited to be an @guardian #archery expert for #london2012 along with @vmsimandan @archerynicky and @archeryGlen. #exper ...
1343083093,1343083093,20,May have tweeted this last wk but it deserves another go. #BradyEllison #ESPN #SportScience #archery #London2012:
1343091074,1343091074,21,RT @aggieprez: Great article on Olympic-bound Aggie archer Jennifer Nichols: #tamu #olympics #archery
1343111607,1343111607,22,RT @archeryGlen: I am a @Guardian Archery expert for #london2012 along with @nickmkale @vmsimandan @archerynicky. Watch out for out twee ...
1343067087,1343067087,23,archery is posh darts #london2012 - cricket commentator
