Start,Mean,Group,Summary
1343809945,1343809945,1,NBC peacock injured during the archery finals. #Olympics #FakeSpoiler
1343815208,1343815208,2,My husband and I have been enjoying the #olympics. What is your fav sport to watch? I like diving but archery is fun too!
1343815753,1343815753,3,Deepika Kumari to start her campaign today in Archery...she is the only indian left in the contest of archery. #olympics
1343816490,1343816490,4,RT @archerygirlll: FAB FIVE KILLED IT 🇺🇸 #Olympics2012
1343816674,1343816674,5,RT @htTweets: Olympics archery: Dipika Kumari faces Amy Oliver in women's individual elimination round today #ht #olympics2012
1343820223,1343820223,6,Bullets are expensive. But I've got twigs and feathers in my backyard. It's decided. The MOOSE will be in the 2016 #Olympics for archery.
1343821712,1343821712,7,Time 4 Deepika Kumari 2 be d saving grace 4 d Indian archery contingent #olympics2012
1343823185,1343823185,8,My sisters had a great time at the archery yesterday. #London2012
1343824499,1343824499,9,The #Olympics most pointless sport archery the amount of equipment leaves no skill should just be person bow and arrow that all no mechanics
1343828061,1343828061,10,RT @denzil_correa: #India at #Olympics today Kashyap Men's R16 & Saina R16 #badminton Deepika R32 #archery  Paes/Sania R1 #tennis ...
1343830314,1343830314,11,Brass band at Lords (archery) playing theme from Robin Hood Prince of Thieves - excellent! #olympics
1343831970,1343831970,12,COMING UP: Last day of individual #archery rounds of 64 & 32! See @USAArchery's @KhatunaLorig this morning! #Olympics http://t.co/4JLUwczZ
1343833018,1343833018,13,RT @archerynicky: It's a great day to be watching #archery World number 1'sOlympic champions3 Brits world record holders. Plenty of a ...
1343833904,1343833904,14,Is archery a sport? #London2012
1343834268,1343834268,15,So I'm watching archery........closest thing they've got to Darts #olympics
1343834599,1343834599,16,Big upset already! 11th seed Nespoli (Team Gold medalist from Sunday) gets knocked out by China's Chen-the 54th seed! #archery #london2012
1343834790,1343834790,17,Its a nine for China #archery and a 10 for UkraineViktor Ruban wins #London2012
1343835327,1343835327,18,Egypt's Nada Kamel knocked out of the archery ... she'll have the hump about that etc etc #london2012
1343835626,1343835626,19,At the archery olympics #london2012
1343836252,1343836252,20,Am loving this archery event. Its short and not boring #Olympics
1343836491,1343836491,21,After these two 1/16 games Ika Yuliana Rohmawati is coming out. Woo! #london2012 #archery #teamINA #supportyourteam
1343836900,1343836900,22,RT @Swiss_Cottage: Up for some #archery at the #olympics at @homeofcricket? £30 tickets available for the 3-7pm session today http://t.c ...
1343837556,1343837556,23,I wonder if any of these archers have ever done a 'Robin Hood'? I have... :P #olympics #archery
1343837836,1343837836,24,Alien Ant Farm playing at the #olympics #archery?! Ok who chose the music?
1343837940,1343837940,25,RT @AbbieJayW: This Chinese guy has definitely had to shoot for his food for the last 4 years. #archery #london2012
1343838431,1343838431,26,2nd round. mexico 28-26 (i dont know) #olympics #archery
1343838556,1343838556,27,Over the last two days I have witnessed 15 British defeats and 0 victories. First up today Amy Oliver in the archery v World No1 #london2012
1343838750,1343838750,28,Finally Deepika Kumari in action today. Hopefully she'll bring some cheer after the disappointing Indian performance in archery #Olympics
1343838823,1343838823,29,Deepika Kumari's individual archery event coming up soon! At 1530 IST #Olympics
1343839067,1343839067,30,RT @FirstpostSports: Deepika Kumari's individual archery event coming up soon! At 1530 IST #Olympics
1343839427,1343839427,31,Ahhh elimination archery! That's more like it! (For real this time). #olympics 
1343839601,1343839601,32,RT @FirstpostSports: Deepika Kumari's individual archery event coming up soon! At 1530 IST #Olympics
1343839631,1343839631,33,duh jd kangen archery.. AI LAP YU IKAAA #INA #London2012
1343839658,1343839658,34,RT @archerynicky: Watch #GBR's Amy Oliver 10.57am! Last womens #archery hope. First time Olympian. Former field World Champ! #GoAmy #lon ...
1343839723,1343839723,35,Deepika Kumari is out to play Team GB's Amy Oliver. #HereWeGo Remember Deepika is seeded 1 in the event. #archery #olympics
1343839846,1343839846,36,1st set- Oliver: 8 10 9= 27 and Deepika: 8 9 9= 26. Team GB lead match 2-0. #archery #Olympics http://t.co/SvYOP2AO
1343839873,1343839873,37,Amy Oliver takes first set vs Deepika Kumari http://t.co/xc63qI70 #archery #olympics
1343839994,1343839994,38,RT @SportalIndia: Set 2: Deepika 9-8-9 : Oliver 9-9-4. Deepika gets lucky wins secont set. All even at 2-2 #olympics #archery
1343840091,1343840091,39,RT @FirstpostSports: 2nd set- Oliver: 9 9 4= 22 and Deepika: 9 8 9=26. India take 2nd set. Match at 2-2 now. #archery #Olympics http ...
1343840133,1343840133,40,Set 2: Deepika 8-9-9 : Oliver 9-9-9. Deepika loses third set trails 2-4. She is still to get a 10 after 3 sets #olympics #archery
1343840223,1343840223,41,Hello what's this? Potential upset in the archery Amy Oliver 4-2 up against the world No.1 #london2012
1343840293,1343840293,42,Amazing! Amy Oliver knocks out the World No.1! #TeamGB #archery #olympics
1343840312,1343840312,43,Amy Oliver yes then! beating world number 1 at archery #London2012 #ComeOnGB
1343840338,1343840338,44,Great to see Amy Oliver knocking out the world number 1 at archery :) #olympics
1343840339,1343840339,45,Yay! Well done Amy! #Olympics #archery #AmyOliver
1343840352,1343840352,46,RT @gauravCNNIBN: its over...dipika out...archery challenge over for india at the #olympics
1343840391,1343840391,47,RT @FirstpostSports: 4th-Oliver:81010=28 Deepika:899=26 GB take match 6-2.One of India's prime medal hopes is out. #archery #Olympic ...
1343840425,1343840425,48,RT @FirstpostSports: 4th-Oliver:81010=28 Deepika:899=26 GB take match 6-2.One of India's prime medal hopes is out. #archery #Olympic ...
1343840452,1343840452,49,RT @FirstpostSports: 4th-Oliver:81010=28 Deepika:899=26 GB take match 6-2.One of India's prime medal hopes is out. #archery #Olympic ...
1343840476,1343840476,50,RT @FirstpostSports: 4th-Oliver:81010=28 Deepika:899=26 GB take match 6-2.One of India's prime medal hopes is out. #archery #Olympic ...
1343840558,1343840558,51,“@archerynicky: AMY OLIVER BEATS world number 1!!!!!! BOOM #GoAmy #archery #london2012”/ qué onda.
1343840726,1343840726,52,Huge disappointment in archery Deepika Kumari world #1 crashes out #london2012 http://t.co/wjQBIjKI RT @KrishSangeeth FeelTipTop
1343840879,1343840879,53,RT @archerynicky: AMY OLIVER BEATS world number 1!!!!!! BOOM #GoAmy #archery #london2012
1343840988,1343840988,54,Deepika Kumari seeded no. 1 is out of 1/32 #IND #archery #london2012
1343841024,1343841024,55,You are still the best Deepika Kumari. :) #Olympics #TeamIndia #archery
1343841078,1343841078,56,RT @mio_roch: Amy Oliver beats world number 1 in archery #comeonGB #olympics
1343841200,1343841200,57,So much for archery then. Everybody's heading back home empty handed. #Olympics
1343841251,1343841251,58,Cmon srikandi archery indonesia #olympics
1343841545,1343841545,59,Ika Rachmati kereeeen! Ngalahin Amy oliver aaaa #olympicarchery #London2012
1343841578,1343841578,60,Yay Indonesia wins at #archery #Olympics
1343841618,1343841618,61,Brilliant performance from Rochmawati Amy Oliver shot well but didn't have much chance... Unlucky! #archery #olympics
1343841670,1343841670,62,Ika Yuliana Rochmawati berhasil menang melawan Inggris Raya dan melaju ke per delapan final go Indonesia!! #TeamINA #archery #London2012
1343841723,1343841723,63,Woohoo! Perfect 30 score! Canggih euy srikandi archery Indonesia! Go Ika Yuliana Rochmawati! #archery #Olympics2012
1343841855,1343841855,64,RT @FirstpostSports: So Amy Oliver who knocked out Deepika Kumari has been knocked out herself by Indonesia's Yuliana Ika. #archery #O ...
1343841910,1343841910,65,RT @FirstpostSports: So Amy Oliver who knocked out Deepika Kumari has been knocked out herself by Indonesia's Yuliana Ika. #archery #O ...
1343841977,1343841977,66,RT @K_Aprillia: #Indonesia #olympics #archery
1343841980,1343841980,67,RT @FirstpostSports: So Amy Oliver who knocked out Deepika Kumari has been knocked out herself by Indonesia's Yuliana Ika. #archery #O ...
1343841985,1343841985,68,RT @GatriSalsati: Nilai 10 3x berturut!! Ika Yuliana hebat!! #TeamINA #archery #London2012
1343841994,1343841994,69,RT @FirstpostSports: So Amy Oliver who knocked out Deepika Kumari has been knocked out herself by Indonesia's Yuliana Ika. #archery #O ...
1343842014,1343842014,70,Yay! RT @tdaryatmo: Just watched archery game. #indonesia's Ika Yuliana kicked GB's Amy Oliver's *ss with a perfect 30!! #Olympics
1343842026,1343842026,71,GB's Amy Oliver has knocked out the World no.1 Deepika Kumari in the archery #olympics
1343842071,1343842071,72,RT @FirstpostSports: So Amy Oliver who knocked out Deepika Kumari has been knocked out herself by Indonesia's Yuliana Ika. #archery #O ...
1343842282,1343842282,73,RT @GatriSalsati: Nilai 10 3x berturut!! Ika Yuliana hebat!! #TeamINA #archery #London2012
1343842653,1343842653,74,RT @FirstpostSports: So Amy Oliver who knocked out Deepika Kumari has been knocked out herself by Indonesia's Yuliana Ika. #archery #O ...
1343842966,1343842966,75,kenapa jadi doyan archery gini deh~ atletnya wow >.< #London2012
1343842986,1343842986,76,London #Olympics 2012 archery: Deepika Kumari crashes out http://t.co/mr0MWZ1s
1343843121,1343843121,77,Today at #lords #archery #london2012 @james_gray http://t.co/jIjDKk4m
1343843713,1343843713,78,Very disappointed :( World No. 1 Deepika Kumari crashes out on Archery to Amy. Last hope in women's archery went down. #London2012
1343844278,1343844278,79,Those Olympic archery bows look like high tech machines these days. #London2012.
1343844319,1343844319,80,Sudden death in archery is not as exciting as I would have like #hungergames #nostarsever #olympics
1343844368,1343844368,81,@channel9 You can hear the result of the archery before the arrow is fired. Sound is way ahead. Sort it out! #olympics #archery
1343844393,1343844393,82,Sudden death in archery sounds kind of dangerous. #olympics
1343844456,1343844456,83,Amy Oliver beat the world ranked no 1 whoop! #archery #london2012
1343844489,1343844489,84,RT @icthyes: Meanwhile Amy Oliver just beat the world #1 to go through in the archery #London2012
1343844502,1343844502,85,Squealing w/joy 4 local lass Amy Oliver women's individual archery-her v first Olympics! Way 2 go lass! On Yorkshire Day too! #london2012
1343844509,1343844509,86,Oh no Korea vs Mexico :( #archery #London2012
1343844521,1343844521,87,RT @icthyes: Meanwhile Amy Oliver just beat the world #1 to go through in the archery #London2012
1343844528,1343844528,88,Amy it looks like you've got 'fat Britain' write on your t.shirt. Sort it out! :-L #archery #Olympics
1343844584,1343844584,89,RT @icthyes: Meanwhile Amy Oliver just beat the world #1 to go through in the archery #London2012
1343844617,1343844617,90,First gold in women's rowing. Amy Oliver is really good at archery #athlete #Olympics #sexylady
1343844782,1343844782,91,Was that the archery AT LORD'S? didn't see any egg & bacon ties but wonder what WG Grace would think? #london2012 #cricket
1343844892,1343844892,92,At what point in life do you realise you have a talent in archery #olympicmystery #London2012 #robinhood
1343844997,1343844997,93,I'm really enjoying watching the archery. #London2012
1343845206,1343845206,94,Is archery just really big darts? #Olympics
1343845429,1343845429,95,#olympics London Olympics 2012 archery: Deepika Kumari crashes out - Zee News http://t.co/59wnu22I
1343845488,1343845488,96,RT @Stevefogg: Robin Hood tights should be standard issue for archery #Olympics2012
1343845521,1343845521,97,RT @THEJamesWhale: #AmyOliver out of the #archery at #Olympicsnever mind she will be back next time but better.
1343845674,1343845674,98,RT @jamesstacey1993: At what point in life do you realise you have a talent in archery #olympicmystery #London2012 #robinhood
1343846032,1343846032,99,A rare occasion when rain doesn't stop play at Lord's! #archery #London2012
1343846088,1343846088,100,lol lol lol your man in the archery lol lol fook'n gobshite would'nt win if he threw a hedgehog at it #olympics2012
1343846272,1343846272,101,Awesome archery match #Olympics
1343846465,1343846465,102,Should be on @BBCWorld at 12.45! (not shown in uk) talking about #archery #london2012
1343846764,1343846764,103,Should have had One Day Cricket at the Olympics. Holding archery events at Lords is sacrilegious! #London2012 #WhenAreTheGoodSportsOn?
1343847337,1343847337,104,RT @Strauchanside: Is Katniss Everdeen competing in the archery? She would have to be the favourite! #london2012 #thehungergames
1343848088,1343848088,105,http://t.co/XPKrjhxA London Olympics 2012 archery: Deepika Kumari crashes out - Zee News http://t.co/n8kOADQD #london2012
1343848933,1343848933,106,thanx Indonasia RT So Amy Oliver who knocked out Deepika Kumari has been knocked out herself by Indonesia's Yuliana Ika. #archery #Olympics
1343849219,1343849219,107,first Olympic event today! lessgo! #archery #london2012 #TeamUSA 🇺🇸
1343849815,1343849815,108,London Olympics 2012 archery: Deepika Kumari crashes out Zeenews Sports Bureau London: Deepika K... http://t.co/jNpfdHxd #olympics #2012
1343851142,1343851142,109,RT @WomenforWomen: Good luck to Rand Al-Mashhadani 1 of 3 women on Iraq's Olympic team who will compete today in individual archery. # ...
1343851254,1343851254,110,#nw women's archery #Olympics
1343851630,1343851630,111,RT @WomenforWomen: Good luck to Rand Al-Mashhadani 1 of 3 women on Iraq's Olympic team who will compete today in individual archery. # ...
1343851771,1343851771,112,Hold up the Korean guy who won Gold in men's archery is legally blind?!? in other news i missed the toilet peeing this morning. #olympics
1343851807,1343851807,113,RT @WomenforWomen: Good luck to Rand Al-Mashhadani 1 of 3 women on Iraq's Olympic team who will compete today in individual archery. # ...
1343852284,1343852284,114,Women's archery is on. When does Katniss Everdeen shoot? #olympics
1343852491,1343852491,115,You'd think with amount of money this country spends on defense every year we'd have no problem taking archery. #London2012
1343852849,1343852849,116,Not enough. RT @MikeAndersonSID: How many times can they say Hunger Games during the archery competition? #Olympics
1343853058,1343853058,117,American Samoa coach Austin Ducketary accuses Americans of fielding an archery team of cyborgs. #London2012 #Latest
1343853207,1343853207,118,RT @redshaylett: @archerygb good luck Alan & Simon this afternoon! #archery #London2012
1343853441,1343853441,119,Nichols keeps Olympic archery #marriage in perspective http://t.co/FvNzHmpC @JeromeSolomon #Olympics #London2012 #TeamUSA #WeddingWednesday
1343854916,1343854916,120,watching archery at #LordsCricketGround #GBR #SupportYourTeam #London2012
1343855430,1343855430,121,Taylor had the chance to finish it - 9 to win and scored an 8! 5-3 to Taylor. #GoTeamGB #archery #london2012
1343855689,1343855689,122,RT @FalconSlinger: Should have had One Day Cricket at the Olympics. Holding archery events at Lords is sacrilegious! #London2012 #WhenAr ...
1343856054,1343856054,123,29/30 for Brady! Go USA #archery #olympics
1343856193,1343856193,124,RT @rdhinds: Most accurate Aussie at Lords since Glen McGrath! Taylor Worth wins his archery match in golden arrow extra time. #London2012
1343856542,1343856542,125,Ha!RT @rdhinds Most accurate Aussie at Lords since Glen McGrath! Taylor Worth wins his archery match in golden arrow extra time. #London2012
1343856629,1343856629,126,Taylor Worth to face World #1 Ellison (USA) in 1/16 #archery #London2012 @ArcheryAust @AUSOlympicTeam
1343856730,1343856730,127,Hello! First set to Italy!! I'm surrounded by South Korean supporters! #archery #london2012
1343856808,1343856808,128,Tomasi takes the set after Hyeonju shoots a 7 on her third arrow! #archery #olympics
1343856947,1343856947,129,@mrcbehan My OH is now an archery expert #Olympics2012
1343857062,1343857062,130,Tomasi had real chance to make it 5-1 there but finished with a 7. 3-3! #excitingmatch #archery #london2012
1343857084,1343857084,131,Wow - 6 from Korea! But Tomasi shoots a 7!! #archery #london2012
1343857128,1343857128,132,Tomasi shoots a 7. KHyeonju Choi takes the set. 3-3 now. #archery #olympics
1343857353,1343857353,133,Deepika Kumari ; better luck next tym Glad u came so far #archery #London2012
1343857452,1343857452,134,RT @WomenforWomen: Good luck to Rand Al-Mashhadani 1 of 3 women on Iraq's Olympic team who will compete today in individual archery. # ...
1343857950,1343857950,135,Robin hood&merry men leaving. Hope they r back for GBR's Simon Terry at 4.18pm! #archery #lords #london2012 http://t.co/lzzrnyqn
1343858087,1343858087,136,RT @archerynicky: Robin hood&merry men leaving. Hope they r back for GBR's Simon Terry at 4.18pm! #archery #lords #london2012 http:/ ...
1343858390,1343858390,137,RT @archery_southoz: Taylor V Brady now on #archery #London2012 @ArcheryAust @AUSOlympicTeam
1343858405,1343858405,138,Amazing day at the #archery #london2012
1343858600,1343858600,139,Brady shoots a 7! 3-1 Taylor Worth! #archery #london2012
1343858836,1343858836,140,Worth takes the 3rd set. Come on Brady! #archery #olympics
1343859022,1343859022,141,@laura_87_3 archery is on :p #london2012
1343859124,1343859124,142,RT @rizalhashim801: Malaysia's top archer Khairul Anuar Mohd will take on Brit Larry Godfrey in last 16 #archery #london2012 on Friday 4 ...
1343859239,1343859239,143,Ellison eliminated from #Olympics so early can't be deemed anything but a disappointment. But it shows that anything can happen in #archery.
1343859514,1343859514,144,Another packed day at lords for #london2012 archery great crowd cheering every arrow massive boost for @archerygb our sport rocks
1343859984,1343859984,145,RT @archerynicky: 5-1 down back to 5-5! Shoot off! Choi (KOR) vs Grandal (ESP) wow!! #archery #london2012 it's shoot off Wednesday!!
1343860014,1343860014,146,Korea great 10. Spain good 9. #london2012 #archery
1343860146,1343860146,147,Come on Silver Fox! @archerygb #archery #london2012
1343860380,1343860380,148,Come on simon terry in the archery #london2012
1343860715,1343860715,149,Simon Terry from @archerygb has a GREAT 1/32 match and goes through to the next round - great arrows! #London2012 #archery
1343860859,1343860859,150,@SimeonJankowski Im more of a fan of the archery and shooting:) #Olympics
1343861296,1343861296,151,watching archery #olympics :)
1343861541,1343861541,152,Olaru takes the 4th set! #archery #olympics
1343861850,1343861850,153,What an arra under pressure by Olaru to beat USA in archery #olympics2012 resin up my bow.
1343861980,1343861980,154,RT @KurtBev: Khatuna is the last American left with that loss for Jake. She will be in the 1/8 tomorrow. #TeamUSA #Olympics #archery
1343862236,1343862236,155,Galing ng Indonesia sa archery!! #Olympics2012
1343862377,1343862377,156,Reena Parnat! Wow #archery #OLYMPICS2012
1343862422,1343862422,157,Seen two people now hit the centre of the target in archery. #olympics2012
1343862583,1343862583,158,RT @KarlaRamirezLo: Alejandra Valencia to the next round #archery #olympics #mexicoo
1343863349,1343863349,159,Ming wins 6-4 #archery #olympics
1343863579,1343863579,160,Olaru takes the first set! #archery #olympics
1343864006,1343864006,161,Great play Olaru! Commentator who said Terry should be satisfied with his shooting is so very wrong! #archery #olympics2012
1343864106,1343864106,162,It's Larry Godfrey who is the only remaining Brit in #archery He will compete at 9am on Fri.He ranked 4th #letsgoLarry #archery #london2012
1343864400,1343864400,163,Alejandra Valencia (Mexico) vs Cheng Ming (China) in women's individual #archery #olympics
1343864562,1343864562,164,brilliant RT @vikmanjj Olaru breaks down takes a breath and shoots a 9 to win the match and advance to the 1/8th round. #archery #olympics
1343864774,1343864774,165,RT @RositaMexica: Next up in archery is #Venezuela and #china for women singles. #London2012
1343865357,1343865357,166,Elma's Jake Kaminski lost in a shoot-off during individual archery competition in London. Still claimed silver as part of US team. #Olympics
1343866141,1343866141,167,Checking out archery. Not watching on NBC you can hear what they're saying between rounds: helpful tidbits about archery! #olympics
1343866854,1343866854,168,Lovely scenes at Rand Al-Mashhadani's match. True Olympic spirit #archery #olympics2012
1343867064,1343867064,169,WA's Taylor Worth trounces world No.1 Brady Ellison to advance to the last 16 of men’s archery. #london2012 http://t.co/qUkyzF69
1343867603,1343867603,170,Watching the archery #Olympics
