Time,Group
1343807119,1
1343807219,1
1343807433,1
1343808004,1
1343808364,1
1343808503,1
1343808757,1
1343809385,1
1343809770,1
1343809945,1
1343809958,1
1343810211,1
1343810648,1
1343810944,1
1343812118,1
1343812538,1
1343812822,2
1343812887,2
1343813224,2
1343813446,2
1343814221,2
1343814544,2
1343814614,2
1343814910,2
1343815067,2
1343815208,2
1343815253,2
1343815438,2
1343815543,2
1343815680,2
1343815753,2
1343815816,2
1343816139,2
1343816490,3
1343816510,3
1343816590,3
1343816646,3
1343816674,3
1343816674,3
1343816949,3
1343817537,4
1343817549,4
1343817672,4
1343817702,4
1343817792,4
1343817805,4
1343818337,5
1343818678,5
1343818722,6
1343818784,6
1343818902,6
1343818987,7
1343819031,7
1343819221,7
1343819426,7
1343819460,7
1343819786,7
1343820223,7
1343821256,8
1343821518,8
1343821656,8
1343821712,8
1343821728,8
1343823096,9
1343823160,9
1343823185,9
1343823314,9
1343823397,9
1343823978,10
1343824310,10
1343824430,10
1343824499,10
1343824564,10
1343825346,11
1343825351,11
1343826415,11
1343826764,11
1343827140,11
1343827425,11
1343827515,11
1343827803,12
1343827975,12
1343828036,12
1343828061,12
1343828513,13
1343828647,13
1343828807,13
1343829832,13
1343830072,13
1343830274,14
1343830314,14
1343830713,14
1343831209,14
1343831215,14
1343831742,14
1343831920,14
1343831970,14
1343831977,14
1343832277,14
1343832297,14
1343832455,14
1343832491,14
1343832563,14
1343832800,14
1343832889,15
1343832889,15
1343832920,15
1343832962,15
1343833018,15
1343833044,15
1343833095,15
1343833129,15
1343833139,15
1343833334,15
1343833560,16
1343833625,16
1343833787,16
1343833823,16
1343833904,16
1343833968,16
1343834180,16
1343834268,16
1343834460,16
1343834599,17
1343834729,17
1343834785,18
1343834790,18
1343834805,18
1343834970,19
1343834980,19
1343835104,19
1343835164,19
1343835238,19
1343835326,19
1343835327,19
1343835428,19
1343835573,20
1343835626,20
1343835669,20
1343835756,20
1343835828,20
1343835964,21
1343836027,21
1343836075,21
1343836132,21
1343836137,21
1343836239,22
1343836252,22
1343836264,22
1343836302,22
1343836361,22
1343836362,22
1343836374,22
1343836491,22
1343836544,23
1343836569,23
1343836596,23
1343836626,23
1343836721,23
1343836746,23
1343836803,23
1343836816,23
1343836823,23
1343836900,23
1343836911,23
1343836923,24
1343837091,24
1343837190,24
1343837225,24
1343837240,24
1343837350,24
1343837556,25
1343837582,25
1343837636,25
1343837770,26
1343837836,26
1343837898,26
1343837933,26
1343837940,26
1343838241,27
1343838260,27
1343838431,27
1343838531,28
1343838556,28
1343838660,28
1343838669,29
1343838750,29
1343838780,29
1343838798,30
1343838823,30
1343838887,31
1343838931,31
1343838933,31
1343838949,31
1343839013,31
1343839025,31
1343839033,31
1343839067,31
1343839069,31
1343839078,31
1343839128,31
1343839160,31
1343839261,31
1343839427,32
1343839484,32
1343839517,32
1343839547,32
1343839556,32
1343839599,32
1343839601,32
1343839628,32
1343839631,32
1343839644,32
1343839658,32
1343839658,32
1343839663,32
1343839676,33
1343839676,33
1343839696,33
1343839707,33
1343839713,33
1343839722,33
1343839723,33
1343839725,33
1343839730,33
1343839735,33
1343839742,33
1343839744,33
1343839759,34
1343839772,34
1343839786,34
1343839792,34
1343839798,34
1343839802,35
1343839819,35
1343839830,35
1343839844,35
1343839846,35
1343839850,35
1343839857,35
1343839858,35
1343839859,35
1343839862,35
1343839873,35
1343839895,35
1343839896,35
1343839900,35
1343839900,35
1343839901,35
1343839919,36
1343839941,36
1343839983,36
1343839992,36
1343839994,36
1343839995,36
1343840000,36
1343840006,36
1343840067,37
1343840068,37
1343840089,37
1343840091,37
1343840091,37
1343840105,37
1343840115,38
1343840133,38
1343840137,38
1343840139,38
1343840150,39
1343840150,39
1343840165,39
1343840165,39
1343840166,39
1343840167,40
1343840171,40
1343840174,40
1343840175,40
1343840183,40
1343840183,40
1343840184,40
1343840188,40
1343840195,40
1343840204,41
1343840207,41
1343840211,41
1343840223,42
1343840228,42
1343840230,42
1343840238,42
1343840246,42
1343840249,42
1343840255,42
1343840276,42
1343840279,43
1343840292,43
1343840293,43
1343840294,43
1343840298,43
1343840299,43
1343840302,43
1343840304,43
1343840306,44
1343840312,44
1343840313,44
1343840316,44
1343840320,44
1343840321,44
1343840325,44
1343840328,44
1343840329,44
1343840337,44
1343840338,44
1343840339,45
1343840339,45
1343840339,45
1343840339,45
1343840342,45
1343840344,45
1343840344,45
1343840345,46
1343840346,46
1343840346,46
1343840350,46
1343840352,46
1343840356,47
1343840357,47
1343840358,47
1343840359,47
1343840359,47
1343840361,47
1343840365,47
1343840366,47
1343840372,48
1343840373,48
1343840374,48
1343840374,48
1343840376,48
1343840378,48
1343840386,48
1343840389,48
1343840391,49
1343840393,49
1343840394,49
1343840395,49
1343840395,49
1343840398,49
1343840405,50
1343840412,50
1343840413,50
1343840415,50
1343840417,50
1343840417,50
1343840425,50
1343840426,50
1343840435,51
1343840440,51
1343840440,51
1343840441,51
1343840441,51
1343840443,51
1343840444,51
1343840446,51
1343840447,51
1343840452,51
1343840452,51
1343840453,51
1343840453,51
1343840455,51
1343840456,51
1343840460,51
1343840469,51
1343840471,51
1343840473,51
1343840474,51
1343840474,51
1343840475,51
1343840476,51
1343840476,51
1343840477,52
1343840497,52
1343840498,52
1343840498,52
1343840503,52
1343840506,52
1343840510,52
1343840520,52
1343840525,52
1343840527,52
1343840529,52
1343840540,52
1343840546,53
1343840549,53
1343840550,53
1343840552,53
1343840558,53
1343840559,53
1343840562,54
1343840567,54
1343840568,54
1343840579,54
1343840611,55
1343840620,55
1343840624,55
1343840629,55
1343840631,55
1343840632,55
1343840632,55
1343840637,55
1343840641,56
1343840646,56
1343840650,56
1343840655,57
1343840670,57
1343840681,57
1343840687,57
1343840691,57
1343840714,58
1343840715,58
1343840717,58
1343840726,58
1343840733,59
1343840738,59
1343840739,59
1343840742,59
1343840761,59
1343840764,59
1343840771,59
1343840790,59
1343840792,59
1343840832,60
1343840844,60
1343840849,60
1343840870,60
1343840879,61
1343840880,61
1343840883,61
1343840900,61
1343840923,62
1343840951,62
1343840953,62
1343840958,62
1343840958,62
1343840979,63
1343840983,63
1343840988,63
1343841004,63
1343841023,63
1343841024,63
1343841026,64
1343841049,64
1343841056,64
1343841078,64
1343841096,64
1343841103,65
1343841109,65
1343841123,66
1343841141,66
1343841148,66
1343841166,66
1343841169,66
1343841200,67
1343841209,67
1343841224,67
1343841226,67
1343841228,67
1343841231,67
1343841237,67
1343841251,68
1343841313,68
1343841327,68
1343841363,69
1343841363,69
1343841386,69
1343841458,70
1343841482,70
1343841485,70
1343841504,70
1343841509,70
1343841513,70
1343841532,70
1343841532,70
1343841541,71
1343841541,71
1343841545,72
1343841545,72
1343841545,72
1343841545,72
1343841554,72
1343841559,73
1343841559,73
1343841563,73
1343841573,73
1343841577,73
1343841577,73
1343841578,73
1343841579,73
1343841613,73
1343841618,74
1343841621,74
1343841642,74
1343841653,74
1343841654,74
1343841670,74
1343841672,74
1343841680,74
1343841696,74
1343841708,74
1343841723,74
1343841737,74
1343841753,74
1343841765,74
1343841803,74
1343841836,75
1343841855,75
1343841855,75
1343841859,75
1343841864,75
1343841887,75
1343841890,75
1343841901,75
1343841904,75
1343841904,75
1343841910,75
1343841921,75
1343841926,75
1343841934,75
1343841967,75
1343841977,75
1343841980,75
1343841982,76
1343841985,76
1343841994,76
1343842006,77
1343842014,77
1343842025,77
1343842026,78
1343842026,78
1343842028,78
1343842041,78
1343842044,78
1343842044,78
1343842071,78
1343842072,78
1343842079,78
1343842129,78
1343842163,78
1343842168,78
1343842190,78
1343842199,79
1343842240,79
1343842280,79
1343842282,79
1343842314,79
1343842328,79
1343842362,80
1343842475,80
1343842499,80
1343842555,80
1343842653,81
1343842671,81
1343842677,81
1343842682,81
1343842687,81
1343842693,81
1343842727,82
1343842738,82
1343842757,82
1343842874,83
1343842966,83
1343842972,84
1343842986,84
1343843022,84
1343843023,85
1343843030,85
1343843048,85
1343843109,85
1343843121,85
1343843149,85
1343843215,86
1343843264,86
1343843271,86
1343843283,86
1343843412,87
1343843454,87
1343843526,87
1343843643,88
1343843690,88
1343843693,88
1343843698,88
1343843707,88
1343843712,88
1343843713,88
1343843713,88
1343843833,88
1343843842,88
1343843858,88
1343843906,88
1343843954,88
1343843960,88
1343843963,89
1343844107,89
1343844137,89
1343844174,89
1343844203,89
1343844232,90
1343844248,90
1343844267,90
1343844278,90
1343844280,90
1343844285,90
1343844289,90
1343844289,90
1343844297,91
1343844304,91
1343844305,91
1343844308,91
1343844309,91
1343844319,91
1343844320,91
1343844327,91
1343844327,91
1343844339,91
1343844343,91
1343844343,91
1343844360,92
1343844365,92
1343844365,92
1343844368,92
1343844372,92
1343844381,92
1343844382,92
1343844387,92
1343844387,92
1343844393,92
1343844396,92
1343844405,92
1343844406,92
1343844408,93
1343844409,93
1343844421,93
1343844424,93
1343844431,93
1343844440,93
1343844443,93
1343844445,93
1343844447,93
1343844449,94
1343844455,94
1343844456,94
1343844467,95
1343844468,95
1343844472,95
1343844481,96
1343844489,96
1343844496,96
1343844500,96
1343844502,96
1343844507,97
1343844508,97
1343844509,97
1343844514,97
1343844516,97
1343844517,97
1343844521,97
1343844523,97
1343844528,98
1343844530,98
1343844536,99
1343844539,99
1343844541,99
1343844556,100
1343844568,100
1343844584,101
1343844584,101
1343844588,101
1343844591,101
1343844596,101
1343844613,101
1343844617,101
1343844628,101
1343844639,101
1343844651,101
1343844656,101
1343844667,101
1343844677,101
1343844695,102
1343844715,102
1343844762,102
1343844774,103
1343844775,103
1343844782,103
1343844791,103
1343844798,103
1343844802,103
1343844853,103
1343844892,103
1343844945,103
1343844960,104
1343844968,104
1343844996,104
1343844997,104
1343845036,104
1343845061,104
1343845064,104
1343845076,104
1343845083,104
1343845102,104
1343845110,104
1343845118,104
1343845130,104
1343845131,104
1343845152,104
1343845174,104
1343845182,104
1343845196,104
1343845200,104
1343845206,104
1343845233,104
1343845261,104
1343845294,104
1343845302,105
1343845372,105
1343845379,105
1343845382,105
1343845383,105
1343845389,105
1343845393,105
1343845423,105
1343845428,105
1343845428,105
1343845428,105
1343845429,106
1343845429,106
1343845430,107
1343845430,107
1343845430,107
1343845430,107
1343845433,107
1343845443,108
1343845443,108
1343845443,108
1343845444,108
1343845485,109
1343845488,109
1343845499,109
1343845515,109
1343845519,109
1343845521,110
1343845556,110
1343845575,110
1343845591,110
1343845668,111
1343845674,111
1343845683,111
1343845730,111
1343845831,111
1343845842,111
1343845951,112
1343846018,112
1343846030,112
1343846032,112
1343846060,112
1343846088,112
1343846101,112
1343846213,113
1343846232,113
1343846272,113
1343846289,113
1343846301,113
1343846389,113
1343846413,113
1343846432,113
1343846465,113
1343846483,113
1343846510,113
1343846654,113
1343846764,113
1343847003,114
1343847187,114
1343847268,114
1343847277,114
1343847337,114
1343847353,114
1343847424,114
1343847593,114
1343847632,114
1343847685,114
1343848088,115
1343848100,115
1343848175,115
1343848344,115
1343848417,115
1343848876,116
1343848933,116
1343848983,116
1343849086,116
1343849185,116
1343849219,116
1343849263,116
1343849510,117
1343849535,117
1343849590,117
1343849636,117
1343849717,117
1343849809,117
1343849815,117
1343849866,117
1343849872,117
1343850086,118
1343850645,118
1343850885,119
1343850940,119
1343851024,119
1343851108,119
1343851142,119
1343851164,119
1343851180,119
1343851191,119
1343851212,119
1343851254,119
1343851256,119
1343851287,119
1343851336,119
1343851349,119
1343851363,119
1343851511,120
1343851514,120
1343851594,120
1343851630,120
1343851684,120
1343851718,120
1343851771,120
1343851807,120
1343852078,121
1343852218,121
1343852284,121
1343852286,121
1343852313,121
1343852368,121
1343852408,121
1343852491,121
1343852515,121
1343852532,122
1343852617,122
1343852707,122
1343852722,122
1343852733,122
1343852737,122
1343852773,122
1343852825,122
1343852826,122
1343852833,122
1343852838,122
1343852848,122
1343852849,122
1343852852,123
1343852865,123
1343852879,123
1343852897,123
1343852922,123
1343852958,123
1343853011,124
1343853026,124
1343853058,124
1343853100,124
1343853160,124
1343853168,124
1343853207,124
1343853394,125
1343853396,125
1343853441,125
1343853447,125
1343853497,125
1343853499,125
1343853545,125
1343853651,126
1343853734,127
1343853740,127
1343853919,127
1343854018,127
1343854251,128
1343854256,128
1343854263,128
1343854437,128
1343854634,128
1343854735,128
1343854785,128
1343854829,128
1343854893,128
1343854916,128
1343854957,128
1343855039,128
1343855138,128
1343855206,128
1343855283,128
1343855430,129
1343855433,129
1343855560,129
1343855565,129
1343855582,129
1343855616,129
1343855648,129
1343855689,129
1343855708,129
1343855729,129
1343855769,129
1343855782,129
1343855824,129
1343855855,129
1343855931,129
1343856018,130
1343856054,130
1343856075,130
1343856149,130
1343856169,130
1343856176,130
1343856179,130
1343856182,130
1343856193,130
1343856209,130
1343856245,130
1343856250,130
1343856322,130
1343856357,130
1343856359,130
1343856363,130
1343856390,130
1343856532,131
1343856534,131
1343856542,131
1343856548,131
1343856579,131
1343856629,131
1343856633,131
1343856669,131
1343856686,131
1343856730,131
1343856784,131
1343856808,131
1343856813,131
1343856947,132
1343856963,132
1343857010,132
1343857042,132
1343857062,132
1343857084,132
1343857104,132
1343857113,133
1343857128,133
1343857165,133
1343857266,133
1343857304,134
1343857312,134
1343857340,134
1343857350,134
1343857353,134
1343857375,134
1343857384,135
1343857386,135
1343857424,136
1343857440,136
1343857452,136
1343857513,136
1343857521,136
1343857709,137
1343857777,137
1343857785,137
1343857840,137
1343857920,138
1343857922,138
1343857950,138
1343857965,138
1343858000,138
1343858051,138
1343858061,138
1343858087,138
1343858121,139
1343858151,139
1343858204,139
1343858209,140
1343858265,140
1343858267,140
1343858371,141
1343858381,141
1343858383,141
1343858390,141
1343858399,142
1343858405,142
1343858405,142
1343858407,142
1343858412,142
1343858464,142
1343858489,143
1343858499,143
1343858600,144
1343858605,144
1343858660,144
1343858801,144
1343858836,144
1343858845,145
1343858973,145
1343859009,145
1343859013,145
1343859016,145
1343859022,145
1343859022,145
1343859049,145
1343859059,145
1343859092,145
1343859124,145
1343859127,145
1343859180,145
1343859183,146
1343859226,146
1343859239,146
1343859271,146
1343859369,146
1343859396,147
1343859416,147
1343859417,147
1343859437,147
1343859495,147
1343859498,147
1343859513,147
1343859514,147
1343859530,147
1343859546,147
1343859547,147
1343859611,147
1343859648,148
1343859656,148
1343859746,148
1343859795,148
1343859800,148
1343859807,148
1343859914,149
1343859929,149
1343859967,149
1343859975,149
1343859984,149
1343859988,149
1343860006,149
1343860014,149
1343860051,150
1343860055,150
1343860074,150
1343860083,151
1343860106,151
1343860107,151
1343860139,151
1343860142,151
1343860146,151
1343860163,151
1343860180,151
1343860184,151
1343860213,151
1343860225,151
1343860252,151
1343860274,151
1343860285,151
1343860288,151
1343860324,151
1343860329,152
1343860364,152
1343860380,152
1343860408,152
1343860430,152
1343860436,152
1343860437,152
1343860451,152
1343860453,152
1343860492,152
1343860614,152
1343860626,152
1343860704,153
1343860709,153
1343860715,153
1343860716,153
1343860738,153
1343860748,153
1343860752,153
1343860793,153
1343860807,153
1343860813,153
1343860844,153
1343860851,153
1343860859,153
1343860859,153
1343860865,153
1343860920,153
1343860941,153
1343860974,154
1343861010,154
1343861044,154
1343861122,154
1343861157,154
1343861161,154
1343861236,154
1343861252,154
1343861266,154
1343861296,154
1343861300,154
1343861317,154
1343861325,154
1343861362,154
1343861368,154
1343861392,155
1343861431,155
1343861440,155
1343861441,155
1343861472,155
1343861473,155
1343861541,156
1343861579,156
1343861695,156
1343861795,157
1343861808,157
1343861836,157
1343861850,157
1343861852,157
1343861855,157
1343861888,157
1343861914,157
1343861920,157
1343861957,157
1343861967,157
1343861973,157
1343861980,157
1343862015,157
1343862029,157
1343862068,157
1343862217,158
1343862236,158
1343862254,158
1343862300,158
1343862377,158
1343862383,158
1343862422,158
1343862430,158
1343862480,159
1343862573,159
1343862583,159
1343862625,159
1343862639,159
1343862733,159
1343862780,159
1343862800,159
1343862858,159
1343862879,159
1343862924,160
1343863024,160
1343863228,160
1343863240,160
1343863288,160
1343863346,161
1343863349,161
1343863399,161
1343863416,161
1343863493,162
1343863515,162
1343863548,162
1343863553,162
1343863579,162
1343863671,162
1343863671,162
1343863680,162
1343863759,163
1343863788,163
1343863832,163
1343863870,163
1343863879,163
1343863897,163
1343863975,164
1343863984,164
1343864006,164
1343864011,165
1343864013,165
1343864021,165
1343864031,165
1343864056,165
1343864106,166
1343864142,166
1343864148,166
1343864261,166
1343864287,166
1343864400,167
1343864446,167
1343864562,167
1343864617,167
1343864733,167
1343864774,168
1343864775,168
1343864790,168
1343864812,168
1343864912,168
1343864954,168
1343864965,168
1343864985,168
1343865077,168
1343865085,168
1343865104,168
1343865357,169
1343865364,169
1343865374,169
1343865424,169
1343865427,169
1343865453,169
1343865564,169
1343865640,169
1343865866,170
1343865885,170
1343865904,170
1343865919,170
1343866059,171
1343866134,171
1343866141,171
1343866155,171
1343866226,171
1343866236,171
1343866340,171
1343866362,171
1343866435,171
1343866530,172
1343866641,172
1343866669,172
1343866777,172
1343866827,172
1343866854,172
1343866877,172
1343866957,173
1343866963,173
1343867016,173
1343867064,173
1343867065,173
1343867221,174
1343867238,174
1343867324,174
1343867360,174
1343867369,174
1343867414,174
1343867603,175
1343867668,175
1343867724,175
1343867838,175
1343867872,175
1343867873,175
1343867905,175
