Start,Mean,Group,Summary
1343809945,1343809945,1,NBC peacock injured during the archery finals. #Olympics #FakeSpoiler
1343815753,1343815753,2,Deepika Kumari to start her campaign today in Archery...she is the only indian left in the contest of archery. #olympics
1343816646,1343816646,3,@htTweets Olympics archery: Dipika Kumari faces Amy Oliver in women's individual elimination round today #ht #olympics2012
1343817702,1343817702,4,RT @htTweets: Olympics archery: Dipika Kumari faces Amy Oliver in women's individual elimination round today #ht #olympics2012
1343818337,1343818337,5,and WHY aren’t any of my favorite sports ever aired on TV? #archery #fencing #NOTGYMNASTICS #olympics
1343818722,1343818722,6,RT @htTweets: Olympics archery: Dipika Kumari faces Amy Oliver in women's individual elimination round today #ht #olympics2012
1343819031,1343819031,7,I think I'd like to shoot something for my #Olympics sport. Archery or guns. It's going to be archery or guns.
1343821656,1343821656,8,RT @UncleBlazer: Shout out to the South Korean Women winning gold in archery. I see you. #Olympics
1343823185,1343823185,9,My sisters had a great time at the archery yesterday. #London2012
1343824310,1343824310,10,“@fatboypayne: Olympics here @fatboypayne and the beast come #London2012 #archery”have fun boys
1343827425,1343827425,11,#India at #Olympics Men's R16 & Saina R16 #badminton Deepika R32 #archery  Paes/Sania R1 #tennis Men's Ind-NZ #hockey
1343828061,1343828061,12,RT @denzil_correa: #India at #Olympics today Kashyap Men's R16 & Saina R16 #badminton Deepika R32 #archery  Paes/Sania R1 #tennis ...
1343828513,1343828513,13,On the way to LDN to watch @teamGB in archery today! #Olympics2012 #olympicfever #OurGreatestTeam
1343832563,1343832563,14,Watchin archery at lords #London2012 :)
1343833018,1343833018,15,RT @archerynicky: It's a great day to be watching #archery World number 1'sOlympic champions3 Brits world record holders. Plenty of a ...
1343833904,1343833904,16,Is archery a sport? #London2012
1343834599,1343834599,17,Big upset already! 11th seed Nespoli (Team Gold medalist from Sunday) gets knocked out by China's Chen-the 54th seed! #archery #london2012
1343834790,1343834790,18,Its a nine for China #archery and a 10 for UkraineViktor Ruban wins #London2012
1343835327,1343835327,19,Egypt's Nada Kamel knocked out of the archery ... she'll have the hump about that etc etc #london2012
1343835626,1343835626,20,At the archery olympics #london2012
1343836075,1343836075,21,Ok judo and archery. The Egyptian guy just lost by ippon in the last second!!! #judo #London2012
1343836302,1343836302,22,This archery is amazing! #London2012
1343836746,1343836746,23,Up for some #archery at the #olympics at @homeofcricket? £30 tickets available for the 3-7pm session today http://t.co/sBG3r5Lk
1343837225,1343837225,24,Watchin sum archery #London2012
1343837556,1343837556,25,I wonder if any of these archers have ever done a 'Robin Hood'? I have... :P #olympics #archery
1343837898,1343837898,26,theyre playing Alien Ant Farm Movies at the olympics. I could never have predicted that. #archery #olympics
1343838260,1343838260,27,mexico 25 - (idk whats the name of the country) 25. #archery #olympics
1343838556,1343838556,28,Over the last two days I have witnessed 15 British defeats and 0 victories. First up today Amy Oliver in the archery v World No1 #london2012
1343838750,1343838750,29,Finally Deepika Kumari in action today. Hopefully she'll bring some cheer after the disappointing Indian performance in archery #Olympics
1343838798,1343838798,30,Deepika Kumari will soon be in action for her Round of 32 archery eliminations #olympics
1343839067,1343839067,31,RT @FirstpostSports: Deepika Kumari's individual archery event coming up soon! At 1530 IST #Olympics
1343839628,1343839628,32,Watch #GBR's Amy Oliver 10.57am! Last womens #archery hope. First time Olympian. Former field World Champ! #GoAmy #london2012
1343839725,1343839725,33,Deepika figures in archery at 3.30. #Olympics
1343839786,1343839786,34,Set 1: Deepika 8-9 : Oliver 8-10 #olympics #archery
1343839858,1343839858,35,RT @FirstpostSports: Deepika Kumari is out to play Team GB's Amy Oliver. #HereWeGo Remember Deepika is seeded 1 in the event. #archery ...
1343839994,1343839994,36,RT @SportalIndia: Set 2: Deepika 9-8-9 : Oliver 9-9-4. Deepika gets lucky wins secont set. All even at 2-2 #olympics #archery
1343840091,1343840091,37,RT @FirstpostSports: 2nd set- Oliver: 9 9 4= 22 and Deepika: 9 8 9=26. India take 2nd set. Match at 2-2 now. #archery #Olympics http ...
1343840137,1343840137,38,3rd set- Oliver: 9 9 9= 27 and Deepika: 8 9 9= 26. Team GB lead the match 4-2. #archery #Olympics
1343840150,1343840150,39,Deepika Kumari trails 4-2 against Amy Oliver #archery #olympics
1343840183,1343840183,40,Come on Amy Oliver one set away from beating the world number one @TeamGB #london2012 #archery
1343840207,1343840207,41,RT @NineSportInc: Selamat kepada Ika Yuli Rochmawati yang mengalahkan China di Panahan. Masuk 16 besar! #olympicarchery #london2012
1343840255,1343840255,42,RT @danscho1: Hello what's this? Potential upset in the archery Amy Oliver 4-2 up against the world No.1 #london2012
1343840294,1343840294,43,Well done Amy Oliver!!! #archery #London2012
1343840312,1343840312,44,Amy Oliver yes then! beating world number 1 at archery #London2012 #ComeOnGB
1343840339,1343840339,45,Yay! Well done Amy! #Olympics #archery #AmyOliver
1343840346,1343840346,46,India's best medal prospect in archery Deepika Kumari crushed out by amy oliver #archery #london2012
1343840359,1343840359,47,RT @danscho1: Hello what's this? Potential upset in the archery Amy Oliver 4-2 up against the world No.1 #london2012
1343840378,1343840378,48,Amy #Oliver knocks out world number 1 #Deepika Kumari in the round of 32 in women's individual archery #london2012
1343840395,1343840395,49,RT @FirstpostSports: 4th-Oliver:81010=28 Deepika:899=26 GB take match 6-2.One of India's prime medal hopes is out. #archery #Olympic ...
1343840417,1343840417,50,Well done Amy Oliver knocking out the world number one in archery 😃 #Archery #London2012 #TeamGB
1343840452,1343840452,51,RT @FirstpostSports: 4th-Oliver:81010=28 Deepika:899=26 GB take match 6-2.One of India's prime medal hopes is out. #archery #Olympic ...
1343840510,1343840510,52,Huge setback for Indian Archery!! World #1 Deepika Kumari is out of #Olympics! Overall archery team gave us disastrous results.. #shock
1343840550,1343840550,53,RT @archerynicky: AMY OLIVER BEATS world number 1!!!!!! BOOM #GoAmy #archery #london2012
1343840562,1343840562,54,RT @FirstpostSports: 4th-Oliver:81010=28 Deepika:899=26 GB take match 6-2.One of India's prime medal hopes is out. #archery #Olympic ...
1343840632,1343840632,55,RT @NineSportInc: Selamat kepada Ika Yuli Rochmawati yang mengalahkan China di Panahan. Masuk 16 besar! #olympicarchery #london2012
1343840646,1343840646,56,RT @NineSportInc: Selamat kepada Ika Yuli Rochmawati yang mengalahkan China di Panahan. Masuk 16 besar! #olympicarchery #london2012
1343840687,1343840687,57,RT @SportalIndia: World No 1 Deepika Kumari loses in Round of 32 individual event to end India's campaign in #archery #olympics
1343840717,1343840717,58,Deepika Kumari #1 loses to #56 :o another medal lost. #Olympics #archery
1343840742,1343840742,59,Kumari is world number 1 2x world junior champ&won gold at world cup this year. Awesome shooting Amy!! #legend #archery #london2012
1343840849,1343840849,60,#London2012 #Olympics : India's medal hope n World No.1 Deepika Kumari crashes out of women's individual 1/32 elimination round in #archery
1343840883,1343840883,61,Bow down to deepika kumari... World no. 1 kicked out in the first round by world no. 56.. Such a shame.. #archery #london2012
1343840951,1343840951,62,Pretty sure I heard @Hot_Chip being played on the archery Olympics #london2012 #Olympics2012
1343840988,1343840988,63,Deepika Kumari seeded no. 1 is out of 1/32 #IND #archery #london2012
1343841078,1343841078,64,RT @mio_roch: Amy Oliver beats world number 1 in archery #comeonGB #olympics
1343841103,1343841103,65,Deepika Kumari crashes out of the women's individual archery. Big blow big disappointment. #London2012
1343841141,1343841141,66,INdonesia Vs GBR d kelas women individual archery #Olympics 2012
1343841228,1343841228,67,Well mixed day so far for India. #PKashyap into the last 8 but sadly the archery dream is over as #DeepikaKumari is out.#London2012
1343841313,1343841313,68,Go Indonesia! #olympics #archery
1343841363,1343841363,69,World no. 1 Deepika Kumari suffers shock #Olympics ouster as she fails to impress in the #archery eliminations- http://t.co/G2zHZBwK
1343841504,1343841504,70,Pleased to see #archery fans in #London2012 give a clap when opponents of #TeamGB shoot well. Folks are enjoying the sport. #Archery
1343841541,1343841541,71,Damn Amy Oliver is out of the archery #Olympics #TeamGB
1343841545,1343841545,72,Plane delayed 4 hours in Muscat.. I'll have to watch my new fave sport #olympics #archery... a brit just beat the world champ. Go Amy Oliver
1343841563,1343841563,73,Omg what a final end! Excellent shooting by Amy. Pipped at the post. #olympics #teamGB #archery
1343841670,1343841670,74,Ika Yuliana Rochmawati berhasil menang melawan Inggris Raya dan melaju ke per delapan final go Indonesia!! #TeamINA #archery #London2012
1343841910,1343841910,75,RT @FirstpostSports: So Amy Oliver who knocked out Deepika Kumari has been knocked out herself by Indonesia's Yuliana Ika. #archery #O ...
1343841982,1343841982,76,RT @tdaryatmo: Just watched archery game. #indonesia's Ika Yuliana kicked GB's Amy Oliver's *ss with a perfect 30!! #Olympics
1343842006,1343842006,77,Well done archery girl! And the rowing pairs lads! #Olympics
1343842071,1343842071,78,RT @FirstpostSports: So Amy Oliver who knocked out Deepika Kumari has been knocked out herself by Indonesia's Yuliana Ika. #archery #O ...
1343842282,1343842282,79,RT @GatriSalsati: Nilai 10 3x berturut!! Ika Yuliana hebat!! #TeamINA #archery #London2012
1343842499,1343842499,80,Amy Oliver just knocked out the world's no.1 #archery #london2012
1343842671,1343842671,81,The World number 1 Deepika Kumari is out of #London2012 #archery
1343842727,1343842727,82,RT @FirstpostSports: So Amy Oliver who knocked out Deepika Kumari has been knocked out herself by Indonesia's Yuliana Ika. #archery #O ...
1343842874,1343842874,83,@EasternEye Bad news for India at #London2012 as archery medal hope Deepika Kumari crashes out to Britain's Amy Oliver at Lord's.
1343842986,1343842986,84,London #Olympics 2012 archery: Deepika Kumari crashes out http://t.co/mr0MWZ1s
1343843030,1343843030,85,RT @USAArchery: Also follow @worldarchery here for live tweets and commentary - and photos live from field at http://t.co/zXex0syF #arch ...
1343843283,1343843283,86,Enjoying the archery good test of skill and more importantly nerve #london2012
1343843412,1343843412,87,The women in the archery look rough as #London2012
1343843713,1343843713,88,Very disappointed :( World No. 1 Deepika Kumari crashes out on Archery to Amy. Last hope in women's archery went down. #London2012
1343844137,1343844137,89,London Olympics 2012 archery: Deepika Kumari crashes out - Zee News: Zee News London Olympics 2012... http://t.co/IasjsRDq #olympics
1343844278,1343844278,90,Those Olympic archery bows look like high tech machines these days. #London2012.
1343844319,1343844319,91,Sudden death in archery is not as exciting as I would have like #hungergames #nostarsever #olympics
1343844368,1343844368,92,@channel9 You can hear the result of the archery before the arrow is fired. Sound is way ahead. Sort it out! #olympics #archery
