Start,Mean,Group,Summary
1343059855,1343133809,0,archery is on friday! at 4. #olympics
1343404444,1343408729,1,Press gave out incorrect info about archery event; now desperate to blame #london2012 organisers....
1343412443,1343413052,2,RT @BBCSport: South Korea claim the first two world records of #London2012 in the men's archery ranking round. #bbc2012 #Olympics
1343413569,1343414945,3,RT @BBCSport: South Korea claim the first two world records of #London2012 in the men's archery ranking round. #bbc2012 #Olympics
1343416746,1343429883,4,Does anyone know the reason why the first round of the archery is held behind closed doors? #london2012
1343448651,1343470695,5,RT @geoffgornall: Legally blind S. Korean sets world record in archery today at #london #olympics
1343491462,1343491846,6,Watching bit of the archery #london2012.
1343492361,1343493106,7,Indian archery team looks strong. Banerjee in shades and bonnet; like a boss. Go India? #Olympics2012
1343493901,1343493977,8,It's a tie! India 214- 214 Japan #Olympics #archery
1343494021,1343494213,9,Japan knock out India in men's team archery #Archery #London2012
1343494324,1343496431,10,Team GB have been knocked out by Ukraine in the first round of the men's team archery event at Lord's. #London2012
1343498954,1343505491,11,Olympic fail #2: archery promotion misses the target via @smh #London2012
1343513370,1343516191,12,After 1 end: ITA 56; CHN 55. Yeah. Good day for #archery at the #Olympics.
1343518622,1343518789,13,Watching archery make me feel like Katniss!! #iwish #London2012
1343518934,1343519272,14,Daaaammmnnn the USA archery team is hot as fuck. #whowouldhaveknown #Olympics2012
1343519582,1343519792,15,The archery is so tense! #London2012
1343519941,1343519977,16,@dhicking is that you posing as Wylie in the #olympics archery comp?
1343520002,1343520044,17,USA to the #archery finals! #olympics
1343520061,1343520089,18,Team USA archery is real!! #Olympics2012
1343520121,1343520149,19,USA just took down defending gold medalist south Korea in archery #Olympics2012 #USA 🇺🇸🇺🇸🇺🇸
1343520181,1343520215,20,USA archery is intense! #Olympics2012
1343520242,1343520364,21,RT @christophclarey: USA men's archery team of Brady Ellison; Jake Kaminski and Jacob Wukie will now go for gold medal vs Italy or Mexic ...
1343520483,1343521734,22,RT @christophclarey: Will be USA vs Italy for men's team archery gold here at Lord's. Only other time South Korea not in gold-medal matc ...
1343523064,1343523316,23,Pressures on in archery #niceclutchKorea #olympics
1343523541,1343523757,24,USA going for that Gold in the team archery competition. #Olympics #TeamUsa
1343523961,1343524262,25,On the archery now #london2012
1343524562,1343524604,26,Come on archery team USA #london2012 #Olympics2012 #USA
1343524621,1343524666,27,The archery is intense! COME ON ITALY #olympics
1343524742,1343524847,28,ARCHERY IS TENSE #archery #London2012 #Olympics
1343524921,1343525217,29,Uhg that archery was intennnnnnse. #olympics
1343526181,1343526541,30,RT @CBSSports: U.S. picks up first medal of Olympics with silver in men’s archery - #London2012
1343526901,1343527843,31,Men's team archery wins first medal for Team USA! #Olympics
1343529003,1343529136,32,RT @cnnbrk: First U.S. medal at the #Olympics is silver; after men's archery team falls to Italy.
1343529241,1343529398,33,RT @cnnbrk: First U.S. medal at the #Olympics is silver; after men's archery team falls to Italy.
1343529603,1343531151,34,RT @cnnbrk: First U.S. medal at the #Olympics is silver; after men's archery team falls to Italy.
1343533442,1343537005,35,@rickmaese on U.S. taking silver at dramatic team archery competion today. #london2012
1343540979,1343541346,36,Team USA is fighting for a gold medal in archery right now on NBC Sports channel #olympics
1343541608,1343541676,37,Wow; that archery match was literally won by an inch.. Congrats on 1st team archery gold; #Italy!! #London2012
1343541722,1343541963,38,OMG. Men's archery is amazing. #BA #London2012
1343542386,1343557109,39,RT @neelss_lott: literally have been watching the #Olympics all day long... I even watched archery...
1343577503,1343578115,40,Deepika Kumari :) RT @FirstpostSports: After two rounds of shooting; India are 52... Denmark are 51. #archery #Olympics
1343578693,1343578866,41,India: 9; 10; 10 Denmark: 8; 9; 8 Going into the last round; India 184; Denmark: 185 #archery #Olympics #GoINDIA. #PRAY
1343579042,1343579672,42,#London2012: Indian women eliminated in the archery event. Go down to Denmark #archery
1343580676,1343581206,43,Getting into this archery game #Olympics
1343581692,1343581759,44,#Olympics they should get Sid Waddell to do the archery commentary
1343581802,1343581864,45,Well the women's archery team cocked that up spectacularly! As only GB can! #olympics
1343581982,1343582586,46,Indian women’s archery team bows out #India #archery #London2012
1343583421,1343594419,47,RT @GiovanniTorre: Italy also took gold in archery. So that's archery and sword fighting. Did the Italians come to the #Olympics in a ti ...
1343603651,1343604853,48,These last 6 shots are going to be tense. #olympics #archery
1343606019,1343607592,49,Watching Russia and China in archery. How do you become an archer? I don't know anybody who goes to archery lessons. #Olympics
1343609238,1343610176,50,archery #Olympics2012
1343611145,1343611229,51,Korea's Ki Bo Bae; Lee Sung-Jin & Choi Hyeonju beat China 210-209 to win gold in the women's team archery. #London2012
1343611262,1343611278,52,RT @ReutersSports: Medal Alert: Korea wins the gold over China in women's team archery #London2012
1343611321,1343611337,53,Korea's Ki Bo Bae; Lee Sung-Jin & Choi Hyeonju beat China 210-209 to win gold in the women's team archery. #London2012
1343611382,1343611417,54,RT @UncleBlazer: Shout out to the South Korean Women winning gold in archery. I see you. #Olympics
1343611441,1343611470,55,RT @UncleBlazer: Shout out to the South Korean Women winning gold in archery. I see you. #Olympics
1343611501,1343611554,56,RT @UncleBlazer: Shout out to the South Korean Women winning gold in archery. I see you. #Olympics
1343611621,1343611672,57,RT @UncleBlazer: Shout out to the South Korean Women winning gold in archery. I see you. #Olympics
1343611741,1343611847,58,RT @UncleBlazer: Shout out to the South Korean Women winning gold in archery. I see you. #Olympics
1343611986,1343612281,59,RT @UncleBlazer: Shout out to the South Korean Women winning gold in archery. I see you. #Olympics
1343612642,1343613138,60,RT @UncleBlazer: Shout out to the South Korean Women winning gold in archery. I see you. #Olympics
1343613663,1343614278,61,RT @UncleBlazer: Shout out to the South Korean Women winning gold in archery. I see you. #Olympics
1343614985,1343616163,62,RT @UncleBlazer: Shout out to the South Korean Women winning gold in archery. I see you. #Olympics
1343617627,1343621352,63,RT @UncleBlazer: Shout out to the South Korean Women winning gold in archery. I see you. #Olympics
1343626228,1343640401,64,RT @UncleBlazer: Shout out to the South Korean Women winning gold in archery. I see you. #Olympics
1343661360,1343666889,65,Miranda Leek wins first set #archery #olympics
1343671695,1343673047,66,Bombayla Devi faces Mexico's Aida Roman in the 1/16 round of the women's individual #archery event #olympics
1343674388,1343676699,67,'I love how Wang pulls it back' #Olympics #archery
1343679007,1343690604,68,Come on Galliazzo #archery #london2012
1343703887,1343727340,69,RT @UncleBlazer: Shout out to the South Korean Women winning gold in archery. I see you. #Olympics
