Start,Mean,Group,Summary
1343059855,1343133809,0,archery is on friday! at 4. #olympics
1343404444,1343409344,1,RT @ANCALERTS: #london2012 Support Mark Javier! RT @l2012archery: Men's Ranking Round has begun. Follow live results #Archery ...
1343412443,1343413204,2,RT @BBCSport: South Korea claim the first two world records of #London2012 in the men's archery ranking round. #bbc2012 #Olympics
1343413569,1343413875,3,RT @BBCSport: South Korea claim the first two world records of #London2012 in the men's archery ranking round. #bbc2012 #Olympics
1343416746,1343417866,4,“…really disgruntled archery fans” #London2012
1343448651,1343455913,5,RT @Lazbotron: Being good at archery eh? One might say they've made a korea out of it. *retires to private island* #London2012
1343491462,1343491809,6,archery now #London2012
1343492361,1343493364,7,India giving Japan an archery lesson this morning! #Archery #Lords #London2012
1343493901,1343493977,8,It's a tie! India 214- 214 Japan #Olympics #archery
1343494021,1343494213,9,Japan knock out India in men's team archery #Archery #London2012
1343494324,1343494482,10,Watching archery #London2012
1343498954,1343510595,11,#olympics London 2012 Olympics: hundreds of ticketless fans turned away from archery -
1343513370,1343517737,12,Yeaaah; archery time! o/ #Olympics
1343518622,1343518777,13,I love watching the archery #olympics
1343518934,1343519299,14,watching #olympics archery
1343519582,1343519792,15,The archery is so tense! #London2012
1343519941,1343519977,16,@dhicking is that you posing as Wylie in the #olympics archery comp?
1343520002,1343520044,17,USA to the #archery finals! #olympics
1343520061,1343520070,18,USA archery #Olympics
1343520121,1343520153,19,#Olympics men's archery congrats USA
1343520181,1343520215,20,USA archery is intense! #Olympics2012
1343520242,1343520364,21,RT @christophclarey: USA men's archery team of Brady Ellison; Jake Kaminski and Jacob Wukie will now go for gold medal vs Italy or Mexic ...
1343520483,1343521148,22,Hello; archery #Olympics
1343523064,1343523316,23,Pressures on in archery #niceclutchKorea #olympics
1343523541,1343523742,24,USA archery #Olympics
1343523961,1343524262,25,On the archery now #london2012
1343524562,1343524604,26,Come on archery team USA #london2012 #Olympics2012 #USA
1343524621,1343524666,27,The archery is intense! COME ON ITALY #olympics
1343524742,1343524847,28,ARCHERY IS TENSE #archery #London2012 #Olympics
1343524921,1343525043,29,This archery is unbelieveable #archery #olympics2012
1343526181,1343526628,30,RT @CBSSports: U.S. picks up first medal of Olympics with silver in men’s archery - #London2012
1343526901,1343527975,31,USA's first metal: silver in men's archery #olympics #london2012
1343529003,1343529136,32,RT @cnnbrk: First U.S. medal at the #Olympics is silver; after men's archery team falls to Italy.
1343529241,1343529387,33,RT @cnnbrk: First U.S. medal at the #Olympics is silver; after men's archery team falls to Italy.
1343529603,1343529847,34,RT @cnnbrk: First U.S. medal at the #Olympics is silver; after men's archery team falls to Italy.
1343533442,1343536963,35,RT @cnnbrk: First U.S. medal at the #Olympics is silver; after men's archery team falls to Italy.
1343540979,1343541384,36,Wait; team archery is a thing? #olympics2012
1343541608,1343541692,37,That archery match was exciting! #olympics
1343541722,1343541758,38,RT @cnnbrk: First U.S. medal at the #Olympics is silver; after men's archery team falls to Italy.
1343542386,1343545353,39,U.S. archery got silver! Woo! #Olympics #Irrelevant
1343577503,1343578277,40,India 103* #archery #London2012
1343578693,1343578927,41,India eliminated by Denmark in the women's team archery. #Olympics #archery
1343579042,1343579248,42,RT @Sports_NDTV: #London2012: Indian women eliminated in the archery event. Go down to Denmark. #archery
1343580676,1343581007,43,Watching #TeamGB women's archery #Olympics
1343581692,1343581767,44,RT @LeighH69: Fucked the archery up! #London2012 🇬🇧
1343581802,1343581864,45,Well the women's archery team cocked that up spectacularly! As only GB can! #olympics
1343581982,1343582369,46,Indian women’s archery team bows out #India #archery #London2012
1343583421,1343603287,47,Archery #olympics #archery
1343603651,1343605269,48,Come on Japan!! #archery #london2012
1343606019,1343607470,49,archery is my ishh #olympics #nicesportdoe
1343609238,1343610315,50,Judo; kayak; archery and fencing. :) #multitasking #olympics
1343611145,1343611235,51,Wooo; south korea win women's archery #EatthatChina #London2012
1343611262,1343611299,52,korea won gold in archery team #olympics
1343611321,1343611337,53,Korea's Ki Bo Bae; Lee Sung-Jin & Choi Hyeonju beat China 210-209 to win gold in the women's team archery. #London2012
1343611382,1343611419,54,RT @UncleBlazer: Shout out to the South Korean Women winning gold in archery. I see you. #Olympics
1343611441,1343611470,55,RT @UncleBlazer: Shout out to the South Korean Women winning gold in archery. I see you. #Olympics
1343611501,1343611554,56,RT @UncleBlazer: Shout out to the South Korean Women winning gold in archery. I see you. #Olympics
1343611621,1343611669,57,RT @UncleBlazer: Shout out to the South Korean Women winning gold in archery. I see you. #Olympics
1343611741,1343611848,58,RT @UncleBlazer: Shout out to the South Korean Women winning gold in archery. I see you. #Olympics
1343611986,1343612203,59,RT @UncleBlazer: Shout out to the South Korean Women winning gold in archery. I see you. #Olympics
1343612642,1343613241,60,RT @UncleBlazer: Shout out to the South Korean Women winning gold in archery. I see you. #Olympics
1343613663,1343614022,61,RT @UncleBlazer: Shout out to the South Korean Women winning gold in archery. I see you. #Olympics
1343614985,1343615456,62,RT @UncleBlazer: Shout out to the South Korean Women winning gold in archery. I see you. #Olympics
1343617627,1343619767,63,RT @UncleBlazer: Shout out to the South Korean Women winning gold in archery. I see you. #Olympics
1343626228,1343629258,64,RT @UncleBlazer: Shout out to the South Korean Women winning gold in archery. I see you. #Olympics
1343661360,1343671462,65,Bombayala Devi is now up. #archery #olympics
1343671695,1343672421,66,Bombayla Devi is through to the last 16 in the women's archery event. She beat Greek E Psarra 6-4. #Olympics #archery
1343674388,1343677740,67,RT @KJBar: Not taking anything away from their immense talents.. but it is Dong vs Wang in the #archery finals right now #London2012
1343679007,1343697985,68,Godfrey is well good at archery #olympics #archery #teamGB
1343703887,1343709723,69,the archery at the #olympics interests me.
1343751241,1343752566,70,Come on Naomi #archery #London2012
1343753187,1343757560,71,#olympics That was so sad. #archery
1343759581,1343761871,72,RT @ManOlimpik: #london2012 #olympics men's individual #archery 1/16 #Result: Xing #China 5 - 6 Mohamad #MalaysiaBoleh #TeamOlympicMAS # ...
1343772042,1343772465,73,RT @FirstpostSports: 3rd set:Gantugs:10;8;7 and Banerjee: 10; 10; 10. The Indian wins the set in style and the match 6-0. #archery #Olym ...
1343772783,1343772829,74,RT @Sports_NDTV: Rahul Banerjee shoots to a comprehensive 3-0 win against Mongolia's Jantsan Gantugs. #olympics #archery ...
1343775002,1343776078,75,RT @FirstpostSports: Banerjee:9;8;8= 25; Dobrowolski:7;9;10=26. Banerjee is knocked out of the #archery event 7-3. #Olympics ...
1343777595,1343777799,76,RT @FirstpostSports: Shootoff- Rai gets a 9 and Stevens gets a 7! Tarundeep Rai comes from behind to stun the Cuban! #archery #Olympics ...
1343777890,1343777954,77,RT @NikhilNaz: India's Tarundeep Rai makes it into the last 32 of the men's individual archery #London2012
1343778305,1343840226,78,At archery :D #Olympics #archery
1343843199,1343843459,79,Kumaariiiiiiiiiiiiii #archery #london2012 #olympics
1343843823,1343843946,80,India's best medal prospect in archery Deepika Kumari crushed out by amy oliver #archery #london2012
1343844069,1343844361,81,Padu Kumari #archery #Olympics
1343846075,1343846271,82,The World number 1 Deepika Kumari is out of #London2012 #archery
1343847803,1343848040,83,Meanwhile; Amy Oliver just beat the world #1 to go through in the archery #London2012
1343848141,1343848636,84,COME ON AMY! #archery #London2012
1343874061,1343874574,85,Philippine archery right now #olympics
1343902501,1343902584,86,RT @TheDailyShow: IOC announces it will combine archery and gymnastics; 'to see what happens.'#Olympics #FakeSpoiler
1343902683,1343902852,87,RT @TheDailyShow: IOC announces it will combine archery and gymnastics; 'to see what happens.'#Olympics #FakeSpoiler
1343903286,1343903683,88,RT @TheDailyShow: IOC announces it will combine archery and gymnastics; 'to see what happens.'#Olympics #FakeSpoiler
1343906385,1343925743,89,RT @TheDailyShow: IOC announces it will combine archery and gymnastics; 'to see what happens.'#Olympics #FakeSpoiler
1343940498,1343941057,90,Here we go! Quaterfinals of the women's individual archery competetion! #London2012 #archery
1343942822,1343947118,91,RT @Baatarscc: #TeamMongolia #London2012 #MGL #supportyourteam #judo #boxing #archery #shooting #swimming #marathon #wrestling
1343947863,1343948000,92,One arrow shoot off in #archery gold medal round. #olympics
1343948165,1343948227,93,Congratz to #Korea for winning gold in the #archery finals! #Olympics #London2012
1343948401,1343948636,94,Congrats to Bo Bae Ki on her archery gold medal. #olympics #archery
1343976380,1343976485,95,RT @DownAndOutRambo: I got to the Olympic archery trials in '84; but had a flashback under the pressure and fired at the team-Vietnam co ...
1343976545,1343976726,96,RT @DownAndOutRambo: I got to the Olympic archery trials in '84; but had a flashback under the pressure and fired at the team-Vietnam co ...
1343977862,1343979436,97,RT @DownAndOutRambo: I got to the Olympic archery trials in '84; but had a flashback under the pressure and fired at the team-Vietnam co ...
1344009580,1344010156,98,This archery is amazing #Olympics #archery
1344010509,1344010625,99,RT @nikicheong: #Malaysia's Khairul holds his head under pressure to beat @teamgb to get into the quarter finals in archery! Woot! #Lond ...
1344010685,1344010803,100,RT @nikicheong: #Malaysia's Khairul holds his head under pressure to beat @teamgb to get into the quarter finals in archery! Woot! #Lond ...
1344011412,1344012640,101,reflecting on #archery #london2012
1344014537,1344015049,102,snape is commenting on the archery #olympics2012
1344015362,1344035652,103,Gold!!!!!!!!!!!!!!!!!!!!!! kkk #London2012 #archery
1344043161,1344066103,104,I #love archery #London2012
1344068306,1344164232,105,RT @_Happy_Gilmore: USA wins silver medal in archery today; which would have been a gold if they would've left Helen Keller at home. #Ol ...
1344559712,1344842062,106,Whens the archery start? #London2012
