Start,Mean,Group,Summary
1343059855,1343327481,0,RT @CarlBialik: Nice @jaeyeonwoo piece on S. Korean archery #london2012 prep: booing soldiers; sub-zero river walk; iPad tour of Lord's ...
1343404444,1343407528,1,RT @KJBar: Reports there's a ticketing problem at the #archery competition. It was advertised as a free event; but fans can't get in #Lo ...
1343412443,1343412777,2,RT @BBCSport: South Korea claim the first two world records of #London2012 in the men's archery ranking round. #bbc2012 #Olympics
1343413569,1343413569,3,RT @BBCSport: South Korea claim the first two world records of #London2012 in the men's archery ranking round. #bbc2012 #Olympics
1343416746,1343416982,4,RT @BBCSport: South Korea claim the first two world records of #London2012 in the men's archery ranking round. #bbc2012 #Olympics
1343448651,1343455879,5,RT @Lazbotron: Being good at archery eh? One might say they've made a korea out of it. *retires to private island* #London2012
1343491462,1343491675,6,RT @cluedont: Disappointed that they haven't got Jim Bowen commentating on the archery. #olympics
1343492361,1343493315,7,RT @FirstpostSports: Japan; after 12 arrows are 106. India are 109. Talukdar's tenner was valuable! #Olympics #archery
1343493901,1343493925,8,RT @FirstpostSports: India score a 9; 9 and an 8. Now the lead is just one point going into the final round. #Olympics #archery
1343494021,1343494037,9,RT @FirstpostSports: India score a 9; 8 and a 9 to level things with Japan!! Did you know archery was so exciting? #Olympics ...
1343494324,1343498586,10,RT @USOlympic: The first medal of #London2012 will be awarded in archery w/ #TeamUSA going for gold. Full schedule of today's events: ht ...
1343498954,1343498971,11,RT @ayshardzn: Archery: Mexico beat Malaysia 216-211. Mexico through to quarter finals. Malaysia archery men are out. #Olympics #London2012
1343513370,1343518121,12,RT @McKelvie: This Clint Barton guy is doing amazingly well for the US archery team. Unnaturally good. #olympics
1343518622,1343518629,13,RT @McKelvie: This Clint Barton guy is doing amazingly well for the US archery team. Unnaturally good. #olympics
1343518934,1343519400,14,watching archery with a 'legally blind' archer. according to the announcers; he has better vision than I do. #confused #olympics
1343519582,1343519886,15,This archery is actually kind of exciting. #USA #Olympics
1343519941,1343519985,16,How do I know the score of this USA/Korea archery on MSNBC is going to end 120/119 when it says LIVE right now on TV? @NBCSN @NBC #Olympics
1343520002,1343520050,17,USA over Korea in archery is quite the upset. They get to shoot for gold. Awesome. #Olympics
1343520061,1343520106,18,USA archery team headed to gold medal match! They beat world record-holding South Korea! #Olympics
1343520121,1343520171,19,USA! USA! USA! Taking down South Korea; the world record holders! #archery #Olympics
1343520181,1343520213,20,RT @katespencer: The US archery team is pretty cute in a 'Southern frat guy who is too hot to talk to me' sorta way. #Olympics
1343520242,1343520364,21,RT @christophclarey: USA men's archery team of Brady Ellison; Jake Kaminski and Jacob Wukie will now go for gold medal vs Italy or Mexic ...
1343520483,1343521172,22,RT @CBSSports: U.S. defeats favored South Koreans in semifinals; will compete for archery gold - #London2012
1343523064,1343523400,23,Watching the archery and its quite good! #London2012 #Olympics
1343523541,1343523862,24,Yay! Congrats RT @latimes: U.S. men's archery team clinches first U.S. medal of London Olympics #london2012
1343523961,1343524017,25,RT @BenRothenberg: The US is currently in the men's team archery vs. Italy. Like our chances. Katniss was an Amurrican; after all. #olympics
