Time,Group
1343059855,1
1343059873,1
1343059978,1
1343060189,2
1343060651,3
1343060703,3
1343063631,4
1343064351,5
1343067055,6
1343067087,7
1343067476,7
1343069359,8
1343072516,9
1343072604,9
1343073160,9
1343075153,10
1343075688,11
1343078736,12
1343078749,12
1343080981,13
1343081256,14
1343083093,15
1343083275,16
1343084541,17
1343088111,18
1343088221,19
1343089400,19
1343089826,20
1343089857,20
1343090238,20
1343090393,20
1343090525,20
1343090921,21
1343091074,21
1343091774,22
1343094480,23
1343094573,24
1343095272,25
1343095892,25
1343095897,26
1343096650,27
1343096935,27
1343097584,27
1343097688,28
1343097773,28
1343098106,29
1343098123,29
1343098650,29
1343100552,30
1343100760,31
1343101477,32
1343101485,32
1343101675,32
1343106900,33
1343107209,33
1343107340,34
1343107841,35
1343108465,35
1343108702,36
1343109042,36
1343109238,37
1343110854,38
1343110987,38
1343111286,38
1343111581,39
1343111607,39
1343112137,40
1343116179,41
1343117245,42
1343118290,43
1343122944,44
1343123806,45
1343128605,46
1343129380,47
1343130057,48
1343130529,49
1343131806,50
1343132887,51
1343133809,52
1343134786,53
1343136409,54
1343138418,55
1343139715,56
1343140634,57
1343143340,58
1343144075,59
1343144722,60
1343144739,60
1343144878,60
1343146170,61
1343146717,62
1343146976,63
1343147549,64
1343147648,65
1343147669,65
1343148022,66
1343148117,66
1343148707,67
1343150950,68
1343151898,69
1343151976,70
1343152905,71
1343153030,71
1343153253,71
1343153258,72
1343153298,73
1343153354,73
1343153357,73
1343153361,73
1343154163,73
1343154189,73
1343154383,74
1343155023,75
1343156434,76
1343156538,77
1343157456,78
1343159232,79
1343160611,80
1343161224,81
1343161342,82
1343162818,83
1343164091,84
1343165005,85
1343167271,86
1343168183,87
1343169682,88
1343169918,89
1343169942,89
1343170173,89
1343173175,90
1343177443,91
1343178083,92
1343179783,93
1343180976,94
1343181522,95
1343182565,96
1343182880,97
1343183131,98
1343185825,99
1343186492,100
1343186766,100
1343186844,101
1343189990,101
1343211707,102
1343215500,103
1343299791,104
1343300454,105
1343305384,106
1343306222,107
1343309011,108
1343310375,109
1343310844,110
1343312590,111
1343313147,112
1343313225,112
1343314007,113
1343314046,113
1343314113,113
1343314974,113
1343315311,113
1343315454,113
1343315726,113
1343315750,113
1343316541,113
1343316558,113
1343316645,113
1343316825,113
1343317333,113
1343317500,114
1343317728,114
1343318009,115
1343318110,115
1343318166,116
1343318449,116
1343318827,117
1343319074,118
1343319168,118
1343319338,118
1343319377,119
1343319468,119
1343319642,120
1343319650,120
1343319798,120
1343319919,120
1343319948,120
1343320010,120
1343320261,120
1343320329,120
1343320568,120
1343320807,120
1343320943,120
1343321423,120
1343321723,120
1343322221,120
1343322282,120
1343322446,121
1343323012,122
1343323391,123
1343323963,124
1343324011,124
1343324054,125
1343324768,126
1343325088,126
1343325327,127
1343325388,127
1343326097,128
1343326812,129
1343326870,129
1343327481,129
1343327599,129
1343327649,129
1343327857,129
1343327876,130
1343327973,130
1343328156,131
1343328374,131
1343330266,132
1343330644,133
1343330779,133
1343330917,134
1343330989,134
1343331627,135
1343331792,136
1343332014,136
1343332101,137
1343332560,138
1343332588,138
1343332671,138
1343332811,138
1343333699,139
1343333755,139
1343333930,140
1343334250,141
1343334287,141
1343334494,141
1343334507,141
1343334988,141
1343335091,141
1343335266,141
1343335365,141
1343335392,141
1343335544,141
1343336133,141
1343336411,141
1343336464,141
1343337017,141
1343337093,141
1343337127,141
1343337307,141
1343337312,141
1343337761,141
1343338107,141
1343338182,141
1343338185,141
1343338840,141
1343339020,141
1343339222,141
