Start,Mean,Group,Summary
1343067055,1343067055,1,@BumbleCricket Quality line but so true. 'archery is posh darts' #Olympics #overhype
1343075688,1343075688,2,Cool to hear that my cousin is judging the #archery at #London2012. What an opportunity :). #olympics
1343095272,1343095272,3,RT @NickMKale: Excited to be an @guardian #archery expert for #london2012 along with @vmsimandan @archerynicky and @archeryGlen. #exper ...
1343110854,1343110987,4,RT @archeryGlen: I am a @Guardian Archery expert for #london2012 along with @nickmkale @vmsimandan @archerynicky. Watch out for out twee ...
1343095897,1343095897,5,RT @NickMKale: The games are almost here! Archery ranking round/opening ceremonies on fri and men's team round on sat. #archery #londo ...
1343083093,1343083093,6,May have tweeted this last wk but it deserves another go. #BradyEllison #ESPN #SportScience #archery #London2012:
1343090921,1343090921,7,RT @aggieprez: Great article on Olympic-bound Aggie archer Jennifer Nichols: #tamu #olympics #archery
1343100552,1343100552,8,@warbowdave @obi1kanobi think we'll do a full on #archeryhour next week during the #olympics
1343060189,1343060189,9,RT @RSArchery: Join us & many other #archery folk on our #archeryhour tonight 8-9pm Watch out for #archeryhour during the #olympics ...
1343067087,1343067087,10,archery is posh darts #london2012 - cricket commentator
1343098106,1343098123,11,RT @SonaliShah: Was chilling in the Pavilion today as they completed the transformation of Lord's to host the archery. #London2012 ...
1343111581,1343111581,12,RT @archeryGlen: I am a @Guardian Archery expert for #london2012 along with @nickmkale @vmsimandan @archerynicky. Watch out for out twee ...
1343091774,1343091774,13,RT @aggieprez: Great article on Olympic-bound Aggie archer Jennifer Nichols: #tamu #olympics #archery
1343107340,1343107340,14,Just checked out olympics schedule actually can't wait for it to start! GB first footy wed archery starts fri :-) #London2012 #countdown
1343075153,1343075153,15,#archery facebook updates from #london2012 athletes and teams at #socialolympics
1343081256,1343081256,16,The Indian men's archery triumvirate hope the 'Mecca of cricket' will put their sport on the map. #Olympics
1343060651,1343060703,17,@suemag54 good morning sue thanks for the #archeryhour #olympics retweet. Hope you'll be joining in with the odd question
1343106900,1343107209,18,#London2012 is here anyone else non-plussed by the sudden euphoria in shooting rhythmic gymnastics archery synchronized swimming etc
1343107841,1343107841,19,Brady Ellison Wants to Validate No. 1 Ranking with Gold Medal - @yahoosports #teamusa #olympics #archery
1343088111,1343088111,20,Craig David is in TeamGB...hes on the archery team..hes their Bow Selector #Olympics
1343094480,1343094480,21,can't wait for the chance to be on the bandwagon of handball shooting archery and beach volleyball! #London2012
1343097688,1343097688,22,Was chilling in the Pavilion today as they completed the transformation of Lord's to host the archery. #London2012
1343080981,1343080981,23,RT @RSArchery: Join us & many other #archery folk on our #archeryhour tonight 8-9pm Watch out for #archeryhour during the #olympics ...
1343069359,1343069359,24,A preview of #Archery Men's Team event at #London2012 - @worldarchery
1343112137,1343112137,25,RT @archeryGlen: I am a @Guardian Archery expert for #london2012 along with @nickmkale @vmsimandan @archerynicky. Watch out for out twee ...
1343063631,1343063631,26,RT @RSArchery: Join us & many other #archery folk on our #archeryhour tonight 8-9pm Watch out for #archeryhour during the #olympics ...
1343108702,1343108702,27,RT @SonaliShah: Was chilling in the Pavilion today as they completed the transformation of Lord's to host the archery. #London2012 ...
1343088221,1343088221,28,RT @ChazKailey: Craig David is in TeamGB...hes on the archery team..hes their Bow Selector #Olympics
1343084541,1343084541,29,I've got a student or two who want to be archers when they're older: Secret of Korea's archery success #London2012
1343101477,1343101485,30,RT @SonaliShah: Was chilling in the Pavilion today as they completed the transformation of Lord's to host the archery. #London2012 ...
1343078736,1343078736,31,#archery tweets from #london2012 competitors at - check it out! #socialolympics
1343096650,1343096935,32,RT @NickMKale: The games are almost here! Archery ranking round/opening ceremonies on fri and men's team round on sat. #archery #londo ...
1343094573,1343094573,33,RT @SBPinfo: “@AdventureClubs: 1 wk until the #archery event #Olympics If u wud like 2 try archery join us at next ...
1343072516,1343072604,34,RT @IndiaSportNews: A preview of #Archery Men's Team event at #London2012 - @worldarchery
1343109238,1343109238,35,RT @SonaliShah: Was chilling in the Pavilion today as they completed the transformation of Lord's to host the archery. #London2012 ...
1343100760,1343100760,36,@warbowdave good point Dave. Not sure what times the #archery is on? #olympics Guess not at 8-9pm @obi1kanobi
1343089826,1343090238,37,At Team GB House for the archery press conference. @ArcheryAlison in good form the team seem very relaxed #london2012
1343064351,1343064351,38,Packed and ready to go. 11 days of live sound work at Lord's cricket ground for the archery #London2012
1343083275,1343083275,39,RT @ATATradeShow: May have tweeted this last wk but it deserves another go. #BradyEllison #ESPN #SportScience #archery #London2012: htt ...
