Start,Mean,Group,Summary
1343890212,1343807119,1,RT @raydevito: So far Italians have won medals in fencing pistols & archery; OK Italy we get it you enjoy hand held weapons #respe ...
1343890183,1343807219,2,RT @Sports_NDTV: Rahul Banerjee shoots to a comprehensive 3-0 win against Mongolia's Jantsan Gantugs. #olympics #archery http://t.co/uH ...
1343889941,1343807433,3,I have a strange feeling that the archery commentators at the #Olympics don't get a lot of work outside of the summer games.
1343889187,1343808004,4,#boxing #mgl #supportyourteam #london2012 #shooting #archery #judo #swimming #olympics #ulaanbaatar
1343889138,1343808364,5,London #Olympics archery: Jayanta Talukdar is another Indian casualty http://t.co/UhQYSZG5
1343889074,1343808503,6,RT @raydevito: So far Italians have won medals in fencing pistols & archery; OK Italy we get it you enjoy hand held weapons #respe ...
1343888907,1343808757,7,Rambo would destroy this archery competition. #Olympics
1343888836,1343809385,8,I bet that the entry fee to sync diving sync swimming and archery at #london2012 was free.
1343888239,1343809770,9,@TheDailyShow NBC peacock injured during the archery finals. #Olympics #FakeSpoiler
1343887482,1343809945,10,NBC peacock injured during the archery finals. #Olympics #FakeSpoiler
1343887352,1343809958,11,RT @UncleBlazer: Shout out to the South Korean Women winning gold in archery. I see you. #Olympics
1343886854,1343810211,12,Aside from watching gymnastics swimming & diving as per usual...I'm also finding archery strangely interesting too. #olympics2012
1343886192,1343810648,13,Quote of the night: How is gymanstics a sport? Dance on this beam & look pretty. At least you can use archery to get food. #olympics
1343886165,1343810944,14,India today at #london2012: Deepika (archery); Paes-Sania Paes-Vishnu (tennis); Heena Rahi (shooting); Saina Kashyap (badminton) contd...
1343885944,1343812118,15,Swimminggymnasticstennisbasketballtrackbadmintonarcheryboxingdivingsoccervolleyballbeach volleyball <<<< <<wrestling #London2012
1343885543,1343812538,16,@cody___LITTLE I happen to like archery and fencing. Their place in the #Olympics is important too.
1343885134,1343812822,17,I'm bout to start training in a non-contact sport so I can make the #olympics. Table tennis or archery I can do that as an elder.
1343885097,1343812887,18,RT @oftenKIMitated: I'm bout to start training in a non-contact sport so I can make the #olympics. Table tennis or archery I can do tha ...
1343884389,1343813224,19,RT @FirstpostSports: Shootoff- Rai gets a 9 and Stevens gets a 7! Tarundeep Rai comes from behind to stun the Cuban! #archery #Olympics ...
1343884255,1343813446,20,RT @UncleBlazer: Shout out to the South Korean Women winning gold in archery. I see you. #Olympics
1343883936,1343814221,21,I'm all about #olympics but how abt some #shooting #archery there is people that like that also. Come on #nbc.
1343883706,1343814544,22,RT @UncleBlazer: Shout out to the South Korean Women winning gold in archery. I see you. #Olympics
1343883665,1343814614,23,Hopes mainly from Deepika in #archery and Saina in #badminton today #London2012
1343883395,1343814910,24,So far tonight the 7 yo has decided to start gymnastics and archery. #Olympics #cute @1900smom
1343883315,1343815067,25,Today Indonesian athletes will compete in 5 badminton matches 1 athlete in archery and 1 in fencing. #London2012 #GoIndonesia #GoForGold
1343883184,1343815253,26,My husband and I have been enjoying the #olympics. What is your fav sport to watch? I like diving but archery is fun too!
1343883094,1343815438,27,Olympics: India men bow out Deepika now lone hope http://t.co/7xLujKbp #archery #Olympics #DeepikaKumari
1343883031,1343815543,28,Love how we church-up ping pong & call it Table Tennis. Why not other noun-modified sports like couch-archery or hammock-fencing? #olympics
1343882648,1343815680,29,I don't know when the archery events start but Katniss better win. #Olympics
1343882538,1343815753,30,Deepika Kumari to start her campaign today in Archery...she is the only indian left in the contest of archery. #olympics
1343882519,1343815816,31,RT @anshu9843: Deepika Kumari to start her campaign today in Archery...she is the only indian left in the contest of archery. #olympics
1343882452,1343816139,32,We'll be back to let you know how the judges scored the routine in a few minutes. But first ... archery... #Olympics #NBC
1343882027,1343816490,33,RT @archerygirlll: FAB FIVE KILLED IT 🇺🇸 #Olympics2012
1343882016,1343816510,34,Munkhzaya maani hurel avch chadaagui ch 5r bair bl #amjilt #olympics #Mgl #judo #supportyourteam #shooting #boxing #marathon #archery
1343881381,1343816590,35,Olympics archery: Dipika Kumari faces Amy Oliver in women's individual elimination round today #ht #olympics2012
1343881366,1343816646,36,@htTweets Olympics archery: Dipika Kumari faces Amy Oliver in women's individual elimination round today #ht #olympics2012
1343881224,1343816674,37,RT @htTweets: Olympics archery: Dipika Kumari faces Amy Oliver in women's individual elimination round today #ht #olympics2012
1343881025,1343816949,38,Shooting (ronjan-annuraj) archery (deepika) and hockey on today's schedule for India. #fingersarecrossed #olympics
1343880995,1343817537,39,USA🇺🇸🇺🇸 #archery #swimming #gymnastics #Volleyball #London2012
1343880805,1343817549,40,I want to watch the #Olympics in person one day. 🐴🏀⚽ #archery 🏊 #soManySports
1343880670,1343817702,41,RT @htTweets: Olympics archery: Dipika Kumari faces Amy Oliver in women's individual elimination round today #ht #olympics2012
1343880558,1343817792,42,RT @htTweets: Olympics archery: Dipika Kumari faces Amy Oliver in women's individual elimination round today #ht #olympics2012
1343880508,1343818337,43,and WHY aren’t any of my favorite sports ever aired on TV? #archery #fencing #NOTGYMNASTICS #olympics
1343880492,1343818678,44,today's action includes deepika kumari(archery) saina and kashyap in badminton... all medal hopes #Indianwatch #London2012
1343880479,1343818722,45,RT @htTweets: Olympics archery: Dipika Kumari faces Amy Oliver in women's individual elimination round today #ht #olympics2012
1343880471,1343818784,46,RT @UncleBlazer: Shout out to the South Korean Women winning gold in archery. I see you. #Olympics
1343880418,1343818902,47,RT @htTweets: Olympics archery: Dipika Kumari faces Amy Oliver in women's individual elimination round today #ht #olympics2012
1343880396,1343818987,48,being interested in things I never cared about like archery and fencing because koreans are involved #olympics
1343880348,1343819031,49,I think I'd like to shoot something for my #Olympics sport. Archery or guns. It's going to be archery or guns.
1343880300,1343819221,50,Big hopes tied to today's archery event. World no.1 ranker Deepika Kumari's game at 3.27pm IST. #archery #olympics
1343880200,1343819460,51,RT @htTweets: Olympics archery: Dipika Kumari faces Amy Oliver in women's individual elimination round today #ht #olympics2012
1343880130,1343819786,52,So archery can be in the #olympics but bowling can't? Stupid...
1343880058,1343820223,53,Bullets are expensive. But I've got twigs and feathers in my backyard. It's decided. The MOOSE will be in the 2016 #Olympics for archery.
1343880031,1343821256,54,RT @UncleBlazer: Shout out to the South Korean Women winning gold in archery. I see you. #Olympics
1343880006,1343821518,55,@DevonESawa (1/3) The ONLY reason I watch the #Olympics is for the archery tournaments. I LOVE those! But you're right. The rest? Meh.
1343879982,1343821656,56,RT @UncleBlazer: Shout out to the South Korean Women winning gold in archery. I see you. #Olympics
1343879934,1343821712,57,Time 4 Deepika Kumari 2 be d saving grace 4 d Indian archery contingent #olympics2012
1343879886,1343821728,58,Getting ready for the archery at 3 am. #olympics #bigredballs
1343879865,1343823096,59,RT @ArcheryFan99: #archery tweets from #london2012 competitors at http://t.co/PAKLNCcQ - check it out! #sportrightnow
1343879771,1343823185,60,My sisters had a great time at the archery yesterday. #London2012
1343879740,1343823397,61,Cycling archery horse riding badminton swimming... Is this the summer Olympics or summer camp? World Jrs on #TSN2! #London2012
1343879735,1343823978,62,Olympics here @fatboypayne and the beast come #London2012 #archery
1343879660,1343824310,63,“@fatboypayne: Olympics here @fatboypayne and the beast come #London2012 #archery”have fun boys
1343879588,1343824430,64,India can still count on Shooting archery boxing hockey and badminton @ the #Olympics
1343879522,1343824499,65,The #Olympics most pointless sport archery the amount of equipment leaves no skill should just be person bow and arrow that all no mechanics
1343879473,1343824564,66,Off to Lords for a morning of archery! #London2012
1343879472,1343825351,67,Not sure of the results tho @Southernupland will check it out #Olympics #archery
1343879391,1343826415,68,Badminton archery fencing #TeamINA #Olympics
1343879374,1343826764,69,#Olympics2012 archery here I come #RobinhoodInDisguise
1343879370,1343827140,70,Almost at Lord's Cricket Ground for archery :) #Olympics #London2012 #Archery
1343879353,1343827425,71,#India at #Olympics Men's R16 & Saina R16 #badminton Deepika R32 #archery  Paes/Sania R1 #tennis Men's Ind-NZ #hockey
1343879298,1343827803,72,On my way to see archery in #london2012 (@ Northwood Hills Underground Station) http://t.co/aPBKsQcF
1343879283,1343827975,73,RT @denzil_correa: #India at #Olympics today Kashyap Men's R16 & Saina R16 #badminton Deepika R32 #archery  Paes/Sania R1 #tennis ...
