Time,Group
1343807078,1
1343807088,1
1343807119,1
1343807408,2
1343807560,2
1343807572,2
1343807622,2
1343807689,3
1343807708,3
1343807722,3
1343807740,3
1343807749,3
1343807760,3
1343807777,3
1343807855,3
1343807861,3
1343807898,3
1343808033,3
1343808058,3
1343808209,3
1343808216,3
1343808314,4
1343808334,4
1343808361,4
1343808369,4
1343808407,4
1343808478,4
1343808503,4
1343808537,4
1343808591,4
1343808604,4
1343808677,4
1343808776,4
1343808789,4
1343808812,4
1343808813,4
1343808840,4
1343808940,4
1343809007,4
1343809049,4
1343809055,4
1343809066,4
1343809078,4
1343809104,4
1343809156,4
1343809181,4
1343809228,4
1343809374,4
1343809549,4
1343809696,4
1343809828,4
1343809828,4
1343809939,4
1343809989,4
1343810146,4
1343810172,4
1343810179,4
1343810193,5
1343810332,5
1343810739,5
1343810743,5
1343810849,5
1343810918,5
1343811040,5
1343811232,5
1343811343,5
1343811386,5
1343811580,5
1343811583,6
1343811650,6
1343811834,6
1343811869,6
1343811932,6
1343811949,6
1343812063,6
1343812440,6
1343812505,6
1343812538,6
1343812603,6
1343812737,6
1343812785,6
1343812816,6
1343812880,6
1343812921,6
1343813033,6
1343813066,6
1343813138,7
1343813214,7
1343813226,7
1343813298,7
1343813367,7
1343813418,7
1343813419,7
1343813749,8
1343813825,8
1343813872,8
1343813982,8
1343814043,8
1343814290,8
1343814412,8
1343814494,8
1343814694,9
1343814807,9
1343814971,9
1343815058,9
1343815067,9
1343815075,9
1343815183,9
1343815469,10
1343815543,10
1343815761,10
1343815906,10
1343815953,10
1343816477,10
1343816868,11
1343817072,11
1343817258,11
1343817321,11
1343817384,11
1343817617,11
1343817865,12
1343817931,12
1343817971,12
1343818337,12
1343818687,12
1343818854,12
1343818866,12
1343818987,12
1343819130,12
1343819232,12
1343819249,12
1343819283,12
1343819454,12
1343819879,13
1343820022,13
1343820081,13
1343820209,14
1343820228,14
1343820606,14
1343820701,15
1343820759,15
1343820944,15
