Start,Mean,Group,Summary
1343807088,1343807088,1,RT @tomatnilefm: Well done to Egypt's Alaaeldin Abouelkassem who's won an #Olympics silver medal in fencing :)
1343807572,1343807572,2,RT @Amr_Ezzeldin: Cassara crying after @AlaaElDinElSay1 knocked him out in Foil Quarter-finals #fencing #London2012 #Egypt http://t.co/H ...
1343807760,1343807760,3,RT @Hadiaelsaid: Congratulations first Egyptian silver Olympic medal #london2012 #fencing @alaaeldinelsay1 come on let's get the Gold @O ...
1343809156,1343809156,4,RT @SS_Serene: Egyptian fencer Alaaeldin Abouelkassem celebrates winning silver& Africa's first fencing medal in history #Olympics20 ...
1343810849,1343810849,5,South Korean Shin A Lam is robbed in #fencing: http://t.co/M6seiyop #olympics #southkorea
1343812816,1343812816,6,WOAH so S. Korean Shin A-lam lost her fencing match due to a malfunction w the clock but judges still say she lost? What bullshit. #Olympics
1343813298,1343813298,7,High drama from the women's fencing #LEGO style. If only women's épée really featured stormtrooper helmets! #Olympics http://t.co/ZaCUS8pV
1343813872,1343813872,8,As a competitor this stings! RT @DaphneOP: This was just so heartbreaking http://t.co/FXAI33tu #olympics #london2012 #fencing #southkorea
1343815075,1343815075,9,RT @DaphneOP: This was just so heartbreaking http://t.co/Esub87rr #olympics #london2012 #fencing #southkorea
1343815469,1343815469,10,RT @Marty_Morrissey: Love watching the fencing #Olympics http://t.co/9K4tNtPl
1343817321,1343817321,11,RT @mychiller: MSNBC tomorrow  Boxing Fencing Table Tennis  Soccer  fencing and more starting at 9AMET #olympics
1343819249,1343819249,12,RT @DarylHomerUSA: Shoutout to Shin A Lam for the strength you showed towards adversity today! #Olympics #fencing
1343820081,1343820081,13,YES. Or fencing. Or skeet shooting. #London2012 RT @TylerSWall: Why don't we see more equestrian events on TV at the #Olympics?”
1343820209,1343820209,14,RT @BigJim_McDonald: Big Jim loves to watch a bit of fencing when the Olympics are on. #parful #worldrecord #london2012 http://t.co/Ie9Y9nlS
1343821123,1343821123,15,RT @fourstaral: These #fencing masks are wicked cool! #Olympics #london2012 http://t.co/pQuGSi9L
1343823182,1343823182,16,RT @Aamyra: This is ridiculous. Shin should have won the gold for fencing! #Korean #Germany #Olympics http://t.co/HEIAPs0V
1343826415,1343826415,17,Badminton archery fencing #TeamINA #Olympics
1343829848,1343829848,18,RT @KGWOlympics: What to Watch on Wednesday at the #Olympics including @marielzagunis of Beaverton fencing sabre! http://t.co/aQ0D0MRb
1343832334,1343832334,19,RT @Sports_Billy: Since when did #fencing get so hi tech?! #Olympics #LO2012
1343832730,1343832730,20,The fencing arena is more Tron-ish than I was expecting. #Olympics
1343835500,1343835500,21,Monday’s controversial fencing match recreated by the Guardian. Using Lego storm troopers! http://t.co/8w7PXFRh #London2012
1343836347,1343836347,22,Brick-by-brick women's fencing semi-final: Shin A-lam's sit-down protest – video http://t.co/ZjPqyUsh via @guardian #London2012 #fencing
1343837848,1343837848,23,Karuchenko goes on the attack but gets tangled up in Borel's blade twice Borel goes through 15-10 #fencing #london2012
1343838825,1343838825,24,good luck @DagaUSAFencing and @marielzagunis! #fencing #olympics #teamusa
1343840989,1343840989,25,RT @guldaar: Egypt's Alaaeldin Abouelkassem who won a silver medal for fencing at the #Olympics. Africa's first medal for fencing! http ...
1343841728,1343841728,26,Kelsey leads at the break 5-3. Go #TeamUSA! #fencing #Olympics #MensEpee #fb
1343842128,1343842128,27,Novosjolov can't break down Kelsey's defence enough to draw himself level 10-8 to Kelsey at the 2nd break #fencing #london2012
1343842375,1343842375,28,RT @djbases: US's Kelsey beats world No. 1 Novosjolov 15-11 in round of 16 in men's epee at the Olympics. Big upset. #fencing #olympics
1343843178,1343843178,29,RT @aasimzkhan: Epic picture! MT @guldaar: Egypt's Alaaeldin Abouelkassem who won a silver medal for fencing at the #Olympics. http:// ...
1343843264,1343843264,30,Wants to try/play table tennis...badminton...rowing...basketball....volleyball...archery...fencing... #olympics #london2012
1343843817,1343843817,31,@robpchambers: knocked out like pin balls?! BBC fencing commentary team seem to be struggling for similes #London2012
