Time,Group
1343064621,1
1343065219,1
1343066170,1
1343067290,1
1343067416,1
1343067769,1
1343078172,1
1343078449,1
1343084496,1
1343084800,1
1343086818,1
1343094486,1
1343098922,1
1343098998,1
1343098998,1
1343106824,1
1343107086,1
1343107594,1
1343110660,1
1343112922,1
1343115443,2
1343115514,2
1343115588,2
1343115610,2
1343115653,2
1343115712,2
1343116265,2
1343116553,2
1343116723,2
1343117185,2
1343118290,2
1343121418,2
1343123246,2
1343123371,2
1343124703,2
1343125798,2
1343128137,2
1343132770,2
1343142255,2
1343143591,2
1343147002,2
1343147927,2
1343148072,2
1343148341,2
1343149515,2
1343149515,2
1343150153,2
1343150154,2
1343150285,2
1343151472,2
1343152029,2
1343152478,2
1343154452,2
1343154834,2
1343157030,2
1343161973,2
1343163385,2
1343163523,2
1343163927,2
1343165253,2
1343165265,2
1343168355,2
1343168479,2
1343169879,2
1343172818,2
1343174194,2
1343174405,2
1343174410,2
1343174881,2
1343175347,2
1343175585,2
1343175657,2
1343175742,2
1343176518,2
1343176646,2
1343178226,2
1343178296,2
1343181954,2
1343186844,2
1343186889,2
1343189932,2
1343192523,2
1343192693,2
1343194195,2
1343207511,3
1343207575,4
1343295299,5
1343297395,6
1343299376,7
1343299466,8
1343300980,9
1343301454,10
1343301771,11
1343301817,12
1343302232,13
1343302266,14
1343302666,15
1343302716,16
1343303158,17
1343303275,18
1343305255,19
1343305358,20
1343305359,21
1343306613,22
1343306627,23
1343307088,24
1343307092,25
1343307510,26
1343308648,27
1343313591,28
1343313894,29
1343317113,30
1343317349,31
1343319047,32
1343319642,33
1343323244,34
1343323707,35
1343327595,36
1343327676,37
1343328180,38
1343331834,39
1343332267,40
1343332716,41
1343333427,42
1343333505,43
1343333796,44
1343334046,45
1343334804,46
1343334831,47
1343334936,48
1343334975,49
1343336384,50
1343336661,51
1343336781,52
1343337127,53
1343338689,54
1343338744,55
1343338792,56
1343339805,57
1343339806,58
1343339825,59
1343339928,60
1343339937,61
1343340166,62
1343340400,63
1343340406,64
1343340672,65
1343340922,66
1343341275,67
1343341751,68
1343341881,69
1343342139,70
1343342165,71
1343342223,72
1343342350,73
1343342368,74
1343342911,75
1343343111,76
1343343150,77
1343343541,78
1343343634,79
1343344074,80
1343344498,81
1343348401,82
1343349462,83
1343350332,84
1343351196,85
1343351247,86
1343351584,87
1343352442,88
1343352528,89
1343352617,90
1343352915,91
1343353042,92
1343353089,93
1343353103,94
1343353160,95
1343353186,96
1343353239,97
1343353292,98
1343353320,99
1343353367,100
1343354545,101
1343355622,102
1343355635,103
1343355677,104
1343355853,105
1343357711,106
1343358758,107
1343359055,108
1343359864,109
1343361095,110
1343361793,111
1343361827,112
1343361957,113
1343362206,114
1343362721,115
1343362984,116
1343363403,117
1343363613,118
1343363699,119
1343363778,120
1343364542,121
1343364712,122
1343364823,123
1343364858,124
1343365013,125
1343365178,126
1343365328,127
1343365785,128
1343365861,129
1343366047,130
1343366224,131
1343366661,132
1343366688,133
1343366934,134
1343367122,135
1343367726,136
1343367904,137
1343367911,138
1343367999,139
1343368443,140
1343368463,141
1343368639,142
1343368906,143
1343369126,144
1343369240,145
1343369315,146
1343369329,147
1343369421,148
1343369452,149
1343369793,150
1343370258,151
1343370642,152
1343370871,153
1343370893,154
1343370971,155
1343370988,156
1343371466,157
1343371608,158
1343371648,159
1343371651,160
1343371792,161
1343372099,162
1343372237,163
1343372241,164
1343372586,165
1343372863,165
1343373060,166
1343373157,167
1343373462,168
1343373942,169
1343374726,170
1343374803,171
1343374923,172
1343375046,173
1343379518,173
1343379713,174
1343379894,174
1343380945,174
1343381080,175
1343381746,175
1343381780,175
1343381850,176
1343381909,177
1343386339,178
1343387342,179
1343387389,180
1343387489,181
1343387518,182
1343387612,183
1343387697,184
1343387773,185
1343387803,185
1343387912,186
1343388068,187
1343388295,188
1343388499,189
1343389130,189
1343389264,190
1343389492,191
1343391053,192
1343391247,193
1343391565,194
1343392647,195
1343392911,196
1343393779,197
1343393836,197
1343393952,198
1343394731,199
1343394845,200
1343394897,201
1343394899,202
1343394927,203
1343394948,204
1343395029,205
1343395943,206
1343396016,207
1343396265,208
1343396627,208
1343397147,208
1343398366,209
1343400721,210
1343400820,211
1343400900,212
1343400952,212
1343401698,213
1343402333,213
1343402441,214
1343402798,214
1343403016,215
1343403367,215
1343403547,216
1343403586,216
1343403985,216
1343404182,217
1343404314,218
1343404514,219
1343404660,220
1343404680,221
1343405136,221
1343405297,222
1343405493,222
1343405834,222
1343406329,223
1343406750,223
1343407217,224
1343407642,225
1343407704,226
1343408187,227
1343408435,228
1343408585,229
1343408931,229
1343409287,230
1343409523,230
1343410470,231
1343410523,232
1343410682,233
1343410865,234
1343410922,235
1343411065,235
1343411121,236
1343411304,236
1343411546,236
1343411590,237
1343411745,238
1343411771,239
1343411830,240
1343411855,241
1343411890,242
1343411970,243
1343412035,244
1343412054,245
1343412100,246
1343412186,247
1343413086,247
1343413224,248
1343413470,249
1343413829,250
1343415835,251
1343416119,252
1343416568,253
1343416899,254
1343417031,255
1343417296,256
1343417800,257
1343418101,258
1343419427,259
1343419848,260
1343419962,261
1343420010,262
1343420171,263
1343420249,264
1343420343,265
1343420380,266
1343420497,266
1343420560,267
1343420592,267
1343420809,268
1343421012,268
1343421350,269
1343421449,270
1343422061,271
1343422151,272
1343422184,272
1343422667,273
1343422683,273
1343422721,273
1343423618,274
1343424246,274
1343424779,275
1343425437,276
1343425532,277
1343426220,278
1343426576,279
1343427953,280
1343427992,281
1343428183,282
1343429462,283
1343429523,284
1343429585,284
1343429740,285
1343430005,286
1343430069,287
1343430144,288
1343431158,289
1343431403,290
1343431789,291
1343432966,292
1343433005,293
1343433376,293
1343433929,294
1343434271,294
1343434348,295
1343434808,296
1343434866,297
1343435033,297
1343435751,298
1343436558,299
1343437164,300
1343437277,301
1343437964,302
1343438461,303
1343438859,304
1343438864,304
1343438886,304
1343439205,305
1343439277,306
1343439349,307
1343439399,308
1343439804,309
1343439849,309
1343439883,310
1343440790,311
1343441203,311
1343441216,312
1343442067,313
1343442135,314
1343442398,315
1343442633,316
1343442732,317
1343443617,318
1343443941,319
1343443958,320
1343444746,321
1343444799,322
1343445411,323
1343445638,324
1343445792,325
1343446237,326
1343446402,327
1343447107,328
1343447139,329
1343447334,330
1343447340,330
1343447539,331
1343447850,332
1343447940,332
1343447951,333
1343448014,334
1343448056,335
1343448651,335
1343448739,336
1343448807,336
1343448874,337
1343449097,337
1343449636,338
1343450584,338
1343451313,339
1343451693,339
1343452624,340
1343452878,340
1343453226,341
1343453431,342
1343453503,343
1343453849,343
1343453856,344
1343455017,345
1343455178,346
1343455704,347
1343455863,348
1343455925,349
1343455947,350
1343455967,351
1343456526,352
1343456560,353
1343456697,353
1343456860,354
1343457021,355
1343457243,356
1343457350,356
1343458143,357
1343458265,357
1343458278,357
1343458321,357
1343458365,357
1343458394,358
1343458404,359
1343458429,360
1343458466,360
1343458468,361
1343458622,362
1343458642,363
1343458775,363
1343458777,364
1343458809,365
1343458832,365
1343458976,365
1343459028,365
1343459101,365
1343459279,365
1343459813,365
1343460080,365
1343460203,365
1343460255,365
1343460517,365
1343460742,365
1343460854,365
1343460924,365
1343460984,365
1343461188,365
1343461242,365
1343461669,365
1343461692,365
1343461972,365
1343462008,365
1343462079,365
1343462129,365
1343462234,365
1343462408,365
1343463024,365
1343463036,365
1343463401,365
1343463504,365
1343463607,365
1343463641,365
1343463879,365
1343464090,365
1343464420,365
1343464658,365
1343464669,365
1343464856,365
1343464903,365
1343464961,365
1343465108,365
1343465213,365
1343465250,365
1343465380,365
1343465623,365
1343465639,365
1343465741,365
1343466253,366
1343466390,366
1343466425,366
1343466659,366
1343467167,366
1343467231,366
1343467285,366
1343467472,366
1343467872,366
1343467900,366
1343467902,366
1343467918,366
1343468067,366
1343468274,366
1343468371,366
1343468500,366
1343468540,366
1343468546,366
1343468589,366
1343468631,366
1343468639,366
1343468691,366
1343468750,366
1343468770,366
1343468789,366
1343468872,366
1343469051,366
1343469450,367
1343469529,367
1343469547,367
1343469582,367
1343469620,367
1343469628,367
1343469652,367
1343469665,367
1343469673,367
1343469686,367
1343469770,367
1343469779,367
1343469798,367
1343469938,367
1343469964,367
1343470133,367
1343470232,368
1343470308,368
1343470352,368
1343470419,368
1343470423,368
1343470433,368
1343470439,368
1343470460,368
