Start,Mean,Group,Summary
1343807749,1343807749,1,RT @Amr_Ezzeldin: Cassara crying after @AlaaElDinElSay1 knocked him out in Foil Quarter-finals #fencing #London2012 #Egypt http://t.co/H ...
1343807855,1343807855,2,RT @Hadiaelsaid: Congratulations first Egyptian silver Olympic medal #london2012 #fencing @alaaeldinelsay1 come on let's get the Gold @O ...
1343808334,1343808334,3,RT @SS_Serene: Egyptian fencer Alaaeldin Abouelkassem celebrates winning silver& Africa's first fencing medal in history #Olympics20 ...
1343808813,1343808813,4,Guys support @AymanAlaaFayez :) good luck tomorrow isa#fencing #London2012
1343809007,1343809007,5,RT @Nouranelaswad: Guys support @AymanAlaaFayez :) good luck tomorrow isa#fencing #London2012
1343809078,1343809078,6,RT @Hadiaelsaid: Congratulations first Egyptian silver Olympic medal #london2012 #fencing @alaaeldinelsay1 come on let's get the Gold @O ...
1343809228,1343809228,7,RT @SS_Serene: Egyptian fencer Alaaeldin Abouelkassem celebrates winning silver& Africa's first fencing medal in history #Olympics20 ...
1343810179,1343810179,8,RT @SS_Serene: Egyptian fencer Alaaeldin Abouelkassem celebrates winning silver& Africa's first fencing medal in history #Olympics20 ...
1343810849,1343810849,9,South Korean Shin A Lam is robbed in #fencing: http://t.co/M6seiyop #olympics #southkorea
1343811932,1343811932,10,RT @Hadiaelsaid: Congratulations first Egyptian silver Olympic medal #london2012 #fencing @alaaeldinelsay1 come on let's get the Gold @O ...
1343812816,1343812816,11,WOAH so S. Korean Shin A-lam lost her fencing match due to a malfunction w the clock but judges still say she lost? What bullshit. #Olympics
1343813214,1343813214,12,High drama from the women's fencing #LEGO style. If only womens's épée really featured stormtrooper helmets! #Olympics http://t.co/ZaCUS8pV
1343813825,1343813825,13,Learn to recognize~Olympic Fencing techniques~Enjoy watching more http://t.co/KLlLX0rX #haiku #news #fencing #Olympics #rules #scoring #2012
1343815075,1343815075,14,RT @DaphneOP: This was just so heartbreaking http://t.co/Esub87rr #olympics #london2012 #fencing #southkorea
1343817865,1343817865,15,The fencing federation decided to award a 'special' medal to Shin A Lam. BOO! She should have competed for the gold. #london2012
1343819130,1343819130,16,Gus Johnson shoulda had a spot on some events during these Olympics. He could even make fencing sound awesome!! #London2012
1343821183,1343821183,17,01.08.2012. Бугун #London2012 баҳсларида 3 спортчимизни иштрокига гувоҳ бўламиз. #Uzb #Judo #fencing #tennis
1343823182,1343823182,18,RT @Aamyra: This is ridiculous. Shin should have won the gold for fencing! #Korean #Germany #Olympics http://t.co/HEIAPs0V
1343823312,1343823312,19,South Korean fencer Shin A-Lam broke down emotionally today on the fencing floor at #London2012 after a loss. #TimeHealsAllWounds
1343825268,1343825268,20,Lot's of surprises in men's foil at #London2012. Congrats to Abouelkassem for Egypt's and Africa's first Olympic fencing medal.
1343826984,1343826984,21,Hahahaha @Ay_zee_u: LOL yea fencing. RT @Namdie @Ay_zee_u has Ghana won any medal #olympics
1343827561,1343827561,22,RT @ayshardzn: The women's fencing controversy. Really feel sorry for her #London2012 http://t.co/afhkXxa1
1343828998,1343828998,23,Germany received a silver medal for cheating & paying the referees money... #fencing #Olympics
1343831615,1343831615,24,RT @KGWOlympics: What to Watch on Wednesday at the #Olympics including @marielzagunis of Beaverton fencing sabre! http://t.co/aQ0D0MRb
1343832730,1343832730,25,The fencing arena is more Tron-ish than I was expecting. #Olympics
1343833601,1343833601,26,Off to watch the men's epee at ExCel. Sadly no @jonwillisfencer to cheer on but still promises to be a great day of #fencing. #olympics
1343833891,1343833891,27,RT @NBCSN: Coming up we'll have the Shin A Lam fencing controversy. ALL OLYMPIC FANS ReTweet this because everyone is going to want to s ...
1343834405,1343834405,28,Woke up damn early burt at Excel for fencing :) #Olympics
1343835287,1343835287,29,Ayman is now playing in the round of 32. follow his match through this link and pray for him! #olympics #fencing #egypt http://t.co/LmxcEVQo
1343835485,1343835485,30,Having wonderful time at #Olympics fencing! And haven't even been into the arena yet!
1343836125,1343836125,31,Nice display of #epee #fencing by #TeamUSA member Seth Kelsey. 8-7 victory to move on to Round of 16! #Olympics
1343837848,1343837848,32,Karuchenko goes on the attack but gets tangled up in Borel's blade twice Borel goes through 15-10 #fencing #london2012
1343838818,1343838818,33,Porra o brasileiro tava ganhando tomou a virada e agora tá tomando peia #fencing #london2012
1343841829,1343841829,34,Mexican Wave at the #London2012 fencing http://t.co/HEZ735IR
1343842315,1343842315,35,US's Kelsey beats world No. 1 Novosjolov 15-11 in round of 16 in men's epee at the Olympics. Big upset. #fencing #olympics
1343842836,1343842836,36,I do hope Kelsey (USA) doesn't win#mensepeé #London2012. He has a non-standard Stars & Stripes fencing mask #unfair
1343843226,1343843226,37,OG 2012 ME T16: Alimzhanov KAZ v Jung KOR Fiedler GER v Verwijlen NED Imre HUN v Piasecki NOR Borel FRA v Kauter SUI #london2012 #fencing
1343843424,1343843424,38,Watching the fencing at the olympics #olympics2012 http://t.co/la0hODvd
1343843817,1343843817,39,@robpchambers: knocked out like pin balls?! BBC fencing commentary team seem to be struggling for similes #London2012
1343844015,1343844015,40,Fiedler GER leads Verwijlen NED 12-7 #london2012 #fencing
1343844237,1343844237,41,Must tear myself away from the fencing today. Never seen tv coverage like this. Bloody brilliant. Well done BBC. #london2012
1343845242,1343845242,42,RT @InnoBystander: . @borisranting I put money on GB in the fencing then discovered it was nothing to do with passing off stolen goods. ...
1343846006,1343846006,43,Let's go Seth Kelsey!! #TeamUSA is taking the strip in the #MensEpee quarter finals. #fencing #Olympics #fb
1343846203,1343846203,44,Borel's off to a good start that reach of his has undone his previous oppoenents today 7-6 lead currently #fencing #london2012
1343846251,1343846251,45,They've run out of steak #pasties at the #fencing!! #Seb you have let me down!! #london2012
1343846366,1343846366,46,1st break and Piasecki is fighting back into this match 10-9 behind #fencing #london2012
1343846791,1343846791,47,RT @MarkusFjortoft: My teacher through to the semi-final of fencing in the Olympics Ranked as 43rd in the world What a man Bartosz Pias ...
1343847157,1343847157,48,I've always wanted to try fencing and I was given a sword for my birthday. Épée? I was fucking delighted yeah. #Olympics
1343847649,1343847649,49,Waiting for fencing semis to start. Hoping to see my friend who is volunteering at the games again #london2012
1343848286,1343848286,50,OG 2012 ME T8: Kelsey USA def Fernandez VEN 15-9 Limardo VEN def Pizzo ITA 15-12 #london2012 #fencing
1343848936,1343848936,51,Zagunis USA def Permatasari INA 15-7#London2012 #fencing
1343849543,1343849543,52,What an amazing morning!! And who would have picked that top 4? Now for the WS - feeling spoilt for excellent fencing today #London2012
1343850235,1343850235,53,OG 2012 WS T64: Bond-Williams GBR v Vougiouka GRE Williams GBR v Vecchi ITA at 14.10 GMT+1 #london2012 #fencing
1343851426,1343851426,54,Who can watch fencing with all the SCREAMING??? wtf? #olympics
1343851613,1343851613,55,Girl screaming in fencing #olympics
1343851838,1343851838,56,This chick in fencing needs to quit screaming like a little girl every point. #annoying #gonnaknockherout #Olympics
1343852060,1343852060,57,RT @MrJoeMcCaffrey: Every time someone gets a point in women's fencing they make a sound like they just found a spider in the bathtub. # ...
1343852498,1343852498,58,RT @BBCCornwall: Cornwall's Louise Bond Williams up first in the fencing #London2012
1343852793,1343852793,59,#AirForceReserve Capt. Seth Kelsey will compete in Epee fencing at the #Olympics. Good luck Capt. Kelsey!! http://t.co/imIO1HNU @AF_Academy
1343853085,1343853085,60,Why are these fencing women yelling like they're in excruciating pain? #Olympics
1343853195,1343853195,61,Seth Kelsey bring home that Gold for 'Murikah! #fencing #London2012 #redwhiteandbacon
1343853298,1343853298,62,RT @rhod13: Truro Fencing Club's Sophie Williams and Louise Bond-Williams suffer first round defeats in women's sabre #London2012 #fencing
1343853398,1343853398,63,Zagunis and Wozniak both in the top 16! Keep it up!!! #fencing #olympics #TeamUSA
1343853587,1343853587,64,It's possible that @mental_floss will be forced to watch some women's sabre fencing today (where possible = for sure & some = all) #olympics
1343853837,1343853837,65,RT @britishfencing: OG 2012 WS T32: Vogiouka GRE def Bond-Williams GBR 15-8 #london2012 #fencing
1343854071,1343854071,66,BB MARIEL IS FENCING EVERYBODY SHUT THE FUCK UP. #fencing #olympics
1343854200,1343854200,67,Olympic fencing is a interesting sport. #Olympics #Fencing #TeamUSA
1343854409,1343854409,68,RT @qatar_olympic: Amira Ben Chaabane #Tunisian fencing athleteis competing in the women’s round of 32 at 3:50pm Doha #London2012 #Arab ...
1343854586,1343854586,69,RT @courtneyhixson: They strike they scream they fist bump. This is how fencing works. #olympics
1343854755,1343854755,70,Zagunis 15-9 v Nakayama (JPN) in the 16. #fencing #Olympics. Go Team USA!
1343854989,1343854989,71,RT @rhod13: Truro Fencing Club's Sophie Williams and Louise Bond-Williams suffer first round defeats in women's sabre #London2012 #fencing
1343855131,1343855131,72,I don't understand fencing at all #London2012
1343855372,1343855372,73,*me watching fencing at the #Olympics2012* Stab her with your pointy stick! Stab her! Yeah!
1343855490,1343855490,74,Is fencing that hard #Olympics
1343855653,1343855653,75,Who knew fencing was so intense #Olympics
1343855780,1343855780,76,Chen takes a narrow 8-7 lead into the break #fencing #london2012
1343856011,1343856011,77,Velikaya RUS def Benitez VEN 15-10 to advance to the Quarter finals #london2012 #fencing
1343856574,1343856574,78,RT @MarkusFjortoft: My teacher through to the semi-final of fencing in the Olympics Ranked as 43rd in the world What a man Bartosz Pias ...
1343857147,1343857147,79,Actually pumped to watch this fencing right now. #olympics #USA
1343857386,1343857386,80,RT @LJRaderNBC: And Mariel Zagunis is back on MSNBC fencing LIVE. Like Christmas for us #Fencing fans Tune in!! #London2012
1343857594,1343857594,81,Can someone please tell me the difference between fencing and sabre #Olympics
1343857738,1343857738,82,Zagunis is beasting this fencing match. Lol. #Olympics2012
1343857840,1343857840,83,RT @Steven_W84: Watching fencing >>> #Olympics2012
1343857975,1343857975,84,Wow fencing is intense! #olympics
1343858035,1343858035,85,Dude fencing is intense. #Olympics2012
1343858116,1343858116,86,Zagunis is beast at fencing #TeamUSA #Olympics2012
1343858361,1343858361,87,Watching Mariel Zagunis dismantle her opponents on the strip is amazing to watch. #fencing #TeamUSA #Olympics
1343858528,1343858528,88,NJ native Dagmara Wozniak is fencing on MSNBC right now! Go @DagaUSAFencing! #Olympics
1343859237,1343859237,89,Olympic fencing with @LilyYoung_ @HPFencingClub #London2012 http://t.co/TYN1YfxL
1343859910,1343859910,90,RT @egyFt: Egypt quarter-final bound in the #London2012 Olympics. Great follow up to our silver medal in fencing yesterday. Mabrook ya Masr!
1343861896,1343861896,91,RT @usairforce: #TeamUSA Capt Kelsey moves to #Olympics semifinal epee fencing bout http://t.co/1RLIi65S 10:30 a.m. MST #London 2012 #Ai ...
1343863118,1343863118,92,ExCel-lent seats for fencing #Olympics http://t.co/njyoVxuf
1343863557,1343863557,93,Ready for the fencing at #london2012 http://t.co/dlP9qdnO
1343864017,1343864017,94,Limardo is looking for Kelsey's blade before he wants to risk attacking concedes the first hit though 0-1 #fencing #london2012
1343864145,1343864145,95,“@LexGasco4: . Venezuela in fencing semifinals! #London2012” fencingggg is a LAMEEEE sport!!!
1343864327,1343864327,96,Non-combativity called at 2-2 in the second period Kelsey will up the aggression now #fencing #london2012
1343864602,1343864602,97,5-5 into sudden death Limardo still playing with Kelsey's blade but not else much happening Limardo's priority #fencing #london2012
1343864857,1343864857,98,Ruben Limardo Gascon off to the fencing finals!! Viva Venezuela #London2012
1343865303,1343865303,99,London Olympics: Mariel Zagunis rolls into semifinals in fencing - Los Angeles Times: http://t.co/TsFq0gKM... http://t.co/p6fh4jDU #olympics
