Time,Group
1343064621,0
1343065219,0
1343066170,0
1343067290,0
1343067416,0
1343067769,0
1343078172,0
1343078449,0
1343084496,0
1343084800,0
1343086818,0
1343094486,0
1343098922,0
1343098998,0
1343098998,0
1343106824,0
1343107086,0
1343107594,0
1343110660,0
1343112922,0
1343115443,0
1343115514,0
1343115588,0
1343115610,0
1343115653,0
1343115712,0
1343116265,0
1343116553,0
1343116723,0
1343117185,0
1343118290,0
1343121418,0
1343123246,0
1343123371,0
1343124703,0
1343125798,0
1343128137,0
1343132770,0
1343142255,0
1343143591,0
1343147002,0
1343147927,0
1343148072,0
1343148341,0
1343149515,0
1343149515,0
1343150153,0
1343150154,0
1343150285,0
1343151472,0
1343152029,0
1343152478,0
1343154452,0
1343154834,0
1343157030,0
1343161973,0
1343163385,0
1343163523,0
1343163927,0
1343165253,0
1343165265,0
1343168355,0
1343168479,0
1343169879,0
1343172818,0
1343174194,0
1343174405,0
1343174410,0
1343174881,0
1343175347,0
1343175585,0
1343175657,0
1343175742,0
1343176518,0
1343176646,0
1343178226,0
1343178296,0
1343181954,0
1343186844,0
1343186889,0
1343189932,0
1343192523,0
1343192693,0
1343194195,0
1343207511,0
1343207575,0
1343295299,0
1343297395,0
1343299376,0
1343299466,0
1343300980,0
1343301454,0
1343301771,0
1343301817,0
1343302232,0
1343302266,0
1343302666,0
1343302716,0
1343303158,0
1343303275,0
1343305255,0
1343305358,0
1343305359,0
1343306613,0
1343306627,0
1343307088,0
1343307092,0
1343307510,0
1343308648,0
1343313591,0
1343313894,0
1343317113,0
1343317349,0
1343319047,0
1343319642,0
1343323244,0
1343323707,0
1343327595,0
1343327676,0
1343328180,0
1343331834,0
1343332267,0
1343332716,0
1343333427,0
1343333505,0
1343333796,0
1343334046,0
1343334804,1
1343334831,1
1343334936,1
1343334975,1
1343336384,1
1343336661,1
1343336781,1
1343337127,1
1343338689,1
1343338744,1
1343338792,1
1343339805,1
1343339806,1
1343339825,1
1343339928,1
1343339937,1
1343340166,1
1343340400,1
1343340406,1
1343340672,1
1343340922,1
1343341275,1
1343341751,1
1343341881,1
1343342139,1
1343342165,1
1343342223,1
1343342350,1
1343342368,1
1343342911,1
1343343111,1
1343343150,1
1343343541,1
1343343634,1
1343344074,1
1343344498,1
1343348401,1
1343349462,1
1343350332,1
1343351196,1
1343351247,1
1343351584,1
1343352442,1
1343352528,1
1343352617,1
1343352915,1
1343353042,1
1343353089,1
1343353103,1
1343353160,1
1343353186,1
1343353239,1
1343353292,1
1343353320,1
1343353367,1
1343354545,1
1343355622,1
1343355635,1
1343355677,1
1343355853,1
1343357711,1
1343358758,1
1343359055,1
1343359864,1
1343361095,1
1343361793,1
1343361827,1
1343361957,1
1343362206,1
1343362721,1
1343362984,1
1343363403,1
1343363613,1
1343363699,1
1343363778,1
1343364542,1
1343364712,1
1343364823,1
1343364858,1
1343365013,1
1343365178,1
1343365328,1
1343365785,1
1343365861,1
1343366047,1
1343366224,1
1343366661,1
1343366688,1
1343366934,1
1343367122,1
1343367726,1
1343367904,1
1343367911,1
1343367999,1
1343368443,1
1343368463,1
1343368639,1
1343368906,1
1343369126,1
1343369240,1
1343369315,1
1343369329,1
1343369421,1
1343369452,1
1343369793,1
1343370258,1
1343370642,1
1343370871,1
1343370893,1
1343370971,1
1343370988,1
1343371466,1
1343371608,1
1343371648,1
1343371651,1
1343371792,1
1343372099,1
1343372237,1
1343372241,1
1343372586,1
1343372863,1
1343373060,1
1343373157,1
1343373462,1
1343373942,1
1343374726,1
1343374803,1
1343374923,1
1343375046,1
1343379518,1
1343379713,1
1343379894,1
1343380945,1
1343381080,1
1343381746,1
1343381780,1
1343381850,1
1343381909,1
1343386339,1
1343387342,1
1343387389,1
1343387489,1
1343387518,1
1343387612,1
1343387697,1
1343387773,1
1343387803,1
1343387912,1
1343388068,1
1343388295,1
1343388499,1
1343389130,1
1343389264,1
1343389492,1
1343391053,1
1343391247,1
1343391565,1
1343392647,1
1343392911,1
1343393779,1
1343393836,1
1343393952,1
1343394731,1
1343394845,1
1343394897,1
1343394899,1
1343394927,1
1343394948,1
1343395029,1
1343395943,1
1343396016,1
1343396265,1
1343396627,1
1343397147,1
1343398366,1
1343400721,1
1343400820,1
1343400900,1
1343400952,1
1343401698,1
1343402333,1
1343402441,1
1343402798,1
1343403016,1
1343403367,1
1343403547,1
1343403586,1
1343403985,1
1343404182,1
1343404314,1
1343404514,1
1343404660,1
1343404680,1
1343405136,1
1343405297,1
1343405493,1
1343405834,1
1343406329,1
1343406750,1
1343407217,1
1343407642,1
1343407704,1
1343408187,1
1343408435,1
1343408585,1
1343408931,1
1343409287,1
1343409523,1
1343410470,1
1343410523,1
1343410682,1
1343410865,1
1343410922,1
1343411065,1
1343411121,1
1343411304,1
1343411546,1
1343411590,1
1343411745,1
1343411771,1
1343411830,1
1343411855,1
1343411890,1
1343411970,1
1343412035,1
1343412054,1
1343412100,1
1343412186,1
1343413086,1
1343413224,1
1343413470,1
1343413829,1
1343415835,1
1343416119,1
1343416568,1
1343416899,1
1343417031,1
1343417296,1
1343417800,1
1343418101,1
1343419427,1
1343419848,1
1343419962,1
1343420010,1
1343420171,1
1343420249,1
1343420343,1
1343420380,1
1343420497,1
1343420560,1
1343420592,1
1343420809,1
1343421012,1
1343421350,1
1343421449,1
1343422061,1
1343422151,1
1343422184,1
1343422667,1
1343422683,1
1343422721,1
1343423618,1
1343424246,1
1343424779,1
1343425437,1
1343425532,1
1343426220,1
1343426576,1
1343427953,1
1343427992,1
1343428183,1
1343429462,1
1343429523,1
1343429585,1
1343429740,1
1343430005,1
1343430069,1
1343430144,1
1343431158,1
1343431403,1
1343431789,1
1343432966,1
1343433005,1
1343433376,1
1343433929,1
1343434271,1
1343434348,1
1343434808,1
1343434866,1
1343435033,1
1343435751,1
1343436558,1
1343437164,1
1343437277,1
1343437964,1
1343438461,1
1343438859,1
1343438864,1
1343438886,1
1343439205,1
1343439277,1
1343439349,1
1343439399,1
1343439804,1
1343439849,1
1343439883,1
1343440790,1
1343441203,1
1343441216,1
1343442067,1
1343442135,1
1343442398,1
1343442633,1
1343442732,1
1343443617,1
1343443941,1
1343443958,1
1343444746,1
1343444799,1
1343445411,1
1343445638,1
1343445792,1
1343446237,1
1343446402,1
1343447107,1
1343447139,1
1343447334,1
1343447340,1
1343447539,1
1343447850,1
1343447940,1
1343447951,1
1343448014,1
1343448056,1
1343448651,1
1343448739,1
