Start,Mean,Group,Summary
1343064621,1343300980,0,#fencing tweets from #london2012 competitors at - check it out! #socialgames
1343334804,1343410470,1,Remembering Andre Spitzer z'l; Israeli fencing coach - murdered by Palestinian terrorists at Munich #Olympics in 1972 #JustOneMinute
1343458622,1343492289,2,And now begins 17 days of Americans pretending they've always been fans archery fencing & water polo #Olympics2012
1343493971,1343501143,3,More fencing #london2012
1343507394,1343507886,4,Watching fencing on the Olympics - love it! But wonder if it would be even better I'd they dodged tables; stairs; etc. #olympics
1343508319,1343508607,5,Di Francisca advances easily. Vezzali now up 11-6. #fencing #London2012
1343508980,1343510635,6,Boubakri gets her first hit and ask for a replay for the next one which gets overturned to simultaneous 1-5 #fencing #london2012
1343511912,1343512026,7,Watching women's fencing #teamusa #Olympics2012
1343512092,1343512421,8,Watching fencing lol #olympics
1343512866,1343512952,9,I'm watching fencing right now. I love the #Olympics
1343513043,1343513060,10,Lee Kiefer: women's fencing #London2012
1343513101,1343513105,11,Kiefer from fencing is through! #Olympics
1343513161,1343513199,12,Owww Lee Kiefer! Who knew 90 seconds of women's fencing would be so fascinating?! #USA #Olympics #fencing
1343513284,1343514458,13,Watching fencing in the airport store. #olympics2012
1343515741,1343515964,14,Errigo is so ready to win #fencing #Olympics2012
1343516163,1343516689,15,RT @lifeofwrestling: let's just skip the fencing; the soccer; the tennis; & go straight to wrestling. #olympics2012 #wrestling
1343517490,1343521350,16,That Italian womans celebration in the fencing was nearly as good as Menezes' coach in the judo. #olympics2012
1343524862,1343526098,17,Errigo makes it 7-5 with a parry-riposte #fencing #london2012
1343527208,1343527443,18,#London #Olympics2012 #fencing Italy for gold and silver medal. Then who's going to win the bronze? Nam or Vezzali? #TeamItaly
1343527824,1343528558,19,The fencing feels a bit sci-fi. Lots of flashing panel lights and a weird dystopian atmosphere #London2012
1343529428,1343529505,20,RT @FencingOsprey: Vezzali has priority here in sudden death #fencing #london2012
1343529603,1343529965,21,OG 2012 WF Gold Medal: Errigo (ITA) v Di Francisca (ITA) #london2012 #fencing
1343530448,1343530638,22,Watching fencing .. its the #Olympics tho
1343530802,1343530835,23,Watching fencing and I'm so confused #Olympics
1343530861,1343530894,24,This #Olympics fencing is intense!
1343530922,1343530924,25,This fencing is legit!!! #London2012
1343530982,1343531039,26,RT @grownupbutnot: I can't watch fencing without thinking the girls are going to take their helmets off and be twins/Lindsay Lohan. #Oly ...
1343531101,1343531163,27,RT @grownupbutnot: I can't watch fencing without thinking the girls are going to take their helmets off and be twins/Lindsay Lohan. #Oly ...
1343531228,1343531260,28,RT @grownupbutnot: I can't watch fencing without thinking the girls are going to take their helmets off and be twins/Lindsay Lohan. #Oly ...
1343531342,1343531383,29,Holy cow! that #fencing match Di Francesca just won was #INSANE! #Olympics #London2012 #sosick
1343531401,1343531530,30,RT @grownupbutnot: I can't watch fencing without thinking the girls are going to take their helmets off and be twins/Lindsay Lohan. #Oly ...
1343531641,1343531735,31,#Olympics watching this fencing match.. Errigo is #turntup
1343531881,1343532098,32,Italy would sweep the fencing metals #notsurprised #Olympics
1343532301,1343533345,33,Women's fencing is outstanding ... #olympics
1343534402,1343534440,34,fencing is so awkward to watch #olympics
1343534461,1343534515,35,This women's individual foil fencing gold medal match is insane. Tied with under 30 sec left. #London2012
1343534584,1343534612,36,Watching fencing #Olympics
1343534645,1343534666,37,Sudden death for the gold medal in fencing #olympics
1343534762,1343534823,38,Wow Di Francisca won in 1 sec in sudden death. That women's fencing was dope! #Olympics
1343534886,1343535198,39,RT @JeffBryanDavis: Women's Foil is my new favorite sport. Two tough; elegant Italian women fencing under dramatic sci-fi lighting. Brav ...
