Start,Mean,Group,Summary
1343064621,1343307088,0,#fencing tweets from #london2012 competitors at - check it out! #socialgames
1343334804,1343411855,1,RT @CiFWatch: Remembering Andre Spitzer z'l; Israeli fencing coach - murdered by Palestinian terrorists at Munich #Olympics in 1972 #Min ...
1343458622,1343480752,2,RT @roywoodjr: And now begins 17 days of Americans pretending they've always been fans of archery; fencing; & water polo. #Olympics2012
1343493971,1343502147,3,#fencing #olympics
1343507394,1343507708,4,#OLYMPICS watching fencing
1343508319,1343508430,5,Yay Lee Kiefer #fencing #Olympics2012
1343508980,1343511515,6,And so it begins... #London2012 #fencing
1343511912,1343512026,7,Watching women's fencing #teamusa #Olympics2012
1343512092,1343512207,8,Watching women's fencing #Olympics
1343512866,1343512952,9,I'm watching fencing right now. I love the #Olympics
1343513043,1343513082,10,Watching fencing before work! #olympics #USA!
1343513101,1343513148,11,@ida_27 the fencing :)) #olympics
1343513161,1343513199,12,Owww Lee Kiefer! Who knew 90 seconds of women's fencing would be so fascinating?! #USA #Olympics #fencing
1343513284,1343515581,13,This fencing is tough. #London2012
1343515741,1343516012,14,Women's fencing is intense! #olympics
1343516163,1343516392,15,RT @lifeofwrestling: let's just skip the fencing; the soccer; the tennis; & go straight to wrestling. #olympics2012 #wrestling
1343517490,1343523624,16,Women's fencing #olympics
1343524862,1343525524,17,Di Francisca in the finals! #fencing #olympics #mycrush<3
1343527208,1343527409,18,Calling all fencers....Olympic fencing on tv today! #fencing #fencers #Olympics
1343527824,1343528018,19,The fencing is so dramatic! The music; the lights...I love it! #Fencing #Olympics
1343529428,1343529564,20,Valentina vezzali you are ridiculous. #olympics #fencing
1343529603,1343529853,21,OG 2012 WF Bronze Medal: Vezzali (ITA) def Nam (KOR) 13-12 in priority minute #london2012 #fencing
1343530448,1343530575,22,ohhh fencing is on #London2012
1343530802,1343530835,23,Watching fencing and I'm so confused #Olympics
1343530861,1343530894,24,This #Olympics fencing is intense!
1343530922,1343530924,25,This fencing is legit!!! #London2012
1343530982,1343531079,26,The fencing is awesome! #olympics
1343531101,1343531151,27,This fencing match is intense! #Olympics
1343531228,1343531256,28,RT @grownupbutnot: I can't watch fencing without thinking the girls are going to take their helmets off and be twins/Lindsay Lohan. #Oly ...
1343531342,1343531354,29,Wow women's fencing is no joke. That was intense. #Olympics
1343531401,1343531552,30,Is this fencing or Tron? #olympics
1343531641,1343531735,31,#Olympics watching this fencing match.. Errigo is #turntup
1343531881,1343532183,32,Is this fencing or vigorous lesbian sex? #London2012
1343532301,1343533676,33,Women's fencing is badass! #Olympics
1343534402,1343534440,34,fencing is so awkward to watch #olympics
1343534461,1343534484,35,watching women's fencing #London2012 #yolo
1343534584,1343534612,36,Watching fencing #Olympics
1343534645,1343534659,37,sudden death fencing #olympics
1343534762,1343534823,38,Wow Di Francisca won in 1 sec in sudden death. That women's fencing was dope! #Olympics
1343534886,1343535014,39,Women's fencing was really exciting; so close! #London2012
1343535664,1343538055,40,#Olympics2012 edition #MillionDollarIdea team fencing
1343538493,1343541081,41,I watched fencing and I liked it #London2012 #XXXSummerOlympiad #chicsfencing
1343544905,1343554994,42,@DeathStarPR fencing with lightsabers! #London2012
1343586354,1343587512,43,RT @Marty_Morrissey: Love watching the fencing #Olympics
1343591484,1343591493,44,RT @Marty_Morrissey: Love watching the fencing #Olympics
1343591529,1343591684,45,Watching fencing #LeaveIt #complicated #London2012
1343591822,1343591832,46,fencing #olympics
1343591882,1343591986,47,RT @Marty_Morrissey: Love watching the fencing #Olympics
1343592243,1343592319,48,Love watching the fencing :') #olympics2012
1343595245,1343595280,49,Hartung (GER) vs. GU (KOR) wins 15-14 to move on to Quarterfinals #fencing #esgrima #london2012
1343595301,1343595352,50,Come on Daryl @DarylHomerUSA #fencing #london2012
1343599590,1343603919,51,RT @Marty_Morrissey: Love watching the fencing #Olympics
1343609701,1343610994,52,Fencing looks like fun #fencing #olympics #london2012
1343613516,1343613770,53,Why am I watching fencing right now? #Olympics #AMURICA
1343614082,1343614237,54,RT @fencingnet: Kovalev (RUS) takes the Bronze Medal for Russia in Men's Sabre with a 15-10 win over Dumitrescu (ROU) #fencing #London2012
1343614387,1343614469,55,wathing fencing with ash. #olympics
1343614681,1343615350,56,@BeazleyGBFence Szilagyi(Hun) Wins the Gold Medal in the Men's Individual sabre #fencing #london2012
1343615943,1343616768,57,That was awkward... 😳 #fencing #olympics
1343617450,1343620025,58,Men's fencing #Olympics2012
1343626158,1343626369,59,I'd rather listen to Daddy Yankee for 12 hours straight than watch fencing #Olympics
1343627109,1343665613,60,#Olympics fencing :}
1343669322,1343671435,61,Nervous. #fencing #London2012
1343682724,1343682854,62,RT @Olympics: Four matches at once in #fencing #olympics
1343682968,1343684211,63,RT @Olympics: Four matches at once in #fencing #olympics
1343684587,1343688587,64,Boom!!! #TeamShin #fencing #London2012
1343689333,1343696547,65,And we are off!! #fencing #olympics
1343696703,1343699377,66,YESSSSS #fencing #london2012
1343699468,1343700124,67,So chill #fencing #london2012 #olympics @kristymacintyre
1343700663,1343700704,68,RT @spearmanchoi: What a FUCKING #Omega time keeping! #fencing #london2012 #olympic
1343700785,1343700908,69,RT @KonstantinKuhle: The #queen should decide... #fencing #london2012
1343701022,1343701270,70,RT @ymfact: #The_longest_second_of_the_olympics #fencing #london2012
1343701562,1343701822,71,@VineCulture it's hectic! #fencing #olympics
1343702046,1343702056,72,@fizzer18 You at the fencing Phil?? #Olympics #Fencing
1343702101,1343702161,73,#fencing #London2012
1343702283,1343702353,74,Wow; you have to PAY to appeal?! Seriously? #fencing #olympics
1343702403,1343702416,75,Lay down a sum of money for the appeal process?? Is that a joke; or are they serious? #london2012 #fencing
1343702461,1343702505,76,RT @Shuseyn: Shin is winner; Shin is winner; no Heidermann #fencing #London2012
1343702583,1343702806,77,Is this #occupyfencing ?? #fencing #london2012
1343703122,1343703245,78,Women's Epee drama still going on (yes; I'm back!)... #olympics #fencing
1343703482,1343703610,79,BOOOOOOOOOOOOOOO #fencing #london2012
1343703661,1343703707,80,shite. i'm heartbroken. :'( #fencing #london2012
1343703841,1343704010,81,Shin A Lam was robbed; plain and simple. #fencing #London2012
1343704147,1343704178,82,RT @jonnafon: #Olympics #fencing Shin finally leaves; in tears; after decision goes against her. Crowd gives her standing ovation. ...
1343704203,1343704240,83,RT @jonnafon: #Olympics #fencing Shin finally leaves; in tears; after decision goes against her. Crowd gives her standing ovation. ...
1343704326,1343704505,84,RT @jonnafon: #Olympics #fencing Shin finally leaves; in tears; after decision goes against her. Crowd gives her standing ovation. ...
1343704621,1343704701,85,RT @jonnafon: #Olympics #fencing Shin finally leaves; in tears; after decision goes against her. Crowd gives her standing ovation. ...
1343704742,1343704791,86,RT @jonnafon: #Olympics #fencing Shin finally leaves; in tears; after decision goes against her. Crowd gives her standing ovation. ...
1343704861,1343704945,87,RT @jonnafon: #Olympics #fencing Shin finally leaves; in tears; after decision goes against her. Crowd gives her standing ovation. ...
1343705044,1343705062,88,RT @jonnafon: #Olympics #fencing Shin finally leaves; in tears; after decision goes against her. Crowd gives her standing ovation. ...
1343705109,1343705204,89,RT @bestsujin: 적어도 관중은 공정하다는 트윗. RT @jonnafon:#Olympics #fencing Shin and Sun...
1343705402,1343705501,90,Come on Shin!! #fencing #london2012
1343705703,1343705808,91,RT @bongobeardy: Poor Shin.. She fought well. #fencing #olympics
1343705882,1343706064,92,Nooooo #fencing #olympics #chinano
1343706309,1343706391,93,RT @SeWooBi: RT @BokDa: Shin is the real winner. #Olympic #fencing #London2012
1343706541,1343706609,94,Ugly Olympic #london2012 #fencing
1343706671,1343706707,95,RT @noahlz: Probably first time the loser of an Olympic fencing medal got louder cheers then the winner. #Fencing #London2012
1343706723,1343706774,96,Sorry. 7-7! #womensepee #fencing #olympics #london2012
1343706855,1343706991,97,Brita lost. -.- #London2012 #fencing
1343707084,1343707244,98,#fencing #London2012 세계인들이 신아람선수를 위해 응원해주고 있네요. 정신은 잃어가고 권위만 내세우는 런던올림픽이지만 세계가 한마음으로 우리나라 펜싱 국가대표 신아람선수를 위해 마음이 모이는 모습에 억울한 마음이 조금 위로가 됩니다.
1343707523,1343707675,99,RT @jonnafon: #Olympics #fencing Shin still sitting on the platform; 45 minutes after the match ended
1343707815,1343707825,100,Ecstasy & agony. The moment Yana Shemyakina realised she had won fencing gold for Ukraine. #london2012
