Start,Mean,Group,Summary
1343064621,1343115514,0,RT @StJohnsU: St. John's student/athlete @stj_fencing Homer on @huffingtonpost list of New Yorkers headed to the London #Olympics ...
1343334804,1343387489,1,RT @CiFWatch: Remembering Andre Spitzer z'l - Israeli fencing coach - murdered by Palestinian terrorists at Munich #Olympics in 1972 #Ju ...
1343458622,1343480737,2,RT @roywoodjr: And now begins 17 days of Americans pretending they've always been fans of archery; fencing; & water polo. #Olympics2012
1343493971,1343506550,3,RT @fencingnet: On review; the last touch goes to Thibus - Upset #9 Deriglazova 15-8 #fencing #London2012
1343507394,1343508162,4,RT @djbases: Italy's Di Francisca beats Lebanon's Shaito 15-2 in round of 32 women's individual foil. #fencing #olympics
1343508319,1343508439,5,RT @davidenrich: A sea of people tries to exit Excel Centre after #London2012 judo; table tennis & fencing
1343508980,1343509050,6,RT @davidenrich: A sea of people tries to exit Excel Centre after #London2012 judo; table tennis & fencing
1343511912,1343511998,7,Well; KAZ vs SYR in boxing; I'm kinda favouring KAZ atm; but we'll see. Also; I wanna see the German in fencing; not the Italian! #olympics
1343512092,1343512422,8,Watching women's fencing; U.S. 18 year old phenom is killing; let's go Kiefer!! #GoUSA #Olympics
1343512866,1343512920,9,I wish I understood fencing. #TeamUSA #Olympics #London2012
1343513043,1343513072,10,Watching women's fencing...I think I expected this to be a little more pirate-y and a little less scream-y #Olympics
1343513101,1343513126,11,Kiefer advances in fencing! Never seen this before but excited to see her move on to the quarterfinals! #Lexington #USA #London2012
1343513161,1343513208,12,Just watched fencing and now im all jacked up! Nice win keiffer! That sport is intense! #USA #Olympics
1343513284,1343514168,13,RT @fencingnet: Italy with all 3 still in. Japan with 2. USA; KOR; TUN each with 1. #fencing #London2012
1343515741,1343515811,14,RT @YahooSports: The early winner of the #London2012 #Olympics? The USA #fencing masks. They're awesome. Take a look --> ...
1343516163,1343516392,15,RT @lifeofwrestling: let's just skip the fencing; the soccer; the tennis; & go straight to wrestling. #olympics2012 #wrestling
1343517490,1343517490,16,RT @lifeofwrestling: let's just skip the fencing; the soccer; the tennis; & go straight to wrestling. #olympics2012 #wrestling
1343524862,1343526962,17,RT @fencingnet: Vezzali denied a 4th straight gold by Errigo. 15-12. Vezzali will fence Nam for the bronze. #fencing #London2012
1343527208,1343527241,18,RT @fencingnet: Vezzali denied a 4th straight gold by Errigo. 15-12. Vezzali will fence Nam for the bronze. #fencing #London2012
1343527824,1343529080,19,RT @the_montgomery: I love that the women's fencing finalists are strutting onto the stage to The City by @_PATRICK_WOLF #Olympics2012
1343529428,1343529584,20,OG 2012 WF Bronze Medal: Vezzali come from 5 down to tie as time expires; then win Bronze in priority #london2012 #fencing
1343529603,1343529714,21,RT @RhysIngram: Vezzali is a legend of the sport! 8-12 down with a minute to go; she wins Bronze 13-12 in priority minute! #fencing #Lon ...
1343530448,1343530736,22,I guess I shouldn't be surprised because it's the #Olympics ; but there sure is a lot of cheering for fencing in my opinion. #london2012
1343530802,1343530802,23,#Olympics one of the best things about the Olympics is watching sports I've never watched and not knowing what the hell is going on #fencing
1343530861,1343530872,24,RT @TheFuckingCat: Ooh; lady fencing. They could skewer me like a kabob. Intriguing. Meow fuck! #Olympics
1343530922,1343530925,25,This fencing is pretty hype #Olympics
1343530982,1343530982,26,RT @grownupbutnot: I can't watch fencing without thinking the girls are going to take their helmets off and be twins/Lindsay Lohan. #Oly ...
1343531101,1343531102,27,RT @grownupbutnot: I can't watch fencing without thinking the girls are going to take their helmets off and be twins/Lindsay Lohan. #Oly ...
1343531228,1343531256,28,RT @grownupbutnot: I can't watch fencing without thinking the girls are going to take their helmets off and be twins/Lindsay Lohan. #Oly ...
1343531342,1343531369,29,Just watched table tennis and fencing. The next few weeks of my life will be the Olympics with some baseball thrown in. & work. #London2012
1343531401,1343531428,30,RT @grownupbutnot: I can't watch fencing without thinking the girls are going to take their helmets off and be twins/Lindsay Lohan. #Oly ...
1343531641,1343531783,31,RT @coachbaize: I wonder if Freddy from icarly made the fencing team? #Olympics
1343531881,1343531883,32,RT @grownupbutnot: I can't watch fencing without thinking the girls are going to take their helmets off and be twins/Lindsay Lohan. #Oly ...
1343532301,1343533598,33,RT @BigJim_McDonald: Big Jim loves to watch a bit of fencing when the Olympics are on. #parful #worldrecord #london2012
1343534402,1343534416,34,RT @erinwillett: How and when does one come to the point in their life where they're like 'yeah; I'm gonna be a badass at fencing'. #Ol ...
1343534461,1343534525,35,I don't know what's more painful to watch an entire fencing match or season 3 of Tyler Perry's House of Payne #Olympics
1343534584,1343534613,36,RT @erinwillett: How and when does one come to the point in their life where they're like 'yeah; I'm gonna be a badass at fencing'. #Ol ...
1343534645,1343534691,37,Sudden death gold medal fencing. This is intense #Olympics
1343534762,1343534770,38,RT @xARSEFACEx: I never could have imagined that watching two people sword fighting could be this fucking boring. #fencing #olympics
1343534886,1343535094,39,RT @JeffBryanDavis: Women's Foil is my new favorite sport. Two tough; elegant Italian women fencing under dramatic sci-fi lighting. Brav ...
1343535664,1343535919,40,RT @BigJim_McDonald: Big Jim loves to watch a bit of fencing when the Olympics are on. #parful #worldrecord #london2012
1343538493,1343538807,41,RT @grownupbutnot: I can't watch fencing without thinking the girls are going to take their helmets off and be twins/Lindsay Lohan. #Oly ...
