Time,Group
1343807078,1
1343807088,2
1343807119,2
1343807408,2
1343807560,3
1343807572,3
1343807622,3
1343807689,3
1343807708,3
1343807722,3
1343807740,3
1343807749,3
1343807760,3
1343807777,3
1343807855,3
1343807861,3
1343807898,3
1343808033,3
1343808058,4
1343808209,4
1343808216,4
1343808314,4
1343808334,4
1343808361,4
1343808369,4
1343808407,4
1343808478,4
1343808503,4
1343808537,5
1343808591,5
1343808604,6
1343808677,6
1343808776,6
1343808789,6
1343808812,6
1343808813,6
1343808840,6
1343808940,6
1343809007,6
1343809049,6
1343809055,6
1343809066,6
1343809078,6
1343809104,6
1343809156,6
1343809181,6
1343809228,6
1343809374,6
1343809549,6
1343809696,6
1343809828,6
1343809828,6
1343809939,6
1343809989,6
1343810146,6
1343810172,6
1343810179,6
1343810193,6
1343810332,6
1343810739,6
1343810743,6
1343810849,6
1343810918,6
1343811040,6
1343811232,7
1343811343,7
1343811386,7
1343811580,7
1343811583,7
1343811650,7
1343811834,7
1343811869,7
1343811932,7
1343811949,7
1343812063,7
1343812440,7
1343812505,7
1343812538,8
1343812603,9
1343812737,9
1343812785,9
1343812816,9
1343812880,10
1343812921,10
1343813033,11
1343813066,11
1343813138,11
1343813214,11
1343813226,11
1343813298,11
1343813367,11
1343813418,11
1343813419,11
1343813749,11
1343813825,11
1343813872,11
1343813982,11
1343814043,11
1343814290,11
1343814412,11
1343814494,11
1343814694,11
1343814807,11
1343814971,11
1343815058,11
1343815067,11
1343815075,11
1343815183,11
1343815469,11
1343815543,11
1343815761,11
1343815906,11
1343815953,11
1343816477,11
1343816868,11
1343817072,12
1343817258,12
1343817321,13
1343817384,14
1343817617,14
1343817865,14
1343817931,14
1343817971,14
1343818337,14
1343818687,15
1343818854,15
1343818866,15
1343818987,15
1343819130,15
1343819232,15
1343819249,15
1343819283,15
1343819454,15
1343819879,15
1343820022,15
1343820081,15
1343820209,15
1343820228,15
1343820606,15
1343820701,15
1343820759,15
1343820944,16
1343821013,17
1343821123,17
1343821183,18
1343821301,19
1343821320,19
1343821650,19
1343821898,19
1343822348,19
1343822723,19
1343822979,20
1343823020,20
1343823182,20
1343823213,20
1343823239,20
1343823312,20
1343823314,20
1343823331,20
1343823636,20
1343824786,21
1343824875,21
1343825268,22
1343825364,22
1343825395,22
1343825456,22
1343825719,22
1343825894,22
1343826059,22
1343826120,22
1343826415,23
1343826573,23
1343826911,23
1343826941,23
1343826984,23
1343827073,23
1343827130,23
1343827291,23
1343827474,23
1343827561,23
1343827617,23
1343827759,24
1343828242,25
1343828401,25
1343828409,25
1343828650,25
1343828928,25
1343828998,25
1343829019,25
1343829431,25
1343829564,25
1343829641,25
1343829786,25
1343829848,25
1343829858,25
1343829988,25
1343830136,25
1343830531,25
1343830654,26
1343830729,26
1343831026,26
1343831073,27
1343831124,28
1343831130,28
1343831145,28
1343831313,28
1343831493,28
1343831615,28
1343831618,28
1343831647,28
1343831885,28
1343832019,28
1343832289,28
1343832332,28
1343832334,28
1343832391,28
1343832514,28
1343832558,28
1343832559,28
1343832632,29
1343832690,29
1343832701,30
1343832704,31
1343832730,31
1343832883,31
1343832929,31
1343832997,31
1343833085,31
1343833266,31
1343833421,31
1343833541,32
1343833601,33
1343833625,33
1343833664,33
1343833835,33
1343833891,33
1343833952,33
1343834255,33
1343834298,34
1343834399,34
1343834405,34
1343834544,35
1343834761,35
1343834910,35
1343835003,35
1343835083,35
1343835228,36
1343835263,37
1343835287,38
1343835296,38
1343835409,38
1343835458,38
1343835458,38
1343835485,38
1343835500,38
1343835659,38
1343835774,38
1343835977,39
1343836012,39
1343836022,39
1343836041,39
1343836077,39
1343836125,39
1343836125,39
1343836205,39
1343836227,39
1343836347,39
1343836377,40
1343836500,41
1343836540,41
1343836590,41
1343836732,41
1343836848,42
1343836855,42
1343836926,43
1343837059,44
1343837062,44
1343837178,44
1343837201,44
1343837229,44
1343837498,44
1343837504,44
1343837579,44
1343837598,44
1343837651,44
1343837694,44
1343837717,44
1343837781,44
1343837832,44
1343837848,44
1343837859,44
1343837893,44
1343837944,44
1343838083,44
1343838084,45
1343838143,45
1343838179,46
1343838317,46
1343838469,46
1343838666,46
1343838668,46
1343838726,46
1343838809,47
1343838818,47
1343838825,47
1343838902,48
1343838936,48
1343838936,48
1343839013,49
1343839055,49
1343839114,50
1343839146,50
1343839219,50
1343839452,50
1343839565,50
1343839621,50
1343839647,51
1343839775,52
1343839851,52
1343839873,53
1343839887,53
1343839889,53
1343840091,54
1343840151,54
1343840176,54
1343840308,55
1343840319,55
1343840674,55
1343840708,55
1343840817,55
1343840825,55
1343840843,55
1343840942,55
1343840989,55
1343841069,55
1343841269,55
1343841282,55
1343841328,56
1343841336,56
1343841428,56
1343841556,56
1343841600,56
1343841616,56
1343841670,56
1343841728,56
1343841770,56
1343841771,56
1343841829,56
1343841945,56
1343841956,56
1343842035,56
1343842060,56
1343842091,56
1343842128,56
1343842311,56
1343842315,56
1343842339,56
1343842339,57
1343842339,57
1343842341,57
1343842375,58
1343842477,58
1343842479,58
1343842479,58
1343842793,58
1343842836,58
1343842841,58
1343842891,58
1343843013,58
1343843118,58
1343843162,58
1343843164,58
1343843178,58
1343843226,58
1343843227,58
1343843264,58
1343843270,58
1343843399,58
1343843424,58
1343843449,58
1343843542,58
