Start,Mean,Group,Summary
1343078172,1343078172,1,"I'd probably be good at fencing I mean I can practically dunk a volleyball." #olympics #coworkers
1343094486,1343094486,2,Watch our exclusive iPad fencing video with @GeorginaU on the #SkyNews for iPad app to find out how to get into fencing #Olympics #2012
1343107086,1343107086,3,@TendToTravel Opening ceremonies diving fencing synchronized swimming equestrian jumping. I think that covers it all! You? #olympics
1343065219,1343065219,4,Just five days until the fencing starts at the #Olympics! Hope that the Loughborough holding camp is going well #TeamGB
1343078449,1343078449,5,I'm following Women's Individual Foil: Round Of 64 with #fanatix #london2012 #fencing #fanatix
1343086818,1343086818,6,RT @britishfencing: RT @beazleygbfence: Just five days until the fencing starts at the #Olympics! Hope that the Loughborough holding cam ...
1343106824,1343106824,7,really excited for olympics!! cant wait to see my bro and dad on the 29th. flying to london tmrw #fencing #Olympics #London2012
1343066170,1343066170,8,US Olympian and last year's fencing silver medallist Tim Morehouse training with teammates #London2012 #olympics2012
1343112922,1343112922,9,Cable provider won't let me watch #Olympics online. @NBCOlympics better televise equestrian & fencing or I'm challenging cable guy to a duel
1343098998,1343098998,10,@ellyoldroyd Good luck! One hit epee in the #fencing event! #london2012
1343084496,1343084496,11,Logo laid down and last min rigging being done at Copper Box #london2012 venue for handball fencing and Paralympics
1343067290,1343067290,12,RT @beazleygbfence: Just five days until the fencing starts at the #Olympics! Hope that the Loughborough holding camp is going well #TeamGB
1343110660,1343110660,13,RT @skibum4eva: 72 hrs. Then will be at #London2012 can't wait... With @qnbeena to support @TimMorehouse @FencingSports @stanfordfencing
1343098922,1343098922,14,@dkingdotcom Olympic #fencing research going well but sad news! The Duck will only be present on one day of #london2012
1343084800,1343084800,15,Did you know #fencing is a #London2012 sport? Learn more about it on today!
1343067416,1343067416,16,RT @britishfencing: RT @beazleygbfence: Just five days until the fencing starts at the #Olympics! Hope that the Loughborough holding cam ...
1343107594,1343107594,17,72 hrs. Then will be at #London2012 can't wait... With @qnbeena to support @TimMorehouse @FencingSports @stanfordfencing
1343132770,1343132770,18,#fencing #fencingmask #Olympics #bugs #cleverthings
1343149515,1343150285,19,RT @CBennettGBR: Happy to announce that I am the @guardian Fencing expert for #london2012. Stay tuned for my #fencing related tweets ove ...
1343174405,1343174405,20,Congrats 2 Susie Scanlan from #StPaul 4 making the @USOlympic #fencing team! MN will be cheering for you in #London2012
1343174881,1343174881,21,RT @amyklobuchar: Congrats 2 Susie Scanlan from #StPaul 4 making the @USOlympic #fencing team! MN will be cheering for you in #London201 ...
1343154834,1343154834,22,RT @TimMorehouse: Our Olympic volt colored socks from @nikefencing to go with our volt colored shoes. #London2012
1343168355,1343168355,23,I think the Olympics could be made even more exciting by combining events. Trampoline fencing anyone? #Olympics.
1343186844,1343189932,24,Olympics: Roberto Sobalvarro doubles as coach for Susie Scanlan U.S. epee fencing team #Olympics
1343117185,1343117185,25,my God just noticed that the Beeb have 24 dedicated Olympic channels plus HD versions #london2012 #ratherwatchthecricket #fuckingfencing
1343142255,1343142255,26,- do not want to spend my Olympic 50p. #Olympics #fencing
1343181954,1343181954,27,...... fencing! lol #London2012 #BBCHD
1343168479,1343169879,28,Today at my gym I had the #Japanfencing team training for the #Olympics such a tough sport…subtle is not the word!!!
1343148072,1343148072,29,RT @CBennettGBR: Happy to announce that I am the @guardian Fencing expert for #london2012. Stay tuned for my #fencing related tweets ove ...
1343154452,1343154452,30,RT @TrooDee: #olympicbabewatch #London2012 @daudetjoris and @JHoneybone. Will be glued to the BMXing and the fencing even if they are o ...
1343121418,1343121418,31,#fencing tweets from #london2012 competitors at - check it out! #sportrightnow
1343163385,1343163523,32,1more time: tomorrow V. Vezzali (foil) can become 4th athlete to win 4th consecutive olympic gold medal. #London2012 #fencing #CzechTV
1343172818,1343172818,33,Great work :-)@CBennettGBR: Happy to announce that I am @guardian Fencing expert for #london2012. Stay tuned for my #fencing tweets
1343178226,1343178296,34,The Summer Olympics start Friday. I knew it felt like 4 years since I've seen some good fencing #London2012
1343152478,1343152478,35,RT @CBennettGBR: Happy to announce that I am the @guardian Fencing expert for #london2012. Stay tuned for my #fencing related tweets ove ...
1343143591,1343143591,36,Handball fencing and soccer are the only 3 sports Australia don't have any participants in at London 2012. #olympics
1343124703,1343125798,37,I'm excited for the #Olympics-I enjoy obscure events like the Modern Pentathlon. It's swimming-running-fencing-shooting & equestrian #badass
1343163927,1343163927,38,1more time Day 1: V. Vezzali (foil) can become 4th athlete to win 4th consecutive olympic gold medal. #London2012 #fencing #CzechTV
1343161973,1343161973,39,#fencing tweets from #london2012 competitors at - check it out! #socialolympics
1343194195,1343194195,40,RT @amyklobuchar: Congrats 2 Susie Scanlan from #StPaul 4 making the @USOlympic #fencing team! MN will be cheering for you in #London201 ...
1343152029,1343152029,41,Our Olympic volt colored socks from @nikefencing to go with our volt colored shoes. #London2012
1343175347,1343175657,42,RT @amyklobuchar: Congrats 2 Susie Scanlan from #StPaul 4 making the @USOlympic #fencing team! MN will be cheering for you in #London201 ...
1343174194,1343174194,43,If #fencing is a sport at the #olympics then I see no reason why the #IOC can't nominate plastering dry-lining or lift-fixing @penners888
1343147002,1343147927,44,Happy to announce that I am the @guardian Fencing expert for #london2012. Stay tuned for my #fencing related tweets over the Olympics!
1343192523,1343192523,45,I'm so pumped for the #Olympics to start!! #cycling #swimming #vball #diving #gymnastics #track&field #shooting #boxing #fencing #ohmy!
1343165253,1343165265,46,RT @StreetGames: Great news for our ambassador @CBennettGBR who's been named the @guardian's fencing expert for #London2012 ...
1343128137,1343128137,47,#fencing facebook updates from #london2012 athletes and teams at #socialolympics
1343157030,1343157030,48,Meet the Team GB fencers in a new video on BritishFencingTV #TeamGB #london2012 @britishfencing
1343207511,1343207511,49,Pentathlon includes: swimming cross country running fencing equestrian and shooting? What the hell? #Olympics
1343369240,1343369240,50,#fencing facebook updates from #london2012 athletes and teams at #socialgames
1343295299,1343295299,51,Brava! RT @nprnews: Fencer Mariel Zagunis Will Carry U.S. Flag In Opening Ceremony #fencing #Olympics #London2012
1343363778,1343363778,52,#fencing facebook updates from #london2012 athletes and teams at #socialgames
1343301454,1343301454,53,#fencing facebook updates from #london2012 athletes and teams at #socialgames
1343303158,1343303158,54,#fencing facebook updates from #london2012 athletes and teams at #socialgames
1343343541,1343343541,55,RT @ElkridgePatch: Pistols fencing and jumping are coming. Grab a spoon and join @tjmayotte for the show! #London2012
