Start,Mean,Group,Summary
1343887469,1343807078,1,timekeeper for for the Korean fencing controversy was 16 years old. not sure if it mattered but I must ask...how is that possible? #olympics
1343887141,1343807119,2,RT @raydevito: So far Italians have won medals in fencing pistols & archery; OK Italy we get it you enjoy hand held weapons #respe ...
1343883547,1343807740,3,RT @Hadiaelsaid: Congratulations first Egyptian silver Olympic medal #london2012 #fencing @alaaeldinelsay1 come on let's get the Gold @O ...
1343883253,1343808334,4,RT @SS_Serene: Egyptian fencer Alaaeldin Abouelkassem celebrates winning silver& Africa's first fencing medal in history #Olympics20 ...
1343882658,1343808537,5,Within the sport of fencing how much respect and viewed integrity will those responsible have now? #olympics
1343882001,1343809156,6,RT @SS_Serene: Egyptian fencer Alaaeldin Abouelkassem celebrates winning silver& Africa's first fencing medal in history #Olympics20 ...
1343880924,1343811932,7,RT @Hadiaelsaid: Congratulations first Egyptian silver Olympic medal #london2012 #fencing @alaaeldinelsay1 come on let's get the Gold @O ...
1343880910,1343812538,8,@cody___LITTLE I happen to like archery and fencing. Their place in the #Olympics is important too.
1343880817,1343812816,9,WOAH so S. Korean Shin A-lam lost her fencing match due to a malfunction w the clock but judges still say she lost? What bullshit. #Olympics
1343879482,1343812921,10,They should totally combine gymnastics with fencing. #london2012
1343879378,1343813982,11,RT @DaphneOP: This was just so heartbreaking http://t.co/Esub87rr #olympics #london2012 #fencing #southkorea
1343879377,1343817258,12,Gold in swimming #TeamUSA #Olympics2012 Great Day For USA...can I see fencing tho ha!
1343879369,1343817321,13,RT @mychiller: MSNBC tomorrow  Boxing Fencing Table Tennis  Soccer  fencing and more starting at 9AMET #olympics
1343879363,1343817865,14,The fencing federation decided to award a 'special' medal to Shin A Lam. BOO! She should have competed for the gold. #london2012
1343879342,1343819130,15,Gus Johnson shoulda had a spot on some events during these Olympics. He could even make fencing sound awesome!! #London2012
