Time,Group
1343046845,1
1343049790,2
1343050855,3
1343051058,4
1343052125,5
1343053901,6
1343054114,7
1343056414,8
1343058505,9
1343059007,10
1343059640,11
1343060695,12
1343060929,13
1343061493,14
1343061534,15
1343064389,16
1343065093,17
1343065206,18
1343066033,19
1343066608,20
1343066649,21
1343066680,22
1343066729,23
1343066923,24
1343067024,25
1343067086,26
1343067291,27
1343067662,28
1343067693,29
1343067774,30
1343067816,31
1343067911,32
1343068388,33
1343068551,34
1343069029,35
1343069099,36
1343069767,37
1343069866,38
1343070106,39
1343072038,40
1343072231,41
1343072463,42
1343072535,43
1343072604,44
1343072633,45
1343072644,46
1343072663,47
1343072706,48
1343072784,49
1343072806,50
1343072842,51
1343073024,52
1343073061,53
1343073069,54
1343073277,55
1343073587,56
1343073606,57
1343073632,58
1343073714,59
1343073860,60
1343074501,61
1343074549,62
1343074865,63
1343075778,64
1343075781,65
1343075950,66
1343076069,67
1343076340,68
1343076383,69
1343076552,70
1343076721,71
1343076830,72
1343076955,73
1343077116,74
1343077232,75
1343077338,76
1343077365,77
1343077766,78
1343077883,79
1343077899,80
1343077929,81
1343077964,82
1343077964,82
1343078342,83
1343078449,84
1343078527,85
1343078809,86
1343078942,87
1343078977,88
1343079132,89
1343079969,90
1343080055,91
1343080261,92
1343080614,93
1343080832,94
1343080835,95
1343080861,96
1343080863,97
1343081148,98
1343081223,99
1343081279,100
1343081352,101
1343081398,102
1343081429,103
1343084365,104
1343084502,105
1343084540,106
1343085020,107
1343085657,108
1343086025,109
1343086264,110
1343086357,111
1343086569,112
1343086775,113
1343086792,114
1343086925,115
1343086926,116
1343086944,117
1343086981,118
1343087045,119
1343087322,120
1343087589,121
1343087953,122
1343088604,123
1343088662,124
1343089351,125
1343090037,126
1343091111,127
1343091380,128
1343091599,129
1343091815,130
1343091962,131
1343092153,132
1343092331,133
1343092388,134
1343093236,135
1343093294,136
1343094066,137
1343094232,138
1343094623,139
1343094750,140
1343094788,141
1343094840,142
1343095016,143
1343095047,144
1343095799,145
1343096132,146
1343096395,147
1343096424,148
1343096729,149
1343097177,150
1343097529,151
1343097562,152
1343097580,153
1343097795,154
1343098058,155
1343098131,156
1343098607,157
1343099225,158
1343099626,159
1343099929,160
1343100524,161
1343100697,162
1343100804,163
1343100938,164
1343101635,165
1343102600,166
1343102648,167
1343103299,168
1343103609,169
1343103779,170
1343103839,171
1343104121,172
1343104671,173
1343105014,174
1343105235,175
1343105572,176
1343105667,177
1343105948,178
1343106227,179
1343106281,180
1343106370,181
1343106457,182
1343107197,183
1343107314,184
1343107559,185
1343107597,186
1343108883,187
1343109108,188
1343109130,189
1343109673,190
1343110252,191
1343110261,192
1343110341,193
1343111006,194
1343111664,195
1343112070,196
1343112771,197
1343112836,198
1343112864,199
1343112880,200
1343113420,201
1343113426,202
1343113483,203
1343114015,204
1343114220,205
1343114220,205
1343115245,206
1343115353,207
1343115569,208
1343115637,209
1343116444,210
1343118011,211
1343118055,211
1343118162,212
1343118507,213
1343118585,214
1343118667,215
1343118833,216
1343120079,217
1343120864,218
1343121215,219
1343121826,220
1343122173,221
1343122372,222
1343122633,223
1343123050,224
1343123227,225
1343123758,226
1343123917,227
1343124354,228
1343124901,228
1343125203,229
1343126517,230
1343127167,231
1343127922,232
1343128004,233
1343128230,234
1343128355,235
1343128391,236
1343128577,237
1343129029,238
1343129499,239
1343129708,240
1343131893,241
1343133510,242
1343135416,242
1343137475,243
1343137632,244
1343138155,245
1343139145,246
1343139341,247
1343139564,248
1343142639,249
1343143203,250
1343144519,251
1343144684,252
1343145869,253
1343145910,254
1343146019,255
1343146103,256
1343146125,256
1343146344,257
1343146895,258
1343148836,259
1343150134,260
1343151397,261
1343152095,262
1343152465,263
1343152769,264
1343152824,265
1343153925,266
1343155011,267
1343155280,268
1343155461,269
1343155463,270
1343155591,271
1343155602,272
1343155843,273
1343155896,274
1343156061,275
1343156132,276
1343157016,277
1343157968,278
1343158010,279
1343158134,280
1343158404,281
1343159195,282
1343160979,283
1343160990,284
1343161516,285
1343161595,286
1343161774,287
1343162151,288
1343162208,289
1343162727,289
1343162813,290
1343163490,291
1343163513,292
1343164446,293
1343164770,294
1343166255,295
1343166552,296
1343167515,297
1343167873,298
1343168101,299
1343168242,300
1343168972,301
1343169374,301
1343169593,302
1343169843,303
1343170051,304
1343170429,305
1343170473,306
1343170841,307
1343171278,308
1343171660,309
1343171753,310
1343171789,310
1343171926,311
1343171943,312
1343172130,313
1343172513,314
1343172832,315
1343173155,316
1343173526,317
1343173539,318
1343173568,319
1343173810,320
1343173913,321
1343173949,322
1343174045,323
1343174119,324
1343174157,325
1343174475,326
1343174502,327
1343174755,328
1343175153,329
1343175168,330
1343175185,331
1343175194,332
1343175320,333
1343175507,334
1343175558,335
1343175713,336
1343176117,337
1343176215,338
1343177111,339
1343177235,340
1343177239,341
1343177790,342
1343178121,343
1343178168,344
1343178169,345
1343178254,346
1343178316,347
1343178404,348
1343178420,349
1343178752,350
1343178965,351
1343178973,352
1343179389,353
1343179489,354
1343179679,355
1343179770,356
1343179933,357
1343180688,358
1343180747,359
1343180772,360
1343181226,361
1343181286,362
1343181855,363
1343182000,364
1343182098,365
1343182184,366
1343182351,367
1343182570,368
1343182589,369
1343182713,370
1343182845,371
1343183019,372
1343183081,373
1343183181,374
1343183546,375
1343184183,376
1343184766,377
1343185071,378
1343187112,379
1343187195,380
1343187229,381
1343187286,382
1343187462,383
1343187520,384
1343187548,385
1343188054,386
1343188153,387
1343188238,388
1343188403,389
1343188447,390
1343188564,391
1343188923,392
1343189431,393
1343189754,394
1343189756,395
1343189977,396
1343190000,397
1343190018,398
1343190036,399
1343190509,400
1343204608,401
1343205185,402
1343205562,403
1343205570,404
1343206546,405
1343207480,406
1343207870,407
1343208369,408
1343208771,409
1343209064,410
1343209187,411
1343209362,412
1343209473,413
1343209537,414
1343209620,415
1343209770,416
1343210337,417
1343210425,418
1343211630,419
1343211927,420
1343212051,421
1343213342,422
1343213364,423
1343213769,424
1343214385,425
1343214917,426
1343215044,427
1343289798,428
1343290108,428
1343290307,428
1343290327,429
1343290342,429
1343290357,429
1343290371,430
1343290373,431
1343290419,432
1343290644,433
1343290653,433
1343290808,433
1343290911,434
1343290931,434
1343291150,435
1343291159,435
1343291230,435
1343291439,436
1343291474,436
1343291489,436
1343292579,437
1343292711,437
1343292992,437
1343292998,437
1343293053,437
1343293075,437
1343293123,437
1343293180,437
1343293269,437
1343293882,438
1343294505,438
1343294548,438
1343294562,438
1343294834,438
1343296274,439
1343296305,439
1343296410,439
1343296414,439
1343296611,439
1343296948,440
1343297115,440
1343297478,440
1343297589,440
1343297799,441
1343298029,441
1343298080,441
1343298094,441
1343298096,441
1343298584,442
1343298983,442
1343299201,442
1343299561,443
1343299694,443
1343299896,443
1343299981,443
1343300233,443
1343300318,443
1343300320,443
1343300403,443
1343300633,443
1343300670,443
1343301138,444
1343301156,444
1343301422,444
1343301559,444
1343301716,444
1343301870,444
1343301927,444
1343302830,445
1343303174,445
1343303226,445
1343303328,445
1343303416,445
1343303584,445
1343303825,446
1343303954,446
1343303982,446
1343304305,447
1343304398,447
1343304459,447
1343304776,448
1343304874,448
1343305238,448
1343305662,448
1343305666,449
1343305669,449
1343305815,449
1343306072,449
1343306242,449
1343306267,449
1343306555,450
1343306575,450
1343306765,450
1343307173,450
1343307441,450
1343307519,450
1343307608,450
1343307849,450
1343308336,451
1343308924,451
1343309021,451
1343310281,451
1343310441,451
1343310995,451
1343311880,451
1343311986,451
1343312127,452
1343313710,452
1343313800,452
1343313916,453
1343314592,453
1343314950,454
1343314966,454
1343315041,454
1343315180,454
1343315653,454
1343316384,454
1343316798,455
1343316798,455
1343316799,455
1343316799,455
1343316799,455
1343317701,455
1343318430,455
1343318995,456
1343319805,456
1343319955,456
1343320112,456
1343320416,456
1343320714,456
1343321641,456
1343322050,457
1343322135,457
1343322784,457
1343322811,458
1343322997,458
1343323019,459
1343323282,459
1343323833,459
1343324052,459
1343324481,459
1343324988,460
1343324996,460
1343325022,460
1343325151,460
1343326109,461
1343326232,461
1343326486,461
1343326558,462
1343327421,462
1343327532,463
1343327706,463
1343328033,464
1343328114,464
1343328407,465
1343328412,465
1343328520,466
1343328534,466
1343328579,466
1343328644,467
1343328683,467
1343328686,467
1343328726,468
1343328783,468
1343328879,468
1343329005,469
1343329061,469
1343329097,469
1343329975,470
1343329999,470
1343330064,470
1343330099,470
1343330192,470
1343330344,471
1343330449,471
1343330603,471
1343330677,471
1343330710,472
1343330747,472
1343330793,472
1343331018,472
1343331061,473
1343331063,473
1343331222,473
1343331395,474
1343331444,474
1343331459,474
1343331514,474
1343331607,474
1343331658,474
1343332071,475
1343332100,475
1343332161,475
1343332213,475
1343332533,476
1343332821,476
1343332924,477
1343333070,477
1343333168,478
1343333206,478
1343333263,478
1343333266,478
1343333357,478
1343333409,478
1343333540,478
1343333656,478
1343333657,479
1343333706,479
1343333720,479
1343333729,479
1343333747,479
1343333785,479
1343334129,480
1343334283,480
1343334325,480
1343334342,480
1343334541,480
1343334552,481
1343334584,481
1343334606,481
1343334609,481
1343334650,481
1343334696,481
1343334711,481
1343334742,481
1343334752,481
1343334982,482
1343335110,482
1343335132,482
1343335134,482
1343335200,482
1343335253,483
1343335267,483
1343335323,484
1343335503,484
1343335585,485
1343335605,485
1343335780,485
1343335808,486
1343335812,486
1343335827,486
1343335846,486
1343335975,486
1343336016,486
1343336139,487
1343336432,487
1343336495,487
1343336578,488
1343336685,488
1343336833,489
1343336874,489
1343336884,489
1343336891,489
1343336893,489
1343336912,489
1343336913,489
1343336943,489
1343336953,489
1343336955,489
1343336960,489
1343337002,490
1343337028,490
1343337061,490
1343337071,490
1343337115,490
1343337188,491
1343337283,491
1343337285,491
1343337294,492
1343337294,492
1343337326,492
1343337354,493
1343337381,493
1343337382,493
1343337382,493
1343337386,493
1343337401,494
1343337405,494
1343337409,494
1343337413,495
1343337414,495
1343337416,495
1343337434,495
1343337448,496
1343337458,496
1343337459,496
1343337469,496
1343337550,497
1343337569,497
1343337579,497
1343337591,497
1343337598,497
1343337618,497
1343337633,498
1343337646,498
1343337673,498
1343337683,498
1343337709,498
1343337756,498
1343337771,499
1343337772,500
1343337772,500
1343337776,500
1343337811,500
1343337932,501
1343337963,501
1343337967,501
1343337991,501
1343338016,501
1343338029,501
1343338041,501
1343338081,501
1343338111,502
1343338152,502
1343338222,502
1343338236,502
1343338315,502
1343338347,503
1343338351,503
1343338351,503
1343338355,503
1343338402,503
1343338421,503
1343338435,503
1343338449,503
1343338474,503
1343338526,503
1343338606,504
1343338638,504
1343338657,504
1343338731,504
1343338754,504
1343338770,504
1343338847,504
1343339080,505
1343339124,505
1343339137,505
1343339217,506
1343339364,506
1343339387,506
1343339422,507
1343339503,508
1343339558,509
1343339621,509
1343339643,510
1343339646,510
1343339662,510
1343339725,510
1343339751,511
1343339764,511
1343339764,511
1343339797,511
1343339815,511
1343339822,511
1343339849,511
1343339869,512
1343339896,512
1343339896,512
1343339915,512
1343339984,512
1343340081,513
1343340134,513
1343340195,513
1343340258,514
1343340320,514
1343340338,514
1343340393,514
1343340439,515
1343340478,515
1343340486,515
1343340527,516
1343340577,516
1343340622,517
1343340643,517
1343340646,517
1343340693,517
1343340699,517
1343340701,517
1343340725,518
1343340732,518
1343340734,518
1343340735,518
1343340759,519
1343340770,519
1343340772,520
1343340774,520
1343340796,520
1343340827,520
1343340891,521
1343340943,521
1343340964,521
1343341011,521
1343341121,521
1343341331,521
1343341670,522
1343341672,522
1343341694,522
1343341823,522
1343342298,522
1343342388,522
1343343024,523
1343343655,523
1343344773,523
1343344779,523
1343345281,524
1343345584,524
1343346072,524
1343346350,525
1343346640,525
1343346740,526
1343346973,526
1343347181,526
1343347205,527
1343347249,527
1343347703,528
1343347904,528
1343347956,528
1343348075,528
1343348138,528
1343348148,529
1343348204,529
1343348311,529
1343348429,529
1343348470,529
1343348502,529
1343348723,530
1343348780,530
1343348992,531
1343348993,531
1343348995,532
1343349046,532
1343349090,532
1343349105,532
1343349139,532
1343349331,532
1343349334,532
1343349441,532
1343349462,532
1343349611,533
1343349709,533
1343349724,533
1343349735,533
1343349780,533
1343349925,534
1343350101,534
1343350189,535
1343350217,535
1343350239,536
1343350241,536
1343350245,536
1343350257,536
1343350383,537
1343350421,537
1343350458,537
1343350513,537
1343350535,537
1343350557,537
1343350658,537
1343350661,537
1343350686,537
1343350722,538
1343350769,538
1343350771,538
1343350797,538
1343350843,538
1343350917,539
1343350948,539
1343351019,539
1343351039,539
1343351114,540
1343351177,540
1343351318,540
1343351391,541
1343351397,541
1343351471,541
1343351504,541
1343351522,542
1343351573,542
1343351610,542
1343351625,542
1343351639,542
1343351708,542
1343351781,542
1343352129,543
1343352191,543
1343352278,543
1343352381,544
1343352479,544
1343352480,545
1343352534,545
1343352615,545
1343352636,546
1343352710,546
1343352721,546
1343352739,546
1343352963,547
1343352969,548
1343352983,548
1343353073,548
1343353378,548
1343353479,549
1343353494,549
1343353690,550
1343353735,550
1343353776,550
1343353791,550
1343353847,550
1343353904,550
1343353953,550
1343354081,551
1343354180,551
1343354293,551
1343354298,551
1343354351,551
1343354432,552
1343354469,552
1343354480,553
1343354504,553
1343354608,554
1343354686,554
1343354691,554
1343354754,555
1343354755,555
1343354779,555
1343354921,555
1343355286,556
1343355339,556
1343355341,556
