Start,Mean,Group,Summary
1343178920,1343178920,1,RT @msLechelle I can't wait to watch gymnastics swimming and synchronized swimming. #Olympics
1343168370,1343168370,2,She better be! #Olympics #gymnastics RT @GymExaminer Question of the day: Is McKayla Maroney all right?
1343113273,1343113852,3,When does the gymnastics part of the Olympics start? It's my favorite! #Olympics #gymnastics
1343161734,1343161734,4,RT @OlympicRightNow: #gymnastics facebook updates from #london2012 athletes and teams at #sportrightnow
1343186313,1343186313,5,Looking at listings for next week's Primetime #Olympics coverage. They just *have* to interrupt my swimming and gymnastics with volleyball.
1343174441,1343174441,6,Fun and catty in the best way possible RT @yoEv: Check out my latest blog entry! #gymnastics #London2012 #funnyhaha
1343115670,1343115670,7,RT @HaileyKirkland: I want to watch gymnastics and diving already! #London2012
1343175543,1343175543,8,Really the only reason I'm excited for #Olympics is gymnastics!
1343117020,1343117020,9,7/23/1996 — The US women’s gymnastics team nicknamed “magnificent 7” wins its 1st Olympic team gold medal #wmnhist #sports #Olympics
1343142941,1343142941,10,I just color coded my calendar with equestrian and gymnastics #Olympic events' dates/times. OCD much? #London2012 #horses #muscles
1343179717,1343179717,11,Awesome! Team #USA's gymnastics uniforms are made in Reading PA! #MadeInUSA #Olympics
1343182573,1343182573,12,just so excited for sunday #gymnastics #olympics #specialplaceinmyheart
1343186781,1343186781,13,The #Olympics need to be here already. I don't even usually watch sports but the gymnastics are always my favorite.
1343191148,1343191148,14,Even the women's gymnastics team is excited to meet @ryanlochte via @McKaylaMaroney #London2012
1343131830,1343131830,15,I can't wait to watch gymnastics. #Olympics #GoUSA 💙❤
1343122185,1343122185,16,USA gymnastics #london2012 #olympics
1343128803,1343128803,17,Can't wait to watch the Olympics! :) #gymnastics #swimming #London2012
1343122433,1343122433,18,I'm ready for the #Olympics. Can't wait to watch basketball gymnasticsswimming track and field and the opening ceremony.
1343141075,1343141075,19,I am reading seriously every gymnastics article I can get my hands on! I am too stoked for the #Olympics!
1343117820,1343117820,20,RT @_Deceliax3: Its such a shame that Shawn Johnson retired from gymnastics .... She's really good . #Olympics
1343191120,1343191120,21,USA! USA! USA! RT @wogagymnastics: #Follow #TeamUSA @Aly_Raisman @kyla_ross96 @jordyn_wieber @gabrielledoug @McKaylaMaroney #London2012
1343173193,1343173193,22,@hleveyfriedman @GetAGripGymblog So excited to watch US gymnastics #olympics! Especially @Aly_Raisman :) Go #USA!
1343177126,1343177126,23,I cant wait for the olympics! Swimming diving beach volleyball tennis and gymnastics is where its at #London2012
1343193600,1343193600,24,@burtymcfc women's handball Men's water polo some gymnastics and rowing all Hungary to win. #Olympics u talking about ?
1343183370,1343183370,25,RT @littleluciaa: Excited to watch track swimming diving and gymnastics #London2012
1343192003,1343192003,26,Pumped to kick back and watch the women’s gymnastics take it home in #london2012 #limber
