Start,Mean,Group,Summary
1343050445,1343295089,0,What sport will you be hooked on during Olympics 2012? For us it's gymnastics all the way! #teamUSA #olympics
1343412752,1343457421,1,Can't wait for soccer and gymnastics #olympics #teamusa
1343495781,1343523268,2,British 'heroes' shoot to surprise lead in gymnastics team prelims - Gymnastics Examiner: Quick hits... #london2012
1343552042,1343552729,3,Men's gymnastics is so weird #olympics
1343553422,1343553923,4,Men's gymnastics is incredible! #Olympics2012
1343555163,1343555790,5,Men's gymnastics ❤😍😍😍😍😍 >>>> #Olympics
1343556421,1343557142,6,Men's gymnastics >>>> #Olympics 😍😍😘
1343558341,1343559133,7,Men's gymnastics is awkward. #olympics
1343559842,1343560219,8,RT @angelazanzano: Men's gymnastics team. Holy hotness. #Olympics
1343560741,1343561402,9,Men's gymnastics 😍 #Olympics2012
1343562061,1343564398,10,RT @PerezHilton: Few things are as entertaining as watching men's gymnastics at a gay bar on a Saturday night! #Olympics #Winning #LetsH ...
1343566805,1343582048,11,Love the gymnastics #olympics2012
1343598483,1343603873,12,Absaloutley love watching gymnastics #london2012
1343609343,1343611492,13,I love to watch gymnastics #London2012
1343614081,1343614525,14,RT @NickSwardson: Watching gymnastics floor routine. Not impressed. I do all those moves when I walk to the store. #Olympics
1343614981,1343625710,15,I love watching gymnastics #USA #Olympics
1343638329,1343638616,16,RT @IAmDanniV: Over swimming let's see the gymnastics #olympics
1343638861,1343638898,17,Can it just be gymnastics time??!! #Olympics
1343638923,1343639030,18,“@NBCOlympics: Coming Up: Women's gymnastics team competition #Olympics' so excited! Gymnastics is so cool #teamusa
1343639101,1343639305,19,Watching Women's gymnastics #Olympics2012
1343639521,1343640014,20,love the gymnastics competition! #teamusa #gymnastics #olympics
1343640481,1343640731,21,#Olympics2012 gymnastics
1343640961,1343641307,22,I love watching the gymnastics competition! #TeamUSA #Olympics
1343641681,1343642136,23,RT @taywitman: #olympics gymnastics 🇺🇸❤
1343642761,1343643386,24,Watching gymnastics with @MPrylo #Olympics
1343643961,1343644166,25,RT @Lajoieee: I love watching the women's gymnastics #favoritepart #gymnastics #London2012 👯
1343644442,1343644696,26,RT @laura_meagher1: Women's gymnastics is the best. #beatsanythingelse #TeamUSA #olympics2012
1343644982,1343645190,27,The U.S. women's gymnastics team ROCKS! #Olympics
1343645341,1343645957,28,Watching gymnastics #olympics
1343646602,1343647766,29,RT @buckhollywood: Jordyn Weiber - you are very classy! I know you will nail it in Team Finals! #Olympics #gymnastics
1343649181,1343651063,30,Loved watching gymnastics as a child...still do! #Olympics
1343653144,1343656136,31,Finally; gymnastics is on!!! #London2012
1343659445,1343674829,32,diving then gymnastics :D #Olympics
1343690524,1343694750,33,Watching #Olympics gymnastics
1343699282,1343699470,34,The men's GB gymnastics team are tearing it up! #teamgb #Olympics2012 #Gymnastics 🇬🇧🇬🇧🇬🇧
1343699641,1343699753,35,YES!!! Bronze for the #teamGB Men's team final!! Amazing! #gymnastics #Olympics
1343699821,1343699966,36,Well done men's gymnastics team- silver medal. Phenomenal. #Gymnastics #London2012 #TeamGB
1343700061,1343700091,37,Unbelievable!!! Silver for #TeamGB in the men's gymnastics team event. So fantastic! #Olympics
1343700121,1343700179,38,#teamgb #Olympics silver to men's gymnastics team
1343700241,1343700407,39,Congratulations (from across the pond) on Silver for the GB men's gymnastics team #Olympics #gymnastics
1343700661,1343700796,40,Can we appeal? #London2012 #Olympics #gymnastics
1343700901,1343700957,41,RT @TeamJanetUK: DEAR JAPAN #gymnastics #London2012
1343701021,1343701125,42,RT @TeamJanetUK: DEAR JAPAN #gymnastics #London2012
1343701261,1343701494,43,RT @TeamJanetUK: DEAR JAPAN #gymnastics #London2012
1343701741,1343702051,44,RT @TeamJanetUK: DEAR JAPAN #gymnastics #London2012
1343702461,1343702928,45,RT @TeamJanetUK: DEAR JAPAN #gymnastics #London2012
1343703482,1343706558,46,RT @ThatBoyJacob: Somewhere; right now; members of the 2016 Chinese Olympic Gymnastics Team are being born. #gymnastics #olympics
1343709722,1343710364,47,RT @sarajcox: Our men's gymnastics team are Just. Next. Level. INCREDIBLE. #olympics @TeamGB
1343710987,1343714114,48,RT @sarajcox: Our men's gymnastics team are Just. Next. Level. INCREDIBLE. #olympics @TeamGB
1343720167,1343727156,49,So; the entire world knows China won gold in men's gymnastics but @NBC is finally going to show it at 8pm #NBCfail #Olympics
1343728981,1343729231,50,RT @_TrudyMakenna_: men's gymnastics  #Olympics2012
1343729461,1343729686,51,Men's gymnastics is crazy. #Olympics2012
1343729881,1343729957,52,RT @michelleCulv: Men's gymnastics #Olympics #London2012
1343730001,1343730365,53,Watching the #olympics men's gymnastics !!
1343730841,1343730944,54,U.S. men's gymnastics is struggling. #Olympics2012
1343731021,1343731129,55,Men's gymnastics #ScreamingAtMyTelevision #WhatIsHappening #Olympics
1343731261,1343731433,56,RT @emcrookham: Men's gymnastics are unreal. #Olympics
1343731741,1343732523,57,RT @PriscillaPaz96: Men's gymnastics mmmmmmmmhhhhmmm! #Olympics
1343733543,1343734060,58,RT @NBCOlympics: UP NEXT; back to men’s #gymnastics team finals! #Olympics
1343734501,1343735086,59,The Great Britain men's gymnastics team looks like a boy band. One Direction? #Olympics
1343735641,1343736036,60,RT @NBCOlympics: RT if you’re excited to watch the U.S. women compete in the #gymnastics team FINAL tomorrow! #Olympics
1343736421,1343736584,61,RT @UpdateOlympics: RT if you’re very excited to watch the U.S. women compete in the #gymnastics team FINAL tomorrow! #Olympics
1343736781,1343739166,62,RT @NBCOlympics: RT if you’re excited to watch the U.S. women compete in the #gymnastics team FINAL tomorrow! #Olympics
1343742255,1343758812,63,RT @UpdateOlympics: RT if you’re very excited to watch the U.S. women compete in the #gymnastics team FINAL tomorrow! #Olympics
1343777161,1343777861,64,RT @NBCOlympics: Are you ready?? WATCH LIVE NOW: Women's #gymnastics team FINAL: LIVESTREAM: #Olympics
