Start,Mean,Group,Summary
1343050445,1343062105,0,Gymnastics (y) #gymnastics #olympics2012
1343412752,1343476628,1,RT @gina_porto: Can't wait for the gymnastics to start!! #olympics
1343495781,1343536700,2,#Olympics gymnastics is amazing… :)
1343552042,1343552258,3,men's gymnastics 💪❤ #Olympics
1343553422,1343553533,4,Men's gymnastics ❤😊 #London2012
1343555163,1343555747,5,Men's gymnastics 😍 #olympics
1343556421,1343556558,6,RT @frankimaria: Men's gymnastics 😍 #olympics
1343558341,1343559568,7,RT @crimson_dooley: Men's gymnastics 😳😍 #olympics2012
1343559842,1343559965,8,Men's gymnastics #olympics!
1343560741,1343561639,9,Men's gymnastics #Olympics2012 #gymnastics #TeamUSA
1343562061,1343566506,10,RT @maddyhaneyy: Men's gymnastics >>> #Olympics
1343566805,1343586979,11,Got the gymnastics on. #London2012
1343598483,1343608078,12,Watching the gymnastics with @alice_galloway #London2012 #gymnastics
1343609343,1343609783,13,RT @zoemcneillxo: the gymnastics are crazy! #london2012
1343614081,1343614455,14,RT @NickSwardson: Watching gymnastics floor routine. Not impressed. I do all those moves when I walk to the store. #Olympics
1343614981,1343631912,15,Can the gymnastics just come on already. #olympics
1343638329,1343638750,16,I can has gymnastics now??? #Olympics
1343638861,1343638898,17,Can it just be gymnastics time??!! #Olympics
1343638923,1343639021,18,Finally women's gymnastics is coming up! #Gymnastics #olympics2012
1343639101,1343639245,19,Women's gymnastics #London2012 #Olympics
1343639521,1343640202,20,RT @KaileeWayne17: Watching women's gymnastics #Olympics
1343640481,1343640777,21,Gymnastics is so intense. :-/ #olympics2012 #TeamUSA #gymnastics @jordyn_wieber @gabrielledoug @kyla_ross96 @McKaylaMaroney @Aly_Raisman
1343640961,1343641390,22,Watching gymnastics #Olympics
1343641681,1343642027,23,RT @smash1983: Hooray; gymnastics time! #London2012
1343642761,1343643790,24,I love watching the women's gymnastics #favoritepart #gymnastics #London2012 👯
1343643961,1343644166,25,RT @Lajoieee: I love watching the women's gymnastics #favoritepart #gymnastics #London2012 👯
1343644442,1343644641,26,RT @Laurenn27: I love watching gymnastics #Olympics
1343644982,1343645243,27,RT @kthulz: girls' gymnastics is on; #myfaveee #olympics
1343645341,1343645841,28,Amazing! #olympics #gymnastics #london2012
1343646602,1343647425,29,Gymnastics for life💙💜💗 #olympics #gymnastics
1343649181,1343651660,30,RT @XtineShirvs: Watching the Gymnastics Olympics!! 💚💚 #gymnastics #olympics
1343653144,1343656296,31,Gymnastics ❤🇺🇸💙 #olympics #gymnastics
1343659445,1343690475,32,Oooooooh gymnastics #Olympics2012 #fitmen
1343690524,1343691093,33,Watching men's gymnastics live #Olympics2012 #gymnastics
1343699282,1343699500,34,This Gymnastics is mental. #olympics2012 #gymnastics #crazystrongbastards
1343699641,1343699753,35,YES!!! Bronze for the #teamGB Men's team final!! Amazing! #gymnastics #Olympics
1343699821,1343699966,36,Well done men's gymnastics team- silver medal. Phenomenal. #Gymnastics #London2012 #TeamGB
1343700061,1343700091,37,Unbelievable!!! Silver for #TeamGB in the men's gymnastics team event. So fantastic! #Olympics
1343700121,1343700179,38,#teamgb #Olympics silver to men's gymnastics team
1343700241,1343700407,39,Congratulations (from across the pond) on Silver for the GB men's gymnastics team #Olympics #gymnastics
1343700661,1343700806,40,Bronze...what an end! #stillamedal #gymnastics #London2012
1343700901,1343700967,41,RT @TeamJanetUK: JAPAN #gymnastics #London2012
1343701021,1343701107,42,RT @TeamJanetUK: DEAR JAPAN #gymnastics #London2012
1343701261,1343701489,43,RT @TeamJanetUK: DEAR JAPAN #gymnastics #London2012
1343701741,1343701948,44,RT @Luke_SFR: DEAR JAPAN #gymnastics #London2012
1343702461,1343702768,45,RT @TeamJanetUK: DEAR JAPAN #gymnastics #London2012
1343703482,1343709405,46,RT @TeamJanetUK: DEAR JAPAN #gymnastics #London2012
1343709722,1343710409,47,RT @sarajcox: Our men's gymnastics team are Just. Next. Level. INCREDIBLE. #olympics @TeamGB
1343710987,1343711429,48,RT @sarajcox: Our men's gymnastics team are Just. Next. Level. INCREDIBLE. #olympics @TeamGB
1343720167,1343728822,49,Men's gymnastics 👍 #Olympics2012
1343728981,1343729278,50,Men's gymnastics :) #olympics2012
1343729461,1343729686,51,Men's gymnastics is crazy. #Olympics2012
1343729881,1343729957,52,RT @michelleCulv: Men's gymnastics #Olympics #London2012
1343730001,1343730164,53,Come on men's gymnastics #Olympics
1343730841,1343730950,54,RT @Jordyn_Sewell: Men's gymnastics #wowjustwow #Olympics
1343731021,1343731097,55,RT @emcrookham: Men's gymnastics are unreal. #Olympics
1343731261,1343731392,56,Men's gymnastics #effingup #Olympics
1343731741,1343731971,57,RT @PrincessFat1ma: Men's gymnastics >>> #Olympics2012
1343733543,1343734218,58,Men's team gymnastics is #outofcontrol #olympics
