Start,Mean,Group,Summary
1343050445,1343076063,0,RT @geoffreyfowler: Honey; here's a #london2012 tale: The secret to hanging onto the bars in Olympic gymnastics comes in a squeezable be ...
1343412752,1343437906,1,RT @NBCOlympics: US! RT @AAinsworthNBC: Who else can't wait for gymnastics to begin tomorrow!? #london2012 #gymnastics
1343495781,1343496550,2,RT @paulsonne: Half the ticket windows are closed at the gymnastics arena. Welcome; visitors; to the most British of experiences: queuin ...
1343552042,1343552536,3,Tune in yall! RT @USAGym: Men's gymnastics qualifying round up next on NBC! #london2012
1343553422,1343553559,4,RT @shandelle: Wow; it's just painful to watch the footage of the Chinese men's gymnastics team. Falling off every apparatus; stumbling; ...
1343555163,1343555872,5,RT @jessiehartline: Men gymnastics? Bring it. I love watching gymnastics #Olympics
1343556421,1343556431,6,RT @ReelTalker: So; I kinda keep thinking about Final Destination 5 when I watch gymnastics now. Is that weird? I'm concerned. #Olympics
1343558341,1343559522,7,RT @NBCOlympics: RT @katiefontana: Lets go Johnny O!! @nbcolympics #USA #highbar #mensgymnastics #Olympics
1343559842,1343559863,8,RT @katiefontana: Lets go Johnny O!! @nbcolympics #USA #highbar #mensgymnastics #Olympics
1343560741,1343561199,9,RT @MadisonMacaruso: I mean I love watching gymnastics but men's floor just creeps me out a little... #thislooksweird #Olympics
1343562061,1343563819,10,RT @PerezHilton: Few things are as entertaining as watching men's gymnastics at a gay bar on a Saturday night! #Olympics #Winning #LetsH ...
1343566805,1343566898,11,RT @PerezHilton: Few things are as entertaining as watching men's gymnastics at a gay bar on a Saturday night! #Olympics #Winning #LetsH ...
1343598483,1343598582,12,RT @edwardroussel: Olympics 2012 empty seats scandal: Army sent in to fill sponsors' seats at gymnastics in O2 Stadium today. #olympics ...
1343609343,1343611322,13,RT @VictoriaMoors: Canada's going to the olympic finals! #London2012 #gymnastics
1343614081,1343614388,14,Same. RT @NickSwardson: Watching gymnastics floor routine. Not impressed. I do all those moves when I walk to the store. #Olympics
1343614981,1343617832,15,RT @finnious: RT @NickSwardson: Watching gymnastics floor routine. Not impressed. I do all those moves when I walk to the store. #Olympics
1343638329,1343638409,16,RT @IAmDanniV: Over swimming let's see the gymnastics #olympics
1343638861,1343638897,17,RT @mEngel52: Can't wait to see the girls gymnastics!!! #Olympics
1343638923,1343638964,18,RT @NBCOlympics: Coming Up: Women's gymnastics team competition #Olympics
1343639101,1343639152,19,Watching & so excited!!! #MyFave RT @NBCOlympics: Coming Up: Women's gymnastics team competition #Olympics
1343639521,1343640305,20,The really short one RT @NBCOlympics: Who of the women's gymnastics team are you cheering for the loudest? #Olympics
1343640481,1343640660,21,RT @buckhollywood: NBC is gonna milk this Ali and Jordyn thing. All this commentary is after the fact. #facts #olympics #gymnastics
1343640961,1343641029,22,RT @HeatherTrak: my favorite part of the #olympics is by far #gymnastics
1343641681,1343642078,23,RT @bitch_speaking: We can go back to gymnastics any time now....... #Olympics2012
1343642761,1343643308,24,Victory!! RT @NBCOlympics: We're back with more women's gymnastics! #Olympics
1343643961,1343643963,25,RT @NBCOlympics: We're back with more women's gymnastics! #Olympics
1343644442,1343644511,26,RT @ChristianaBenne: #gymnastics #Olympics2012 Girls; please learn to do your hair nicely. Messy hair has no place on the international ...
1343644982,1343645206,27,RT @LisaLeslie: I am so stressed out! Between gymnastics and the swimming! I am getting a headache cheering for all these athletes!! #Ol ...
1343645341,1343645386,28,RT @NBCOlympics: We are back with women's gymnastics in one #HOTPINK gym! #Olympics
1343646602,1343647156,29,RT @buckhollywood: Jordyn Weiber - you are very classy! I know you will nail it in Team Finals! #Olympics #gymnastics
1343649181,1343651313,30,RT @ThePresObama: Secretly want the black girl on the US gymnastics team to win more all the medals. #Olympics
1343653144,1343653183,31,RT @ThatBoyJacob: Somewhere; right now; members of the 2016 Chinese Olympic Gymnastics Team are being born. #gymnastics #olympics
1343659445,1343659445,32,RT @ThatBoyJacob: Somewhere; right now; members of the 2016 Chinese Olympic Gymnastics Team are being born. #gymnastics #olympics
1343690524,1343693151,33,RT @GemmaAnneStyles: Watching the gymnastics... How do they DO that?! #madskills #london2012
1343699282,1343699456,34,RT @danwootton: TEAM GB on fire in the men's gymnastics. So exciting. Incredible performances. #Olympics
1343699641,1343699689,35,RT @InsideCheer: RT if you're glued to the Olympic coverage of gymnastics! #London2012
1343699821,1343699859,36,RT @gymnastike: The British men have just won their first Olympic gymnastics team medal since 1912!! And it's SILVER! #London2012
1343700061,1343700080,37,RT @gymnastike: The British men have just won their first Olympic gymnastics team medal since 1912!! And it's SILVER! #London2012
1343700121,1343700142,38,RT @charlottekkelly: NO ITS A SILVER!!!!!!!!!!!!!!!!!!! You go go go go go #TeamGB #gymnastics #olympics
1343700241,1343700490,39,RT @TeamJanetUK: DEAR JAPAN #gymnastics #London2012
1343700661,1343700671,40,RT @TeamJanetUK: DEAR JAPAN #gymnastics #London2012
1343700901,1343700901,41,RT @TeamJanetUK: DEAR JAPAN #gymnastics #London2012
1343701021,1343701021,42,RT @TeamJanetUK: DEAR JAPAN #gymnastics #London2012
1343701261,1343701261,43,RT @TeamJanetUK: DEAR JAPAN #gymnastics #London2012
1343701741,1343701743,44,RT @TeamJanetUK: DEAR JAPAN #gymnastics #London2012
1343702461,1343702461,45,RT @TeamJanetUK: DEAR JAPAN #gymnastics #London2012
1343703482,1343705142,46,RT @TeamJanetUK: DEAR JAPAN #gymnastics #London2012 brilliant
1343709722,1343710364,47,RT @sarajcox: Our men's gymnastics team are Just. Next. Level. INCREDIBLE. #olympics @TeamGB
1343710987,1343710994,48,RT @sarajcox: Our men's gymnastics team are Just. Next. Level. INCREDIBLE. #olympics @TeamGB
1343720167,1343728543,49,The event happened 6 hours ago. The whole world knows the results RT @NBCOlympics: COMING UP: Men’s #gymnastics; team FINAL! #Olympics
1343728981,1343729416,50,RT @AddisonDarr: Men's gymnastics is just too weird #Olympics
1343729461,1343729646,51,RT @shutupbuck: Catastrophic. Who ever taught Tim Daggett that word should be punched in the twat. #Olympics #gymnastics #ShutUpTim
1343729881,1343729936,52,RT @shutupbuck: I hate pommel horse. #olympics #gymnastics
1343730001,1343730481,53,RT @shutupbuck: And here goes NBC with their HILARIOUSLY bad coverage! Oh there are other nations there too? NO WAY! #olympics #gymnastics
1343730841,1343730844,54,RT @elenowen: The reason everyone likes men's gymnastics so much is b/c they're all a buncha ninjas. Ninjas are fun to watch. #Olympics
1343731021,1343731035,55,RT @shutupbuck: I think we should start a twitter for the mole on Jake Dalton's neck! I love it! #JakeDaltonsMole #TheNewSJP #gymnastics ...
1343731261,1343731301,56,RT @shutupbuck: And here goes NBC with their HILARIOUSLY bad coverage! Oh there are other nations there too? NO WAY! #olympics #gymnastics
1343731741,1343732920,57,RT @tedligety: Watching gymnastics. It should be on tv more often. #badass #london2012 #olympics
1343733543,1343734195,58,wis10:http://t.co/oaVUzTJI RT @NBCOlympics: UP NEXT; back to men’s #gymnastics team finals! #Olympics
1343734501,1343735100,59,RT @shutupbuck: Let's see how NBC decides to cover these next few moments- wait for it! #gymnastics #olympics
1343735641,1343736018,60,RT @daskins_21: RT @NBCOlympics: RT if you’re excited to watch the U.S. women compete in the #gymnastics team FINAL tomorrow! #Olympics
1343736421,1343736421,61,RT @UpdateOlympics: RT if you’re very excited to watch the U.S. women compete in the #gymnastics team FINAL tomorrow! #Olympics
1343736781,1343736782,62,RT @UpdateOlympics: RT if you’re very excited to watch the U.S. women compete in the #gymnastics team FINAL tomorrow! #Olympics
1343742255,1343742255,63,RT @UpdateOlympics: RT if you’re very excited to watch the U.S. women compete in the #gymnastics team FINAL tomorrow! #Olympics
1343777161,1343777282,64,RT @NBCOlympics: Are you ready?? WATCH LIVE NOW: Women's #gymnastics team FINAL: LIVESTREAM: #Olympics
1343778481,1343811605,65,RT @shutupbuck: THE ABSOLUTE BEST VAULT EVER PERFORMED BY A FEMALE GYMNAST!!!!!!! I AM SCREAMING!!!!!!!! #gymnastics #olympics
1343811781,1343811781,66,RT @shutupbuck: THE ABSOLUTE BEST VAULT EVER PERFORMED BY A FEMALE GYMNAST!!!!!!! I AM SCREAMING!!!!!!!! #gymnastics #olympics
1343811841,1343811841,67,RT @shutupbuck: THE ABSOLUTE BEST VAULT EVER PERFORMED BY A FEMALE GYMNAST!!!!!!! I AM SCREAMING!!!!!!!! #gymnastics #olympics
1343811961,1343811967,68,RT @shutupbuck: THE ABSOLUTE BEST VAULT EVER PERFORMED BY A FEMALE GYMNAST!!!!!!! I AM SCREAMING!!!!!!!! #gymnastics #olympics
1343812381,1343812383,69,RT @shutupbuck: THE ABSOLUTE BEST VAULT EVER PERFORMED BY A FEMALE GYMNAST!!!!!!! I AM SCREAMING!!!!!!!! #gymnastics #olympics
1343812742,1343812758,70,RT @shutupbuck: THE ABSOLUTE BEST VAULT EVER PERFORMED BY A FEMALE GYMNAST!!!!!!! I AM SCREAMING!!!!!!!! #gymnastics #olympics
1343813462,1343814211,71,RT @buckhollywood: New Drinking Game - Drink Anytime Tim or Elfie say anything insightful! #YouCanBeSoberDriver #gymnastics #olympics
1343814661,1343814994,72,RT @shutupbuck: Gabby is so cute! I love her face!!!!!! GO USA!!!! #gymnastics #olympics
1343815201,1343815204,73,RT @shutupbuck: Gabby is so cute! I love her face!!!!!! GO USA!!!! #gymnastics #olympics
1343816281,1343816833,74,RT @shutupbuck: I have never seen Jordyn Wieber smile so much! :-) It makes me smile! #gymnastics #olympics
1343817901,1343817902,75,RT @jenny_suh: A golf hole is wider than a gymnastics beam?! 4.25' vs 4'...these girls are fearless! #Olympics
1343818561,1343818561,76,RT @NickStrauss1: What advantage does face glitter give you in gymnastics? And why don't the men wear it? #London2012
1343818801,1343819155,77,RT @shutupbuck: OMG!! THIS IS SO FAKE THAT TIM IS SAYING SHE SHOULD TAKE THAT ELEMENT OUT AFTER WE KNOW SHE DID!!! #olympics #gymnastics
1343819401,1343819479,78,RT @EricStangel: I just scored a ticket for the women's gymnastics. Hoping to catch the end. Where the hell is everyone??? #Olympics
1343819581,1343819587,79,RT @EricStangel: I just scored a ticket for the women's gymnastics. Hoping to catch the end. Where the hell is everyone??? #Olympics
1343819641,1343819683,80,RT @CoKaLouiSe: RT @PhaedraParks: The lady gymnastics team is superb!!!! Go USA!!!!! #Olympics
1343843701,1343849610,81,RT @olympics: Team CHN in #gymnastics practice #olympics #day5 #anc
1343863567,1343863581,82,RT @ESPNMag: #USA women's gymnastics didn't just win the 1st team gold since '96—they won w/ a 5.066-pt margin of victory; largest since ...
1343872861,1343876467,83,RT @BET: Congrats Gabby Douglas & US gymnastics team who won the gold medal in #Olympics Artistic Gymnastics Womens Team final: ...
1343902261,1343903020,84,Sweet! RT @TheDailyShow: IOC announces it will combine archery and gymnastics; 'to see what happens.'#Olympics #FakeSpoiler
1343903821,1343903838,85,RT @TheDailyShow: IOC announces it will combine archery and gymnastics; 'to see what happens.'#Olympics #FakeSpoiler
1343907182,1343908086,86,RT @shutupbuck: 'If I was judging; I would only take a half a point' - Do you know something we don't Tim? #olympics #gymnastics #AfterT ...
1343908861,1343947737,87,RT @NBCOlympics: Who’s ready to watch @gabrielledoug in the women’s all-around FINAL at the #Olympics? #flyingsquirrel #gymnastics ...
1343950263,1343951518,88,RT @Olympics: Team USA stays warmed up #gymnastics #olympics
1343955961,1343956242,89,RT @Olympics: Team USA comes in for a landing #gymnastics #olympics
1343956561,1343956853,90,RT @AP: BREAKING: Gabby Douglas of the US wins Olympic gymnastics gold in women's individual all-around. -EF #London2012 #APolympics #fb
1343956861,1343957216,91,RT @cnnbrk: #Olympics Result: USA's Gabby Douglas wins women's all-around gymnastics gold. <<< Yay! congrats @gabri ...
1343957461,1343957737,92,RT @cnnbrk: #Olympics Result: USA's Gabby Douglas wins women's all-around gymnastics gold. < There was NO doubt!
1343958061,1343958894,93,RT @cnnbrk: #Olympics Result: USA's Gabby Douglas wins women's all-around gymnastics gold. GO GABBY! #TeamUSA
1343960402,1343960406,94,RT @NBCOlympics: Who’s ready to watch @gabrielledoug in the women’s all-around FINAL at the #Olympics? #flyingsquirrel #gymnastics ...
1343985246,1343985938,95,RT @shutupbuck: That was a lot of steps and way off the matt for a decent score for Komova. Judges were kind. #gymnastics #Olympics #Cal ...
1343986321,1343986567,96,RT @NBCOlympics: TRUE or FALSE: The vault is the hardest apparatus in the women's all-around. #gymnastics #Olympics // Doubt
1343987046,1343988868,97,RT @buckhollywood: I am sorry if I do not want to call a teenage black girl a Squirrel. #olympics #gymnastics #OprahGetsIt
1343989561,1343992143,98,RT @shutupbuck: Is this bitch wearing socks?? They should disqualify her! #gymnastics #olympics
1343992561,1343992738,99,RT @hhhilll: I love watching gabby perform; she smiles the whole time! #gymnastics #olympics
1343993161,1343993184,100,RT @shutupbuck: That was the best Komova could do on floor! She was praying! And then gutted. Smile little girl! xoxo #gymnastics #olympics
1343993401,1343993524,101,RT @TripleTwistBlog: RT @shutupbuck: I am already excited for Vaulting finals to see McKayla win GOLD! #gymnastics #olympics
1343993581,1343993583,102,RT @shutupbuck: I am already excited for Vaulting finals to see McKayla win GOLD! #gymnastics #olympics
1343994841,1343994876,103,RT @PhaedraParks: Gabby Douglas is the 1st African American to win the women's All Around in gymnastics! I'm so proud #Olympics #BlackHi ...
1343995141,1343995141,104,RT @PhaedraParks: Gabby Douglas is the 1st African American to win the women's All Around in gymnastics! I'm so proud #Olympics #BlackHi ...
1343996944,1343996948,105,RT @PhaedraParks: Gabby Douglas is the 1st African American to win the women's All Around in gymnastics! I'm so proud #Olympics #BlackHi ...
1344008094,1344009042,106,RT @PhaedraParks: Gabby Douglas is the 1st African American to win the women's All Around in gymnastics! I'm so proud #Olympics #BlackHi ...
1344186778,1344207666,107,What?! RT @NBCOlympics: RESULTS: @McKaylaMaroney wins SILVER in the vault final: #gymnastics #Olympics
1344230722,1344248256,108,RT @shutupbuck: NBC doing their horrible foreshadowed post event recap coverage. This is hilariously bad coverage. :-) #gymnastics #olympics
1344253863,1344335167,109,RT @NBCOlympics: ON NOW: .@gabrielledoug in the women’s #gymnastics uneven bars final! #Olympics
1344344205,1344375911,110,RT @NBCOlympics: Who’s ready to see @gabrielledoug; @aly_raisman & @jordyn_wieber compete at #London2012 one last time? #gymnastics ...
