Time,Group
1343046845,1
1343049790,2
1343050855,3
1343051058,4
1343052125,5
1343053901,6
1343054114,7
1343056414,8
1343058505,9
1343059007,10
1343059640,11
1343060695,12
1343060929,12
1343061493,12
1343061534,13
1343064389,14
1343065093,15
1343065206,16
1343066033,17
1343066608,18
1343066649,19
1343066680,19
1343066729,19
1343066923,19
1343067024,19
1343067086,19
1343067291,19
1343067662,19
1343067693,19
1343067774,19
1343067816,19
1343067911,19
1343068388,19
1343068551,20
1343069029,21
1343069099,21
1343069767,22
1343069866,22
1343070106,22
1343072038,23
1343072231,23
1343072463,23
1343072535,23
1343072604,24
1343072633,24
1343072644,24
1343072663,24
1343072706,24
1343072784,24
1343072806,24
1343072842,24
1343073024,24
1343073061,24
1343073069,24
1343073277,24
1343073587,24
1343073606,25
1343073632,25
1343073714,26
1343073860,27
1343074501,28
1343074549,28
1343074865,29
1343075778,30
1343075781,31
1343075950,32
1343076069,32
1343076340,32
1343076383,32
1343076552,33
1343076721,33
1343076830,34
1343076955,35
1343077116,35
1343077232,36
1343077338,37
1343077365,37
1343077766,38
1343077883,39
1343077899,39
1343077929,39
1343077964,39
1343077964,39
1343078342,39
1343078449,39
1343078527,39
1343078809,39
1343078942,40
1343078977,40
1343079132,41
1343079969,42
1343080055,42
1343080261,42
1343080614,43
1343080832,44
1343080835,44
1343080861,44
1343080863,44
1343081148,44
1343081223,44
1343081279,45
1343081352,46
1343081398,46
1343081429,47
1343084365,48
1343084502,49
1343084540,49
1343085020,50
1343085657,51
1343086025,52
1343086264,53
1343086357,53
1343086569,53
1343086775,53
1343086792,54
1343086925,55
1343086926,55
1343086944,55
1343086981,55
1343087045,55
1343087322,55
1343087589,55
1343087953,55
1343088604,56
1343088662,57
1343089351,58
1343090037,59
1343091111,60
1343091380,61
1343091599,62
1343091815,63
1343091962,63
1343092153,64
1343092331,65
1343092388,65
1343093236,66
1343093294,66
1343094066,67
1343094232,67
1343094623,68
1343094750,68
1343094788,68
1343094840,68
1343095016,69
1343095047,69
1343095799,70
1343096132,71
1343096395,72
1343096424,72
1343096729,73
1343097177,74
1343097529,75
1343097562,75
1343097580,76
1343097795,76
1343098058,77
1343098131,77
1343098607,78
1343099225,79
1343099626,80
1343099929,81
1343100524,82
1343100697,83
1343100804,83
1343100938,84
1343101635,85
1343102600,86
1343102648,86
1343103299,87
1343103609,88
1343103779,89
1343103839,89
1343104121,90
1343104671,91
1343105014,92
1343105235,93
1343105572,94
1343105667,94
1343105948,95
1343106227,96
1343106281,96
1343106370,96
1343106457,96
1343107197,97
1343107314,97
1343107559,98
1343107597,99
1343108883,100
1343109108,101
1343109130,101
1343109673,102
1343110252,103
1343110261,103
1343110341,103
1343111006,103
1343111664,103
1343112070,103
1343112771,103
1343112836,103
1343112864,104
1343112880,104
1343113420,105
1343113426,105
1343113483,106
1343114015,107
1343114220,107
1343114220,108
1343115245,109
1343115353,110
1343115569,111
1343115637,112
1343116444,113
1343118011,114
1343118055,115
1343118162,116
1343118507,117
1343118585,118
1343118667,119
1343118833,120
1343120079,121
1343120864,122
1343121215,123
1343121826,124
1343122173,125
1343122372,126
1343122633,127
1343123050,128
1343123227,129
1343123758,130
1343123917,131
1343124354,132
1343124901,133
1343125203,134
1343126517,135
1343127167,136
1343127922,137
1343128004,138
1343128230,139
1343128355,140
1343128391,141
1343128577,142
1343129029,143
1343129499,144
1343129708,145
1343131893,146
1343133510,147
1343135416,148
1343137475,149
1343137632,150
1343138155,151
1343139145,152
1343139341,153
1343139564,154
1343142639,155
1343143203,156
1343144519,157
1343144684,158
1343145869,159
1343145910,159
1343146019,159
1343146103,160
1343146125,161
1343146344,162
1343146895,163
1343148836,164
1343150134,165
1343151397,166
1343152095,167
1343152465,168
1343152769,169
1343152824,170
1343153925,171
1343155011,172
1343155280,173
1343155461,174
1343155463,174
1343155591,175
1343155602,175
1343155843,176
1343155896,177
1343156061,178
1343156132,179
1343157016,180
1343157968,181
1343158010,182
1343158134,183
1343158404,184
1343159195,185
1343160979,186
1343160990,187
1343161516,188
1343161595,189
1343161774,190
1343162151,191
1343162208,192
1343162727,193
1343162813,194
1343163490,195
1343163513,195
1343164446,196
1343164770,197
1343166255,198
1343166552,199
1343167515,200
1343167873,201
1343168101,201
1343168242,202
1343168972,203
1343169374,204
1343169593,205
1343169843,206
1343170051,207
1343170429,208
1343170473,208
1343170841,209
1343171278,210
1343171660,211
1343171753,212
1343171789,213
1343171926,214
1343171943,215
1343172130,216
1343172513,217
1343172832,218
1343173155,219
1343173526,220
1343173539,221
1343173568,221
1343173810,222
1343173913,223
1343173949,224
1343174045,225
1343174119,226
1343174157,227
1343174475,228
1343174502,228
1343174755,229
1343175153,230
1343175168,230
1343175185,230
1343175194,230
1343175320,230
1343175507,231
1343175558,231
1343175713,232
1343176117,233
1343176215,234
1343177111,235
1343177235,236
1343177239,236
1343177790,236
1343178121,237
1343178168,237
1343178169,237
1343178254,238
1343178316,239
1343178404,240
1343178420,241
1343178752,242
1343178965,243
1343178973,243
1343179389,244
1343179489,245
1343179679,246
1343179770,246
1343179933,246
1343180688,246
1343180747,246
1343180772,246
1343181226,247
1343181286,248
1343181855,249
1343182000,250
1343182098,251
1343182184,252
1343182351,253
1343182570,254
1343182589,254
1343182713,254
1343182845,254
1343183019,254
1343183081,254
1343183181,254
1343183546,255
1343184183,256
1343184766,257
1343185071,258
1343187112,259
1343187195,260
1343187229,261
1343187286,261
1343187462,262
1343187520,263
1343187548,264
1343188054,265
1343188153,266
1343188238,267
1343188403,268
1343188447,269
1343188564,270
1343188923,271
1343189431,272
1343189754,273
1343189756,273
1343189977,274
1343190000,275
1343190018,276
1343190036,276
1343190509,276
1343204608,277
1343205185,278
1343205562,279
1343205570,280
1343206546,281
1343207480,282
1343207870,283
1343208369,284
1343208771,285
1343209064,286
1343209187,287
1343209362,288
1343209473,289
1343209537,290
1343209620,291
1343209770,292
1343210337,293
1343210425,294
1343211630,295
1343211927,296
1343212051,297
1343213342,298
1343213364,299
1343213769,300
1343214385,301
1343214917,302
1343215044,303
1343289798,304
1343290108,305
1343290307,306
1343290327,307
1343290342,307
1343290357,307
1343290371,307
1343290373,307
1343290419,307
1343290644,307
1343290653,308
1343290808,309
1343290911,310
1343290931,311
1343291150,311
1343291159,312
1343291230,312
1343291439,313
1343291474,314
1343291489,314
1343292579,315
1343292711,316
1343292992,317
1343292998,317
1343293053,318
1343293075,318
1343293123,318
1343293180,319
1343293269,320
1343293882,320
1343294505,321
1343294548,322
1343294562,323
1343294834,323
1343296274,324
1343296305,324
1343296410,325
1343296414,325
1343296611,326
1343296948,327
1343297115,328
1343297478,329
1343297589,330
1343297799,331
1343298029,332
1343298080,332
1343298094,332
1343298096,332
1343298584,333
1343298983,334
1343299201,335
1343299561,336
1343299694,336
1343299896,336
1343299981,337
1343300233,338
1343300318,339
1343300320,339
1343300403,340
1343300633,341
1343300670,342
1343301138,343
1343301156,343
1343301422,344
1343301559,345
1343301716,345
1343301870,345
1343301927,345
1343302830,346
1343303174,347
1343303226,347
1343303328,347
1343303416,348
1343303584,348
1343303825,349
1343303954,350
1343303982,350
1343304305,350
1343304398,350
1343304459,350
1343304776,350
1343304874,350
1343305238,350
1343305662,351
1343305666,351
1343305669,351
1343305815,352
1343306072,353
1343306242,353
1343306267,354
1343306555,355
1343306575,355
1343306765,355
1343307173,356
1343307441,357
1343307519,358
1343307608,358
1343307849,359
1343308336,360
1343308924,361
1343309021,362
1343310281,363
1343310441,363
1343310995,364
1343311880,365
1343311986,366
1343312127,367
1343313710,368
1343313800,368
1343313916,368
1343314592,369
1343314950,370
1343314966,370
1343315041,371
1343315180,372
1343315653,373
1343316384,374
1343316798,375
1343316798,375
1343316799,375
1343316799,376
1343316799,376
1343317701,377
1343318430,378
1343318995,379
1343319805,380
1343319955,381
1343320112,382
1343320416,383
1343320714,384
1343321641,385
1343322050,385
1343322135,386
1343322784,387
1343322811,387
1343322997,388
1343323019,389
1343323282,390
1343323833,391
1343324052,392
1343324481,393
1343324988,394
1343324996,394
1343325022,394
1343325151,395
1343326109,396
1343326232,397
1343326486,398
1343326558,398
1343327421,399
1343327532,399
1343327706,399
1343328033,399
1343328114,400
1343328407,401
1343328412,402
1343328520,402
1343328534,402
1343328579,402
1343328644,403
1343328683,403
1343328686,403
1343328726,403
1343328783,403
1343328879,403
1343329005,403
1343329061,403
1343329097,403
1343329975,404
1343329999,405
1343330064,406
1343330099,407
1343330192,407
1343330344,408
1343330449,409
1343330603,410
1343330677,411
1343330710,411
1343330747,412
1343330793,412
1343331018,412
1343331061,413
1343331063,413
1343331222,414
1343331395,415
1343331444,416
1343331459,417
1343331514,418
1343331607,418
1343331658,418
1343332071,419
1343332100,419
1343332161,419
1343332213,419
1343332533,419
1343332821,419
1343332924,420
1343333070,421
1343333168,422
1343333206,422
1343333263,423
1343333266,423
1343333357,423
1343333409,423
1343333540,423
1343333656,424
1343333657,424
1343333706,424
1343333720,424
1343333729,424
1343333747,424
1343333785,424
1343334129,424
1343334283,424
1343334325,424
1343334342,424
1343334541,424
1343334552,425
1343334584,425
1343334606,425
1343334609,425
1343334650,425
1343334696,425
1343334711,425
1343334742,425
1343334752,425
1343334982,425
1343335110,425
1343335132,426
1343335134,426
1343335200,426
1343335253,426
1343335267,426
1343335323,426
1343335503,426
1343335585,426
1343335605,426
1343335780,427
1343335808,427
1343335812,427
1343335827,427
1343335846,427
1343335975,427
1343336016,427
1343336139,427
1343336432,427
1343336495,427
1343336578,427
1343336685,428
1343336833,429
1343336874,429
1343336884,429
1343336891,429
1343336893,429
1343336912,429
1343336913,429
1343336943,429
1343336953,429
1343336955,429
1343336960,429
1343337002,429
1343337028,429
1343337061,429
1343337071,429
1343337115,429
1343337188,429
1343337283,429
1343337285,429
1343337294,429
1343337294,429
1343337326,430
1343337354,430
1343337381,431
1343337382,431
1343337382,431
1343337386,431
1343337401,431
1343337405,431
1343337409,431
1343337413,431
1343337414,431
1343337416,431
1343337434,431
1343337448,431
1343337458,431
1343337459,431
1343337469,431
1343337550,431
1343337569,431
1343337579,431
1343337591,431
1343337598,431
1343337618,431
1343337633,431
1343337646,431
1343337673,431
1343337683,431
1343337709,431
1343337756,431
1343337771,431
1343337772,431
1343337772,431
1343337776,431
1343337811,431
1343337932,431
1343337963,431
1343337967,431
1343337991,431
1343338016,431
1343338029,431
1343338041,431
1343338081,431
1343338111,431
1343338152,431
1343338222,431
1343338236,431
1343338315,431
1343338347,431
1343338351,431
1343338351,431
1343338355,431
1343338402,431
1343338421,431
1343338435,431
1343338449,431
1343338474,431
1343338526,431
1343338606,431
1343338638,431
1343338657,431
1343338731,431
1343338754,431
1343338770,431
1343338847,431
1343339080,432
1343339124,432
1343339137,432
1343339217,432
1343339364,432
1343339387,433
1343339422,434
1343339503,434
1343339558,435
1343339621,436
1343339643,436
1343339646,436
1343339662,436
1343339725,436
1343339751,436
1343339764,436
1343339764,436
1343339797,436
1343339815,436
1343339822,437
1343339849,438
1343339869,438
1343339896,438
1343339896,438
1343339915,438
1343339984,438
1343340081,438
1343340134,438
1343340195,438
1343340258,438
1343340320,438
1343340338,438
1343340393,438
1343340439,439
1343340478,440
1343340486,440
1343340527,440
1343340577,440
1343340622,441
1343340643,442
1343340646,442
1343340693,443
1343340699,443
1343340701,443
1343340725,443
1343340732,443
1343340734,443
1343340735,443
1343340759,443
1343340770,443
1343340772,443
1343340774,443
1343340796,443
1343340827,443
1343340891,443
1343340943,443
1343340964,443
1343341011,443
1343341121,443
1343341331,443
1343341670,444
1343341672,444
1343341694,444
1343341823,445
1343342298,446
1343342388,447
1343343024,448
1343343655,448
1343344773,449
1343344779,449
1343345281,449
1343345584,450
1343346072,451
1343346350,452
1343346640,453
1343346740,453
1343346973,454
1343347181,455
1343347205,456
1343347249,456
1343347703,457
1343347904,458
1343347956,459
1343348075,459
1343348138,459
1343348148,460
1343348204,461
1343348311,461
1343348429,461
1343348470,461
1343348502,461
1343348723,461
1343348780,462
1343348992,463
1343348993,463
1343348995,463
1343349046,463
1343349090,463
1343349105,463
1343349139,463
1343349331,463
1343349334,463
1343349441,463
1343349462,463
1343349611,463
1343349709,463
1343349724,463
1343349735,463
1343349780,463
1343349925,463
1343350101,463
1343350189,463
1343350217,463
1343350239,463
1343350241,463
1343350245,463
1343350257,463
1343350383,463
1343350421,463
1343350458,463
1343350513,464
1343350535,464
1343350557,464
1343350658,464
1343350661,464
1343350686,464
1343350722,464
1343350769,464
1343350771,464
1343350797,464
1343350843,464
1343350917,464
1343350948,464
1343351019,464
1343351039,464
1343351114,464
1343351177,464
1343351318,464
1343351391,464
1343351397,464
1343351471,464
1343351504,464
1343351522,465
1343351573,466
1343351610,466
1343351625,466
1343351639,466
1343351708,466
1343351781,466
1343352129,466
1343352191,466
1343352278,466
1343352381,466
1343352479,466
1343352480,466
1343352534,466
1343352615,466
1343352636,466
1343352710,466
1343352721,466
1343352739,466
1343352963,466
1343352969,466
1343352983,466
1343353073,466
1343353378,466
1343353479,466
1343353494,466
1343353690,466
1343353735,466
1343353776,467
1343353791,467
1343353847,468
1343353904,468
1343353953,468
1343354081,468
1343354180,468
1343354293,468
1343354298,468
1343354351,468
1343354432,468
1343354469,468
1343354480,468
1343354504,468
1343354608,468
1343354686,468
1343354691,468
1343354754,468
1343354755,468
1343354779,468
1343354921,468
1343355286,468
1343355339,468
1343355341,468
