Time,Group
1343807016,1
1343807028,1
1343807098,1
1343807161,2
1343807162,2
1343807204,2
1343807355,2
1343807525,2
1343807695,3
1343807807,3
1343807882,3
1343807907,3
1343808004,3
1343808044,3
1343808055,3
1343808105,3
1343808117,3
1343808117,3
1343808119,3
1343808166,3
1343808310,3
1343808312,3
1343808398,4
1343808482,4
1343808525,4
1343808647,4
1343808658,4
1343808688,4
1343808710,4
1343808796,4
1343808957,4
1343809417,4
1343809457,5
1343809503,5
1343809600,5
1343809640,5
1343809690,5
1343809740,5
1343809917,5
1343809955,5
1343810113,5
1343810115,5
1343810152,5
1343810202,5
1343810378,5
1343810637,6
1343810659,6
1343810736,6
1343810877,6
1343810913,6
1343811113,6
1343811210,6
1343811248,6
1343811303,6
1343811340,6
1343811654,6
1343811693,6
1343811893,7
1343812184,7
1343812219,7
1343812493,8
1343812648,8
1343812916,8
1343812975,8
1343812989,8
1343813038,8
1343813043,8
1343813211,9
1343813259,9
1343813305,9
1343813371,9
1343813448,9
1343813466,9
1343813487,9
1343813672,10
1343813828,10
1343813883,10
1343814004,10
1343814086,10
1343814710,10
1343814769,10
1343814791,11
1343815181,11
1343815184,11
1343815206,11
1343815221,11
1343815335,11
1343815361,11
1343815418,11
1343815657,12
1343815696,12
1343815708,12
1343815721,12
1343815844,12
1343815960,12
1343815995,12
1343816102,12
1343816394,13
1343816434,13
1343816491,13
1343816508,13
1343816510,13
1343816727,13
1343816794,13
1343816860,13
1343816907,13
1343816986,13
1343816987,13
1343816998,13
1343817044,13
1343817364,14
1343817411,14
1343817434,14
1343817467,14
1343817510,14
1343817548,14
1343817594,14
1343817731,14
1343817752,14
1343817817,14
1343817836,14
1343818068,14
1343818196,14
1343818305,14
1343818332,14
1343818642,14
1343818890,14
1343819283,14
1343819283,14
1343819386,14
1343819491,14
1343819502,14
1343819549,14
1343820007,14
1343820030,14
1343820357,14
1343820380,14
1343820402,14
1343820659,14
1343821160,14
1343821226,14
1343821521,14
1343821747,14
1343821889,15
1343822134,15
1343822379,15
1343822405,15
1343822509,16
1343822833,16
1343824383,16
1343824397,17
1343824563,17
1343824622,17
1343824764,17
1343824805,17
1343824825,17
1343824982,17
1343825427,17
1343825630,17
1343825662,17
1343825681,17
1343825750,18
1343826077,18
1343826499,18
1343826648,18
1343826716,18
1343826731,18
1343826861,18
1343827576,18
1343827917,18
1343828347,19
1343828367,19
1343828434,19
1343828846,19
1343828911,19
1343829042,19
1343829112,19
1343829143,19
1343829322,20
1343829385,20
1343829468,20
1343829609,20
1343829686,20
1343829732,20
1343829928,20
1343830134,21
1343830855,21
1343830949,21
1343831015,21
1343831016,21
1343831057,21
1343831087,21
1343831098,21
1343831154,21
1343831408,22
1343831519,22
1343831619,22
1343831639,22
1343831924,23
1343832212,23
1343832213,23
1343832439,24
1343832447,24
1343832467,24
1343832477,24
1343832542,24
1343832563,25
1343832628,25
1343832706,25
1343832831,26
1343832872,26
1343832895,26
1343832927,26
1343833021,26
1343833313,26
1343833318,26
1343833488,26
1343833531,26
1343833533,26
1343833538,27
1343833570,27
1343833682,27
1343833692,27
1343833743,27
1343833750,27
1343833836,27
1343834018,27
