Start,Mean,Group,Summary
1343055755,1343055755,1,Iraanse judoka Miresmaeili kroont zich met opgave tot nationale held - #judo #os2012 #london2012
1343062741,1343062741,2,RT @NihonSport: Judo Live Olympische Spelen Livestream London 2012 #judo #os2012 #london2012
1343107202,1343107202,3,#Uzbek judo fighter barred from #Olympics after traces of cannabis were found in his blood #notveryclever #dumbass
1343092495,1343092495,4,RT @NihonSport Wedstrijdschema voor Judo - Olympische Spelen 2012 #judo #os2012 #london2012
1343073445,1343073445,5,#UAE judoka Humaid Al Derei: Fighting for honour as well as the glory @SultanAlQassemi #London2012
1343088252,1343088252,6,RT @marialepulgar: The best of luck to @Martidamus @Judo_Kayla @judosilencer @NickforGold @judo_chopper Awesome athletes!!! @DoralJourna ...
1343074600,1343074600,7,RT @PerkinsSlade: RT @sarahclark_judo: Fantastic Photo @ophotogari #GBOlympicJudo @britishjudo @judoscotland @sportscotland #London2012 ...
1343103932,1343103932,8,@judosilencer @rddrg18 no one likes being eye balled. Don't waste ur energy! U have more important things to spend ur energy on! #Olympics
1343064488,1343064488,9,RT @NihonSport: Judo Live Olympische Spelen Livestream London 2012 #judo #os2012 #london2012
1343071291,1343071291,10,RT @NihonSport: Judo Live Olympische Spelen Livestream London 2012 #judo #os2012 #london2012
1343096265,1343096265,11,@ryanra @judo_chopper @WTEN Thank you! #London2012 #TeamDelpopolo #TeamMeesh
1343107461,1343107461,12,RT @LineUpSME: Also Excellent interview with @kearney_judo too.. #womeninsport #london2012
1343075951,1343075951,13,RT @sarahclark_judo: Tyne Tees TV slot tonight (not BBC) @kodokwai @shieldsgazette #judo #london2012 6.00-6.30pm A bit about me & Ko ...
1343053672,1343053672,14,RT @sarahclark_judo: Fantastic Photo @ophotogari #GBOlympicJudo @britishjudo @judoscotland @sportscotland #judo #London2012 ...
1343056013,1343056013,15,Judo Live Olympische Spelen Livestream London 2012 #judo #os2012 #london2012
1343075928,1343075928,16,RT @sarahclark_judo: Tyne Tees TV slot tonight (not BBC) @kodokwai @shieldsgazette #judo #london2012 6.00-6.30pm A bit about me & Ko ...
1343089383,1343089383,17,#judo tweets from #london2012 competitors at - check it out! #socialolympics
1343072057,1343072057,18,Sitting here thinking how different things could of been if I'd stuck with judo could of been at #london2012
1343084032,1343084032,19,London 2012 Olympics: Follow judokas on Twitter - #Olympics (src: Telegraph)
1343059962,1343059962,20,RT @CarolaUilenhoed: Livestream Judo Olympische Spelen London 2012 #judo #os2012 #london2012
1343104603,1343104603,21,@Grantland33 Any advice on setting up an Olympics Fantasy League? My patriotism is enhanced by meaningless wagers on judo. #olympics2012
1343064201,1343064201,22,RT @Napier_SES: @sarahclark_judo we are all rooting for you at this end Sarah! Best of luck! #london2012 #believe
1343091665,1343091665,23,London 2012 Olympics: Colin Oates going for judo gold and #212 #Colin #going #gold #judo #London #news #Oates #Olympics
1343054189,1343054189,24,RT @sarahclark_judo: Fantastic Photo @ophotogari #GBOlympicJudo @britishjudo @judoscotland @sportscotland #judo #London2012 ...
1343083215,1343083215,25,Wedstrijdschema voor Judo - Olympische Spelen 2012 #judo #os2012 #london2012
1343084232,1343084232,26,Maria Suellen Altheman. 9 ª do Ranking Mundial. Categoria acima de 78 kg. #London2012 #judo #ipponBrasil
1343095704,1343095704,27,Also Excellent interview with @kearney_judo too.. #womeninsport #london2012
1343066455,1343066455,28,RT @KENAMJU: "@NihonSport: Judo Live Olympische Spelen Livestream London 2012 #judo #os2012 #london2012"
1343072734,1343072734,29,RT @NihonSport: 'Ik ben in de best shape ever' #judo @os2012 #london2012
1343094124,1343094124,30,RT @sophiecox_judo: #takethestage #london2012 @TeamGB @RosalindCox1 @tonycox46472096 I think char would appreciate the pants! :) ...
1343112595,1343112595,31,RT @marialepulgar: The best of luck to @Martidamus @Judo_Kayla @judosilencer @NickforGold @judo_chopper Awesome athletes!!! @DoralJourna ...
1343075637,1343075637,32,Tyne Tees TV slot tonight (not BBC) @kodokwai @shieldsgazette #judo #london2012 6.00-6.30pm A bit about me & Kodokwai Judo Club
1343064118,1343064118,33,RT @Napier_SES: @sarahclark_judo we are all rooting for you at this end Sarah! Best of luck! #london2012 #believe
1343107020,1343107020,34,RT @RFERL: #Uzbek judo fighter barred from #Olympics after traces of cannabis were found in his blood
1343098842,1343098842,35,@Euan_Burton watching that has made me even more excited than I already was! Eeeeeeek!! Good luck everyone @TeamGB #judo #London2012
