Start,Mean,Group,Summary
1343807016,1343807016,1,Watching judo reminds me of watching women fighting on Jerry Springer... lame #olympics
1343807162,1343807162,2,London 2012 Olympics: Team GB lambasted as Euan Burton bows out of the judo http://t.co/vg2JfnOD #london2012
1343808117,1343808117,3,Saudi judo fighter to compete wearing headscarf #London2012 http://t.co/iEEjhtYT
1343808647,1343808647,4,RT @pmharper: What determination from Antoine Valois-Fortier in the judo competition – a well-deserved bronze. Well done! #London2012
1343810115,1343810115,5,RT @judosaya: I HAD to watch it again @Martidamus! Medal Rounds: Women's 57kg Men's 73kg http://t.co/9QQfOz3X via @nbcolympics #Olympics
1343811248,1343811248,6,RT @YusufKaBooM: Big up Winny. Inshaallah he goes in tomorrow with the judo. 9.30am #london2012 #TeamGordon #judo http://t.co/fXuhbNzQ
1343812184,1343812184,7,I need to look up the #judo schedule of #London2012 - I wonder if I missed it....
1343812975,1343812975,8,RT @BiggieBrookes: I'm amazed and so proud of the diving judo and weight lifting bronzes earned and won today by our Canadian! #giveyou ...
1343813448,1343813448,9,RT @Half: Female #Saudi fighter allowed to wear hijiab (headscarf) will participate in #Olympics judo competition http://t.co/EEN0HPLu ...
1343814086,1343814086,10,Crazy how proud u feel for these Canadian athletes that u dont even kno. Bigup new judo bronze medalist Antoine Valois-Fortier #London2012
1343815206,1343815206,11,RT @shelbylynnhayes: If someone took a picture of me crying I would judo kick them in their effing earhole. #backthehellup give the girl ...
1343815696,1343815696,12,RT @ansonhenry: Crazy how proud u feel for these Canadian athletes that u dont even kno. Bigup new judo bronze medalist Antoine Valois-F ...
1343816998,1343816998,13,Don't understand how this judo stuff works #london2012
1343817510,1343817510,14,Antoine Valois-Fortier was fantastic today in judo! so happy for him and his bronze medal. Canada should be very proud of him. #London2012
1343822379,1343822379,15,RT @pmharper: What determination from Antoine Valois-Fortier in the judo competition – a well-deserved bronze. Well done! #London2012
1343822833,1343822833,16,RT @ansonhenry: Crazy how proud u feel for these Canadian athletes that u dont even kno. Bigup new judo bronze medalist Antoine Valois-F ...
1343824805,1343824805,17,RT @globeandmail: From @GlobeOlympics: Video: Self-belief drives judo medalist Antoine Valois-Fortier http://t.co/ZJFlsN14 #london2012
1343826648,1343826648,18,RT @Adnan_Z_Manjal: So she will compete wearing something like #hijab: #Saudi Arabian judoka hijab row resolved #olympics http://t.c ...
1343828367,1343828367,19,RT @sarahclark_judo: @sconway70 & Winston Gordon in action tomorrow. Good Luck guys & give it everything #takethestage #judo #lo ...
1343829468,1343829468,20,Come on @sconway70 and Winnie time to set off a storm of woop ass havoc!! #OurGreatestTeam #judo #Olympics #webelieve #TeamGB
1343831087,1343831087,21,GO WINSTON GORDON 3rd time lucky . Top olympian. #judo #london2012 http://t.co/EksTGrem
1343831619,1343831619,22,RT @judo_em: Come on @sconway70 and Winnie time to set off a storm of woop ass havoc!! #OurGreatestTeam #judo #Olympics #webelieve #TeamGB
1343832212,1343832212,23,Saudi Arabian judo athlete will compete in hijab.. http://t.co/gTdgIMS5 #london2012
1343832477,1343832477,24,RT @LATimesWharton: #Olympics: Travis Stevens did not quite make the podium in #judo today but Marti Malloy did yesterday. http://t.co/ ...
1343832628,1343832628,25,London 2012. I was there. #Olympics #judo #GoGB http://t.co/YA7QNIjc
1343832895,1343832895,26,RT @SWFSamuraijudo: On our way to excel to cheer on Winny and @sconway70 with @BritishJudo good luck all #London2012
1343833750,1343833750,27,RT @laubrown: Waiting for the judo to start - do your thing today Winston Gordon :) #london2012 @BritishJudo
1343834951,1343834951,28,RT @MarcPowellJudo: Good Luck to @sconway70 & Winston Gordon Today! #London2012 @TeamGB @BritishJudo #judo @London2012
1343835919,1343835919,29,Watching judo and I have no idea what the fuck is going on. #Olympics
1343836536,1343836536,30,Olympic judo #Olympics2012 http://t.co/TcStlmfv
1343836740,1343836740,31,Hell yes Winston Gordon! #britishjudo #London2012
1343836804,1343836804,32,RT @BBaker1987: Winston Gordon wins in a flash in the judo. Wait for it..........FLASH GORDON!!!!! #London2012
1343836953,1343836953,33,Direct topsfeer in de judohal. 'Veteraan' & publiekslieveling Winston Gordon scoort ippon. Dak eraf! #judo #London2012
1343837254,1343837254,34,Goodness gracious judo is just bizzare to watch! @BBCSport #London2012
1343837313,1343837313,35,Go on Winston!!! #judo #olympics
1343837331,1343837331,36,Winston Gordon wins by an ippon! #judo #London2012
1343837365,1343837365,37,So winston Gordon has his very own mr Miagi/mr Fuji....#judo #olympics
1343837369,1343837369,38,Winston Gordon flying the flag for #TeamGB #judo Great start. #olympics
1343837397,1343837397,39,Winston gordon is now one of my favorite sportsmen #judo #london2012
1343837451,1343837451,40,Hliadhs won his judo fight and is on in the next round! Well done! #Olympics #TeamGreece
1343837646,1343837646,41,Awesome throw be Winston in the judo #teamgb #olympics2012
1343837791,1343837791,42,Time for some judo :D #Olympics http://t.co/IaJyEVQ7
1343838071,1343838071,43,next i see the scores 100-0 on judo... http://t.co/9PVXylcR @jojomuppet #olympics
1343838168,1343838168,44,Winston Gordon is trending - great win in the #judo #london2012
1343838454,1343838454,45,@KelitaZupancic faces 2008 Olympic silver medalist and back to back World champ Lucie Decosse FRA in opening match. #judo #london2012
1343838741,1343838741,46,A lot of shirt pulling in the mens judo lol #Olympics2012 #London2012
