Time,Group
1343052964,1
1343053672,2
1343054189,3
1343054438,4
1343055484,5
1343055755,6
1343056013,7
1343056579,8
1343057828,9
1343059962,10
1343062741,11
1343063572,12
1343064118,13
1343064201,14
1343064488,15
1343064938,16
1343066200,17
1343066455,18
1343068167,19
1343069980,20
1343071291,21
1343072057,22
1343072734,23
1343073353,24
1343073445,25
1343074600,26
1343075376,27
1343075637,28
1343075928,29
1343075951,30
1343077920,31
1343082508,32
1343083215,33
1343084032,34
1343084232,35
1343086625,36
1343087850,37
1343088252,38
1343089383,39
1343091283,40
1343091663,41
1343091665,42
1343092495,43
1343093323,44
1343094124,45
1343095704,46
1343096265,47
1343096633,48
1343098224,49
1343098842,50
1343101488,51
1343103032,52
1343103932,53
1343104603,54
1343107020,55
1343107168,56
1343107202,57
1343107461,58
1343111607,59
1343112595,60
1343113661,61
1343115689,62
1343118277,63
1343119136,64
1343129724,65
1343136308,66
1343138792,67
1343139977,68
1343140800,69
1343140894,70
1343140934,71
1343140980,72
1343142668,73
1343142932,74
1343147949,75
1343149410,76
1343149555,77
1343149709,78
1343151728,79
1343156308,80
1343159426,81
1343159430,82
1343159614,83
1343160211,84
1343164472,85
1343164849,86
1343165147,87
1343165195,88
1343165437,89
1343167531,90
1343168193,91
1343168478,92
1343168545,93
1343168617,94
1343168663,95
1343168736,96
1343168826,97
1343169313,98
1343169355,99
1343169407,100
1343169990,101
1343170984,102
1343171354,103
1343171587,104
1343172620,105
1343172772,106
1343174096,107
1343174408,108
1343175276,109
1343176208,110
1343176380,111
1343176618,112
1343177175,113
1343177186,114
1343177371,115
1343177480,116
1343178449,117
1343178858,118
1343179148,119
1343179953,120
1343180154,121
1343184077,122
1343184541,123
1343185112,124
1343185290,125
1343185417,126
1343185492,127
1343185686,128
1343186109,129
1343186152,130
1343186391,131
1343187416,132
1343187509,133
1343187803,134
1343188359,135
1343188943,136
1343189123,137
1343189589,138
1343190087,139
1343191593,140
1343191620,141
1343192300,142
1343192404,143
1343192422,144
1343192488,145
1343192508,146
1343192574,147
1343192631,148
1343192856,149
1343192874,150
1343192881,151
1343193094,152
1343193589,153
1343207681,154
1343211486,155
1343214844,156
1343217365,157
1343217511,158
1343294211,159
1343294565,159
1343303151,159
1343307288,160
1343312077,161
1343312504,162
1343313459,163
1343313633,164
1343313954,165
1343314401,166
1343314786,167
1343314826,168
1343315704,169
1343315911,170
1343316001,171
1343316490,172
1343316776,173
1343317339,174
1343317418,175
1343317523,175
1343317725,176
1343317989,176
1343318126,177
1343318151,178
1343318372,179
1343318537,180
1343318582,181
1343319002,182
1343319181,183
1343319738,184
1343320014,185
1343320162,186
1343320177,187
1343320318,188
1343320324,189
1343320438,190
1343320606,191
1343321023,192
1343321203,193
1343321505,194
1343321851,195
1343322135,196
1343322589,197
1343323259,197
1343323328,198
1343323337,198
1343323344,199
1343323487,200
1343325117,201
1343325513,202
1343325583,203
1343325657,204
1343325769,205
1343325853,206
1343326147,207
1343326204,207
1343326565,208
1343326744,209
1343326900,209
1343328023,209
1343328797,210
1343329143,211
1343329214,212
1343329319,213
1343329476,214
1343329609,215
1343329765,216
1343329972,217
1343330855,218
1343331087,219
1343331275,220
1343331299,221
1343331389,221
1343331478,222
1343333423,223
1343333940,224
1343334723,225
1343334784,226
1343334897,227
1343335084,228
1343335513,228
1343335529,229
1343335610,229
1343335684,229
1343336059,229
1343336674,230
1343336716,230
1343337386,231
1343337423,231
1343337434,231
1343337439,231
1343337453,232
1343337463,233
1343337467,234
1343337467,234
1343337467,234
1343337485,234
1343337502,235
1343337526,235
1343337533,236
1343337684,237
1343337732,238
1343337734,239
1343337739,240
1343337766,241
1343337777,242
1343337783,242
1343337869,243
1343338101,243
1343338131,243
1343338185,244
1343338195,245
1343338255,246
1343338300,247
1343338424,248
1343338426,249
1343338559,250
1343338953,251
1343339002,252
1343339212,252
1343339324,253
1343339531,253
1343339559,254
1343339561,254
1343339849,255
1343339861,256
1343339929,257
1343340260,258
1343340418,259
1343340431,260
1343340585,261
1343340823,262
1343341095,263
1343341450,264
1343341499,265
1343341564,266
1343341586,267
1343341611,268
1343341622,269
1343341733,270
1343341771,271
1343341781,272
1343341899,273
1343341978,274
1343342003,275
1343342043,276
1343342096,277
1343342253,277
1343342260,278
1343342420,279
1343342445,280
1343342469,281
1343342475,282
1343342477,283
1343342511,284
1343342691,285
1343342736,286
1343343552,286
1343343619,287
1343343633,288
1343343701,289
1343343780,289
1343344556,290
1343344596,290
1343348537,291
1343350565,292
1343350575,292
1343351103,293
1343351390,293
1343351632,294
1343351657,295
1343351854,296
1343352274,297
1343352578,298
1343352642,299
1343352734,300
1343352808,301
1343353504,302
1343353697,303
1343354319,304
1343354766,305
1343354928,306
1343355068,307
1343355197,308
1343355791,309
1343356441,310
1343356518,311
1343356577,311
1343356623,312
1343356685,313
1343356782,314
1343356874,315
1343356951,316
1343357182,317
1343357287,318
1343357615,319
1343357662,319
1343358237,320
1343359250,321
1343360711,322
1343361039,323
1343361166,324
1343361967,324
1343362098,325
1343362154,326
