Start,Mean,Group,Summary
1343052964,1343169407,0,Judo bondscoach dames mikt op twee plakken - #judo #os2012 #london2012
1343400946,1343445528,1,#London2012 #OlympicVillage #judo mongolyn judo ohid
1343493933,1343495221,2,RT @London2012: The world's top judokas begin their quests for #Judo gold today. Find out what the competition has in store ...
1343496727,1343502001,3,Watching judo to be original #london2012
1343508161,1343508445,4,Judo is elegan't #Olympics #London2012 #judo
1343508722,1343513250,5,Parabéns Sarah Menezes e Felipe Kitadai! #Brasil #judo #London2012
1343517661,1343518146,6,RT @Nica: Gold for Brazil! 22-year-old Sarah Menezes just beat the reigning champion! #judo #london2012
1343518568,1343520346,7,Sarah Menezes of Brazil wins women's judo 48-kilogram Olympic gold medal #Olympics #London2012
1343522641,1343552418,8,RT @Olympics: Felipe Kitadai of Brazil (white) competes with Elio Verde of Italy in the Men's -60 kg Judo #olympics #judo ...
1343583203,1343587913,9,How is judo actually a sport?? #london2012
1343592902,1343593319,10,#Olympics2012 judo
1343593682,1343593761,11,Great effort from Colin Oates in the Team GB Men's Judo as he reaches the quarter-finals in the last second! #olympics #judo
1343593802,1343593961,12,Colin Oates! #London2012 #judo
1343594221,1343594644,13,Really; really well defended from Colin Oates there #olympics #judo
1343595003,1343602098,14,London 2012 Olympics: Colin Oates misses out on judo medal via @standardnews #London2012
1343610792,1343636628,15,They have judo in the #Olympics2012
1343665661,1343669285,16,@lancew Nakaya apparently a newaza player #judo #Olympics
1343673006,1343673226,17,Why am i sitting here watching judo -.- #Olympics2012
1343673421,1343679722,18,Kwart finale Judo Dex let's go!! #olympics2012 #judo
1343685946,1343686027,19,RT @BBCWorld: Female Saudi judo competitor may withdraw from #London2012 because the sport bans Muslim headscarves
1343686081,1343686302,20,RT @BBCNews: Female Saudi judo competitor may withdraw from #London2012 because the sport bans Muslim headscarves
1343686569,1343689124,21,RT @BBCWorld: Female Saudi judo competitor may withdraw from #London2012 because the sport bans Muslim headscarves
1343691842,1343701831,22,Japan's judo gold medal drought is finally over #APOlympics #London2012
1343718062,1343718514,23,Wow. this judo is poetry in motion. #olympics #martimolloy
1343718843,1343734933,24,“@BBCWorld: Saudi Arabia judoka in hijab row #Olympics #Judo
1343751983,1343758515,25,Zzz @espn telecast more swimming instead of archery and judo fights please unless its a Indian in action #Olympics
