Start,Mean,Group,Summary
1343052964,1343169407,0,Judo bondscoach dames mikt op twee plakken - #judo #os2012 #london2012
1343400946,1343468185,1,RT @Tsahim_Urtuu: #London2012 #OlympicVillage #judo mongolyn judo ohid
1343493933,1343494182,2,RT @London2012: The world's top judokas begin their quests for #Judo gold today. Find out what the competition has in store ...
1343496727,1343504595,3,Ryle nugent judo expert. Hilarious. #rte #olympics
1343508161,1343508445,4,Judo is elegan't #Olympics #London2012 #judo
1343508722,1343514666,5,Watching judo right now and Hiraoka of Japan is serious! #London2012 #judo
1343517661,1343518121,6,Yay; silver for fem judo o/ Bravo; Alina Dumitru! #judo #Olympics2012
1343518568,1343520555,7,Gold Medal Brazil Judo - Sarah Menezes #teambrazil #goldmedal #london2012 #pride #brazil #Ehnois #judo #
1343522641,1343545255,8,RT @Olympics: Felipe Kitadai of Brazil (white) competes with Elio Verde of Italy in the Men's -60 kg Judo #olympics #judo ...
1343583203,1343592881,9,Judo chop! #judo #london2012 #austinpowers
1343592902,1343593319,10,#Olympics2012 judo
1343593682,1343593781,11,YEEES!! Well done; Colin Oates :) #judo #olympics
1343593802,1343593888,12,Well Done Colin Oates #judo #olympics #london2012
1343594221,1343594747,13,come on colinnnnnnnnn #judo #olympics
1343595003,1343604135,14,Loving the Judo coverage! #london2012 #olympics #judo
1343610792,1343636628,15,They have judo in the #Olympics2012
1343665661,1343671526,16,boooooooooooora; guerreiro! #london2012 #judo
1343673006,1343673337,17,Ok; I don't 'get' judo #strangesport #London2012
1343673421,1343680594,18,THE.JURY.SUCKS!!!!!!!!!!!!!!!!! #olympics #london2012 #judo
1343685946,1343686032,19,RT @BBCNews: Female Saudi judo competitor may withdraw from #London2012 because the sport bans Muslim headscarves
1343686081,1343686250,20,RT @BBCWorld: Female Saudi judo competitor may withdraw from #London2012 because the sport bans Muslim headscarves
1343686569,1343690142,21,Female Saudi judo competitor may withdraw from #London2012 because the sport bans Muslim headscarves
1343691842,1343693500,22,RT @BBCWorld Female Saudi judo competitor may withdraw from #London2012 because the sport bans Muslim headscarves
1343718062,1343718741,23,Am I watching judo or wrestle??? #olympics
1343718843,1343732717,24,From @GlobeOlympics: Olympic officials allow Saudi woman wear hijab during judo competition #london2012
1343751983,1343753712,25,Puta merda; perdeu! #judo #london2012
1343765386,1343765482,26,Awww. Euan Burton! Heartbreaking.... #judo #Olympics
1343765523,1343765609,27,Poor judo man; bless him #Olympics
1343765641,1343765761,28,The interview after the judo was a little harsh I feel. #judo #olympics
1343766244,1343766626,29,RT @ThePoke: If you thought beach volleyball outfits were scandalous; you should see the new judo suits. #Olympics ...
1343767703,1343767834,30,RT @BBCWorld: Female Saudi judoka allowed to compete at #London2012 wearing headscarf; IOC says. Details soon
1343768161,1343775043,31,RT @BBCNews: Female Saudi judoka allowed to compete at #London2012 wearing headscarf; IOC says. Details soon
1343776621,1343776643,32,RT @marusaferk: Sem v Svici in na nobenem programu ne prenasajo judo-finAle...prosim za kaksen podatek kako gre Urski #london2012 @TeamS ...
1343776683,1343776791,33,WooHoo - Canada wins its 3rd medal at the #Olympics2012 ! A bronze for Antoine Valois-Fortier in judo
1343776861,1343776909,34,RT @CP24: BREAKING NEWS: Canada has won a bronze medal by defeating the U.S. in the men’s 81-kilogram judo competition #London2012 #ctvo ...
1343776982,1343777098,35,RT @TheTorontoSun: ALERT: Antoine Valois-Fortier wins Canada bronze in men's 81-kilo judo competition. #London2012
1343777403,1343778127,36,RT @theScore: Congratulations to Canada's Antoine Valois-Fortier for winning the bronze medal in judo at #London2012!
