Time,Group
1343807016,1
1343807028,1
1343807098,2
1343807161,2
1343807162,2
1343807204,2
1343807355,2
1343807525,2
1343807695,2
1343807807,2
1343807882,2
1343807907,3
1343808004,3
1343808044,3
1343808055,3
1343808105,3
1343808117,3
1343808117,3
1343808119,3
1343808166,3
1343808310,3
1343808312,4
1343808398,5
1343808482,5
1343808525,5
1343808647,5
1343808658,5
1343808688,5
1343808710,5
1343808796,5
1343808957,5
1343809417,5
1343809457,5
1343809503,5
1343809600,6
1343809640,7
1343809690,7
1343809740,7
1343809917,7
1343809955,7
1343810113,7
1343810115,7
1343810152,7
1343810202,7
1343810378,7
1343810637,7
1343810659,7
1343810736,7
1343810877,7
1343810913,7
1343811113,7
1343811210,7
1343811248,7
1343811303,7
1343811340,7
1343811654,7
1343811693,7
1343811893,7
1343812184,7
1343812219,7
1343812493,7
1343812648,7
1343812916,8
1343812975,8
1343812989,8
1343813038,8
1343813043,8
1343813211,9
1343813259,10
1343813305,10
1343813371,10
1343813448,10
1343813466,10
1343813487,10
1343813672,10
1343813828,10
1343813883,10
1343814004,10
1343814086,10
1343814710,10
1343814769,10
1343814791,10
1343815181,10
1343815184,10
1343815206,10
1343815221,10
1343815335,10
1343815361,10
1343815418,10
1343815657,10
1343815696,10
1343815708,10
1343815721,10
1343815844,11
1343815960,11
1343815995,11
1343816102,11
1343816394,11
1343816434,12
1343816491,12
1343816508,12
1343816510,13
1343816727,13
1343816794,13
1343816860,13
1343816907,13
1343816986,14
1343816987,15
1343816998,15
1343817044,15
1343817364,15
1343817411,15
1343817434,15
1343817467,15
1343817510,15
1343817548,15
1343817594,15
1343817731,15
1343817752,15
1343817817,15
1343817836,15
1343818068,15
1343818196,15
1343818305,15
1343818332,15
1343818642,15
1343818890,15
1343819283,16
1343819283,16
1343819386,16
1343819491,16
1343819502,16
1343819549,16
1343820007,16
1343820030,16
1343820357,16
1343820380,16
1343820402,16
1343820659,16
1343821160,16
1343821226,16
1343821521,16
1343821747,16
1343821889,16
1343822134,16
1343822379,16
1343822405,16
1343822509,16
1343822833,16
1343824383,17
1343824397,18
1343824563,18
1343824622,19
1343824764,19
1343824805,19
1343824825,19
1343824982,19
1343825427,19
1343825630,19
1343825662,19
1343825681,19
1343825750,19
1343826077,19
1343826499,19
1343826648,19
1343826716,19
1343826731,19
1343826861,19
1343827576,20
1343827917,21
1343828347,21
1343828367,21
1343828434,21
1343828846,22
1343828911,22
1343829042,22
1343829112,22
1343829143,22
1343829322,22
1343829385,22
1343829468,22
1343829609,22
1343829686,22
1343829732,22
1343829928,22
1343830134,22
1343830855,22
1343830949,22
1343831015,22
1343831016,22
1343831057,22
1343831087,22
1343831098,22
1343831154,22
1343831408,22
1343831519,22
1343831619,22
1343831639,22
1343831924,22
1343832212,22
1343832213,22
1343832439,22
1343832447,22
1343832467,22
1343832477,22
1343832542,22
1343832563,23
1343832628,24
1343832706,24
1343832831,24
1343832872,24
1343832895,24
1343832927,24
1343833021,25
1343833313,26
1343833318,26
1343833488,26
1343833531,26
1343833533,26
1343833538,26
1343833570,26
1343833682,26
1343833692,26
1343833743,26
1343833750,26
1343833836,26
1343834018,26
