Start,Mean,Group,Summary
1343068167,1343071291,1,RT @NihonSport: Judo Live Olympische Spelen Livestream London 2012 #judo #os2012 #london2012
1343091283,1343091665,2,London 2012 Olympics: Colin Oates going for judo gold and #212 #Colin #going #gold #judo #London #news #Oates #Olympics
1343107020,1343107020,3,RT @RFERL: #Uzbek judo fighter barred from #Olympics after traces of cannabis were found in his blood
1343055484,1343055755,4,Iraanse judoka Miresmaeili kroont zich met opgave tot nationale held - #judo #os2012 #london2012
1343072057,1343075928,5,RT @sarahclark_judo: Tyne Tees TV slot tonight (not BBC) @kodokwai @shieldsgazette #judo #london2012 6.00-6.30pm A bit about me & Ko ...
1343088252,1343088252,6,RT @marialepulgar: The best of luck to @Martidamus @Judo_Kayla @judosilencer @NickforGold @judo_chopper Awesome athletes!!! @DoralJourna ...
1343104603,1343104603,7,@Grantland33 Any advice on setting up an Olympics Fantasy League? My patriotism is enhanced by meaningless wagers on judo. #olympics2012
1343057828,1343057828,8,RT @sarahclark_judo: Fantastic Photo @ophotogari #GBOlympicJudo @britishjudo @judoscotland @sportscotland #judo #London2012 ...
1343103032,1343103932,9,@judosilencer @rddrg18 no one likes being eye balled. Don't waste ur energy! U have more important things to spend ur energy on! #Olympics
1343075951,1343075951,10,RT @sarahclark_judo: Tyne Tees TV slot tonight (not BBC) @kodokwai @shieldsgazette #judo #london2012 6.00-6.30pm A bit about me & Ko ...
1343062741,1343064118,11,RT @Napier_SES: @sarahclark_judo we are all rooting for you at this end Sarah! Best of luck! #london2012 #believe
1343112595,1343112595,12,RT @marialepulgar: The best of luck to @Martidamus @Judo_Kayla @judosilencer @NickforGold @judo_chopper Awesome athletes!!! @DoralJourna ...
1343098224,1343098842,13,@Euan_Burton watching that has made me even more excited than I already was! Eeeeeeek!! Good luck everyone @TeamGB #judo #London2012
1343082508,1343087850,14,RT @NihonSport: Wedstrijdschema voor Judo - Olympische Spelen 2012 #judo #os2012 #london2012
1343066200,1343066200,15,RT @senseigary: @NewCrossJudo @AkitasJudo @HillingdonJudo @britjudolondon @BritishJudo #ff my brothers and sisters in judo! Let the game ...
1343111607,1343111607,16,made my #olympics schedules today on this handy #iphone app mostly on #waterpolo #basketball #volleyball #tabletennis #judo & maybe #boxing
1343136308,1343136308,17,Looking forward to seeing SJSU grad Marti Malloy at #London2012 for judo. #10 worldwide; coach is medalist Mike Swain:
1343140980,1343140980,18,Interviews Nederlandse Olympische Judoka 's | Judo nieuws - #judo #os2012 #london2012
1343179148,1343179148,19,RT @USParalympics: Fact: First medals at the #London2012 Paralympic Games will be handed out on Aug. 30 in cycling judo shooting powe ...
1343167531,1343167531,20,#london2012 #judo Judogiin beltgel hangagch tamirchdiig 2 ail olj ugch huvaaj bairshuullaa. margaashnaas beltgelee hamtarch hiij ehleh aj
1343176208,1343176380,21,RT @USParalympics: Fact: First medals at the #London2012 Paralympic Games will be handed out on Aug. 30 in cycling judo shooting powe ...
1343168478,1343168663,22,Charline Van Snick: "Heb de wil om iedereen te verslaan" - #judo #os2012 #london2012
1343192300,1343192404,23,RT @SportOnTheBox: #London2012: 'The Bad Boy Olympian' - Documentary following GB judo fighter @Ashleymckenzi12 - on @BBCThree at 9pm - ...
1343149410,1343149555,24,Zo te zien is Teddy Rinner klaar voor Londen! #judo #os2012 #london2012
1343160211,1343160211,25,Man judo tickets are hard to get #London2012 #sincewhendiditbecomesobig
1343187416,1343187509,26,RT @USParalympics: Fact: First medals at the #London2012 Paralympic Games will be handed out on Aug. 30 in cycling judo shooting powe ...
1343170984,1343170984,27,Dartford Council leader backs Team GB judo team at Olympic Games #olympics
1343115689,1343115689,28,@HamzIsBored I'm going to put the #Dench on you at judo. #Olympics
1343138792,1343138792,29,RT @LineUpSME: Also Excellent interview with @kearney_judo too.. #womeninsport #london2012
1343169990,1343169990,30,#judo tweets from #london2012 competitors at - check it out! #sportrightnow
1343177175,1343177186,31,RT @AP_Sports: Our #London2012 medal picks. Archery through judo Modern pentathlon through wrestling ...
1343164472,1343164472,32,RT @BlueBirdTail: Ghana's first ever judoka Olympian Emmanuel Nartey in action: #Ghana #Olympics #Judo #sport #fb
1343172772,1343172772,33,RT @sbpitcher5: @judo_chopper Bring home the gold ! #London2012 #TeamUSA
1343140894,1343140934,34,Judo bondscoach dames mikt op twee plakken: #judo #os2012 #london2012
1343192422,1343192488,35,Been getting in the Olympic spirit watching #bbc3 - Zoe smith and Ashley Mckenzie #gbweightlifting #gbjudo getting excited now! #London2012
1343147949,1343147949,36,Video: Preparation Dutch Judo Men part5 Papendal: #judo #os2012 #london2012
1343178858,1343178858,37,#judo facebook updates from #london2012 athletes and teams at #sportrightnow
1343118277,1343118277,38,Graciele Herrmann: Sua orientação nutricional ajudou-me a estar 100% fisicamente... Agora é #london2012
1343172620,1343172620,39,RT @sbpitcher5: @judo_chopper Bring home the gold ! #London2012 #TeamUSA
1343174096,1343174096,40,Ok looking at the list of #Olympics sports & a few cld b 86'd such as handball trampoline canoeing all but 1 cycling bowling & judo.
1343186152,1343186391,41,RT @SportOnTheBox: #London2012: 'The Bad Boy Olympian' - Documentary following GB judo fighter @Ashleymckenzi12 - on @BBCThree at 9pm - ...
1343156308,1343156308,42,Isn't judo the art of tripping people over? #olympics2012
1343165147,1343165147,43,#Iran judo athlete who could've fought Israeli not at #Olympics 4 illness but is it really about recognition? @jrezaian
1343185417,1343185417,44,RT @SportOnTheBox: #London2012: 'The Bad Boy Olympian' - Documentary following GB judo fighter @Ashleymckenzi12 - on @BBCThree at 9pm - ...
1343169313,1343169407,45,Judo bondscoach dames mikt op twee plakken - #judo #os2012 #london2012
1343142932,1343142932,46,RT @d_tserenbat: #london2012 #judo Judogiin undsen bag urd shunu irlee. 10pm ungurtul Olympiin hothond ajillav.
1343192508,1343192508,47,@Ashleymckenzi12 Just watched BBC3 doc great stuff! Hope you do well #goldatjudo #Olympics
1343190087,1343190087,48,RT @BudokanRdam: RT @NihonSport Wedstrijdschema voor Judo - Olympische Spelen 2012 #judo #os2012 #london2012
1343139977,1343139977,49,#uksports #olympics 'Being Olympic favourite is hell' - Two-time Olympic judo silver medallist Neil Adams warns Brit...
1343177480,1343177480,50,RT @USParalympics: Fact: First medals at the #London2012 Paralympic Games will be handed out on Aug. 30 in cycling judo shooting powe ...
1343119136,1343119136,51,Wishing @HusseinHafeez the best of luck inshallah in the next few days! Ba6al masrba6al africa wi ba6al el 3alam inshallah! #Olympics #judo
1343174408,1343174408,52,RT @Loh: Looking forward to seeing SJSU grad Marti Malloy at #London2012 for judo. #10 worldwide; coach is medalist Mike Swain: ...
1343189123,1343189589,53,4 more sleeps until our summer special visit to the big city to watch #judo at #London2012 #tooexcited
1343159426,1343159430,54,#London2012 Dominicana en: atletismo boxeo natacion voleybol pesas taekwando judo gimnasia tiro y tenis de mesa
1343191593,1343191593,55,RT @SportOnTheBox: #London2012: 'The Bad Boy Olympian' - Documentary following GB judo fighter @Ashleymckenzi12 - on @BBCThree at 9pm - ...
1343151728,1343151728,56,RT @sarahclark_judo: Tyne Tees TV slot tonight (not BBC) @kodokwai @shieldsgazette #judo #london2012 6.00-6.30pm A bit about me & Ko ...
1343171587,1343171587,57,@jyazell @olympic12gold @judo_kayla @nickforgold I got excited!!!!! #London2012 and all today!!
1343142668,1343142668,58,#london2012 #judo Judogiin undsen bag urd shunu irlee. 10pm ungurtul Olympiin hothond ajillav.
1343184541,1343185112,59,RT @USParalympics: Fact: First medals at the #London2012 Paralympic Games will be handed out on Aug. 30 in cycling judo shooting powe ...
1343178449,1343178449,60,RT @USParalympics: Fact: First medals at the #London2012 Paralympic Games will be handed out on Aug. 30 in cycling judo shooting powe ...
1343168736,1343168736,61,Olympisch kampioenen Judo (1992 - Dames) | #judo #os2012 #london2012
1343192574,1343193094,62,@jc_london dude you're about 2 get an overdose serving of el greco roman wrestling pole vault badminton judo & weight lifting #olympics
1343165195,1343165195,63,RT @ourmaniniran: #Iran judo athlete who could've fought Israeli not at #Olympics 4 illness but is it really about recognition? @jrezaia ...
1343140800,1343140800,64,Judocoach Chris de Korte gaat voor medailles in Londen: #judo #os2012 #london2012
1343175276,1343175276,65,Les J.O. sans doute l’événement médiatique et sportif le plus important au monde. Can’t wait #London2012 L’epreuve de #judo commence samedi.
1343171354,1343171354,66,@Katyisgreat @judo_kayla @_misscg the captain is having an emotional freaking day! #London2012
1343191620,1343191620,67,Found the beaut @Ashleymckenzi12 going to be cheering for you!!!!!!!! :) #teamgb #Olympics2012 #judo xxxxx
1343159614,1343159614,68,Felipe Kitadai. Categoria até 60 kg. #London2012 #judo #ipponBrasil
1343129724,1343129724,69,Pokemon scrap changed my life says British judoka #olympics #Judo
1343188359,1343188359,70,RT @USParalympics: Fact: First medals at the #London2012 Paralympic Games will be handed out on Aug. 30 in cycling judo shooting powe ...
1343149709,1343149709,71,Ghana's first ever judoka Olympian Emmanuel Nartey in action: #Ghana #Olympics #Judo #sport #fb
1343211486,1343211486,72,#judo tweets from #london2012 competitors at - check it out! #socialolympics
