Start,Mean,Group,Summary
1343883925,1343807016,1,Watching judo reminds me of watching women fighting on Jerry Springer... lame #olympics
1343882438,1343807161,2,ummmm so I was just handed judo tickets for tomorrow morning by @USOlympic? sweet hookup #London2012
1343879889,1343808117,3,Saudi judo fighter to compete wearing headscarf #London2012 http://t.co/iEEjhtYT
1343878599,1343808312,4,RT @RANews: Saudi judo fighter to compete wearing headscarf #London2012 http://t.co/iEEjhtYT
1343878494,1343808647,5,RT @pmharper: What determination from Antoine Valois-Fortier in the judo competition – a well-deserved bronze. Well done! #London2012
1343878404,1343809600,6,Kim JaeBum #gold #judo #london2012 #olympic #korea http://t.co/ajnzjXis
1343876410,1343811113,7,Big up Winny. Inshaallah he goes in tomorrow with the judo. 9.30am #london2012 #TeamGordon #judo http://t.co/fXuhbNzQ
1343876385,1343812975,8,RT @BiggieBrookes: I'm amazed and so proud of the diving judo and weight lifting bronzes earned and won today by our Canadian! #giveyou ...
1343876046,1343813211,9,Can I please see something other than gymnastics or swimming? I want boxing and judo. I wanna see someone get wrecked #Olympics #needblood
1343875929,1343814769,10,RT @ansonhenry: Crazy how proud u feel for these Canadian athletes that u dont even kno. Bigup new judo bronze medalist Antoine Valois-F ...
1343875651,1343815960,11,RT @pmharper: What determination from Antoine Valois-Fortier in the judo competition – a well-deserved bronze. Well done! #London2012
1343874566,1343816491,12,RT @AFP: Japan shocked by judo medal 'failures' after claiming one gold medal in first four days of competition http://t.co/O5pGOCiF #AF ...
1343874342,1343816727,13,@sanjosestate is a judo Mecca! Who knew?!? #sanjose is on the map with a bronze medal #Olympics
1343870997,1343816986,14,#MadeWithPaper (http://t.co/Pwy2nQ86) Antoine Valois-Fortier #olympics Day 4 jour 4 #judo #Canada http://t.co/iE6VqXK1
1343869546,1343817548,15,RT @ansonhenry: Crazy how proud u feel for these Canadian athletes that u dont even kno. Bigup new judo bronze medalist Antoine Valois-F ...
1343869372,1343821160,16,RT @LisaTant: How cool is it that Antoine Valois-Fortier sobbed after winning his bronze in judo for Canada! Love the emotion. #olympics
1343861515,1343824383,17,Medaillekansen voor Nederland bij judo en schermen vandaag #London2012 http://t.co/gcJGM9Ap
1343861454,1343824563,18,From @GlobeOlympics: Video: Self-belief drives judo medalist Antoine Valois-Fortier http://t.co/ZJFlsN14 #london2012
1343861450,1343825427,19,RT @globeandmail: From @GlobeOlympics: Video: Self-belief drives judo medalist Antoine Valois-Fortier http://t.co/ZJFlsN14 #london2012
1343861038,1343827576,20,#Olympics Standard: Euan Burton in tears amid fears his Games career is over: British judo medal hope Euan Burto... http://t.co/pQtdX8IT
1343859504,1343828367,21,RT @sarahclark_judo: @sconway70 & Winston Gordon in action tomorrow. Good Luck guys & give it everything #takethestage #judo #lo ...
1343858884,1343831098,22,RT @judo_em: Come on @sconway70 and Winnie time to set off a storm of woop ass havoc!! #OurGreatestTeam #judo #Olympics #webelieve #TeamGB
1343858837,1343832563,23,London 2012. I was there! #Olympics #judo #kickass #GoGB
1343858439,1343832872,24,RT @SWFSamuraijudo: On our way to excel to cheer on Winny and @sconway70 with @BritishJudo good luck all #London2012
1343858434,1343833021,25,Waiting for the judo to start - do your thing today Winston Gordon :) #london2012 @BritishJudo
1343858430,1343833750,26,RT @laubrown: Waiting for the judo to start - do your thing today Winston Gordon :) #london2012 @BritishJudo
1343858401,1343834951,27,RT @MarcPowellJudo: Good Luck to @sconway70 & Winston Gordon Today! #London2012 @TeamGB @BritishJudo #judo @London2012
1343855954,1343836629,28,Winston Gordon dominating the judo @TeamGB #London2012
1343855931,1343837254,29,Goodness gracious judo is just bizzare to watch! @BBCSport #London2012
1343855813,1343838454,30,@KelitaZupancic faces 2008 Olympic silver medalist and back to back World champ Lucie Decosse FRA in opening match. #judo #london2012
1343855810,1343838606,31,#_ua Женщины. Дзюдо http://t.co/Z0K69JGE #london2012 #ukraine #judo http://t.co/Fs6yqnPg
1343855337,1343838755,32,Forza #erika #laSpezia è con te!! Forza #carabinieri in azzurro per le #olimpiadi #London2012 #judo
1343855260,1343838967,33,Come on @edithbosch make our and your day! #judo #os2012 #london2012 #goallin http://t.co/40ptHOR2
1343850769,1343839049,34,I'm sure it's very skilful but judo does sometimes look like the two most-bullied kids at school having a scrap. #London2012
1343850561,1343839200,35,Sally conway is the pink power ranger. Complete domination over chad's flagbearer. #judo #London2012
1343849773,1343839864,36,RT @dpcoverdale: GB's Winston Gordon and Sally Conway through to last 16 of the men's -90kg and women's -70kg judo. #London2012
1343847162,1343840538,37,Been watching Olympic rowing for about 6 minutes. Pretty much an expert by now. Mastered judo in one look at the dressing gowns #olympics
1343847065,1343840649,38,Very sorry to see fellow Ernest Bevin old boy/South Londoner Winston Gordon go out in the judo #london2012 #proudofyou
1343846829,1343842207,39,It's judo time!! #Olympics2012
1343846408,1343846307,40,aêÊEêÊê!!! Tiago Camilo foi pras semi-finais! :DD #judo #London2012
1343846150,1343846715,41,What language are the judo commentators speaking? #london2012
1343840669,1343846923,42,RT @JohanDerkzen: Duitsers die onderduiken heeft die Edith Bosch dan echt geen historisch besef. #judo #OS2012 #OS12 #London2012
1343840586,1343847069,43,Woensdag faaldag! Doei en dag olympische ambities #roeien #judo #schermen ! #OS2012 #London2012
1343840538,1343848634,44,It's judo time! #olympics #london2012 http://t.co/Y1xVKK9v
1343839212,1343849912,45,If you like combat sports follow @LJRaderNBC (fencing) and @RMaq28 (boxing) during this break from #judo. #London2012 @NBCOlympics
1343839200,1343850561,46,Australians need to stop complaining about the swimming - all they screen in Japan is judo #olympics
1343838973,1343854123,47,Kerstin Thiele deserved that she worked so hard. The womens judo final will be sick and I don't even like judo #london2012
1343838967,1343855260,48,Cheering for the cute Cuban in the first semi final! #judo #london2012
1343838651,1343855430,49,RT @AddictedToHumor: OMG! We have a GOLD MEDAL in judo at the #Olympics in #London2012! amazing! gonna be great to hear our national ant ...
1343838606,1343855810,50,Tiago Camilo contra Song Dae-Nam da Coréia do Sul. Semi-finais do #judo #london2012
1343838454,1343855860,51,RT @estefaniafd: Gana la judoca Yuri Alvear. Le queda una pelea para obtener el bronce. #London2012
1343837224,1343855935,52,RT @lexsingh: Combo of Brazil's women's coach Rosicleia Campos shouting during women's #judo match - http://t.co/FQ6Md4jF #london2012
1343835653,1343857737,53,RT @lopezandres: ¡Grandiosa Yuri Alvear! Colombia gana bronce en judo 70 KG. Tercera medalla para Colombia #London2012 #ColombiaCelebra
1343834625,1343858401,54,RT @Tsogterdenej: @Telmen_MGL Голомт банкны дансны 2 дахь 4 оронтой тоо 6210 биш 5210 юм байна билээ #MGL #supportyourteam #judo #shooti ...
1343833313,1343858430,55,RT @MitchGoldichNBC: A medal for Yuri Alvear of Colombia as she beats Chen to claim the bronze. #judo #London2012 #Olympics
1343833021,1343858435,56,RT @lopezandres: ¡Grandiosa Yuri Alvear! Colombia gana bronce en judo 70 KG. Tercera medalla para Colombia #London2012 #ColombiaCelebra
1343832628,1343858600,57,RT @JohanDerkzen: Eerlijk is eerlijk. Ze boorde zich er doorheen zoals je van een Bosch mag verwachten. #judo #OS2012 #OS12 #london2012
1343832563,1343858837,58,RT @ekathimerini: Greek judoka Ilias Iliadis wins bronze medal in London. This is the first medal for #Greece. #Olympics
1343828846,1343859283,59,RT @ekathimerini: Greek judoka Ilias Iliadis wins bronze medal in London. This is the first medal for #Greece. #Olympics
1343827917,1343860196,60,RT @ekathimerini: Greek judoka Ilias Iliadis wins bronze medal in London. This is the first medal for #Greece. #Olympics
1343827576,1343861417,61,RT @5leafc: Y...al final...el koreano ganó el oro. Lo que quiere decir que perdimos nada más ni nada menos contra el campeón. #judo #l ...
1343824622,1343861450,62,congrats to ILIADIS for the bronze medal in judo!!! #greece #london2012
1343824397,1343861508,63,@sianieay of course followed by judo? #Olympics2012
1343824383,1343862337,64,#Olympics Lucie Decosse wins women's 70K Olympic judo medal http://t.co/09Agb7lR
1343819283,1343869402,65,judo is the most annoying sport jus want to see a punch whats all the grabbing the sleeve bollocks about #olympics
1343816987,1343870115,66,RT @ekathimerini: Greek judoka Ilias Iliadis wins bronze medal in London. This is the first medal for #Greece. #Olympics
1343816986,1343872740,67,My reports from today's diving http://t.co/HXQwYcPF and judo http://t.co/384MIWiy #London2012
1343816510,1343874342,68,Wie immer liegen Freud und Leid so nah zusammen. Das ist das Erlebnis beim Sport. #London2012 #rudern #turnen #tennis #rad #judo #schwimmen
1343816434,1343874997,69,Congratulations to #French Olympian Lucie Décosse for winning the gold in women’s judo! #London2012 #AllezlesBleus
1343815844,1343875792,70,@LostBoyMike I've already pencilled in gymnastics judo and swimming so yeah why not through rugby in too ;-) #pipedreams #Olympics
1343813259,1343875929,71,RT @reuterspictures: Lithuania's Karolis Bauza fights with France's Romain Buffet in men's -90kg #judo - http://t.co/fwUeOQbD #london2012
1343813211,1343876089,72,One of our local olympians takes the bronze in judo – congrats Marti Malloy! http://t.co/adNmYw0c #Olympics
1343812916,1343876385,73,RT @Max_Living: Proud to serve USA Judo! @judo_chopper @judo_kayla @judosilencer @Martidamus @JimmyPedroUSA #london2012 #maxout http:/ ...
1343809640,1343877757,74,David Cameron to meet Vladimir Putin at Olympic judo contest - http://t.co/pL99sara #Olympics (src: Guardian)
1343809600,1343878404,75,David Cameron to meet Vladimir Putin at Olympic judo contest http://t.co/2ie8tk5Q #Olympics
1343808398,1343878494,76,RT @RanjeniM: This supposedly Chinese woman is moering the shit out of a German woman. It aint pretty. #judo #Olympics
1343808312,1343878897,77,RT @GdnLondon2012: David Cameron to meet Vladimir Putin at Olympic judo contest http://t.co/2ie8tk5Q #Olympics
