Time,Group
1343050003,1
1343051120,2
1343053390,3
1343054709,4
1343056325,5
1343057785,6
1343060014,7
1343060484,8
1343062011,9
1343063630,10
1343064715,11
1343065649,12
1343065757,13
1343066703,14
1343067823,15
1343068302,16
1343068940,17
1343069723,18
1343069768,19
1343070368,20
1343070954,21
1343071068,22
1343071200,23
1343071271,24
1343071446,25
1343071535,26
1343072210,27
1343072293,28
1343072804,29
1343073185,30
1343073313,31
1343073334,32
1343073434,33
1343073497,34
1343073867,35
1343074009,36
1343074479,37
1343075240,38
1343075291,39
1343075385,40
1343075570,41
1343075638,42
1343076245,43
1343076310,44
1343076358,45
1343076424,46
1343077132,47
1343077206,48
1343077232,49
1343078230,50
1343078702,51
1343078991,52
1343079050,53
1343079110,54
1343079376,55
1343079558,56
1343080395,57
1343080603,58
1343081483,59
1343082736,60
1343082931,61
1343082974,62
1343083051,63
1343083270,64
1343083456,65
1343083886,66
1343083912,67
1343083952,68
1343084899,69
1343084997,70
1343085233,71
1343085244,72
1343085603,73
1343085983,74
1343086049,75
1343086232,76
1343086233,77
1343086308,78
1343087080,79
1343087232,80
1343087274,81
1343087965,82
1343087993,83
1343088102,84
1343088140,85
1343088143,86
1343088187,87
1343088528,88
1343088649,89
1343088764,90
1343088766,91
1343088809,92
1343090305,93
1343090392,94
1343090395,95
1343090551,96
1343090657,97
1343090720,98
1343090849,99
1343090987,100
1343091632,101
1343091847,102
1343092551,103
1343092980,104
1343093422,105
1343093521,106
1343093637,107
1343093897,108
1343094138,109
1343094533,110
1343094555,111
1343094999,112
1343095054,113
1343095124,114
1343095316,115
1343095348,116
1343095381,117
1343095519,118
1343095819,119
1343096100,120
1343096172,121
1343096180,122
1343096352,123
1343096368,124
1343096386,125
1343096464,126
1343096589,127
1343096682,128
1343096836,129
1343097335,130
1343099807,131
1343100268,132
1343100325,133
1343100329,134
1343100335,135
1343100423,136
1343100632,137
1343101359,138
1343101376,139
1343101867,140
1343102014,141
1343102311,142
1343103257,143
1343104006,144
1343104019,145
1343104182,146
1343104725,147
1343104735,148
1343104776,149
1343104789,150
1343104862,151
1343105143,152
1343105308,153
1343105383,154
1343105567,155
1343105680,156
1343105710,157
1343105992,158
1343106106,159
1343106254,160
1343107086,161
1343107209,162
1343107581,163
1343107679,164
1343107751,165
1343107814,166
1343107960,167
1343108105,168
1343108127,169
1343108128,170
1343108140,171
1343108190,172
1343108204,173
1343108210,174
1343108290,175
1343108341,176
1343108372,177
1343108388,178
1343108509,179
1343108762,180
1343108847,181
1343109195,182
1343109590,183
1343109970,184
1343110339,185
1343110912,186
1343111193,187
1343111728,188
1343112155,189
1343112445,190
1343112483,191
1343112667,192
1343112784,193
1343112930,194
1343112973,195
1343113210,196
1343113414,197
1343113429,198
1343113489,199
1343113512,199
1343113812,199
1343114314,200
1343114411,200
1343114667,201
1343114872,201
1343115606,201
1343115693,202
1343115851,202
1343115884,203
1343116417,203
1343116473,204
1343116748,205
1343116872,206
1343117416,207
1343117421,208
1343117550,209
1343117575,209
1343117601,210
1343117606,210
1343117802,210
1343118266,211
1343118482,211
1343118691,212
1343118717,213
1343118874,214
1343118932,214
1343118948,215
1343119046,215
1343119058,216
1343119098,217
1343119219,217
1343119252,218
1343119357,218
1343119438,218
1343119667,219
1343119845,220
1343119902,220
1343120047,221
1343120100,221
1343120207,222
1343120251,223
1343120311,224
1343120403,225
1343120410,226
1343120592,226
1343120598,227
1343120602,227
1343120635,228
1343120712,228
1343120769,229
1343120803,230
1343120818,230
1343120853,230
1343121194,231
1343121725,231
1343122107,232
1343122209,233
1343122433,234
1343122964,234
1343123806,234
1343124243,235
1343124325,235
1343124935,235
1343125426,236
1343125760,236
1343125798,237
1343126154,238
1343126173,238
1343126196,238
1343126233,239
1343126243,239
1343126265,239
1343126674,240
1343126781,240
1343126953,240
1343127206,241
1343127358,241
1343127643,242
1343128501,243
1343128540,244
1343128783,245
1343128803,245
1343129284,245
1343131041,246
1343131522,246
1343133046,246
1343133308,247
1343134828,248
1343135493,249
1343135858,250
1343136244,251
1343137052,252
1343137116,253
1343137199,253
1343137444,253
1343137749,254
1343138311,255
1343138354,256
1343139407,257
1343141264,258
1343141854,258
1343142981,259
1343143441,259
1343145503,259
1343145631,260
1343145845,260
1343145878,261
1343145968,262
1343146138,263
1343146242,264
1343146689,265
1343146780,265
1343147173,266
1343147409,267
1343147536,268
1343148119,269
1343149450,270
1343150120,271
1343150218,272
1343150495,273
1343150722,274
1343151894,274
1343152819,275
1343153017,275
1343153048,276
1343153366,276
1343153907,277
1343153966,278
1343154285,278
1343154286,279
1343154704,280
1343155568,280
1343156081,281
1343156140,281
1343156369,281
1343156509,282
1343156513,282
1343156563,282
1343156706,283
1343156739,284
1343156748,285
1343156838,285
1343156886,286
1343156914,286
1343157138,286
1343157386,286
1343157873,287
1343158398,287
1343158591,288
1343158599,288
1343158661,289
1343158709,290
1343158768,290
1343158886,291
1343158980,291
1343159128,291
1343159248,292
1343159321,292
1343159360,293
1343159419,294
1343159522,295
1343159615,296
1343159777,296
1343159793,297
1343159828,297
1343159837,297
1343159891,298
1343159948,298
1343160468,298
1343160630,299
1343161249,300
1343161999,300
1343162007,301
1343162079,301
1343162692,302
1343162855,302
1343163168,303
1343163533,303
1343163576,304
1343164093,304
1343164310,305
1343164590,306
1343164668,307
1343164682,308
1343165030,308
1343165034,309
1343165374,309
1343165539,309
1343165578,310
1343166423,311
1343166670,312
1343167090,313
1343167205,314
1343167394,314
1343167538,315
1343167900,315
1343167921,316
1343167987,316
1343168214,317
1343168878,317
1343168879,318
1343168882,319
1343169055,320
1343169222,321
1343169266,322
1343169625,323
1343169694,324
1343169987,324
1343170091,325
1343170600,326
1343170753,326
1343170957,327
1343170981,327
1343171729,328
1343171842,329
1343171910,330
1343172222,330
1343172777,331
1343172836,331
1343173151,332
1343173779,333
1343174324,333
1343174571,334
1343174627,334
1343175410,335
1343175526,335
1343175674,336
1343175918,337
1343176040,338
1343176197,338
1343176208,339
1343176318,339
1343176455,339
1343176504,340
1343176776,340
1343177132,341
1343177227,341
1343177332,342
1343177439,342
1343177457,342
1343177549,343
1343177552,344
1343177599,344
1343177645,345
1343177824,345
1343177828,346
1343177878,347
1343177946,347
1343178009,348
1343178102,348
1343178261,348
1343178590,349
1343178644,349
1343178753,349
1343178768,350
1343178785,350
1343178794,350
1343178920,350
1343178972,351
1343179149,351
1343180261,351
1343180314,352
1343180429,353
1343180835,353
1343180857,354
1343181174,355
1343181236,356
1343181655,357
1343181768,358
1343181872,359
1343182004,360
1343182020,361
1343182020,361
1343182078,362
1343182100,363
1343182125,363
1343182265,364
1343182318,364
1343183062,364
1343183152,365
1343183279,366
1343183370,367
1343184296,367
1343184347,368
1343184816,369
1343184973,370
1343185298,371
1343185331,371
1343185439,372
1343185483,372
1343185853,372
1343186264,373
1343186313,373
1343186363,374
1343186364,375
1343186597,375
1343186904,376
1343187084,376
1343187137,376
1343187146,377
1343187257,377
1343187330,378
1343187353,379
1343187961,380
1343188268,381
1343188682,382
1343189316,382
1343189612,383
1343189889,383
1343189890,384
1343190033,384
1343190038,385
1343190214,385
1343190256,386
1343190718,386
1343190957,386
1343191803,387
1343192346,388
1343192385,389
1343192523,389
1343192643,390
1343192779,391
1343192781,391
1343192800,391
1343193241,392
1343193269,393
1343193488,393
1343193515,394
1343193650,395
1343193962,395
1343194320,395
1343207511,396
1343207601,397
1343207840,398
1343207894,399
1343208208,400
1343208264,401
1343208290,402
1343208300,403
1343208326,404
1343208355,405
1343208401,406
1343208418,407
1343208431,408
1343208569,409
1343208580,410
1343208823,411
1343208934,412
1343209139,413
1343209170,414
1343209302,415
1343209399,416
1343209483,417
1343209513,418
1343209566,419
1343209651,420
1343210146,421
1343210277,422
1343210654,423
1343210785,424
1343211346,425
1343211423,426
1343211570,427
1343211619,428
1343211738,429
1343211834,430
1343211985,431
1343212260,432
1343212371,433
1343212425,434
1343212664,435
