Start,Mean,Group,Summary
1343101376,1343101376,1,Can't believe next monday is when I go and see the swimming #Olympics
1343091847,1343091847,2,RT @flynn_brandon: Getting so excited to watch the #olympics #london2012 #swimming
1343050003,1343050003,3,RT @mckeonswimming: Only 5 days to go until #London2012 so we thought we'd share this golden moment from Sydney 2000! Men's 4x100 FS Rel ...
1343088649,1343088649,4,Kate Duchess of Cambridge plans to see the swimming sailing hockey & tennis too at the Olympics #royal #Olympics
1343108140,1343108140,5,@laurajpy @jenniwoww @ella_bella86 knew there was a reason I liked swimming so much #wow #Olympics #fit
1343095348,1343095348,6,Last week I made a camp's worth of kids choreograph and perform synchronized field swimming. #london2012 #newgames #reallife
1343057785,1343057785,7,Can't wait for Ch 9's Olympics coverage of so many great sporting events.... 95% of which are swimming. #london2012 #austv #olympics
1343096172,1343096172,8,RT @SeanMilligan85: A new free-form swimming event "Different Strokes for Different Folks" #london2012 #newgames
1343064715,1343064715,9,Synchronised swimming is what i'm most looking forward to. #london2012
1343080395,1343080395,10,RT @SummerSanders_: RT @usa_swimming: Showtime! RT @Olympics: 5 rings 5 days and 5 hours to @London2012 #olympics
1343103257,1343103257,11,Tonight 9pm NBC Sports Network #openwaterswimming #London2012 @nadadores
1343105383,1343105383,12,I think I'm gunna start swimming as a new workout. #Olympics #MichaelPhelps #ripped
1343108290,1343108290,13,@Wispa25 Thanks hon. The sun was shining #Olympics are only days away am watching the swimming on Saturday- an all round top birthday!
1343110912,1343110912,14,RT @londonphotos: One truly Olympic size swimming pool. @ London 2012 - Aquatics Centre #london #olympics #swimming ...
1343076245,1343076245,15,RT @jeffmorris91 Finally something watchable is coming to town #London2012 #USA #Gymnastics #swimming #volleyball
1343071446,1343071446,16,Push Comes to Pull: What's the Best Freestyle Swimming Stroke? [Video] - Scientific American... #olympics #swimming
1343075240,1343075240,17,Has Paralympic tickets for men's basketball quarter finals and the swimming finals wooo !!! #inspired #London2012
1343071535,1343071535,18,RT @NBCOlympics: Follow Our swimming producer @JasonNBC for updates from the @SwimmingAUS press conference #Olympics
1343079050,1343079050,19,London 2012 Predictions: U.S. Swimmer Rebecca Soni a Sure Bet in Signature ... - Bleacher Re... #olympics #swimming
1343067823,1343067823,20,#teamUSA #olympics #swimming #favorite #ryanlochte #winning #gold
1343110339,1343110339,21,i'm definitely watching the swimming..... #Olympics
1343094555,1343094555,22,Can't wait for swimming!!!! RT @JasonNBC: Here's @MichaelPhelps on the blocks. #Olympics #WSAZ
1343096464,1343096464,23,Run swim pose in where Olympic champs reigned - Wall Street Journal: Run swim pose in wh... #olympics #swimming
1343105992,1343105992,24,RT @LondonLive: Karen Crouse our star swimming writer deep in preparations at our #london2012 office. She will soon own the pool. ...
1343112445,1343112445,25,My favorite part of the #Olympics is the swimming :) #London2012
1343070954,1343070954,26,Follow Our swimming producer @JasonNBC for updates from the @SwimmingAUS press conference #Olympics
1343077132,1343077132,27,Soo excited for the swimming #olympics
1343090392,1343090392,28,MALE's been checking the #London2012 schedule. Unsurprisingly; #diving athletics #swimming and #gymnastics are on our list! #sport
1343105308,1343105308,29,RT @CallumNg: "The last blog post from [@CDNOlympicTeam #swimming] @juliah2o before she heads to #London2012!
1343080603,1343080603,30,@CraigGibbons85 Hey Craig! Hope you're looking forward to the Olympic Games! Do you know what date the swimming is on? #London2012 :) xox
1343087080,1343087080,31,@K_Finlayson_5 @ljmcallan u pair should go swimming instead u could do synchronised swimming ha ha! #Olympics2012
1343073185,1343073185,32,Michael Phelps swimming in 7 events this year. 3 more medals will make him Most Decorated Olympian. #London2012 #TeamUSA
1343107751,1343107751,33,I'm most looking forward to the diving and swimming at the Olympics. What about you? 🏊#london2012
1343108762,1343108762,34,RT @theHamzaTal: our @JordanOlympic #JO swimming champion Kareem Ennab in #London2012 Olympics campus. lets all wish him good luck ...
1343093637,1343093637,35,I'm pretty pumped for the Olympics to start. My favorite events are futbol gymnastics track swimming and cycling. #London2012 #Olympics
1343096180,1343096180,36,RT @SeanMilligan85: A new free-form swimming event "Different Strokes for Different Folks" #london2012 #newgames
