Start,Mean,Group,Summary
1343050003,1343300948,0,You know your friend has made it big when she gets verified because she is swimming in the Olympics!!! @CammileAdams #London2012
1343424404,1343441379,1,badminton, gymnastics and swimming #alltimefave #olympics
1343459510,1343477058,2,Can't wait to watch swimming tomorrow and gymnastics on Sunday!! #goamerica #America #Olympics
1343496004,1343499673,3,Watching the swimming #Olympics #London2012
1343503322,1343508919,4,Ready for swimming to come on #olympics
1343516284,1343517263,5,swimming is my favorite! #Olympics
1343518261,1343521314,6,I want to see swimming and gymnastics!! #Olympics2012
1343524984,1343526714,7,RT @Olympics: @MichaelPhelps gets started #swimming #olympics
1343528281,1343528676,8,RT @fasciNAEting: This swimming is interesting! #Olympics2012
1343528941,1343529362,9,Lochte leading, Phelps third in 400m IM #swimming #Olympics
1343529781,1343530222,10,The swimming in Olympics is fabbb. #swimming #olympics2012
1343530683,1343530778,11,RT @christophclarey: Sun Yang of China wins the 400 free, 1st Chinese man ever to win an Olympic swimming gold medal. Screaming with del ...
1343530862,1343530929,12,RT @SportsCenter: Ryan Lochte wins gold, Michael Phelps 4th in swimming 400m individual medley at London #Olympics
1343530981,1343531482,13,RT @SportsCenter Ryan Lochte wins gold, Michael Phelps 4th in swimming 400m individual medley at London #Olympics
1343532063,1343532155,14,RT @SportsCenter: Ryan Lochte wins gold, Michael Phelps 4th in swimming 400m individual medley at London #Olympics
1343532241,1343533309,15,RT @SportsCenter: Ryan Lochte wins gold, Michael Phelps 4th in swimming 400m individual medley at London #Olympics
1343534523,1343535232,16,Omfg! What?!? RT @SportsCenter: Ryan Lochte wins gold, Michael Phelps 4th in swimming 400m individual medley at London #Olympics
1343536081,1343538023,17,RT @SportsCenter: Ryan Lochte wins gold, Michael Phelps 4th in swimming 400m individual medley at London #Olympics
1343540406,1343540623,18,RT @piersmorgan: These empty corporate sponsor seats at swimming etc are a total bloody disgrace. Sort it out, Lord Coe. #London2012
1343540821,1343541205,19,RT @piersmorgan: These empty corporate sponsor seats at swimming etc are a total bloody disgrace. Sort it out, Lord Coe. #London2012
1343541662,1343547535,20,RT @piersmorgan: These empty corporate sponsor seats at swimming etc are a total bloody disgrace. Sort it out, Lord Coe. #London2012
1343553843,1343554591,21,Ryan Lochte is about to shut this race down. #Olympics #swimming
1343555222,1343555888,22,Ryan Lochte makes me want to watch Olympic swimming all day long #Olympics2012 #smokin
1343556963,1343557651,23,RT @whitehouse: Photo: The First Lady waves an American flag & cheers on #TeamUSA at the #Olympics #swimming events today: ...
1343558221,1343559006,24,RT @whitehouse: Photo: The First Lady waves an American flag & cheers on #TeamUSA at the #Olympics #swimming events today: ...
1343560081,1343560442,25,RT @JenniferManley4: NW: swimming #Olympics2012 ❤🇺🇸❤
1343560742,1343561999,26,Guys swimming #olympics #London2012 #holyfastness
1343562902,1343570683,27,RT @piersmorgan: These empty corporate sponsor seats at swimming etc are a total bloody disgrace. Sort it out, Lord Coe. #London2012
1343581383,1343584211,28,RT @STcom: Tao Li has broken her own national record in the 100m backstroke at the #Olympics, swimming 1:01.60. But she does not make th ...
1343586854,1343588243,29,Love watching the swimming #Olympics2012
1343589603,1343600364,30,RT @AP: 5 Olympic things to know today include US men's basketball vs. France, swimming at #London2012 Games: #APOl ...
1343611742,1343613570,31,Love watching the swimming #Olympics
1343615101,1343615766,32,Ooman swimming #London2012
1343616361,1343617202,33,I love the swimming #London2012 🏊🏊🏊
1343618161,1343618232,34,WORLD RECORD 100m men's breaststroke by Van Der Burgh, South Africa #swimming #olympics
1343618282,1343618362,35,Come on Rebecca!! #Olympics #swimming
1343618461,1343618575,36,C'mon Rebecca!!! #olympics2012 #swimming
1343618762,1343618979,37,RT @SkySports: Rebecca Adlington has won a bronze medal in the women’s 400m freestyle. More on site soon. #swimming #London2012
1343619181,1343619369,38,RT @SkySports: Rebecca Adlington has won a bronze medal in the women’s 400m freestyle. More on site soon. #swimming #London2012
1343619601,1343620208,39,So proud of South African on his gold in swimming ! #olympics #southafrica #swimming
1343620862,1343621040,40,Michael phelps is the guy. #Olympics2012 #swimming
1343621221,1343621264,41,France!!! Wow!!! #Olympics #swimming
1343621281,1343621317,42,RT @muhabbetul: just WOAWWW France!!! #swimming #london2012
1343621401,1343621469,43,swimming #Olympics
1343621521,1343621690,44,@SJH04 swimming #Olympics @craig_jailed @wildnightsdream @audsmom2002 @skittle1818 @badblueeyedgirl
1343621942,1343622194,45,RT @celina_edmonds: Great night for France in pool - 2 Gold! #london2012 Ian Thorpe commentating on BBC says Aust swimming team will be ...
1343622482,1343623605,46,RT @cathyyy_xo: Love watching the swimming #Olympics
1343624886,1343630440,47,RT @IamAustinAllen: Michael Phelps swimming tonight? Let the weed jokes begin #Olympics #London2012
1343635201,1343635511,48,Dana Vollmer!! She Rocks! World Record! #Olympics #swimming
1343635801,1343637446,49,RT @kristie_linder: I love watching swimming ! #Olympics (:
1343638861,1343639390,50,Loving the swimming and women's gymnastics tonight! #London2012
1343640125,1343641218,51,Lovin' the swimming and Gymnastics! my FAVES RT @BeverlyJohnson1 What do you think about the #olympics so far?
1343641681,1343641762,52,RT @UpdateOlympics: RT if you're watching swimming #Olympics
1343641861,1343641949,53,RT @UpdateOlympics: RT if you're watching swimming #Olympics
1343642041,1343642418,54,RT @UpdateOlympics: RT if you're watching swimming #Olympics
1343642821,1343643516,55,RT @UpdateOlympics: RT if you're watching swimming #Olympics
1343644261,1343644326,56,RT @Savann_ahhh: Ryan Lochte is Channing Tatum for swimming #Olympics💙❤🇺🇸
1343644381,1343644499,57,Wtaching the swimming #Olympics
1343644621,1343644649,58,RT @BryGodfrey: Just keep swimming swimming swimming :) #Olympics
1343644681,1343644865,59,RT @rolandsmartin: How does Ryan Lochte feel getting smoked in the 4x100 swimming relays? His team gave him a HUGE lead #olympics
1343645041,1343645100,60,RT @rolandsmartin: How does Ryan Lochte feel getting smoked in the 4x100 swimming relays? His team gave him a HUGE lead #olympics
1343645161,1343645212,61,RT @UpdateOlympics: RT if you're watching swimming #Olympics
1343645281,1343645744,62,RT @rolandsmartin: It was weak of Lochte to say swimming the 100 wasn't his 'specialty.' So why were you the anchor on the relay team?! ...
1343646363,1343647302,63,RT @UpdateOlympics: RT if you're watching swimming #Olympics
1343648404,1343648721,64,RT @AmericanHumor: France may have won the swimming relay but at least none of our male swimmers have a tattoo on their lower back. #oly ...
1343649001,1343649559,65,RT @AmericanHumor: France may have won the swimming relay but at least none of our male swimmers have a tattoo on their lower back. #oly ...
1343650381,1343653546,66,RT @AmericanHumor: France may have won the swimming relay but at least none of our male swimmers have a tattoo on their lower back. #oly ...
1343657074,1343662200,67,RT @AmericanHumor: France may have won the swimming relay but at least none of our male swimmers have a tattoo on their lower back. #oly ...
1343667488,1343669935,68,I love watching the swimming :) #olympics2012
1343672164,1343677749,69,RT @AmericanHumor: France may have won the swimming relay but at least none of our male swimmers have a tattoo on their lower back. #oly ...
1343683864,1343692480,70,@MichaelPhelps swimming >>>> #Olympics
1343701741,1343702206,71,Yaayy! Missy Franklin is swimming now!:D #olympics
1343702582,1343703337,72,Missy Franklin!!! #swimming #London2012
1343704021,1343704505,73,@chrissyh_85x I'm on the swimming now mate!!! Lovvvve the #olympics
1343704922,1343705231,74,Woah!!! 15 year old gold medalist! #wooooaaah #Olympics2012 #swimming
1343705521,1343706091,75,Swimming, swimming, in a swimming pool... #Olympics #London2012
1343706662,1343707669,76,Loving the swimming #London2012
1343708826,1343716542,77,@emcbomb Silver medal swimming for your country! No disappointed here! #Olympics #GoAUSTRALIA #GreenAndGold
1343725758,1343726479,78,#olympics2012 swimming
1343727061,1343727674,79,Oooh...men's swimming is on tonight. Drool. 😍👍👏🏊 #Olympics2012
1343728201,1343728368,80,Omg! Missy Franklin you are a Goddess!! #swimming #Olympics
1343728501,1343728607,81,RT @PatDineenToGo: Missy Franklin that was amazing. #swimming #Olympics
1343728804,1343729780,82,Missy Franklin is a swimming superhero. #OLYMPICS
1343731265,1343731360,83,Let's go Nick and Matt!! #swimming #Olympics
1343731453,1343731601,84,Grevers and Thoman win gold and silver in the men's 100m backstroke!! #teamusa #swimming #Olympics
1343731741,1343732092,85,that was awkward. #swimming #london2012
1343732402,1343732948,86,Love the butterfly - best stroke in swimming #London2012 #TEAMUSA #swimming #teamphelps
1343733481,1343733626,87,Michael Phelps 'my swimming does the talking' #crazytalented #Olympics #swimming #teamusa
1343733782,1343736391,88,Men's gymnastics and swimming #Olympics #automaticallyagreatnight
1343739483,1343746922,89,Apparently, it's David not Jason swimming today. #MyBad #Swimmo #TeamKenya #London2012
1343754482,1343756893,90,#BBC #swimming pundit Mark Foster is so handsome! He's a decent pundit too! #london2012 #olympics
1343759348,1343769632,91,RT @adamliaw: Australian Olympics Coverage: Replays and pre-filmed montages of James Magnussen 85% Actual swimming 14% Other sports 1% # ...
1343810581,1343810581,92,I am ready to watch @Nathangadrian :) #Olympics #swimming
1343810589,1343811493,93,Nathan Adrian!<3 #USA #swimming #London2012
1343812861,1343813129,94,Schmitt!!! #swimming #Olympics
1343813341,1343814436,95,@ryanlochte is a swimming beast! #Olympics
1343815682,1343816055,96,So close...yet so far. #london2012 #swimming
