Start,Mean,Group,Summary
1343050003,1343421910,0,@imaginetoys swimming and gymnastics! #London2012
1343424404,1343450990,1,Gymnastics, track, and swimming #Olympics
1343459510,1343494894,2,And the swimming is underway!! #london2012
1343496004,1343498897,3,watching swimming #olympics
1343503322,1343505077,4,#Olympics swimming is wank
1343516284,1343517039,5,Lochte swimming now. #Olympics
1343518261,1343518422,6,Watching swimming #Olympics
1343524984,1343527552,7,RT @UpdateOlympics: Michael Phelps gets started #swimming #olympics
1343528281,1343528676,8,RT @fasciNAEting: This swimming is interesting! #Olympics2012
1343528941,1343529587,9,Swimming just amazing! Ryan Lochte bravo:-) #olympics #swimming
1343529781,1343530222,10,The swimming in Olympics is fabbb. #swimming #olympics2012
1343530683,1343530811,11,I'm watching swimming now #Olympics
1343530862,1343530939,12,RT @SportsCenter: Ryan Lochte wins gold, Michael Phelps 4th in swimming 400m individual medley at London #Olympics
1343530981,1343531313,13,RT @SportsCenter: Ryan Lochte wins gold, Michael Phelps 4th in swimming 400m individual medley at London #Olympics
1343532063,1343532155,14,RT @SportsCenter: Ryan Lochte wins gold, Michael Phelps 4th in swimming 400m individual medley at London #Olympics
1343532241,1343533390,15,RT @BikiniGirls69: #Olympics #London2012 swimming
1343534523,1343534691,16,RT @SportsCenter: Ryan Lochte wins gold, Michael Phelps 4th in swimming 400m individual medley at London #Olympics
1343536081,1343537355,17,Watching the swimming at the #Olympics love the swimming 🏊
1343540406,1343540593,18,RT @piersmorgan: These empty corporate sponsor seats at swimming etc are a total bloody disgrace. Sort it out, Lord Coe. #London2012
1343540821,1343541011,19,RT @piersmorgan: These empty corporate sponsor seats at swimming etc are a total bloody disgrace. Sort it out, Lord Coe. #London2012
1343541662,1343549087,20,RT @piersmorgan: These empty corporate sponsor seats at swimming etc are a total bloody disgrace. Sort it out, Lord Coe. #London2012
1343553843,1343554832,21,Ryan Lochte is a hottie. #olympics #swimming
1343555222,1343555759,22,I love watching swimming and gymnastics:) #Olympics
1343556963,1343557464,23,RT @whitehouse The First Lady waves an American flag & cheers on #TeamUSA at the #Olympics swimming events today
1343558221,1343558295,24,RT @whitehouse: Photo: The First Lady waves an American flag & cheers on #TeamUSA at the #Olympics #swimming events today: ...
1343560081,1343560459,25,The swimming be so intense. #Olympics
1343560742,1343562471,26,This swimming is intense!!!! #olympics2012
1343562902,1343565420,27,swimming and gymnastics!!!:) #olympics
1343581383,1343583659,28,Watching the swimming with my parents! :) #swimming #London2012 #Olympics
1343586854,1343587140,29,Loving the swimming and commentary. #banter #swimming #London2012
1343589603,1343603520,30,swimming >>> 🏊 #Olympics
1343611742,1343613653,31,#olympics swimming 🏊
1343615101,1343615766,32,Ooman swimming #London2012
1343616361,1343616729,33,Woooooah Jamaica is swimming in the #Olympics2012 garrrrwnnn gal!!!
1343618161,1343618235,34,Another world record in the swimming #London2012
1343618282,1343618362,35,Come on Rebecca!! #Olympics #swimming
1343618461,1343618512,36,come on Rebecca!! #swimming #Olympics
1343618762,1343618981,37,RT @SkySports: Rebecca Adlington has won a bronze medal in the women’s 400m freestyle. More on site soon. #swimming #London2012
1343619181,1343619347,38,Watching the swimming #Olympics
1343619601,1343620248,39,swimming #olympics2012
1343620862,1343621033,40,Heyecan dorukta!!! #mensfreestylerelay #swimming #Olympics
1343621221,1343621264,41,France!!! Wow!!! #Olympics #swimming
1343621281,1343621317,42,RT @muhabbetul: just WOAWWW France!!! #swimming #london2012
1343621401,1343621469,43,swimming #Olympics
1343621521,1343621690,44,@SJH04 swimming #Olympics @craig_jailed @wildnightsdream @audsmom2002 @skittle1818 @badblueeyedgirl
1343621942,1343622073,45,Watching #olympics swimming relay!
1343622482,1343623154,46,Loved the swimming tonight. Congrats to the French, and Rebecca of course #swimming #London2012
1343624886,1343632100,47,Gymnastics, swimming and diving!!! #Olympics2012 😃🇺🇸
1343635201,1343635484,48,Gold and World Record for Vollmer!!! Yay!! #swimming #Olympics2012
1343635801,1343638639,49,fanguy/girling swimming with @LivyyMichelle #london2012
1343638861,1343638937,50,gymnastics and swimming tonight.. my favorites! #olympics
1343640125,1343641642,51,RT @UpdateOlympics: RT if you're watching swimming #Olympics
1343641681,1343641757,52,RT @UpdateOlympics: RT if you're watching swimming #Olympics
1343641861,1343641945,53,RT @UpdateOlympics: RT if you're watching swimming #Olympics
1343642041,1343642380,54,RT @UpdateOlympics: RT if you're watching swimming #Olympics
