Time,Group
1343050003,1
1343051120,2
1343053390,3
1343054709,4
1343056325,5
1343057785,6
1343060014,7
1343060484,8
1343062011,9
1343063630,10
1343064715,11
1343065649,12
1343065757,13
1343066703,14
1343067823,15
1343068302,16
1343068940,17
1343069723,18
1343069768,18
1343070368,19
1343070954,20
1343071068,21
1343071200,21
1343071271,21
1343071446,21
1343071535,21
1343072210,21
1343072293,21
1343072804,21
1343073185,21
1343073313,21
1343073334,21
1343073434,22
1343073497,22
1343073867,23
1343074009,23
1343074479,24
1343075240,25
1343075291,25
1343075385,26
1343075570,27
1343075638,27
1343076245,27
1343076310,28
1343076358,29
1343076424,29
1343077132,30
1343077206,30
1343077232,30
1343078230,31
1343078702,32
1343078991,33
1343079050,34
1343079110,35
1343079376,36
1343079558,37
1343080395,38
1343080603,39
1343081483,40
1343082736,41
1343082931,42
1343082974,42
1343083051,42
1343083270,43
1343083456,44
1343083886,45
1343083912,45
1343083952,45
1343084899,46
1343084997,47
1343085233,48
1343085244,48
1343085603,49
1343085983,50
1343086049,50
1343086232,50
1343086233,51
1343086308,52
1343087080,53
1343087232,54
1343087274,54
1343087965,55
1343087993,56
1343088102,56
1343088140,57
1343088143,57
1343088187,58
1343088528,59
1343088649,60
1343088764,61
1343088766,61
1343088809,61
1343090305,61
1343090392,61
1343090395,61
1343090551,61
1343090657,61
1343090720,61
1343090849,61
1343090987,61
1343091632,61
1343091847,61
1343092551,61
1343092980,61
1343093422,61
1343093521,61
1343093637,61
1343093897,61
1343094138,61
1343094533,61
1343094555,62
1343094999,63
1343095054,63
1343095124,63
1343095316,64
1343095348,64
1343095381,65
1343095519,66
1343095819,67
1343096100,68
1343096172,68
1343096180,68
1343096352,69
1343096368,69
1343096386,69
1343096464,69
1343096589,69
1343096682,69
1343096836,70
1343097335,71
1343099807,72
1343100268,73
1343100325,74
1343100329,74
1343100335,74
1343100423,74
1343100632,74
1343101359,75
1343101376,75
1343101867,76
1343102014,76
1343102311,76
1343103257,77
1343104006,78
1343104019,78
1343104182,79
1343104725,80
1343104735,80
1343104776,80
1343104789,80
1343104862,80
1343105143,80
1343105308,81
1343105383,81
1343105567,82
1343105680,82
1343105710,82
1343105992,82
1343106106,82
1343106254,82
1343107086,83
1343107209,83
1343107581,83
1343107679,84
1343107751,84
1343107814,84
1343107960,85
1343108105,86
1343108127,86
1343108128,86
1343108140,86
1343108190,86
1343108204,86
1343108210,86
1343108290,86
1343108341,86
1343108372,86
1343108388,86
1343108509,86
1343108762,86
1343108847,86
1343109195,86
1343109590,87
1343109970,88
1343110339,89
1343110912,90
1343111193,91
1343111728,92
1343112155,93
1343112445,94
1343112483,94
1343112667,95
1343112784,95
1343112930,95
1343112973,95
1343113210,96
1343113414,97
1343113429,97
1343113489,97
1343113512,97
1343113812,97
1343114314,97
1343114411,97
1343114667,97
1343114872,97
1343115606,97
1343115693,97
1343115851,98
1343115884,98
1343116417,98
1343116473,98
1343116748,98
1343116872,98
1343117416,99
1343117421,99
1343117550,99
1343117575,100
1343117601,100
1343117606,100
1343117802,100
1343118266,101
1343118482,101
1343118691,102
1343118717,102
1343118874,102
1343118932,102
1343118948,102
1343119046,102
1343119058,102
1343119098,102
1343119219,102
1343119252,103
1343119357,103
1343119438,103
1343119667,103
1343119845,103
1343119902,103
1343120047,103
1343120100,103
1343120207,103
1343120251,103
1343120311,103
1343120403,103
1343120410,103
1343120592,103
1343120598,103
1343120602,103
1343120635,103
1343120712,103
1343120769,103
1343120803,103
1343120818,103
1343120853,103
1343121194,103
1343121725,103
1343122107,103
1343122209,103
1343122433,104
1343122964,105
1343123806,106
1343124243,106
1343124325,106
1343124935,106
1343125426,106
1343125760,106
1343125798,106
1343126154,107
1343126173,107
1343126196,107
1343126233,108
1343126243,108
1343126265,108
1343126674,108
1343126781,108
1343126953,108
1343127206,108
1343127358,108
1343127643,108
1343128501,108
1343128540,108
1343128783,109
1343128803,109
1343129284,109
1343131041,109
1343131522,110
1343133046,110
1343133308,110
1343134828,111
1343135493,111
1343135858,111
1343136244,112
1343137052,112
1343137116,113
1343137199,113
1343137444,113
1343137749,113
1343138311,113
1343138354,113
1343139407,113
1343141264,114
1343141854,115
1343142981,116
1343143441,116
1343145503,116
1343145631,117
1343145845,117
1343145878,117
1343145968,117
1343146138,117
1343146242,117
1343146689,117
1343146780,117
1343147173,117
1343147409,117
1343147536,117
1343148119,117
1343149450,117
1343150120,117
1343150218,117
1343150495,117
1343150722,117
1343151894,117
1343152819,117
1343153017,117
1343153048,117
1343153366,117
1343153907,117
1343153966,117
1343154285,117
1343154286,117
1343154704,117
1343155568,118
1343156081,119
1343156140,119
1343156369,119
1343156509,119
1343156513,119
1343156563,119
1343156706,119
1343156739,119
1343156748,119
1343156838,119
1343156886,119
1343156914,119
1343157138,119
1343157386,119
1343157873,119
1343158398,119
1343158591,120
1343158599,120
1343158661,120
1343158709,120
1343158768,120
1343158886,120
1343158980,120
1343159128,120
1343159248,120
1343159321,120
1343159360,120
1343159419,120
1343159522,120
1343159615,120
1343159777,120
1343159793,120
1343159828,120
1343159837,120
1343159891,120
1343159948,120
1343160468,120
1343160630,120
1343161249,120
1343161999,120
1343162007,120
1343162079,120
1343162692,120
1343162855,120
1343163168,120
1343163533,120
1343163576,120
1343164093,120
1343164310,120
1343164590,120
1343164668,120
1343164682,120
1343165030,120
1343165034,120
1343165374,121
1343165539,121
1343165578,121
1343166423,122
1343166670,123
1343167090,123
1343167205,123
1343167394,123
1343167538,123
1343167900,123
1343167921,123
1343167987,123
1343168214,123
1343168878,123
1343168879,123
1343168882,123
1343169055,123
1343169222,123
1343169266,123
1343169625,123
1343169694,123
1343169987,123
1343170091,123
1343170600,123
1343170753,123
1343170957,123
1343170981,123
1343171729,123
1343171842,123
1343171910,123
1343172222,123
1343172777,123
1343172836,124
1343173151,124
1343173779,124
1343174324,124
1343174571,124
1343174627,124
1343175410,125
1343175526,125
1343175674,125
1343175918,125
1343176040,125
1343176197,125
1343176208,126
1343176318,126
1343176455,126
1343176504,126
1343176776,126
1343177132,126
1343177227,126
1343177332,126
1343177439,127
1343177457,127
1343177549,127
1343177552,127
1343177599,127
1343177645,127
1343177824,127
1343177828,127
1343177878,127
1343177946,127
1343178009,127
1343178102,127
1343178261,127
1343178590,127
1343178644,127
1343178753,127
1343178768,127
1343178785,127
1343178794,128
1343178920,128
1343178972,128
1343179149,128
1343180261,128
1343180314,128
1343180429,128
1343180835,128
1343180857,128
1343181174,128
1343181236,129
1343181655,130
1343181768,130
1343181872,130
1343182004,130
1343182020,130
1343182020,130
1343182078,130
1343182100,130
1343182125,130
1343182265,130
1343182318,130
1343183062,130
1343183152,130
1343183279,130
1343183370,130
1343184296,130
1343184347,130
1343184816,130
1343184973,130
1343185298,130
1343185331,130
1343185439,130
1343185483,130
1343185853,130
1343186264,130
1343186313,130
1343186363,130
1343186364,130
1343186597,130
1343186904,131
1343187084,131
1343187137,131
1343187146,131
1343187257,131
1343187330,131
1343187353,131
1343187961,131
1343188268,131
1343188682,131
1343189316,131
1343189612,131
1343189889,131
1343189890,131
1343190033,131
1343190038,131
1343190214,131
1343190256,131
1343190718,131
1343190957,131
1343191803,131
1343192346,132
1343192385,132
1343192523,132
1343192643,132
1343192779,132
1343192781,132
1343192800,132
1343193241,132
1343193269,132
1343193488,132
1343193515,132
1343193650,132
1343193962,132
1343194320,132
1343207511,133
1343207601,134
1343207840,134
1343207894,134
1343208208,134
1343208264,134
1343208290,134
1343208300,135
1343208326,135
1343208355,135
1343208401,135
1343208418,135
1343208431,136
1343208569,136
1343208580,136
1343208823,136
1343208934,136
1343209139,136
1343209170,136
1343209302,136
1343209399,136
1343209483,137
1343209513,137
1343209566,137
1343209651,137
1343210146,137
1343210277,138
1343210654,138
1343210785,138
1343211346,138
1343211423,139
1343211570,139
1343211619,139
1343211738,139
1343211834,139
1343211985,139
1343212260,139
1343212371,139
1343212425,139
1343212664,140
