Start,Mean,Group,Summary
1343050003,1343050003,1,RT @mckeonswimming: Only 5 days to go until #London2012 so we thought we'd share this golden moment from Sydney 2000! Men's 4x100 FS Rel ...
1343110339,1343110339,2,i'm definitely watching the swimming..... #Olympics
1343057785,1343057785,3,Can't wait for Ch 9's Olympics coverage of so many great sporting events.... 95% of which are swimming. #london2012 #austv #olympics
1343064715,1343064715,4,Synchronised swimming is what i'm most looking forward to. #london2012
1343088140,1343088140,5,RT @RoyalNews2012: Kate will also attend synch swimming sailing and gymnastics. #royal #London2012
1343083270,1343083270,6,Can't wait for the #olympics!!! I can't wait to see @ryanlochte dominate swimming!
1343075240,1343075240,7,Has Paralympic tickets for men's basketball quarter finals and the swimming finals wooo !!! #inspired #London2012
1343080395,1343080395,8,RT @SummerSanders_: RT @usa_swimming: Showtime! RT @Olympics: 5 rings 5 days and 5 hours to @London2012 #olympics
1343075385,1343075385,9,I need to get myself a team GB top before the swimming on Sunday #olympics
1343087080,1343087080,10,@K_Finlayson_5 @ljmcallan u pair should go swimming instead u could do synchronised swimming ha ha! #Olympics2012
1343067823,1343067823,11,#teamUSA #olympics #swimming #favorite #ryanlochte #winning #gold
1343071068,1343072210,12,RT @NBCOlympics: Follow Our swimming producer @JasonNBC for updates from the @SwimmingAUS press conference #Olympics
1343084997,1343084997,13,Watch the video we made for #Speedo which tracks the history of #competitiveswimming from 1539 to #London2012
1343112445,1343112483,14,#TaeKwonDo will start on 08/08/12 @ #london2012 … I also enjoy #gymnastics #athletics #basketball #swimming … #fb
1343088187,1343088187,15,RT @taysolorio: The Olympics just need to start already!!! #London2012 #swimming
1343104182,1343104182,16,An Olympic Spirit Duels With Frustration - New York Times: An Olympic Spirit Duels With Frus... #olympics #swimming
1343077132,1343077206,17,My DVR betta rest this week it's gonna be in overdrive starting next Mon. #olympics #diving #swimming #water polo #gymnastics #tabletennis
1343107960,1343107960,18,Michael Phelps not just 'floating through' another Olympics - USA TODAY: USA TODAYMichael Ph... #olympics #swimming
1343094555,1343094555,19,Can't wait for swimming!!!! RT @JasonNBC: Here's @MichaelPhelps on the blocks. #Olympics #WSAZ
1343110912,1343110912,20,RT @londonphotos: One truly Olympic size swimming pool. @ London 2012 - Aquatics Centre #london #olympics #swimming ...
1343051120,1343051120,21,Wait. Why does say phelps is only swimming 5 events. What happened to the other 2 relays? #london2012
1343101359,1343101359,22,It really don't matter Wat event it is. Track swimmingbasketballsoccer...etc.. I watch it all and hope an American win. #Olympics.
