Time,Group
1343050170,1
1343054557,1
1343054598,2
1343055052,3
1343055360,4
1343055504,4
1343055618,5
1343056704,6
1343057408,7
1343057440,8
1343057667,9
1343058363,10
1343058379,11
1343060764,12
1343061497,13
1343061575,14
1343063384,14
1343063441,15
1343063983,16
1343064521,17
1343064521,17
1343066285,18
1343066971,19
1343067701,20
1343068314,21
1343068469,21
1343068756,22
1343069551,23
1343069702,24
1343070352,24
1343072384,25
1343072614,26
1343073138,26
1343073419,27
1343073757,27
1343074208,28
1343074310,29
1343074471,30
1343074733,31
1343075101,32
1343075615,33
1343075995,33
1343076118,34
1343076342,35
1343076861,35
1343077206,36
1343077225,37
1343077232,37
1343077352,38
1343077382,39
1343077529,40
1343077600,41
1343078304,42
1343078358,42
1343078493,43
1343078923,44
1343079017,45
1343079083,46
1343079345,47
1343079589,48
1343080177,49
1343080870,50
1343081103,51
1343081413,52
1343081683,53
1343081849,54
1343082085,55
1343082732,56
1343082736,57
1343082904,58
1343083240,58
1343083878,59
1343084348,60
1343084522,61
1343084693,61
1343084738,62
1343084831,63
1343085033,64
1343085601,65
1343085756,65
1343085784,66
1343086054,67
1343086135,68
1343086247,69
1343086315,70
1343086510,71
1343087276,72
1343087298,73
1343087448,74
1343087465,75
1343087475,76
1343087732,77
1343087965,77
1343088264,78
1343088649,79
1343089479,80
1343089553,81
1343089678,81
1343089750,82
1343089763,83
1343089967,84
1343090628,85
1343090763,86
1343091767,87
1343091906,88
1343092065,89
1343092539,90
1343092933,91
1343093721,92
1343093757,93
1343093926,94
1343094483,95
1343095124,96
1343096098,97
1343096611,98
1343096691,99
1343097112,100
1343097199,101
1343097561,102
1343097594,103
1343098409,104
1343098632,105
1343099079,106
1343099083,107
1343099807,108
1343099916,109
1343100138,110
1343100300,111
1343100431,112
1343100561,113
1343100939,114
1343101437,115
1343102337,116
1343102455,116
1343102486,117
1343102507,117
1343102510,118
1343102515,119
1343102542,120
1343102558,121
1343102560,122
1343102568,123
1343102576,124
1343102576,124
1343102586,124
1343102603,124
1343102644,125
1343102657,125
1343102684,125
1343102714,126
1343102779,126
1343102786,126
1343102804,127
1343102827,127
1343102862,127
1343102887,128
1343102899,129
1343102937,130
1343102941,131
1343102949,132
1343103030,133
1343103046,134
1343103077,135
1343103085,136
1343103113,137
1343103128,138
1343103185,139
1343103187,140
1343103242,141
1343103272,142
1343103349,143
1343103361,144
1343103401,145
1343103432,146
1343103464,147
1343103625,148
1343103676,149
1343103728,150
1343103808,151
1343103895,152
1343104021,153
1343104043,154
1343104091,155
1343104113,156
1343104143,157
1343104213,158
1343104290,159
1343104337,159
1343104347,160
1343104360,161
1343104380,162
1343104611,163
1343104678,164
1343104730,165
1343104772,165
