Start,Mean,Group,Summary
1343103185,1343103185,1,RT @MyLifeIsTennis: can't wait for the Olympic tennis #London2012
1343097561,1343097561,2,#tabletennis tweets from #london2012 competitors at - check it out! #sportrightnow
1343050170,1343054557,3,RT @SI_BTBaseline: "Indian tennis has more drama than an episode of Girls." - @jon_wertheim #olympics
1343092065,1343092065,4,New blog taking a look at how playing at the Olympic Games affects the world's top players... #London2012 #tennis
1343105091,1343105091,5,RT @MyLifeIsTennis: can't wait for the Olympic tennis #London2012
1343102337,1343102337,6,@MichelleMone am going to the men's tennis finals. Hoping Andy Murray will be a finalist #Olympics2012
1343056704,1343056704,7,Sorana Cirstea: Here is a picture of my first tennis racquet. It looks so small and I kin.. #london2012
1343102558,1343102558,8,RT @MyLifeIsTennis: can't wait for the Olympic tennis #London2012
1343058379,1343058379,9,#tabletennis tweets from #london2012 competitors at - check it out! #socialolympics
1343082736,1343082736,10,#London2012 is going to be ridiculous! looking forward to #tennis #pingpong and #swimming competitions!
1343103349,1343103349,11,RT @MyLifeIsTennis: can't wait for the Olympic tennis #London2012
1343104043,1343104043,12,RT @MyLifeIsTennis: can't wait for the Olympic tennis #London2012
1343106230,1343106230,13,RT @MyLifeIsTennis: can't wait for the Olympic tennis #London2012
1343108143,1343108143,14,Updated Post: The Social Network exploring the connections between the USADA case and #tennis: #olympics #London2012
1343078493,1343078493,15,I'm following Women's Singles Table Tennis: Round 1 with #fanatix #london2012 #tabletennis #fanatix
1343072384,1343072384,16,@TennisAddictRH so lovely there when sun si shinin. are you going to watch the tennis ? #london2012
1343077352,1343077352,17,USA has never won the gold in table tennis badminton and team handball..hmm ok #Olympics
1343072614,1343072614,18,#1 rank will be defined by results #london2012 difference in pts is very small between Roger and Novack. Rafa will keep #3 via tennisnews
1343081683,1343081683,19,Roger Federer @wimbledon ready for Round Two #Nike #tennis #Roger #Federer #London #Olympics #2012
1343063441,1343063441,20,Ditto the ladies. The @BetfairSports women's table tennis preview here: #London2012 #Olympics
1343107523,1343107523,21,#Olympics #London2012 @usatabletennis @USA_Swimming @USASynchro @ussoccer_wnt @ussoccer @USAShooting @USSailingTeam @usrowing
1343100300,1343100300,22,RT @veryashley: check out @ChatSports “@WSJ: Apps to track your favorite Olympic events from table tennis to.... : ...
1343102714,1343102779,23,RT @MyLifeIsTennis: can't wait for the Olympic tennis #London2012
1343112362,1343112362,24,RT @NickCanPorter will be going to see some tennis on saturday! excited cheers @hpdolan. Looking foward to it! #centrecourt #london2012
1343104213,1343104213,25,RT @MyLifeIsTennis: can't wait for the Olympic tennis #London2012
1343110830,1343110830,26,The tennis at the #Olympics is going to be Mad! #Allez
1343068314,1343068314,27,Can't believe this time next week I'll be back at Wimbledon to watch Olympics tennis! #wimbledon #olympics
1343079345,1343079345,28,#FunDays@Foxcroft offering specialty tennis camp this week. And have fun with this week's theme -- #Olympics ! #summercamp #fun
1343093926,1343093926,29,Olympic tennis will air on #BRAVO... #tennis #olympics
1343104021,1343104021,30,RT @MyLifeIsTennis: can't wait for the Olympic tennis #London2012
1343082904,1343082904,31,The UK is the birthplace of some of the world’s most popular sports - including both football and tennis. #SportIsGREAT #London2012
1343088649,1343088649,32,Kate Duchess of Cambridge plans to see the swimming sailing hockey & tennis too at the Olympics #royal #Olympics
1343074471,1343074471,33,@WeAreTennis Noo "when" I'm sure "Iam" - how could anybody who is addicted to tennis not love #RogerFederer lib src #London2012 #tennis
1343104730,1343104730,34,RT @ISRAEL21C: Can Israeli tennis player Shahar Peer's love of winning conquer the gold? #Israel #Olympics
1343106469,1343106469,35,@tennisbuzz Thanks for the mention! We are unveiling more #London2012 @TennisFilaUSA tonight
1343099083,1343099083,36,Christmas has come twice Sharapova has just waltzed in! #Wimbledon #tennis #Olympics @fuoriporta
1343102560,1343102560,37,RT @MyLifeIsTennis: can't wait for the Olympic tennis #London2012
1343090628,1343090628,38,Will we see anothe Federer and Murray match up in the Olympics? #tennisrematch #olympics #wimbledon
1343103625,1343103625,39,RT @MyLifeIsTennis: can't wait for the Olympic tennis #London2012
1343084738,1343084738,40,RT @tennis: Dominika Cibulkova will head into the #Olympics with momentum after a dominating Carlsbad performance:
1343103030,1343103030,41,RT @MyLifeIsTennis: can't wait for the Olympic tennis #London2012
1343092539,1343092539,42,Four days until #London2012 today's spotlight venue is home to the tennis events. Can't beat the history of Wimbledon.
1343103046,1343103046,43,RT @MyLifeIsTennis: can't wait for the Olympic tennis #London2012
1343102486,1343102486,44,RT @MyLifeIsTennis: can't wait for the Olympic tennis #London2012
1343054598,1343054598,45,RT @stevegtennis: OH NO! Japan's world champion women's football team sent economy while their male counterparts sat in business class t ...
1343087465,1343087465,46,Rooting for #Switzerland (tennis) #London2012 Olympics
1343057408,1343057408,47,Sweden's olympic tennis team will arrive in #Eastbourne today to practise before heading to the #Olympics. #Tennis
1343084522,1343084522,48,#Dominika #Cibulkova wins La #Costa tennis title: | #Olympics #Open #tournament #Marion #Bartoli #Insurance #Mercury
1343102510,1343102510,49,RT @MyLifeIsTennis: can't wait for the Olympic tennis #London2012
1343090763,1343090763,50,RT @lynnlovestennis: "I don't want it to catch my hair" -- Venus Williams as she accepted the flame from Andy Murray #London2012
1343097594,1343097594,51,RT @LauraHabsKhouri: Rooting for #Switzerland (tennis) #London2012 Olympics
1343074310,1343074310,52,RT @beckybetts: Anyone for tennis in the glorious #Leicester sunshine? #bbcbigscreens don't miss the #olympics here on screen too! ...
1343077382,1343077382,53,Roger #Federer is the 2nd most paid athlete of #London2012 #tennis
1343104360,1343104360,54,Tomas Berdych and Novak Djokovic engaging in a time-honored Olympics tradition: Pin trading. #olympics #tennis
1343086510,1343086510,55,RT @GordonKelly: So boxers can't turn professional & compete in the Olympics but tennis basketball and football players can. Why? ...
1343111607,1343111607,56,made my #olympics schedules today on this handy #iphone app mostly on #waterpolo #basketball #volleyball #tabletennis #judo & maybe #boxing
1343068756,1343068756,57,A small kerfuffle in the table tennis training mix zone this morning #london2012
1343103128,1343103128,58,RT @MyLifeIsTennis: can't wait for the Olympic tennis #London2012
1343104773,1343104773,59,RT @MyLifeIsTennis: can't wait for the Olympic tennis #London2012
1343076118,1343076118,60,Rafaless = pointless #london2012 #tennis
1343093757,1343093757,61,RT @jimlk2007: Fan Take: Can Roger Federer Win Gold at London 2012? - Yahoo! Sports #tennis #london2012 @sportsblog ...
1343112519,1343112519,62,RT @insideparasport: Vergeer continues unbeaten run to claim 12th British Open crown #tennis #london2012 #paralympi ...
1343085784,1343085784,63,#NewsFlash #Olympics #tennis Player Complains of Traffic Delays - RIA Novosti
1343096611,1343096611,64,Vasek Pospisil pursues Olympic Dream... #tennis #london2012 #vernon
1343104143,1343104143,65,RT @MyLifeIsTennis: can't wait for the Olympic tennis #London2012
1343058363,1343058363,66,Gr8 #London2012 tennis preview by @RobKoenigTennis on @SuperSportBlitz.The guy amazes me.How when u get older do u look younger & get wiser?
1343110392,1343110392,67,It's not right how excited I am for the #Olympics tennis @Wimbledon.
1343081849,1343081849,68,RT @MalikJ_: Roger Federer @wimbledon ready for Round Two #Nike #tennis #Roger #Federer #London #Olympics #2012
1343105069,1343105069,69,RT @MyLifeIsTennis: can't wait for the Olympic tennis #London2012
1343103272,1343103272,70,RT @CarolineWilbert: Love this star-spangled post inspired by tennis Olympians @bbtatlantaopen @AtlanticStation: #o ...
1343100138,1343100138,71,A close-up shot of a table tennis net #london2012 via
1343102644,1343102657,72,RT @MyLifeIsTennis: can't wait for the Olympic tennis #London2012
1343088264,1343088264,73,RT @HeathrowAirport: MT @baggysnaps: Venus Williams arrived at Heathrow looking funky for #london2012 #venuswilliams #heathrow #tennis h ...
1343111617,1343111617,74,RT @OlympicRightNow: #tabletennis facebook updates from #london2012 athletes and teams at #sportrightnow
1343096098,1343096098,75,Anyone want to swap 2 tennis centre court #london2012 tickets on 28th for any 2 cycling tickets?
1343106092,1343106092,76,RT @MyLifeIsTennis: can't wait for the Olympic tennis #London2012
1343061575,1343061575,77,Sunny early morning tennis match now back to work for athletes 'familiarisation' day at hyde park #olympics
1343102937,1343102937,78,RT @MyLifeIsTennis: can't wait for the Olympic tennis #London2012
1343078304,1343078304,79,RT @HeathrowAirport: MT @baggysnaps: Venus Williams arrived at Heathrow looking funky for #london2012 #venuswilliams #heathrow #tennis h ...
1343103077,1343103077,80,RT @MyLifeIsTennis: can't wait for the Olympic tennis #London2012
1343087448,1343087448,81,The tennis courts at Wimbledon ready for action via #london2012
1343102899,1343102899,82,RT @MyLifeIsTennis: can't wait for the Olympic tennis #London2012
1343099079,1343099079,83,Excited about the Olympics going to see some tennis on Sunday at Wimbledon #London2012
1343055052,1343055052,84,No Singaporean has won an individual medal in table tennis at the #Olympics. Will this streak come to an end in London?
1343104871,1343104871,85,crying...don't like my girls new fb page/ will not open it 4 some days ^_^ want my tennisfoxy back!!! #walkout until #London2012 begins :/
1343075615,1343075615,86,MT @baggysnaps: Venus Williams arrived at Heathrow looking funky for #london2012 #venuswilliams #heathrow #tennis
1343076342,1343076342,87,RT @HeathrowAirport: MT @baggysnaps: Venus Williams arrived at Heathrow looking funky for #london2012 #venuswilliams #heathrow #tennis h ...
1343103676,1343103676,88,RT @MyLifeIsTennis: can't wait for the Olympic tennis #London2012
1343079083,1343079083,89,#Federer expecting something special at #Olympics. #tennis
1343104380,1343104380,90,RT @MyLifeIsTennis: can't wait for the Olympic tennis #London2012
1343085601,1343085601,91,Nadal Shifts Focus To Brazil 2016 #sports #tennis #londongames #olympics #rafaelnadal
1343106561,1343106561,92,RT @MyLifeIsTennis: can't wait for the Olympic tennis #London2012
1343066285,1343066285,93,This time next week I will be at Wimbledon watching the Olympic tennis #Olympics #London2012
1343103728,1343103728,94,Het stvu_tennis #vakantietoernooi is geopend!! #olympics #zongarantie
1343106272,1343106272,95,RT @MyLifeIsTennis: can't wait for the Olympic tennis #London2012
1343111475,1343111475,96,RT @MyLifeIsTennis: can't wait for the Olympic tennis #London2012
1343069551,1343069551,97,Venus Williams just arrived at Heathrow looking well funky.#olympics#2012 #venuswilliams#tennis #heathrow
