Start,Mean,Group,Summary
1343810563,1343810563,1,@ByronFok table tennis is awesome! #London2012
1343811431,1343811431,2,RT @CCSweetTables: Q14 - my daughter dances 3 times a week and plays tennis.. Since the #Olympics she has proclaimed she wants to be a s ...
1343812126,1343812126,3,RT @3ty3: Olympic table tennis! Why We Love Bruce Lee on @eflclassroom http://t.co/rkdxBZem #Olympics
1343813673,1343813673,4,The focus is overwhelming in this table tennis match. #Olympics
1343816708,1343816708,5,@blawrie13 saw yours and @jparencibia9's table tennis session during #olympics tonight - absolutely hilarious
1343817606,1343817606,6,RT @htTweets: Olympics Mixed doubles tennis: Paes-Sania Mirza vs Nenad Zimonjic-Ana Ivanovic today #ht #olympics2012
1343817837,1343817837,7,Water polo and tennis are my favorite #Olympics
1343818384,1343818384,8,RT @TheFix: Two sports that shouldn't be in the Olympics: soccer and tennis. And I love both of them. #london2012
1343819098,1343819098,9,It's bedtime now that the coverage of the #Olympics is over tennis in the am. goodnight!
1343819572,1343819572,10,And basketball “@TheFix: Two sports that shouldn't be in the Olympics: soccer and tennis. And I love both of them. #london2012”
1343820177,1343820177,11,#Olympics #PingPong OLYMPICS: Taiwanese table tennis player into semifinals - Focus Taiwan News Channel http://t.co/XcCWjyJ1
1343821096,1343821096,12,Tough opener! #India4Olympics RT @htTweets: Olympics Mixed doubles tennis:Paes-Sania Mirza vs Nenad Zimonjic-Ana Ivanovic today #olympics
1343821595,1343821595,13,RT @ottguy: Disappointment for Canada's Daniel Nestor and Vasek Pospisil as they're booted from men's doubles tennis play. #london2012
1343822345,1343822345,14,Olympics 2012: Indian on Day 4 Boxers shine as tennis duo knocked out - Daily News & Analysis http://t.co/nGdz2vHT #Olympics
1343823000,1343823000,15,Yaroslava Shvedova #tennis #london2012 @jugamostenis http://t.co/imXaks5A
1343831329,1343831329,16,RT @Formosports: #Taiwanese table tennis player Chuang Chih-yuan. #Taiwan #TPE #olympics #tabletennis http://t.co/zkAT4I8l
1343833210,1343833210,17,beautiful day for tennis #drywimbledon #olympics http://t.co/jCpIm1xt
1343835254,1343835254,18,Olympic table tennis #ExCelArena #London2012
1343836995,1343836995,19,Red hot #london2012 table tennis action at ExCeL. http://t.co/WomkMZlN
1343837384,1343837384,20,Yay table tennis! #olympics
1343837530,1343837530,21,Anyone else kinda hoping Forrest Gump turns up to play table tennis in #London2012?
1343837732,1343837732,22,#Olympic #London2012 watching table tennis match (♥•♥)
