Time,Group
1343050170,1
1343054557,2
1343054598,3
1343055052,4
1343055360,5
1343055504,6
1343055618,7
1343056704,8
1343057408,9
1343057440,10
1343057667,11
1343058363,11
1343058379,12
1343060764,13
1343061497,14
1343061575,15
1343063384,16
1343063441,17
1343063983,18
1343064521,19
1343064521,19
1343066285,19
1343066971,20
1343067701,21
1343068314,22
1343068469,22
1343068756,23
1343069551,24
1343069702,25
1343070352,26
1343072384,27
1343072614,28
1343073138,28
1343073419,29
1343073757,30
1343074208,31
1343074310,32
1343074471,33
1343074733,34
1343075101,35
1343075615,35
1343075995,36
1343076118,37
1343076342,38
1343076861,38
1343077206,39
1343077225,39
1343077232,40
1343077352,41
1343077382,42
1343077529,43
1343077600,44
1343078304,45
1343078358,46
1343078493,47
1343078923,48
1343079017,49
1343079083,50
1343079345,51
1343079589,52
1343080177,53
1343080870,54
1343081103,55
1343081413,56
1343081683,57
1343081849,58
1343082085,59
1343082732,60
1343082736,61
1343082904,62
1343083240,63
1343083878,64
1343084348,65
1343084522,66
1343084693,66
1343084738,67
1343084831,67
1343085033,68
1343085601,69
1343085756,69
1343085784,70
1343086054,71
1343086135,71
1343086247,72
1343086315,72
1343086510,72
1343087276,73
1343087298,73
1343087448,74
1343087465,75
1343087475,76
1343087732,77
1343087965,78
1343088264,79
1343088649,80
1343089479,81
1343089553,82
1343089678,82
1343089750,83
1343089763,84
1343089967,85
1343090628,86
1343090763,87
1343091767,88
1343091906,89
1343092065,90
1343092539,91
1343092933,92
1343093721,93
1343093757,94
1343093926,94
1343094483,95
1343095124,96
1343096098,97
1343096611,98
1343096691,99
1343097112,100
1343097199,101
1343097561,102
1343097594,103
1343098409,103
1343098632,104
1343099079,105
1343099083,106
1343099807,107
1343099916,108
1343100138,109
1343100300,110
1343100431,111
1343100561,112
1343100939,113
1343101437,114
1343102337,115
1343102455,116
1343102486,117
1343102507,118
1343102510,119
1343102515,120
1343102542,121
1343102558,122
1343102560,123
1343102568,124
1343102576,125
1343102576,125
1343102586,125
1343102603,125
1343102644,126
1343102657,126
1343102684,126
1343102714,126
1343102779,127
1343102786,127
1343102804,127
1343102827,128
1343102862,128
1343102887,129
1343102899,130
1343102937,131
1343102941,132
1343102949,133
1343103030,134
1343103046,135
1343103077,136
1343103085,137
1343103113,138
1343103128,139
1343103185,140
1343103187,141
1343103242,142
1343103272,143
1343103349,144
1343103361,145
1343103401,146
1343103432,147
1343103464,148
1343103625,149
1343103676,150
1343103728,151
1343103808,152
1343103895,153
1343104021,154
1343104043,155
1343104091,156
1343104113,157
1343104143,158
1343104213,159
1343104290,160
1343104337,160
1343104347,161
1343104360,162
1343104380,162
1343104611,163
1343104678,163
1343104730,164
1343104772,164
1343104773,165
1343104871,166
1343104969,167
1343105039,168
1343105069,169
1343105091,170
1343105140,171
1343105378,172
1343105603,173
1343106092,174
1343106230,175
1343106260,176
1343106272,177
1343106354,178
1343106462,179
1343106469,180
1343106561,181
1343106655,182
1343106909,183
1343107454,184
1343107523,185
1343108143,186
1343108555,187
1343109177,188
1343110008,189
1343110392,190
1343110830,191
1343111253,191
1343111475,192
1343111607,193
1343111617,194
1343111820,195
1343111873,196
1343112362,197
1343112519,198
1343112551,199
1343112552,200
1343113034,200
1343113343,201
1343113357,202
1343113700,202
1343114399,203
1343114422,204
1343114528,205
1343114553,206
1343114667,207
1343114777,208
1343115034,209
1343116484,210
1343116968,211
1343116993,212
1343117673,212
1343117708,213
1343118290,213
1343118986,214
1343120974,214
1343121431,215
1343121530,215
1343122025,215
1343123418,216
1343124758,216
1343126141,217
1343126673,218
1343126920,218
1343128357,219
1343128852,220
1343128897,221
1343128910,222
1343128978,223
1343129039,224
1343129041,224
1343129277,225
1343129313,225
1343129379,225
1343129462,226
1343129497,226
1343129624,227
1343129916,228
1343129996,229
1343130141,230
1343130382,231
1343130393,231
1343130580,232
1343130672,232
1343130706,233
1343130775,234
1343131043,235
1343131178,236
1343131267,237
1343131389,237
1343131562,238
1343131682,238
1343132051,239
1343132642,240
1343133219,240
1343133308,241
1343133365,242
1343133508,243
1343134261,244
1343134614,245
1343135411,246
1343135704,247
1343136090,247
1343137265,248
1343138216,249
1343138678,250
1343139801,251
1343140301,252
1343140939,252
1343140966,253
1343141119,253
1343141747,254
1343141750,255
1343143397,256
1343144430,257
1343144846,258
1343145519,259
1343146098,259
1343146465,260
1343146533,260
1343146695,260
1343147051,261
1343147474,261
1343147659,261
1343148119,262
1343148904,262
1343148992,262
1343150003,262
1343150186,263
1343150235,263
1343150243,263
1343150253,263
1343150351,264
1343150495,264
1343150659,265
1343150765,266
1343151005,266
1343151363,267
1343151385,268
1343151624,268
1343151814,269
1343152283,270
1343152828,271
1343153348,271
1343154888,272
1343155374,272
1343155657,273
1343156140,273
1343156337,273
1343156655,274
1343156662,275
1343156698,276
1343156714,277
1343156879,278
1343157089,278
1343157423,279
1343157727,280
1343158614,281
1343158653,282
1343158717,283
1343159128,284
1343159320,284
1343159395,285
1343159652,285
1343159677,285
1343160468,285
1343161045,286
1343161225,286
1343161236,287
1343162089,288
1343162537,289
1343163458,289
1343163819,290
1343163907,291
1343165102,292
1343165138,293
1343165703,294
1343165703,294
1343165705,294
1343166345,295
1343166402,295
1343166611,295
1343166732,296
1343166824,296
1343166904,296
1343167255,297
1343167715,297
1343168095,298
1343168183,299
1343168370,299
1343168594,300
1343169221,300
1343169359,301
1343169655,302
1343169844,302
1343169889,303
1343170278,304
1343170442,304
1343170468,305
1343170532,306
1343170534,307
1343171011,308
1343171240,309
1343171523,309
1343171968,310
1343171998,311
1343172026,312
1343172164,312
1343172320,313
1343172664,313
1343172852,314
1343173048,314
1343173515,314
1343173549,314
1343173715,314
1343173932,315
1343174098,315
1343174149,316
1343174673,317
1343174736,318
1343174947,319
1343174949,319
1343174986,320
1343174996,320
1343175050,321
1343175239,321
1343175273,322
1343175466,323
1343176674,323
1343176998,324
1343177042,325
1343177126,325
1343177757,326
1343177953,326
1343178013,326
1343178140,326
1343178812,327
1343178832,327
1343179158,327
1343179313,328
1343179609,329
1343179823,330
1343179875,331
1343179935,331
1343180013,331
1343180319,332
1343180687,333
1343181030,333
1343181661,334
1343181767,334
1343181990,335
1343182411,336
1343182555,337
1343182940,337
1343183423,338
1343183533,338
1343183839,338
1343184358,339
1343184646,340
1343184780,341
1343185271,341
1343185437,342
1343185643,342
1343185764,343
1343185771,344
1343185783,344
1343186210,344
1343186698,345
1343186720,346
1343186763,346
1343187007,347
1343187186,347
1343187212,347
1343187258,347
1343187344,347
1343187465,348
1343187502,348
1343187530,348
1343187544,349
1343187545,349
1343187551,350
1343187555,351
1343187560,352
1343187574,353
1343187601,354
1343187605,355
1343187610,356
1343187617,357
1343187625,358
1343187641,359
1343187718,360
1343187719,360
1343187790,361
1343187799,361
1343187857,361
1343187859,362
1343187876,362
1343187930,362
1343188303,363
1343188394,364
1343188445,365
1343188536,366
1343188660,367
1343188777,368
1343188797,369
1343188822,370
1343188850,371
1343189016,372
1343189027,373
1343189315,374
1343189321,374
1343189738,375
1343189839,375
1343189912,375
1343190114,376
1343190123,376
1343190136,376
1343190368,377
1343190386,378
1343190899,379
1343190925,380
1343191157,381
1343191494,382
1343191509,383
1343191624,383
1343191704,384
1343191758,384
1343191795,384
1343191905,384
1343191953,384
1343192039,384
1343192160,384
1343192569,385
1343192625,385
1343192710,385
1343192961,386
1343192984,386
1343193044,386
1343193061,387
1343193238,388
1343193317,389
1343193405,389
1343193584,389
1343193885,390
1343193903,391
1343193945,392
1343194102,393
1343194142,393
1343194150,394
1343194153,394
1343194158,395
1343194161,396
1343194161,396
1343194198,396
1343194200,397
1343194217,397
1343194217,397
1343194249,397
1343194269,398
1343194308,398
1343194310,399
1343194322,400
1343207620,401
1343207873,402
1343208419,403
1343208469,404
1343208817,405
1343210538,406
1343210753,407
1343210938,408
1343211407,409
1343211414,410
1343211730,411
1343212371,412
1343213037,413
1343213823,414
1343215868,415
1343216038,416
1343216102,417
1343216721,418
1343218517,419
1343293539,420
1343293562,420
1343293644,420
1343293924,421
1343294037,421
1343294659,422
1343294679,423
1343295220,423
1343295617,424
1343295670,424
1343295765,424
1343295965,424
1343296009,424
1343296283,424
1343296452,425
1343296629,425
1343296847,425
1343296854,425
1343297220,426
1343297226,426
1343297395,426
1343297519,427
1343297545,427
1343297974,427
1343298038,427
1343298060,427
1343298941,428
1343299407,428
1343299422,428
1343300108,428
1343300258,428
1343301110,428
1343301608,428
1343301649,428
1343302260,428
1343302315,428
1343302609,428
1343302620,429
1343302628,429
1343302688,429
1343303105,430
1343303564,430
1343303612,430
1343303756,430
1343304864,431
1343305004,431
1343305113,432
1343306215,432
1343306239,433
1343306670,433
1343307460,433
1343308418,434
1343308608,434
1343308922,434
1343309764,434
1343309826,434
1343310099,434
1343310502,434
1343310749,435
1343311310,435
1343311463,436
1343311802,436
1343312655,436
1343313176,436
1343313609,437
1343313899,437
1343313954,437
1343314034,437
1343314178,437
1343314823,438
1343314960,438
1343315328,438
1343316225,438
1343316250,438
1343316364,438
1343316818,438
1343317278,439
1343317440,439
1343317493,439
1343317612,439
1343317616,439
1343317688,440
1343317751,440
1343317754,440
1343318609,441
1343318937,441
1343319256,441
1343320499,442
1343320558,442
1343320714,442
1343321285,442
1343321339,442
1343321599,442
1343321993,442
1343322421,442
1343322805,442
1343322809,442
1343322859,442
1343323007,442
1343323294,443
1343323316,443
1343323382,443
1343323556,443
1343323797,443
1343323804,443
1343323808,443
1343323984,443
1343324264,444
1343324265,444
1343324268,445
1343324270,445
1343324291,445
1343324312,445
1343324336,445
1343324355,445
1343324616,445
1343324666,445
1343324674,445
1343324689,445
1343324724,445
1343324773,445
1343324865,445
1343325276,446
1343325341,446
1343325453,446
1343325505,447
1343325550,447
1343325747,447
1343325943,448
1343326195,448
1343326256,448
1343326286,448
1343326368,448
1343326530,449
1343326562,449
1343326715,449
1343326744,449
1343326777,449
1343326859,449
1343326912,450
1343326987,450
1343327066,450
1343327099,450
1343327202,450
1343327278,451
1343327292,451
1343327403,451
1343327428,451
1343327460,451
1343327496,451
1343327497,452
1343327523,452
1343327559,452
1343327564,452
1343327579,452
1343327705,453
1343327717,453
1343327754,453
1343327815,453
1343327840,454
1343327927,454
1343327958,454
1343328025,454
1343328125,455
1343328173,456
1343328181,456
1343328194,456
1343328205,457
1343328217,457
1343328226,457
1343328229,457
1343328230,457
1343328235,457
1343328249,457
1343328253,457
1343328255,457
1343328267,457
1343328288,457
1343328289,457
1343328291,457
1343328297,457
1343328302,457
1343328306,457
1343328308,457
1343328314,457
1343328315,457
1343328316,457
1343328324,457
1343328330,457
1343328338,458
1343328350,458
1343328354,459
1343328360,459
1343328360,459
1343328365,459
1343328368,460
1343328368,460
1343328371,461
1343328376,461
1343328379,462
1343328383,462
1343328391,462
1343328394,463
1343328395,463
1343328401,463
1343328401,463
1343328407,463
1343328410,464
1343328411,464
1343328416,464
1343328421,464
1343328424,464
1343328432,465
1343328435,465
1343328438,465
1343328442,465
1343328453,466
1343328456,466
1343328463,466
1343328464,466
1343328464,466
1343328472,466
1343328479,466
1343328483,467
1343328497,467
1343328507,467
1343328517,468
1343328518,468
1343328524,468
1343328525,468
1343328529,468
1343328543,468
1343328547,469
1343328552,469
1343328557,469
1343328561,469
1343328562,469
1343328568,469
1343328591,469
1343328593,469
1343328600,469
1343328619,470
1343328623,470
1343328643,470
1343328659,470
1343328670,470
1343328686,470
1343328700,470
1343328707,470
1343328748,470
1343328752,470
1343328786,471
1343328803,471
1343328836,472
1343328848,473
1343328848,473
1343328849,474
1343328867,474
1343328881,475
1343328883,475
1343328923,476
1343328925,476
1343328932,476
1343328941,476
1343328950,477
1343328955,478
1343328973,479
1343328983,479
1343328989,480
1343328990,480
1343328994,480
1343329008,481
1343329015,481
1343329049,482
1343329051,482
1343329057,482
1343329059,482
1343329081,482
1343329107,482
1343329123,483
1343329141,483
1343329169,483
1343329177,484
1343329208,484
1343329213,485
1343329213,485
1343329231,485
1343329239,486
1343329260,486
1343329264,486
1343329278,487
1343329288,487
1343329298,488
1343329315,488
1343329325,488
1343329326,488
1343329379,488
1343329384,488
1343329411,489
1343329441,489
1343329575,489
1343329583,490
1343329593,490
1343329595,490
1343329604,490
1343329619,490
1343329622,490
1343329644,490
1343329715,490
1343329788,490
1343329795,491
1343329809,491
1343329835,491
1343329846,491
1343329848,491
1343329861,491
1343329876,491
1343329943,492
1343329946,492
1343329965,492
1343329967,492
1343329974,492
1343330001,493
1343330003,493
1343330006,493
1343330033,494
1343330050,494
1343330087,494
1343330109,495
1343330118,495
1343330118,495
1343330147,495
1343330226,496
1343330249,496
1343330292,496
1343330295,496
1343330296,496
1343330312,497
1343330322,497
1343330369,497
1343330411,497
1343330463,498
1343330466,498
1343330501,498
1343330509,498
1343330568,498
1343330570,498
1343330587,498
1343330596,498
1343330666,498
1343330689,498
1343330712,498
1343330741,498
1343330787,498
1343330813,498
1343330851,499
1343330851,499
1343330883,499
1343330920,499
1343330923,499
1343330930,499
1343330943,499
1343330983,500
1343330987,500
1343330990,500
1343331082,500
1343331140,500
1343331179,501
1343331191,501
1343331202,501
1343331203,501
1343331205,501
1343331210,501
1343331216,501
1343331239,501
1343331258,501
1343331369,502
1343331382,502
1343331393,502
1343331425,503
1343331466,503
1343331474,504
1343331479,504
1343331538,504
1343331631,505
1343331640,505
1343331720,505
1343331765,505
1343331815,506
1343331816,506
1343331859,506
1343331868,506
1343331869,506
1343331883,506
1343331929,506
1343331934,506
1343331941,506
1343331941,506
1343331973,507
1343332039,507
1343332081,507
1343332115,507
1343332116,507
1343332165,508
1343332186,508
1343332190,508
1343332200,508
1343332204,508
1343332206,508
1343332250,509
1343332258,509
1343332262,509
1343332292,509
1343332316,510
