Start,Mean,Group,Summary
1343103128,1343103128,1,RT @MyLifeIsTennis: can't wait for the Olympic tennis #London2012
1343097561,1343097561,2,#tabletennis tweets from #london2012 competitors at - check it out! #sportrightnow
1343050170,1343050170,3,#tabletennis facebook updates from #london2012 athletes and teams at #socialolympics
1343091906,1343091906,4,20 Greatest Tennis Moments in #Olympic History - #tennis #Olympics2012
1343105140,1343105140,5,#Olympic tennis preview - #Olympics2012 #tennis
1343102455,1343102455,6,can't wait for the Olympic tennis #London2012
1343055504,1343055504,7,#tabletennis tweets from #london2012 competitors at - check it out! #socialolympics
1343102542,1343102542,8,RT @MyLifeIsTennis: can't wait for the Olympic tennis #London2012
1343057667,1343058363,9,Gr8 #London2012 tennis preview by @RobKoenigTennis on @SuperSportBlitz.The guy amazes me.How when u get older do u look younger & get wiser?
1343081683,1343081683,10,Roger Federer @wimbledon ready for Round Two #Nike #tennis #Roger #Federer #London #Olympics #2012
1343103272,1343103272,11,RT @CarolineWilbert: Love this star-spangled post inspired by tennis Olympians @bbtatlantaopen @AtlanticStation: #o ...
1343104021,1343104021,12,RT @MyLifeIsTennis: can't wait for the Olympic tennis #London2012
1343106230,1343106230,13,RT @MyLifeIsTennis: can't wait for the Olympic tennis #London2012
1343108143,1343108143,14,Updated Post: The Social Network exploring the connections between the USADA case and #tennis: #olympics #London2012
1343077529,1343077529,15,Wimbledon on Sunday for Olympic tennis #olympics
1343069702,1343069702,16,Venus Williams just arrived at Heathrow looking funky for the Olympics #london2012 #venuswilliams #heathrow #tennis
1343076342,1343076342,17,RT @HeathrowAirport: MT @baggysnaps: Venus Williams arrived at Heathrow looking funky for #london2012 #venuswilliams #heathrow #tennis h ...
1343070352,1343070352,18,RT @thamps24: RT “@TennisProbs1: Being depressed that rafa isn't gonna be in the #olympics #tennisprobs” @abbsofsteel9 @jenaied
1343080177,1343080177,19,RT @HeathrowAirport: MT @baggysnaps: Venus Williams arrived at Heathrow looking funky for #london2012 #venuswilliams #heathrow #tennis h ...
1343061575,1343061575,20,Sunny early morning tennis match now back to work for athletes 'familiarisation' day at hyde park #olympics
1343107523,1343107523,21,#Olympics #London2012 @usatabletennis @USA_Swimming @USASynchro @ussoccer_wnt @ussoccer @USAShooting @USSailingTeam @usrowing
1343100431,1343100431,22,#London2012 tennis job organisers are quite frankly shocking
1343102644,1343102644,23,RT @MyLifeIsTennis: can't wait for the Olympic tennis #London2012
1343112362,1343112362,24,RT @NickCanPorter will be going to see some tennis on saturday! excited cheers @hpdolan. Looking foward to it! #centrecourt #london2012
