Start,Mean,Group,Summary
1343807620,1343807620,1,kudos to canada in soccer and tennis today..playing hard#london2012
1343810563,1343810563,2,@ByronFok table tennis is awesome! #London2012
1343812126,1343812126,3,RT @3ty3: Olympic table tennis! Why We Love Bruce Lee on @eflclassroom http://t.co/rkdxBZem #Olympics
1343812970,1343812970,4,My latest for @10sworld The Legend of Venus Williams http://t.co/0TkBjOQj #tennis #olympics #london2012
1343813673,1343813673,5,The focus is overwhelming in this table tennis match. #Olympics
1343817606,1343817606,6,RT @htTweets: Olympics Mixed doubles tennis: Paes-Sania Mirza vs Nenad Zimonjic-Ana Ivanovic today #ht #olympics2012
1343819247,1343819247,7,RT @LarkinBre: table tennis can be n the Olympics but not softball? hmmm.. #olympics
1343822345,1343822345,8,Olympics 2012: Indian on Day 4 Boxers shine as tennis duo knocked out - Daily News & Analysis http://t.co/nGdz2vHT #Olympics
1343823000,1343823000,9,Yaroslava Shvedova #tennis #london2012 @jugamostenis http://t.co/imXaks5A
1343838454,1343838454,10,as if table tennis is in the #olympics2012 #whatajoke
1343839904,1343839904,11,Table tennis looks quite banging ngl #London2012
1343841542,1343841542,12,Table tennis is so so serious. #Olympics2012
1343842398,1343842398,13,Nothing like a little table tennis before school #Olympics12
1343843522,1343843522,14,RT @NEOPrimeTV: #IndiaWatch: Indian tennis duo of Bhupathi-Bopanna crashed out of the doubles competition at #London2012. Paes quietly l ...
1343844158,1343844158,15,RT @NEOPrimeTV: #IndiaWatch: Indian tennis duo of Bhupathi-Bopanna crashed out of the doubles competition at #London2012. Paes quietly l ...
1343845118,1343845118,16,Rennae Stubbs on @BravoTV: This could be the greatest ticket ever in tennis today at Olympic Tennis at Wimbledon #London2012
1343846508,1343846508,17,China Vs. China for Olympic gold in table tennis - Hindustan Times http://t.co/ZOKAXJ3r #olympics2012 #ht (via @HTTweets)
1343846989,1343846989,18,It seems I could play table tennis for #TeamGB #London2012. Which athlete are you? ;p http://t.co/93SM9LbN
1343847279,1343847279,19,Watching some tennis before I start work Serena is cold #Olympics
1343848053,1343848053,20,very good tennis by Serena at the olympics class #London2012
