Start,Mean,Group,Summary
1343050170,1343328435,0,#Tennis The tennis draws are Insaneeee !!!! #London2012
1343413262,1343467810,1,Yes! Yes! Yes! Aruba!!! Table tennis gold! #calledit #London2012
1343500037,1343501937,2,RT @BBCNews: Neda Shahsavari becomes first woman to represent #Iran at table tennis at Olympics - #London2012 in pictures ...
1343507647,1343509281,3,Table tennis (ping pong) is crazy!!! #olympics2012
1343512868,1343514123,4,Table tennis :) #olympics2012
1343516221,1343516702,5,FLOTUS watching tennis at the #Olympics!!
1343517603,1343518150,6,@HyperHoosier table tennis is on!!! #olympics
1343519521,1343519864,7,Table tennis #olympics
1343522166,1343522454,8,Table tennis in the #Olympics is crazzyyy
1343522707,1343527050,9,It's table tennis time! #london2012
1343528048,1343528468,10,#holdthephone table tennis is on! #Olympics2012 #London
1343529061,1343529346,11,#olympics table tennis is so intense!! #London2012
1343530321,1343530764,12,RT @BeeRenee15: Table tennis is crazy! #Olympics2012 #TooFast!
1343539925,1343540768,13,table tennis is crazy! #Olympics
1343583434,1343594605,14,Table tennis is awesome. #olympics
1343594942,1343597896,15,RT @George_Brownn: Table tennis is quality! #Olympics2012
1343598068,1343613959,16,Table tennis is so badass. #Olympics2012
1343616855,1343624065,17,RT @OsianTennant: The table tennis is ridiculously quick! #london2012
1343626871,1343627149,18,Table tennis is awesome! #Olympics
1343627585,1343628072,19,This table tennis is Intense!! #Olympics2012
1343628841,1343629099,20,RT @kfaulkner7: Table tennis is intense!!! #Olympics2012
1343671219,1343683830,21,Table tennis is insane. #Olympics
1343686390,1343686692,22,RT @ATPWorldTour: #Federer requires 58 minutes to beat #Benneteau 62 62 at the @OlympicsTennis for a 3rd RD berth. #atp #tennis #olympics
1343687162,1343692824,23,Janko Tipsarevic d. Philipp Petzschner 3-6;6-3;6-4 #Olympics #tennis
1343702166,1343702649,24,Table tennis on #Olympics2012 is amazing!
1343712002,1343712461,25,Table tennis is intense. #Olympics2012
1343714179,1343714381,26,Table tennis at the #Olympics #nuffsaid
1343761746,1343770908,27,Tennis now!!! #tennis #London2012 @L2012Tennis
1343810727,1343841877,28,table tennis not for me #Olympics
1343849830,1343851743,29,Serena Williams d. Vera Zvonareva 6-1;6-0 #Olympics #tennis
1343856002,1343857402,30,Hewitt with the 1st!!! #london2012 #tennis
1343862365,1343862905,31,Jo-Wilfried Tsonga d. Feliciano Lopez 7-6;6-4 #Olympics #tennis
1343870106,1343870211,32,RT @guardian_sport: Andy Murray is through to the quarter-finals of the Olympic tennis after beating Marcos Baghdatis. #london2012
1343870462,1343871405,33,RT @CallumC19: Table tennis is nuts. #Olympics
1343871843,1343874963,34,John Isner d. Janko Tipsarevic 7-5;7-6 #Olympics #tennis
1343881625,1343883738,35,RT @WTA: Tomorrow’s #Olympics QFs: Azarenka vs Kerber; Serena vs Wozniacki; Sharapova vs Clijsters & Kvitova vs Kirilenko #tennis
1343890461,1343890860,36,Table tennis is epic. #Olympics2012
1343892367,1343931126,37,Table tennis #googledoodle #olympics
1343933738,1343938324,38,Andy Murray d. Nicolas Almagro 6-4;6-1 #Olympics #tennis
1343946556,1343947685,39,Novak Djokovic d. Jo-Wilfried Tsonga 6-1;7-5 #Olympics #tennis
1343961365,1344000091,40,Table tennis is crazy!! #olympics
1344023761,1344028176,41,*dies and iz ded* #Olympics #tennis
1344032761,1344033074,42,Come on Federer!! #olympics #tennis
1344033662,1344033738,43,#tennis #London2012
1344033781,1344034699,44,RT @WTA: Russia’s Maria Sharapova advances to her 1st career #Olympics final with a 62 63 win over Maria Kirilenko! #tennis ...
1344035701,1344035993,45,This tennis match is cray! #olympics #London2012 #recordbreaking #tennis
1344037741,1344037780,46,Hahahahahaha this is the best. #tennis #olympics
1344037801,1344037885,47,RT @ATPWorldTour: #Federer battles past @delPotroJuan 36 76(5) 19-17 to reach the Gold Medal match at the @OlympicsTennis. #atp #tennis ...
1344037921,1344037947,48,RT @ATPWorldTour: #Federer battles past @delPotroJuan 36 76(5) 19-17 to reach the Gold Medal match at the @OlympicsTennis. #atp #tennis ...
1344037981,1344038008,49,RT @ATPWorldTour: #Federer battles past @delPotroJuan 36 76(5) 19-17 to reach the Gold Medal match at the @OlympicsTennis. #atp #tennis ...
1344038041,1344038085,50,RT @ATPWorldTour: #Federer battles past @delPotroJuan 36 76(5) 19-17 to reach the Gold Medal match at the @OlympicsTennis. #atp #tennis ...
1344038161,1344038259,51,RT @BBCWorld: Roger Federer wins final set 19-17 to beat Juan Martin del Potro and enter men's tennis final #Olympics
1344038403,1344038684,52,RT @BBCWorld: Roger Federer wins final set 19-17 to beat Juan Martin del Potro and enter men's tennis final #Olympics
1344039241,1344040466,53,Serena Williams is on faya (not fire)...fayaaaaaa!!!! #tennis #Olympics2012
1344047103,1344047167,54,First set Murray! #tennis #olympics
1344047221,1344050300,55,Come on Murray @TeamGB #tennis #London2012
1344050761,1344050846,56,The tennis is unbelievable tonight. #TeamGB #Tennis #London2012 #Olympics #andymurray
1344050881,1344051002,57,come on Andy!!! #Olympics2012 #tennis
1344051061,1344051098,58,RT @BBCBreaking: Britain's Andy Murray through to Olympic tennis final after beating Novak Djokovic 7-5 7-5 at Wimbledon ...
1344051121,1344051151,59,RT @BBCBreaking: Britain's Andy Murray through to Olympic tennis final after beating Novak Djokovic 7-5 7-5 at Wimbledon ...
1344051182,1344051207,60,RT @BBCBreaking: Britain's Andy Murray through to Olympic tennis final after beating Novak Djokovic 7-5 7-5 at Wimbledon ...
1344051241,1344051289,61,RT @BBCBreaking: Britain's Andy Murray through to Olympic tennis final after beating Novak Djokovic 7-5 7-5 at Wimbledon ...
1344051361,1344051468,62,RT @BBCBreaking: Britain's Andy Murray through to Olympic tennis final after beating Novak Djokovic 7-5 7-5 at Wimbledon ...
1344051721,1344051939,63,RT @BBCBreaking: Britain's Andy Murray through to Olympic tennis final after beating Novak Djokovic 7-5 7-5 at Wimbledon ...
1344053162,1344053422,64,RT @BBCBreaking: Britain's Andy Murray through to Olympic tennis final after beating Novak Djokovic 7-5 7-5 at Wimbledon ...
1344058236,1344112392,65,F-ing Stosur!!! #London2012 #tennis
1344113767,1344114540,66,Now it begins; Serena Williams vs Maria Sharapova #tennis #london2012
1344114842,1344115541,67,Come on Serena!! #Olympics #tennis
1344116882,1344117478,68,Serena is killing! #tennis #Olympics
1344117781,1344118156,69,Williams vs Sharapova for the women's tennis final. Serena is smashing! #olympics #London2012 #tennis
1344118743,1344118775,70,Serena has this! #tennis #olympics
1344118862,1344118964,71,Serena Williams wins gold in singles #Olympics2012 #tennis
1344119041,1344119398,72,RT @cnnbrk: #Olympics Result: Serena Williams of U.S. wins gold medal in women’s singles tennis; defeating Russian Maria Sharapova. ...
1344119701,1344119866,73,RT @cnnbrk: #Olympics Result: Serena Williams of U.S. wins gold medal in women’s singles tennis; defeating Russian Maria Sharapova. ...
1344120062,1344120405,74,RT @cnnbrk: #Olympics Result: Serena Williams of U.S. wins gold medal in women’s singles tennis; defeating Russian Maria Sharapova. ...
1344121263,1344126183,75,come on Murray and Robson!!! #london2012 #tennis
1344126722,1344126759,76,RT @WTA: Russia’s Maria Sharapova with the Silver! Photo Credit: GETTY #Olympics #tennis
1344126782,1344126817,77,RT @WTA: Russia’s Maria Sharapova with the Silver! Photo Credit: GETTY #Olympics #tennis
1344126841,1344127012,78,Murray and Robson AMAZING!!!! #tennis #london2012
1344127201,1344127336,79,RT @YahooSports: #USA's Mike and Bob Bryan win gold in men's #tennis doubles. #London2012 #Olympics -->
1344128581,1344130028,80,RT @YahooSports: #USA's Mike and Bob Bryan win gold in men's #tennis doubles. #London2012 #Olympics -->
1344136201,1344136675,81,Serena Williams is the gold medalist at tennis #tennis #London2012
1344192405,1344199014,82,This is an intense tennis match! #olympics #tennis
1344199571,1344200192,83,Tennis time! COME ON MURRAY!!! #olympics #tennis
1344200944,1344201520,84,Come on Andy!! #olympics #tennis
1344201784,1344202076,85,Is it Andy's time? #olympics2012 #tennis
1344203043,1344203440,86,Come on Murray!!!!! #olympics #tennis
1344203701,1344203740,87,Whoop! First set to Murray! #tennis #London2012
1344203761,1344203802,88,RT @ElieSemaan6: Murray wins first set 6-2. #olympics #tennis
1344204181,1344204227,89,Murray is ON FIRE! #tennis #olympics
1344204241,1344204660,90,The tennis is so intense! Come on Murray! #tennis #teamgb #olympics
1344205141,1344205177,91,Phewwww finally!! #Olympics #tennis
1344205201,1344205339,92,Murray is on fire! #olympics #london2012 #tennis
1344205561,1344205984,93,Come on Murray!!! #tennis #olympics
1344206161,1344206265,94,Lol... Andy Murray and his fiancé in cartoon form... RT @danwri @ian_mannly #tennis #olympics2012 #london2012
1344206401,1344206510,95,Come on now Murray!! #tennis #Olympics2012
1344206701,1344206859,96,Come on Murray ! #Olympics #tennis
1344207301,1344207423,97,Come on Murray!!! #london2012 #tennis
1344207541,1344207678,98,Murray!!! #olympics #tennis
1344207781,1344207883,99,RT @SA2J79: Murray is on fire!!! #Olympics #tennis
1344208081,1344208230,100,This is it now Murray #olympics #tennis
1344208381,1344208723,101,Great tennis match between Andy Murray (GBR) and Roger Federer (SUI). Well deserved Olympic Gold Medal for Murray! #Tennis #London2012
1344244757,1344262302,102,RT @globeandmail: From @GlobeOlympics: Andy Murray beats Roger Federer to win tennis gold #london2012
1344269688,1344269731,103,RT @Olympics: Good morning! Wanted to share an amazing shot from yesterday's #tennis match #olympics
1344269761,1344269852,104,@Olympics: Good morning! Wanted to share an amazing shot from yesterday's #tennis match #olympics
1344270606,1344271413,105,RT @Olympics: Good morning! Wanted to share an amazing shot from yesterday's #tennis match #olympics
1344303021,1344404705,106,Table tennis is intense! #Olympics
1344465467,1344474753,107,Table tennis is amazing! #Olympics
1344475157,1344475505,108,Table tennis is intense! #Olympics
1344583827,1344583929,109,RT @AlanHungover: That awkward moment when your parents think you're watching porn but it's just women's tennis. #London2012
1344584287,1344584766,110,RT @AlanHungover: That awkward moment when your parents think you're watching porn but it's just women's tennis. #London2012
