Start,Mean,Group,Summary
1343050170,1343328226,0,RT @ATPWorldTour: #Federer; competing at his fourth @OlympicsTennis event; plays @AlejandroFalla in the 1st RD at @London2012. #tennis # ...
1343413262,1343414955,1,RT @DavisCup: This time tomorrow the tennis will have started at @wimbledon. 'Retweet' this message to show us how excited you are! #Lon ...
1343500037,1343501810,2,RT @BBCWorld: Neda Shahsavari becomes first woman to represent #Iran at table tennis at Olympics - #London2012 in pictures ...
1343507647,1343507879,3,RT @ATPWorldTour: #Darcis upsets sixth seed #Berdych 64 64 in @OlympicsTennis 1st RD at @London2012. Next plays @ElGirald. #olympics #tennis
1343512868,1343515040,4,RT @mr_igwilo: Hehe; dem don start @Iam_volltz: Nigeria's Funke Oshonaike lost 4-0 to Tan Weyling of Italy. #tabletennis #London2012
1343516221,1343516392,5,RT @lifeofwrestling: let's just skip the fencing; the soccer; the tennis; & go straight to wrestling. #olympics2012 #wrestling
1343517603,1343517915,6,UPSET! RT @WTA: Slovakia's @DHantuchova defeats Li Na 62 36 63 in the 1R of the #Olympics. #tennis
1343519521,1343520644,7,RT @FirstpostSports: That's it! Soumyajit Ghosh wins against Brazil's Tsuboi to register India's second win of the day. #tabletennis #Ol ...
1343522166,1343522449,8,RT @BillWeirABC: If you ever get the chance to watch #Olympics table tennis in a pub full of drunk Londoners...do it.
1343522707,1343524901,9,RT @Shereen_tmq: China's Li Na suffers a dramatic first round exit in the women's tennis singles at the #Olympics! #london2012
1343528048,1343528316,10,Table tennis is by far the coolest sport to watch hahaha dying watching this #olympics
1343529061,1343530008,11,RT @FirstpostSports: Mirza/Chakravarthy lose 1-6 6-3 1-6 to Taipei in Women's doubles #tennis #Olympics
1343530321,1343532704,12,RT @BarrettAll: Oh the #Olympics. That odd time every four years when I get way too excited about archery; table tennis and gymnastics.
1343539925,1343577590,13,RT @Ebuka: RT @unclevee: Let's Go D'Tigers; Let's go Aruna Qadri(Table tennis 2nd round); Let's go Jonathan Akinyemi (Canoe Prelims) #ol ...
1343583434,1343588138,14,RT @ATPWorldTour: Light rain continues to fall at @London2012 @OlympicsTennis to delay the start of play. #tennis #olympics ...
1343594942,1343597876,15,RT @WTA: Germany’s @JuliaGoerges blasts 20 aces to upset 2nd seed Agnieszka Radwanska 75 67(5) 64. #Olympics #tennis
1343598068,1343616270,16,RT @ATPWorldTour: Beijing @OlympicsTennis bronze medallist @DjokerNole beats #Fognini 67(7) 62 62 at @London2012. #atp #tennis #olympics
1343616855,1343616865,17,RT @ATPWorldTour: Beijing @OlympicsTennis bronze medallist @DjokerNole beats #Fognini 67(7) 62 62 at @London2012. #atp #tennis #olympics
1343626871,1343627280,18,Table tennis is my new favorite sport! It's so intense. 😁 #Olympics
1343627585,1343627797,19,RT @NBCSN: Tune in now to see Ariel Hsing; USA's 16 year old table tennis phenom try to upset the #2 seed right now on NBCSN #OLYMPICS
1343628841,1343631718,20,RT @STcom: #Olympics: Singapore's women's table tennis singles campaign takes off in winning style
1343671219,1343675196,21,RT @RealTimVine: Just watching tennis on telly. It's easier being the player the far end surely; cos the half of court he's aiming at i ...
1343686390,1343686619,22,RT @ATPWorldTour: #Federer requires 58 minutes to beat #Benneteau 62 62 at the @OlympicsTennis for a 3rd RD berth. #atp #tennis #olympics
1343687162,1343690642,23,RT @STcom: Feng Tianwei has battled past Germany's Wu Jiaduo 4-2 in the fourth round of the table tennis women's singles. #London2012 #O ...
1343702166,1343704885,24,RT @ATPWorldTour: #Federer requires 58 minutes to beat #Benneteau 62 62 at the @OlympicsTennis for a 3rd RD berth. #atp #tennis #olympics
1343712002,1343713008,25,Table tennis is a weird sport and if Forest Gump can play it; anyone can #shitmymomsays #Olympics
1343714179,1343733794,26,RT @mrbrown: #ohsnap #London2012 RT @frhn: So I heard at the Olympics yesterday; Singapore faced Germany in table-tennis and China won.
1343761746,1343771232,27,RT @TeamMoshe: If @justinbieber represented Canada at the Olympics; u know he would of won GOLD at PING PONG! #London2012 #tabletennis h ...
1343810727,1343847110,28,RT @NEOPrimeTV: #IndiaWatch: Indian tennis duo of Bhupathi-Bopanna crashed out of the doubles competition at #London2012. Paes quietly l ...
1343849830,1343853594,29,Djokovic and Hewitt postponed due to rain. #london2012 #tennis #olympics
1343856002,1343857045,30,RT @FeeK83: Dear @channel9; we see 4 tennis majors a year & I'm pretty sure Wimbledon wasnt so long ago. How bout showing the @Aussi ...
1343862365,1343866219,31,RT @NBCOlympics: No bling for Ding Ning ... fellow Chinese teammate wins women's singles #tabletennis gold: #Olympics
1343870106,1343870163,32,RT @guardian_sport: Andy Murray is through to the quarter-finals of the Olympic tennis after beating Marcos Baghdatis. #london2012
1343870462,1343870555,33,RT @FirstpostSports: UPSET OF THE DAY!! Federer/Wawrinka have been knocked out by Israel's Erlich/Ram 1-6; 7-6; 6-3. #tennis #Olympics h ...
1343871843,1343876400,34,RT @WTA: Denmark’s @CaroWozniacki books her place in the #Olympics QFs with a 64 62 win over Daniela Hantuchova. #tennis ...
1343881625,1343886526,35,This. RT @WTA: Tomorrow’s #Olympics QFs: Azarenka vs Kerber; Serena vs Wozniacki; Sharapova vs Clijsters & Kvitova vs Kirilenko #tennis
1343890461,1343891423,36,Table tennis is awesome to watch; but one thing I don't like is the excessive celebrating after each point won #sportsmanship #Olympics
1343892367,1343909081,37,RT @ATPWorldTour: . @MardyFish says ping pong players deserve ballboys at the #Olympics Watch: #atp #tennis
1343933738,1343942201,38,RT @WTA: World No.1 @Vika7 Azarenka advances to her 1st #Olympics SFs with a 64 75 victory over Angelique Kerber. #tennis ...
1343946556,1343947625,39,RT @ATPWorldTour: @DjokerNole sets blockbuster SF @OlympicsTennis clash with @andy_murray after beating @tsonga7 61 75. #atp #tennis #ol ...
1343961365,1344005063,40,RT @RiaadMoosa: Close your eyes while watching table tennis...it's like a vicious argument between the Khoi and the San #olympics2012
1344023761,1344023835,41,RT @LondonLive: What we're watching at #London2012 today: tennis; track & field; Saudi Arabia's 1st female Olympian competing in Jud ...
1344032761,1344033468,42,This tennis game is one to have watched; classic federer #tennis #olympics
1344033662,1344033686,43,this Del Potro v Federer match has been going on forever. do you neither of you want to make the final?! #tennis #london2012
