Time,Group
1343050170,1
1343054557,2
1343054598,3
1343055052,4
1343055360,5
1343055504,5
1343055618,6
1343056704,7
1343057408,8
1343057440,8
1343057667,8
1343058363,9
1343058379,10
1343060764,11
1343061497,12
1343061575,12
1343063384,13
1343063441,13
1343063983,14
1343064521,15
1343064521,15
1343066285,16
1343066971,17
1343067701,18
1343068314,19
1343068469,20
1343068756,21
1343069551,22
1343069702,23
1343070352,24
1343072384,25
1343072614,26
1343073138,27
1343073419,28
1343073757,29
1343074208,30
1343074310,31
1343074471,32
1343074733,33
1343075101,34
1343075615,35
1343075995,36
1343076118,37
1343076342,38
1343076861,39
1343077206,40
1343077225,40
1343077232,40
1343077352,41
1343077382,41
1343077529,41
1343077600,41
1343078304,42
1343078358,42
1343078493,42
1343078923,43
1343079017,44
1343079083,44
1343079345,45
1343079589,46
1343080177,47
1343080870,48
1343081103,49
1343081413,50
1343081683,51
1343081849,51
1343082085,52
1343082732,53
1343082736,54
1343082904,54
1343083240,55
1343083878,56
1343084348,57
1343084522,58
1343084693,58
1343084738,59
1343084831,59
1343085033,60
1343085601,61
1343085756,62
1343085784,62
1343086054,63
1343086135,64
1343086247,65
1343086315,65
1343086510,65
1343087276,66
1343087298,67
1343087448,68
1343087465,68
1343087475,68
1343087732,69
1343087965,70
1343088264,71
1343088649,72
1343089479,73
1343089553,73
1343089678,74
1343089750,75
1343089763,76
1343089967,77
1343090628,78
1343090763,79
1343091767,80
1343091906,81
1343092065,82
1343092539,83
1343092933,84
1343093721,85
1343093757,85
1343093926,85
1343094483,86
1343095124,87
1343096098,88
1343096611,89
1343096691,89
1343097112,90
1343097199,90
1343097561,90
1343097594,91
1343098409,92
1343098632,93
1343099079,94
1343099083,95
1343099807,96
1343099916,97
1343100138,97
1343100300,97
1343100431,97
1343100561,97
1343100939,98
1343101437,99
1343102337,100
1343102455,100
1343102486,100
1343102507,100
1343102510,100
1343102515,100
1343102542,100
1343102558,100
1343102560,100
1343102568,100
1343102576,100
1343102576,100
1343102586,100
1343102603,100
1343102644,100
1343102657,100
1343102684,100
1343102714,100
1343102779,100
1343102786,100
1343102804,100
1343102827,100
1343102862,100
1343102887,100
1343102899,100
1343102937,100
1343102941,100
1343102949,100
1343103030,100
1343103046,100
1343103077,100
1343103085,100
1343103113,100
1343103128,100
1343103185,100
1343103187,100
1343103242,100
1343103272,100
1343103349,100
1343103361,100
1343103401,100
1343103432,100
1343103464,100
1343103625,100
1343103676,100
1343103728,101
1343103808,102
1343103895,102
1343104021,103
1343104043,103
1343104091,103
1343104113,103
1343104143,103
1343104213,103
1343104290,103
1343104337,103
1343104347,103
1343104360,103
1343104380,103
1343104611,103
1343104678,103
1343104730,103
1343104772,103
1343104773,103
1343104871,104
1343104969,104
1343105039,105
1343105069,105
1343105091,105
1343105140,105
1343105378,105
1343105603,105
1343106092,105
1343106230,105
1343106260,105
1343106272,105
1343106354,105
1343106462,105
1343106469,106
1343106561,107
1343106655,107
1343106909,107
1343107454,108
1343107523,109
1343108143,110
1343108555,111
1343109177,112
1343110008,113
1343110392,113
1343110830,113
1343111253,113
1343111475,113
1343111607,114
1343111617,114
1343111820,115
1343111873,115
1343112362,116
1343112519,117
1343112551,117
1343112552,117
1343113034,118
1343113343,119
1343113357,120
1343113700,121
1343114399,122
1343114422,123
1343114528,124
1343114553,125
1343114667,126
1343114777,127
1343115034,128
1343116484,129
1343116968,130
1343116993,131
1343117673,132
1343117708,133
1343118290,134
1343118986,135
1343120974,136
1343121431,137
1343121530,138
1343122025,139
1343123418,140
1343124758,141
1343126141,142
1343126673,143
1343126920,144
1343128357,145
1343128852,146
1343128897,147
1343128910,148
1343128978,149
1343129039,150
1343129041,150
1343129277,150
1343129313,150
1343129379,150
1343129462,150
1343129497,150
1343129624,150
1343129916,150
1343129996,150
1343130141,150
1343130382,150
1343130393,150
1343130580,150
1343130672,150
1343130706,150
1343130775,150
1343131043,150
1343131178,150
1343131267,150
1343131389,150
1343131562,150
1343131682,150
1343132051,151
1343132642,152
1343133219,153
1343133308,154
1343133365,155
1343133508,156
1343134261,157
1343134614,158
1343135411,159
1343135704,160
1343136090,161
1343137265,162
1343138216,163
1343138678,164
1343139801,165
1343140301,166
1343140939,167
1343140966,167
1343141119,168
1343141747,169
1343141750,169
1343143397,170
1343144430,171
1343144846,172
1343145519,173
1343146098,174
1343146465,175
1343146533,176
1343146695,177
1343147051,178
1343147474,179
1343147659,180
1343148119,181
1343148904,182
1343148992,182
1343150003,182
1343150186,183
1343150235,184
1343150243,185
1343150253,185
1343150351,185
1343150495,186
1343150659,187
1343150765,188
1343151005,189
1343151363,190
1343151385,191
1343151624,192
1343151814,193
1343152283,194
1343152828,195
1343153348,196
1343154888,197
1343155374,198
1343155657,199
1343156140,200
1343156337,201
1343156655,202
1343156662,203
1343156698,204
1343156714,204
1343156879,205
1343157089,206
1343157423,207
1343157727,208
1343158614,209
1343158653,210
1343158717,211
1343159128,212
1343159320,213
1343159395,213
1343159652,214
1343159677,214
1343160468,215
1343161045,216
1343161225,217
1343161236,217
1343162089,218
1343162537,219
1343163458,220
1343163819,221
1343163907,222
1343165102,223
1343165138,223
1343165703,223
1343165703,223
1343165705,223
1343166345,223
1343166402,223
1343166611,224
1343166732,225
1343166824,226
1343166904,227
1343167255,228
1343167715,228
1343168095,229
1343168183,230
1343168370,231
1343168594,232
1343169221,233
1343169359,234
1343169655,235
1343169844,236
1343169889,237
1343170278,238
1343170442,239
1343170468,240
1343170532,241
1343170534,242
1343171011,243
1343171240,244
1343171523,245
1343171968,246
1343171998,247
1343172026,248
1343172164,249
1343172320,250
1343172664,251
1343172852,252
1343173048,253
1343173515,254
1343173549,255
1343173715,256
1343173932,257
1343174098,258
1343174149,259
1343174673,260
1343174736,261
1343174947,262
1343174949,263
1343174986,264
1343174996,265
1343175050,266
1343175239,267
1343175273,268
1343175466,269
1343176674,270
1343176998,271
1343177042,272
1343177126,273
1343177757,274
1343177953,275
1343178013,276
1343178140,277
1343178812,278
1343178832,279
1343179158,280
1343179313,281
1343179609,282
1343179823,283
1343179875,284
1343179935,285
1343180013,286
1343180319,287
1343180687,288
1343181030,289
1343181661,290
1343181767,291
1343181990,292
1343182411,293
1343182555,294
1343182940,295
1343183423,296
1343183533,297
1343183839,298
1343184358,299
1343184646,300
1343184780,301
1343185271,302
1343185437,303
1343185643,304
1343185764,305
1343185771,305
1343185783,305
1343186210,305
1343186698,306
1343186720,307
1343186763,308
1343187007,309
1343187186,310
1343187212,310
1343187258,311
1343187344,312
1343187465,313
1343187502,314
1343187530,315
1343187544,315
1343187545,316
1343187551,317
1343187555,317
1343187560,318
1343187574,319
1343187601,319
1343187605,320
1343187610,321
1343187617,322
1343187625,323
1343187641,323
1343187718,324
1343187719,325
1343187790,326
1343187799,327
1343187857,328
1343187859,328
1343187876,329
1343187930,330
1343188303,331
1343188394,332
1343188445,333
1343188536,334
1343188660,335
1343188777,336
1343188797,337
1343188822,338
1343188850,339
1343189016,340
1343189027,341
1343189315,342
1343189321,343
1343189738,344
1343189839,345
1343189912,345
1343190114,346
1343190123,347
1343190136,348
1343190368,349
1343190386,349
1343190899,350
1343190925,351
1343191157,352
1343191494,353
1343191509,354
1343191624,355
1343191704,356
1343191758,357
1343191795,358
1343191905,359
1343191953,359
1343192039,360
1343192160,361
1343192569,362
1343192625,363
1343192710,364
1343192961,365
1343192984,366
1343193044,367
1343193061,367
1343193238,368
1343193317,369
1343193405,370
1343193584,371
1343193885,372
1343193903,372
1343193945,373
1343194102,374
1343194142,375
1343194150,375
1343194153,376
1343194158,377
1343194161,377
1343194161,377
1343194198,377
1343194200,377
1343194217,377
1343194217,377
1343194249,377
1343194269,377
1343194308,377
1343194310,378
1343194322,379
1343207620,380
1343207873,381
1343208419,382
1343208469,383
1343208817,384
1343210538,385
1343210753,386
1343210938,387
1343211407,388
1343211414,388
1343211730,389
1343212371,390
1343213037,391
1343213823,392
1343215868,393
1343216038,394
1343216102,395
1343216721,396
1343218517,397
1343293539,398
1343293562,398
1343293644,398
1343293924,398
1343294037,399
1343294659,400
1343294679,401
1343295220,402
1343295617,403
1343295670,403
1343295765,403
1343295965,404
1343296009,404
1343296283,405
1343296452,405
1343296629,406
1343296847,407
1343296854,407
1343297220,407
1343297226,408
1343297395,409
1343297519,409
1343297545,409
1343297974,410
1343298038,410
1343298060,410
1343298941,410
1343299407,410
1343299422,411
1343300108,412
1343300258,413
1343301110,414
1343301608,415
1343301649,415
1343302260,416
1343302315,416
1343302609,416
1343302620,417
1343302628,417
1343302688,417
1343303105,418
1343303564,419
1343303612,419
1343303756,419
1343304864,419
1343305004,419
1343305113,419
1343306215,419
1343306239,419
1343306670,419
1343307460,419
1343308418,419
1343308608,419
1343308922,419
1343309764,419
1343309826,419
1343310099,419
1343310502,419
1343310749,419
1343311310,419
1343311463,419
1343311802,419
1343312655,419
1343313176,419
1343313609,419
1343313899,419
1343313954,419
1343314034,420
1343314178,421
1343314823,422
1343314960,422
1343315328,423
1343316225,424
1343316250,424
1343316364,424
1343316818,424
1343317278,424
1343317440,424
1343317493,424
1343317612,425
1343317616,425
1343317688,426
1343317751,426
1343317754,426
1343318609,427
1343318937,428
1343319256,429
1343320499,430
1343320558,430
1343320714,430
1343321285,430
1343321339,431
1343321599,432
1343321993,433
1343322421,433
1343322805,433
1343322809,433
1343322859,434
1343323007,434
1343323294,435
1343323316,435
1343323382,435
1343323556,435
1343323797,435
1343323804,435
1343323808,435
1343323984,436
1343324264,437
1343324265,437
1343324268,437
1343324270,437
1343324291,437
1343324312,437
1343324336,437
1343324355,437
1343324616,437
1343324666,437
1343324674,437
1343324689,437
1343324724,437
1343324773,437
1343324865,437
1343325276,437
1343325341,437
1343325453,437
1343325505,437
1343325550,437
1343325747,437
1343325943,437
1343326195,437
1343326256,437
1343326286,437
1343326368,437
1343326530,437
1343326562,437
1343326715,438
1343326744,438
1343326777,438
1343326859,438
1343326912,438
1343326987,439
1343327066,439
1343327099,439
1343327202,440
1343327278,440
1343327292,440
1343327403,440
1343327428,440
1343327460,441
1343327496,441
1343327497,441
1343327523,441
1343327559,441
1343327564,441
1343327579,441
1343327705,441
1343327717,441
1343327754,441
1343327815,441
1343327840,441
1343327927,441
1343327958,441
1343328025,441
1343328125,441
1343328173,441
1343328181,441
1343328194,442
1343328205,442
1343328217,442
1343328226,442
1343328229,442
1343328230,442
1343328235,442
1343328249,442
1343328253,442
1343328255,442
1343328267,442
1343328288,442
1343328289,442
1343328291,442
1343328297,442
1343328302,442
1343328306,442
1343328308,442
1343328314,442
1343328315,442
1343328316,442
1343328324,442
1343328330,442
1343328338,442
1343328350,442
1343328354,442
1343328360,442
1343328360,442
1343328365,442
1343328368,442
1343328368,442
1343328371,442
1343328376,442
1343328379,442
1343328383,442
1343328391,442
1343328394,442
1343328395,442
1343328401,443
1343328401,443
1343328407,443
1343328410,443
1343328411,443
1343328416,443
1343328421,443
1343328424,443
1343328432,443
1343328435,443
1343328438,443
1343328442,443
1343328453,443
1343328456,443
1343328463,443
1343328464,443
1343328464,443
1343328472,443
1343328479,443
1343328483,443
1343328497,443
1343328507,443
1343328517,443
1343328518,443
1343328524,443
1343328525,443
1343328529,443
1343328543,443
1343328547,443
1343328552,443
1343328557,443
1343328561,443
1343328562,443
1343328568,443
1343328591,443
1343328593,443
1343328600,443
1343328619,443
1343328623,443
1343328643,444
1343328659,444
1343328670,444
1343328686,444
1343328700,444
1343328707,444
1343328748,444
1343328752,444
1343328786,444
1343328803,444
1343328836,444
1343328848,444
1343328848,444
1343328849,445
1343328867,445
1343328881,445
1343328883,445
1343328923,445
1343328925,445
1343328932,445
1343328941,445
1343328950,445
1343328955,445
1343328973,445
1343328983,445
1343328989,445
1343328990,445
1343328994,445
1343329008,445
1343329015,445
1343329049,445
1343329051,445
1343329057,445
1343329059,445
1343329081,445
1343329107,445
1343329123,445
1343329141,445
1343329169,445
1343329177,445
1343329208,445
1343329213,445
1343329213,445
1343329231,445
1343329239,445
1343329260,445
1343329264,445
1343329278,445
1343329288,445
1343329298,445
1343329315,445
1343329325,445
1343329326,445
1343329379,445
1343329384,445
1343329411,445
1343329441,445
1343329575,445
1343329583,445
1343329593,445
1343329595,445
1343329604,445
1343329619,445
1343329622,445
1343329644,445
1343329715,445
1343329788,445
1343329795,445
1343329809,445
1343329835,445
1343329846,445
1343329848,445
1343329861,445
1343329876,445
1343329943,445
1343329946,445
1343329965,445
1343329967,445
1343329974,445
1343330001,445
1343330003,445
1343330006,445
1343330033,445
1343330050,445
1343330087,445
1343330109,445
1343330118,445
1343330118,445
1343330147,445
1343330226,445
1343330249,445
1343330292,445
1343330295,445
1343330296,445
1343330312,445
1343330322,445
1343330369,445
1343330411,445
1343330463,445
1343330466,445
1343330501,445
1343330509,445
1343330568,445
1343330570,445
1343330587,445
1343330596,445
1343330666,445
1343330689,445
1343330712,445
1343330741,445
1343330787,445
1343330813,445
1343330851,445
1343330851,445
1343330883,445
1343330920,445
1343330923,445
1343330930,445
1343330943,445
1343330983,445
1343330987,445
1343330990,445
1343331082,445
1343331140,445
1343331179,445
1343331191,445
1343331202,445
1343331203,445
1343331205,445
1343331210,445
1343331216,445
1343331239,445
1343331258,445
1343331369,445
1343331382,445
1343331393,445
1343331425,445
1343331466,445
1343331474,445
1343331479,445
1343331538,445
1343331631,445
1343331640,445
1343331720,445
1343331765,445
1343331815,445
1343331816,445
1343331859,445
1343331868,445
1343331869,445
1343331883,445
1343331929,445
1343331934,445
1343331941,445
1343331941,445
1343331973,445
1343332039,445
1343332081,445
1343332115,445
1343332116,445
1343332165,445
1343332186,445
1343332190,445
1343332200,445
1343332204,445
1343332206,445
1343332250,445
1343332258,445
1343332262,445
1343332292,445
1343332316,445
