Start,Mean,Group,Summary
1343103808,1343103808,1,RT @MyLifeIsTennis: can't wait for the Olympic tennis #London2012
1343050170,1343050170,2,#tabletennis facebook updates from #london2012 athletes and teams at #socialolympics
1343096611,1343096691,3,“@Venuseswilliams: Andy passing me the Olympic flame! #OLYMPICS tennis is going to the USA The #William sisters!
1343112362,1343112362,4,RT @NickCanPorter will be going to see some tennis on saturday! excited cheers @hpdolan. Looking foward to it! #centrecourt #london2012
1343055618,1343055618,5,Lots of tennis people carrying the torch today and the torch will be in Wimby later on! #london2012
1343060764,1343060764,6,RT @LegOlympian: D'oh. Left my tennis racquet in the restaurant. I'll never be ready in time for the #Olympics
1343084348,1343084348,7,July 23. 1996: Olympic tennis starts in Atlanta defending champ Marc Rosset beats Hicham Arazi in 1st match #Olympics
1343078923,1343078923,8,Does every country have a coach for their tennis team? is there coaching allowed on the courts ? #wimbledon #london2012 #wta #atp
1343072384,1343072384,9,@TennisAddictRH so lovely there when sun si shinin. are you going to watch the tennis ? #london2012
1343076342,1343076342,10,RT @HeathrowAirport: MT @baggysnaps: Venus Williams arrived at Heathrow looking funky for #london2012 #venuswilliams #heathrow #tennis h ...
1343072614,1343072614,11,#1 rank will be defined by results #london2012 difference in pts is very small between Roger and Novack. Rafa will keep #3 via tennisnews
1343082732,1343082732,12,Like the grand slam itself Slazenger will be the official tennis ball at Wimbledon for #London2012.
1343064521,1343064521,13,#Bhupathi hopes to meet Bolt in his dream fifth #Olympics: #tennis
1343108555,1343108555,14,RT @MyLifeIsTennis: can't wait for the Olympic tennis #London2012
1343068756,1343068756,15,A small kerfuffle in the table tennis training mix zone this morning #london2012
1343080177,1343080177,16,RT @HeathrowAirport: MT @baggysnaps: Venus Williams arrived at Heathrow looking funky for #london2012 #venuswilliams #heathrow #tennis h ...
1343099079,1343099079,17,Excited about the Olympics going to see some tennis on Sunday at Wimbledon #London2012
1343084522,1343084522,18,#Dominika #Cibulkova wins La #Costa tennis title: | #Olympics #Open #tournament #Marion #Bartoli #Insurance #Mercury
1343090763,1343090763,19,RT @lynnlovestennis: "I don't want it to catch my hair" -- Venus Williams as she accepted the flame from Andy Murray #London2012
