Start,Mean,Group,Summary
1343890612,1343807127,1,You win a gold in basketball you get 12.6 points. A gold in table tennis 1.2 points. #wecandothis #Olympics
1343890410,1343807275,2,All decked out for the pool! Swimsuit goggles swimcap and a tennis racquet for the land :) #olympics time with @jessicallooney
1343890385,1343807359,3,Streaming #Olympics coverage on my laptop instead of watching satellite so I can play Wii tennis! #NerdOlympics #London2012
1343890371,1343807403,4,Too many sports to follow in London!! Gotta catch up on today's tennis. Milos and Jo whoa! #tennis #london2012
1343890339,1343807503,5,Olympic table tennis is still my favorite #Olympics #gohardorgohome
1343890320,1343807556,6,good showing of reslience from canada soccer and tennis#london2012
1343890316,1343807573,7,RT @tennistours: Follow Championship Tennis Tours on Pinterest: http://t.co/LoOYAUtg #London2012 #OlympicTennis
1343890302,1343807595,8,RT @nytimesphoto: More #Olympics photos from #London2012 today — field hockey water polo skeet shooting & table tennis http://t.co ...
1343890239,1343807620,9,kudos to canada in soccer and tennis today..playing hard#london2012
1343890204,1343807676,10,Olympic athlete (table tennis) ... anything is possible!!! #olympics2012 http://t.co/m0pyGTbW
1343890177,1343807681,11,Photo: Olympic athlete (table tennis) … anything is possible!!! #olympics2012 (Taken with Instagram) http://t.co/0aRwWSaY
1343890175,1343807709,12,2012 #Olympics #tennis photos: #VenusWilliams advances in #womenssingles - http://t.co/GoAhTjE2
1343890150,1343807740,13,If I was raised in a Chinese #olympics concentration camp I'd be a beast. Probably in table tennis or handball.
1343890076,1343807779,14,I wish @nbc would show replays of #Olympics #tennis like they do the other events!
1343889918,1343807829,15,When you play tennis with your egos the result is not surprising the disgraceful pair of Bhupati and Bopanna costed the medal.#Olympics2012
1343889910,1343807921,16,RT @FirstpostSports: Bhupathi/Bopanna have lost and crashed out of the #Olympics. They lost 3-6 4-6 against Gasquet/Benneteau. #tennis ...
1343889806,1343808167,17,Jumping back in to the competitive tennis circuit this weekend #olympics #Rio2016
1343889750,1343808177,18,Watching the #Olympics :D One day  im gonna be there playing tennis <3
1343889684,1343808234,19,RT @_tristansmith: These noises on tennis are making me laugh so much hahaha #Olympics2012
1343889663,1343808404,20,my grandma saying her comments so calm while watching the Olympicsbut when she's just watching tennisits a whole different thing #Olympics
1343889645,1343808435,21,RT @usopen: Tsonga outlasts Raonic 25-23 in final set to advance @OlympicTennis the longest #Olympic tennis match in history. #London2012
1343889577,1343808610,22,When does table tennis start. #Olympics
1343889505,1343808618,23,Bravo is airing live coverage of #Olympic tennis tomorrow at 7am EST for those who need to get their Federer fix with breakfast. #London2012
1343889457,1343808644,24,#ForestGump could've played ping pong for the #Olympics. Is it called table tennis?
1343889448,1343808717,25,Going to watch the #2012 #Olympics? Check out CL's article on 5 reasons to take tennis seriously and get moving! http://t.co/rANzbZLm 
1343889446,1343808783,26,Really enjoying watching these olympics. Even the odd events like horse racing and table tennis have caught my intrest. #Olympics
1343889424,1343808789,27,I love how every 4 years everyone becomes an expert in gymnastics table tennis water polo volleyball rowing fencing etc. #olympics
1343889372,1343809042,28,Eh! These tabletennis players 'RALLY' is better than me playing in serious mode #SKILLUP #RunIt #Olympics
1343889356,1343809077,29,Watching tennis #Olympics
1343889351,1343809102,30,Nod to the #olympics #vintage #tennisdress http://t.co/iciGWMZQ
1343889350,1343809231,31,Yo when are they showing table tennis?!? #Olympics2012
1343889339,1343809360,32,Watching the replay of Raonic and Tsonga match. Milos is certainly sporting the Federer look with the bandana. #London2012 #tennis #Canada
1343889218,1343809400,33,Beer pong should be in the #olympics if ping pong i mean table tennis is.
1343889205,1343809434,34,Displaying his killer moves off the court #tennis #Wimbledon #futureathlete #Olympics #TeamUSA #instagram#pi http://t.co/Oedhy6G0
